,IOC,Breeding Range,Order,Family,Hungarian
330,Xenoperdix obscuratus,AF,GALLIFORMES,Phasianidae,rubehói erdeifogoly
331,Caloperdix oculeus,OR,GALLIFORMES,Phasianidae,rozsdás szemesfogoly
332,Rollulus rouloul,OR,GALLIFORMES,Phasianidae,rulrul
333,Melanoperdix niger,OR,GALLIFORMES,Phasianidae,fekete erdeifogoly
334,Arborophila torqueola,OR,GALLIFORMES,Phasianidae,Hill Partridge
335,Arborophila rufipectus,OR,GALLIFORMES,Phasianidae,Sichuan Partridge
336,Arborophila mandellii,OR,GALLIFORMES,Phasianidae,Chestnut-breasted Partridge
337,Arborophila gingica,OR,GALLIFORMES,Phasianidae,galléros hegyifogoly
338,Arborophila rufogularis,OR,GALLIFORMES,Phasianidae,Rufous-throated Partridge
339,Arborophila rubrirostris,OR,GALLIFORMES,Phasianidae,Red-billed Partridge
340,Arborophila diversa,OR,GALLIFORMES,Phasianidae,Siamese Partridge
341,Arborophila cambodiana,OR,GALLIFORMES,Phasianidae,kambodzsai erdeifogoly
342,Arborophila ardens,OR,GALLIFORMES,Phasianidae,hainani erdeifogoly
343,Arborophila crudigularis,OR,GALLIFORMES,Phasianidae,Taiwan Partridge
344,Arborophila atrogularis,OR,GALLIFORMES,Phasianidae,White-cheeked Partridge
345,Arborophila brunneopectus,OR,GALLIFORMES,Phasianidae,Bar-backed Partridge
346,Arborophila davidi,OR,GALLIFORMES,Phasianidae,Orange-necked Partridge
347,Arborophila hyperythra,OR,GALLIFORMES,Phasianidae,Red-breasted Partridge
348,Arborophila campbelli,OR,GALLIFORMES,Phasianidae,Malayan Partridge
349,Arborophila rolli,OR,GALLIFORMES,Phasianidae,Roll's Partridge
350,Arborophila sumatrana,OR,GALLIFORMES,Phasianidae,szumátrai erdeifogoly
351,Arborophila javanica,OR,GALLIFORMES,Phasianidae,jávai erdeifogoly
352,Arborophila orientalis,OR,GALLIFORMES,Phasianidae,fehérarcú hegyifogoly
353,Lerwa lerwa,PAL,GALLIFORMES,Phasianidae,hófogoly
354,Ithaginis cruentus,OR,GALLIFORMES,Phasianidae,vérfácán
355,Tragopan melanocephalus,OR,GALLIFORMES,Phasianidae,Kasmír-tragopán
356,Tragopan satyra,OR,GALLIFORMES,Phasianidae,szatírtragopán
357,Tragopan blythii,OR,GALLIFORMES,Phasianidae,fehérhasú tragopán
358,Tragopan temminckii,OR,GALLIFORMES,Phasianidae,kéktorkú tragopán
359,Tragopan caboti,OR,GALLIFORMES,Phasianidae,mandarintragopán
360,Tetraophasis obscurus,PAL,GALLIFORMES,Phasianidae,Verreaux's Monal-Partridge
361,Tetraophasis szechenyii,PAL,GALLIFORMES,Phasianidae,Széchenyi-fajd
362,Lophophorus impejanus,OR,GALLIFORMES,Phasianidae,himalájai fényfácán
363,Lophophorus sclateri,OR,GALLIFORMES,Phasianidae,fehérfarkú fényfácán
364,Lophophorus lhuysii,OR,GALLIFORMES,Phasianidae,kékfarkú fényfácán
365,Pucrasia macrolopha,OR,GALLIFORMES,Phasianidae,közönséges copfosfácán
366,Meleagris gallopavo,"NA, MA",GALLIFORMES,Phasianidae,vadpulyka
367,Meleagris ocellata,MA,GALLIFORMES,Phasianidae,pávaszemes pulyka
368,Tetrastes bonasia,PAL,GALLIFORMES,Phasianidae,császármadár
369,Tetrastes sewerzowi,PAL,GALLIFORMES,Phasianidae,tibeti császármadár
370,Lagopus lagopus,"NA, PAL",GALLIFORMES,Phasianidae,sarki hófajd
371,Lagopus muta,"NA, PAL",GALLIFORMES,Phasianidae,havasi hófajd
372,Falcipennis falcipennis,PAL,GALLIFORMES,Phasianidae,szibériai fajd
373,Tetrao urogallus,PAL,GALLIFORMES,Phasianidae,siketfajd
374,Tetrao urogalloides,PAL,GALLIFORMES,Phasianidae,rövidcsőrű siketfajd
375,Lyrurus tetrix,PAL,GALLIFORMES,Phasianidae,nyírfajd
376,Lyrurus mlokosiewiczi,PAL,GALLIFORMES,Phasianidae,kaukázusi nyírfajd
377,Rhizothera longirostris,OR,GALLIFORMES,Phasianidae,hosszúcsőrű erdeifogoly
378,Rhizothera dulitensis,OR,GALLIFORMES,Phasianidae,Dulit Partridge
379,Perdix hodgsoniae,PAL,GALLIFORMES,Phasianidae,tibeti fogoly
380,Perdix perdix,PAL,GALLIFORMES,Phasianidae,fogoly
381,Perdix dauurica,PAL,GALLIFORMES,Phasianidae,rozsdásmellű fogoly
382,Syrmaticus soemmerringii,PAL,GALLIFORMES,Phasianidae,rézfácán
383,Syrmaticus reevesii,PAL,GALLIFORMES,Phasianidae,királyfácán
384,Syrmaticus mikado,OR,GALLIFORMES,Phasianidae,mikádófácán
385,Syrmaticus ellioti,OR,GALLIFORMES,Phasianidae,Elliot-fácán
386,Syrmaticus humiae,OR,GALLIFORMES,Phasianidae,burmai fácán
387,Chrysolophus pictus,OR,GALLIFORMES,Phasianidae,aranyfácán
388,Chrysolophus amherstiae,OR,GALLIFORMES,Phasianidae,gyémántfácán
389,Phasianus colchicus,"PAL, OR",GALLIFORMES,Phasianidae,fácán
390,Phasianus versicolor,OR,GALLIFORMES,Phasianidae,Schiller-fácán
391,Catreus wallichii,OR,GALLIFORMES,Phasianidae,bóbitás fácán
392,Crossoptilon harmani,OR,GALLIFORMES,Phasianidae,tibeti fülesfácán
393,Crossoptilon crossoptilon,OR,GALLIFORMES,Phasianidae,fehér fülesfácán
394,Crossoptilon mantchuricum,PAL,GALLIFORMES,Phasianidae,barna fülesfácán
395,Crossoptilon auritum,PAL,GALLIFORMES,Phasianidae,kék fülesfácán
396,Lophura edwardsi,OR,GALLIFORMES,Phasianidae,vietnami fácán
397,Lophura swinhoii,OR,GALLIFORMES,Phasianidae,nyerges fácán
398,Lophura bulweri,OR,GALLIFORMES,Phasianidae,fehérfarkú fácán
399,Lophura leucomelanos,OR,GALLIFORMES,Phasianidae,ördögfácán
400,Lophura nycthemera,OR,GALLIFORMES,Phasianidae,ezüstfácán
401,Lophura erythrophthalma,OR,GALLIFORMES,Phasianidae,sárgafarkú fácán
402,Lophura pyronota,OR,GALLIFORMES,Phasianidae,Bornean Crestless Fireback
403,Lophura diardi,OR,GALLIFORMES,Phasianidae,hamvas fácán
404,Lophura inornata,OR,GALLIFORMES,Phasianidae,Salvadori-fácán
405,Lophura rufa,OR,GALLIFORMES,Phasianidae,Malayan Crested Fireback
406,Lophura ignita,OR,GALLIFORMES,Phasianidae,tűzfácán
407,Rheinardia ocellata,OR,GALLIFORMES,Phasianidae,gyöngyös fácán
408,Rheinardia nigrescens,OR,GALLIFORMES,Phasianidae,Malayan Crested Argus
409,Argusianus argus,OR,GALLIFORMES,Phasianidae,Argus-páva
410,Afropavo congensis,AF,GALLIFORMES,Phasianidae,kongói páva
411,Pavo cristatus,OR,GALLIFORMES,Phasianidae,indiai páva
412,Pavo muticus,OR,GALLIFORMES,Phasianidae,zöld páva
413,Tropicoperdix chloropus,OR,GALLIFORMES,Phasianidae,Green-legged Partridge
414,Tropicoperdix charltonii,OR,GALLIFORMES,Phasianidae,örvös hegyifogoly
415,Tropicoperdix graydoni,OR,GALLIFORMES,Phasianidae,Sabah Partridge
416,Haematortyx sanguiniceps,OR,GALLIFORMES,Phasianidae,vérfürj
417,Galloperdix spadicea,OR,GALLIFORMES,Phasianidae,Red Spurfowl
418,Galloperdix lunulata,OR,GALLIFORMES,Phasianidae,Painted Spurfowl
419,Galloperdix bicalcarata,OR,GALLIFORMES,Phasianidae,Sri Lanka Spurfowl
420,Polyplectron napoleonis,OR,GALLIFORMES,Phasianidae,díszes pávafácán
421,Polyplectron schleiermacheri,OR,GALLIFORMES,Phasianidae,borneói pávafácán
422,Polyplectron malacense,OR,GALLIFORMES,Phasianidae,maláj pávafácán
423,Polyplectron germaini,OR,GALLIFORMES,Phasianidae,barna pávafácán
424,Polyplectron katsumatae,OR,GALLIFORMES,Phasianidae,Hainan Peacock-Pheasant
425,Polyplectron bicalcaratum,OR,GALLIFORMES,Phasianidae,pávaszemes fácán
426,Polyplectron inopinatum,OR,GALLIFORMES,Phasianidae,hegyi pávafácán
427,Polyplectron chalcurum,OR,GALLIFORMES,Phasianidae,bronzfarkú pávafácán
428,Bambusicola fytchii,OR,GALLIFORMES,Phasianidae,hegyi bambusztyúk
429,Bambusicola thoracicus,OR,GALLIFORMES,Phasianidae,kínai bambusztyúk
430,Bambusicola sonorivox,OR,GALLIFORMES,Phasianidae,Taiwan Bamboo Partridge
431,Gallus varius,OR,GALLIFORMES,Phasianidae,gangatyúk
432,Gallus gallus,OR,GALLIFORMES,Phasianidae,bankivatyúk
433,Gallus sonneratii,OR,GALLIFORMES,Phasianidae,szürke dzsungeltyúk
434,Gallus lafayettii,OR,GALLIFORMES,Phasianidae,ceyloni tyúk
435,Peliperdix lathami,AF,GALLIFORMES,Phasianidae,Latham-frankolin
436,Ortygornis sephaena,AF,GALLIFORMES,Phasianidae,bóbitás frankolin
437,Ortygornis pondicerianus,"PAL, OR",GALLIFORMES,Phasianidae,szürke fogolyfürj
438,Ortygornis gularis,OR,GALLIFORMES,Phasianidae,Swamp Francolin
439,Francolinus pintadeanus,OR,GALLIFORMES,Phasianidae,kínai frankolin
440,Francolinus francolinus,"PAL, OR",GALLIFORMES,Phasianidae,örvös frankolin
441,Francolinus pictus,OR,GALLIFORMES,Phasianidae,Painted Francolin
442,Campocolinus coqui,AF,GALLIFORMES,Phasianidae,Coqui-frankolin
443,Campocolinus albogularis,AF,GALLIFORMES,Phasianidae,fehértorkú frankolin
444,Campocolinus schlegelii,AF,GALLIFORMES,Phasianidae,Schlegel-frankolin
445,Scleroptila streptophora,AF,GALLIFORMES,Phasianidae,Ring-necked Francolin
446,Scleroptila levaillantii,AF,GALLIFORMES,Phasianidae,vörösszárnyú frankolin
447,Scleroptila finschi,AF,GALLIFORMES,Phasianidae,Finsch-frankolin
448,Scleroptila psilolaema,AF,GALLIFORMES,Phasianidae,Moorland Francolin
449,Scleroptila elgonensis,AF,GALLIFORMES,Phasianidae,Elgon Francolin
450,Scleroptila afra,AF,GALLIFORMES,Phasianidae,szürkeszárnyú frankolin
451,Scleroptila gutturalis,AF,GALLIFORMES,Phasianidae,Orange River Francolin
452,Scleroptila shelleyi,AF,GALLIFORMES,Phasianidae,Shelley-frankolin
453,Scleroptila whytei,AF,GALLIFORMES,Phasianidae,Whyte's Francolin
454,Tetraogallus tibetanus,PAL,GALLIFORMES,Phasianidae,tibeti királyfogoly
455,Tetraogallus altaicus,PAL,GALLIFORMES,Phasianidae,altaj királyfogoly
456,Tetraogallus caucasicus,PAL,GALLIFORMES,Phasianidae,kaukázusi királyfogoly
457,Tetraogallus caspius,PAL,GALLIFORMES,Phasianidae,kaszpi királyfogoly
458,Tetraogallus himalayensis,PAL,GALLIFORMES,Phasianidae,himalájai királyfogoly
459,Ammoperdix griseogularis,PAL,GALLIFORMES,Phasianidae,álarcos sivatagifogoly
460,Ammoperdix heyi,"PAL, AF",GALLIFORMES,Phasianidae,fehérfülű sivatagifogoly
461,Synoicus ypsilophorus,AU,GALLIFORMES,Phasianidae,Brown Quail
462,Synoicus monorthonyx,AU,GALLIFORMES,Phasianidae,Snow Mountain Quail
463,Synoicus chinensis,"OR, AU",GALLIFORMES,Phasianidae,kínai törpefürj
464,Synoicus adansonii,AF,GALLIFORMES,Phasianidae,kék fürj
465,Margaroperdix madagarensis,AF,GALLIFORMES,Phasianidae,madagaszkári gyöngyfürj
466,Coturnix coturnix,"AF, IO, PAL",GALLIFORMES,Phasianidae,fürj
467,Coturnix japonica,PAL,GALLIFORMES,Phasianidae,japán fürj
468,Coturnix delegorguei,AF,GALLIFORMES,Phasianidae,harlekinfürj
469,Coturnix coromandelica,OR,GALLIFORMES,Phasianidae,esőfürj
470,Coturnix pectoralis,AU,GALLIFORMES,Phasianidae,feketemellű fürj
471,Alectoris barbara,AF,GALLIFORMES,Phasianidae,barnanyakú szirtifogoly
472,Alectoris melanocephala,PAL,GALLIFORMES,Phasianidae,arab szirtifogoly
473,Alectoris rufa,PAL,GALLIFORMES,Phasianidae,vörös fogoly
474,Alectoris chukar,PAL,GALLIFORMES,Phasianidae,csukár
475,Alectoris graeca,PAL,GALLIFORMES,Phasianidae,szirti fogoly
476,Alectoris philbyi,PAL,GALLIFORMES,Phasianidae,Philby szirtifoglya
477,Alectoris magna,PAL,GALLIFORMES,Phasianidae,Przevalski-fogoly
478,Perdicula asiatica,OR,GALLIFORMES,Phasianidae,Jungle Bush Quail
479,Perdicula argoondah,OR,GALLIFORMES,Phasianidae,Rock Bush Quail
480,Perdicula erythrorhyncha,OR,GALLIFORMES,Phasianidae,Painted Bush Quail
481,Perdicula manipurensis,OR,GALLIFORMES,Phasianidae,manipuri erdeifogoly
482,Pternistis hartlaubi,AF,GALLIFORMES,Phasianidae,Hartlaub-frankolin
483,Pternistis camerunensis,AF,GALLIFORMES,Phasianidae,kameruni frankolin
484,Pternistis nobilis,AF,GALLIFORMES,Phasianidae,Handsome Spurfowl
485,Pternistis castaneicollis,AF,GALLIFORMES,Phasianidae,Chestnut-naped Spurfowl
486,Pternistis erckelii,AF,GALLIFORMES,Phasianidae,koronás frankolin
487,Pternistis ochropectus,AF,GALLIFORMES,Phasianidae,dzsibuti frankolin
488,Pternistis swierstrai,AF,GALLIFORMES,Phasianidae,Swierstra-frankolin
489,Pternistis ahantensis,AF,GALLIFORMES,Phasianidae,Ahanta Spurfowl
490,Pternistis griseostriatus,AF,GALLIFORMES,Phasianidae,Grey-striped Spurfowl
491,Pternistis jacksoni,AF,GALLIFORMES,Phasianidae,Jackson-frankolin
492,Pternistis adspersus,AF,GALLIFORMES,Phasianidae,pettyes frankolin
493,Pternistis capensis,AF,GALLIFORMES,Phasianidae,fokföldi frankolin
494,Pternistis natalensis,AF,GALLIFORMES,Phasianidae,natáli frankolin
495,Pternistis hildebrandti,AF,GALLIFORMES,Phasianidae,Hildebrandt-frankolin
496,Pternistis bicalcaratus,AF,GALLIFORMES,Phasianidae,sarkantyús frankolin
497,Pternistis squamatus,AF,GALLIFORMES,Phasianidae,Scaly Spurfowl
498,Pternistis icterorhynchus,AF,GALLIFORMES,Phasianidae,Heuglin-frankolin
499,Pternistis clappertoni,AF,GALLIFORMES,Phasianidae,Clapperton-frankolin
500,Pternistis harwoodi,AF,GALLIFORMES,Phasianidae,Harwood-frankolin
501,Pternistis swainsonii,AF,GALLIFORMES,Phasianidae,Swainson-frankolin
502,Pternistis leucoscepus,AF,GALLIFORMES,Phasianidae,sárganyakú frankolin
503,Pternistis rufopictus,AF,GALLIFORMES,Phasianidae,Grey-breasted Spurfowl
504,Pternistis afer,AF,GALLIFORMES,Phasianidae,vörösnyakú frankolin
505,Eurostopodus argus,AU,CAPRIMULGIFORMES,Caprimulgidae,árgus lappantyú
506,Eurostopodus mystacalis,AU,CAPRIMULGIFORMES,Caprimulgidae,bajszos lappantyú
507,Eurostopodus nigripennis,AU,CAPRIMULGIFORMES,Caprimulgidae,Solomons Nightjar
508,Eurostopodus exul,AU,CAPRIMULGIFORMES,Caprimulgidae,New Caledonian Nightjar
509,Eurostopodus diabolicus,AU,CAPRIMULGIFORMES,Caprimulgidae,ördög lappantyú
510,Eurostopodus papuensis,AU,CAPRIMULGIFORMES,Caprimulgidae,pápua lappantyú
511,Eurostopodus archboldi,AU,CAPRIMULGIFORMES,Caprimulgidae,Archbold-lappantyú
512,Lyncornis temminckii,OR,CAPRIMULGIFORMES,Caprimulgidae,maláj lappantyú
513,Lyncornis macrotis,"OR, AU",CAPRIMULGIFORMES,Caprimulgidae,óriás-füleslappantyú
514,Gactornis enarratus,AF,CAPRIMULGIFORMES,Caprimulgidae,nyakörves lappantyú
515,Chordeiles nacunda,SA,CAPRIMULGIFORMES,Caprimulgidae,nakunda lappantyú
516,Chordeiles pusillus,SA,CAPRIMULGIFORMES,Caprimulgidae,törpeestifecske
517,Chordeiles rupestris,SA,CAPRIMULGIFORMES,Caprimulgidae,homoki estifecske
518,Chordeiles acutipennis,"NA, MA, SA",CAPRIMULGIFORMES,Caprimulgidae,kis estifecske
519,Chordeiles minor,"NA, MA",CAPRIMULGIFORMES,Caprimulgidae,estifecske
520,Lurocalis semitorquatus,"MA, SA",CAPRIMULGIFORMES,Caprimulgidae,örves estifecske
521,Lurocalis rufiventris,SA,CAPRIMULGIFORMES,Caprimulgidae,vöröshasú estifecske
522,Nyctiprogne leucopyga,SA,CAPRIMULGIFORMES,Caprimulgidae,csíkosfarkú lappantyú
523,Nyctiprogne vielliardi,SA,CAPRIMULGIFORMES,Caprimulgidae,Plain-tailed Nighthawk
524,Nyctipolus nigrescens,SA,CAPRIMULGIFORMES,Caprimulgidae,gyászos lappantyú
525,Nyctipolus hirundinaceus,SA,CAPRIMULGIFORMES,Caprimulgidae,Spix-lappantyú
526,Nyctidromus albicollis,"MA, SA",CAPRIMULGIFORMES,Caprimulgidae,kurjangó
527,Nyctidromus anthonyi,SA,CAPRIMULGIFORMES,Caprimulgidae,perui lappantyú
528,Setopagis heterura,SA,CAPRIMULGIFORMES,Caprimulgidae,Todd's Nightjar
529,Setopagis parvula,SA,CAPRIMULGIFORMES,Caprimulgidae,szerrádó lappantyú
530,Setopagis whitelyi,SA,CAPRIMULGIFORMES,Caprimulgidae,roraima lappantyú
531,Setopagis maculosa,SA,CAPRIMULGIFORMES,Caprimulgidae,cayennei lappantyú
532,Eleothreptus anomalus,SA,CAPRIMULGIFORMES,Caprimulgidae,sarlósszárnyú lappantyú
533,Eleothreptus candicans,SA,CAPRIMULGIFORMES,Caprimulgidae,fehérszárnyú lappantyú
534,Systellura longirostris,SA,CAPRIMULGIFORMES,Caprimulgidae,tükrös lappantyú
535,Systellura decussata,SA,CAPRIMULGIFORMES,Caprimulgidae,Tschudi's Nightjar
536,Uropsalis segmentata,SA,CAPRIMULGIFORMES,Caprimulgidae,fecskefarkú lappantyú
537,Uropsalis lyra,SA,CAPRIMULGIFORMES,Caprimulgidae,lantfarkú lappantyú
538,Hydropsalis cayennensis,"MA, SA",CAPRIMULGIFORMES,Caprimulgidae,fehérfarkú lappantyú
539,Hydropsalis maculicaudus,"MA, SA",CAPRIMULGIFORMES,Caprimulgidae,foltosfarkú lappantyú
540,Hydropsalis climacocerca,SA,CAPRIMULGIFORMES,Caprimulgidae,létrafarkú lappantyú
541,Hydropsalis torquata,SA,CAPRIMULGIFORMES,Caprimulgidae,ollósfarkú lappantyú
542,Macropsalis forcipata,SA,CAPRIMULGIFORMES,Caprimulgidae,hosszúfarkú lappantyú
543,Nyctiphrynus rosenbergi,SA,CAPRIMULGIFORMES,Caprimulgidae,Choco Poorwill
544,Nyctiphrynus mcleodii,MA,CAPRIMULGIFORMES,Caprimulgidae,füles lappantyú
545,Nyctiphrynus yucatanicus,MA,CAPRIMULGIFORMES,Caprimulgidae,yucatáni lappantyú
546,Nyctiphrynus ocellatus,"MA, SA",CAPRIMULGIFORMES,Caprimulgidae,pápaszemes lappantyú
547,Phalaenoptilus nuttallii,"NA, MA",CAPRIMULGIFORMES,Caprimulgidae,téli estifecske
548,Antrostomus rufus,"MA, SA",CAPRIMULGIFORMES,Caprimulgidae,rozsdás lappantyú
549,Antrostomus salvini,MA,CAPRIMULGIFORMES,Caprimulgidae,Salvin-lappantyú
550,Antrostomus badius,MA,CAPRIMULGIFORMES,Caprimulgidae,guatemalai lappantyú
551,Antrostomus sericocaudatus,SA,CAPRIMULGIFORMES,Caprimulgidae,selymes lappantyú
552,Antrostomus ridgwayi,MA,CAPRIMULGIFORMES,Caprimulgidae,barnatorkú lappantyú
553,Antrostomus saturatus,MA,CAPRIMULGIFORMES,Caprimulgidae,hegyi lappantyú
554,Veles binotatus,AF,CAPRIMULGIFORMES,Caprimulgidae,csónakfarkú lappantyú
555,Caprimulgus ruficollis,"PAL, AF",CAPRIMULGIFORMES,Caprimulgidae,rozsdásnyakú lappantyú
556,Caprimulgus indicus,OR,CAPRIMULGIFORMES,Caprimulgidae,dzsungel lappantyú
557,Caprimulgus jotaka,OR,CAPRIMULGIFORMES,Caprimulgidae,Grey Nightjar
558,Caprimulgus phalaena,OR,CAPRIMULGIFORMES,Caprimulgidae,Palau Nightjar
559,Caprimulgus europaeus,PAL,CAPRIMULGIFORMES,Caprimulgidae,lappantyú
560,Caprimulgus fraenatus,AF,CAPRIMULGIFORMES,Caprimulgidae,kantáros lappantyú
561,Caprimulgus rufigena,AF,CAPRIMULGIFORMES,Caprimulgidae,namíbiai lappantyú
562,Caprimulgus aegyptius,"PAL, AF",CAPRIMULGIFORMES,Caprimulgidae,sivatagi lappantyú
563,Caprimulgus mahrattensis,PAL,CAPRIMULGIFORMES,Caprimulgidae,Sykes-lappantyú
564,Caprimulgus nubicus,AF,CAPRIMULGIFORMES,Caprimulgidae,núbiai lappantyú
565,Caprimulgus eximius,AF,CAPRIMULGIFORMES,Caprimulgidae,pompás lappantyú
566,Caprimulgus atripennis,OR,CAPRIMULGIFORMES,Caprimulgidae,maharadzsa lappantyú
567,Caprimulgus macrurus,"OR, AU",CAPRIMULGIFORMES,Caprimulgidae,szélesfarkú lappantyú
568,Caprimulgus meesi,OR,CAPRIMULGIFORMES,Caprimulgidae,Mees-lappantyú
569,Caprimulgus andamanicus,OR,CAPRIMULGIFORMES,Caprimulgidae,andamáni lappantyú
570,Caprimulgus manillensis,OR,CAPRIMULGIFORMES,Caprimulgidae,fülöp-szigeteki lappantyú
571,Caprimulgus celebensis,AU,CAPRIMULGIFORMES,Caprimulgidae,celebeszi lappantyú
572,Caprimulgus donaldsoni,AF,CAPRIMULGIFORMES,Caprimulgidae,Donaldson-lappantyú
573,Caprimulgus pectoralis,AF,CAPRIMULGIFORMES,Caprimulgidae,fütyülő lappantyú
574,Caprimulgus poliocephalus,AF,CAPRIMULGIFORMES,Caprimulgidae,szürkefejű lappantyú
575,Caprimulgus asiaticus,OR,CAPRIMULGIFORMES,Caprimulgidae,hindu lappantyú
576,Caprimulgus madagascariensis,AF,CAPRIMULGIFORMES,Caprimulgidae,madagaszkári lappantyú
577,Caprimulgus natalensis,AF,CAPRIMULGIFORMES,Caprimulgidae,fokföldi lappantyú
578,Caprimulgus solala,AF,CAPRIMULGIFORMES,Caprimulgidae,solala lappantyú
579,Caprimulgus inornatus,AF,CAPRIMULGIFORMES,Caprimulgidae,márványos lappantyú
580,Caprimulgus stellatus,AF,CAPRIMULGIFORMES,Caprimulgidae,csillagos lappantyú
581,Caprimulgus affinis,"OR, AU",CAPRIMULGIFORMES,Caprimulgidae,szavanna lappantyú
582,Caprimulgus griseatus,OR,CAPRIMULGIFORMES,Caprimulgidae,Chirruping Nightjar
583,Caprimulgus tristigma,AF,CAPRIMULGIFORMES,Caprimulgidae,foltos lappantyú
584,Caprimulgus concretus,OR,CAPRIMULGIFORMES,Caprimulgidae,szunda-szigeteki lappantyú
585,Caprimulgus pulchellus,OR,CAPRIMULGIFORMES,Caprimulgidae,Salvadori-lappantyú
586,Caprimulgus prigoginei,AF,CAPRIMULGIFORMES,Caprimulgidae,zairei lappantyú
587,Caprimulgus batesi,AF,CAPRIMULGIFORMES,Caprimulgidae,erdei lappantyú
588,Caprimulgus climacurus,AF,CAPRIMULGIFORMES,Caprimulgidae,uszályos lappantyú
589,Caprimulgus clarus,AF,CAPRIMULGIFORMES,Caprimulgidae,szegélyesfarkú lappantyú
590,Caprimulgus fossii,AF,CAPRIMULGIFORMES,Caprimulgidae,mozambiki lappantyú
591,Caprimulgus longipennis,AF,CAPRIMULGIFORMES,Caprimulgidae,hosszúszárnyú lappantyú
592,Caprimulgus vexillarius,AF,CAPRIMULGIFORMES,Caprimulgidae,cifraszárnyú lappantyú
593,Steatornis caripensis,SA,STEATORNITHIFORMES,Steatornithidae,zsírfecske
594,Phyllaemulor bracteatus,SA,NYCTIBIIFORMES,Nyctibiidae,fehérpettyes álmosmadár
595,Nyctibius grandis,"MA, SA",NYCTIBIIFORMES,Nyctibiidae,óriás-álmosmadár
596,Nyctibius aethereus,SA,NYCTIBIIFORMES,Nyctibiidae,hosszúfarkú álmosmadár
597,Nyctibius jamaicensis,"MA, NA",NYCTIBIIFORMES,Nyctibiidae,karibi álmosmadár
598,Nyctibius griseus,"MA, SA",NYCTIBIIFORMES,Nyctibiidae,közönséges álmosmadár
599,Nyctibius maculosus,SA,NYCTIBIIFORMES,Nyctibiidae,andoki álmosmadár
600,Nyctibius leucopterus,SA,NYCTIBIIFORMES,Nyctibiidae,fehérszárnyú álmosmadár
601,Podargus ocellatus,AU,PODARGIFORMES,Podargidae,márványos bagolyfecske
602,Podargus papuensis,AU,PODARGIFORMES,Podargidae,óriás-bagolyfecske
603,Podargus strigoides,AU,PODARGIFORMES,Podargidae,bagolyfecske
604,Rigidipenna inexpectata,AU,PODARGIFORMES,Podargidae,Solomons Frogmouth
605,Batrachostomus auritus,OR,PODARGIFORMES,Podargidae,óriás-békaszájú
606,Batrachostomus harterti,OR,PODARGIFORMES,Podargidae,Hartlet-békaszájú
607,Batrachostomus septimus,OR,PODARGIFORMES,Podargidae,fülöp-szigeteki békaszájú
608,Batrachostomus stellatus,OR,PODARGIFORMES,Podargidae,maláj békaszájú
609,Batrachostomus moniliger,OR,PODARGIFORMES,Podargidae,Srí Lankai békaszájú
610,Batrachostomus hodgsoni,OR,PODARGIFORMES,Podargidae,Hodgson-békaszájú
611,Batrachostomus poliolophus,OR,PODARGIFORMES,Podargidae,rövidfarkú békaszájú
612,Batrachostomus mixtus,OR,PODARGIFORMES,Podargidae,Bornean Frogmouth
613,Batrachostomus javensis,OR,PODARGIFORMES,Podargidae,jávai békaszájú
614,Batrachostomus affinis,OR,PODARGIFORMES,Podargidae,Blyth's Frogmouth
615,Batrachostomus chaseni,OR,PODARGIFORMES,Podargidae,Palawan Frogmouth
616,Batrachostomus cornutus,OR,PODARGIFORMES,Podargidae,szunda-szigeteki békaszájú
617,Aegotheles insignis,AU,AEGOTHELIFORMES,Aegothelidae,pápua kuvikfecske
618,Aegotheles tatei,AU,AEGOTHELIFORMES,Aegothelidae,síksági kuvikfecske
619,Aegotheles crinifrons,AU,AEGOTHELIFORMES,Aegothelidae,kontyos kuvikfecske
620,Aegotheles wallacii,AU,AEGOTHELIFORMES,Aegothelidae,foltos kuvikfecske
621,Aegotheles albertisi,AU,AEGOTHELIFORMES,Aegothelidae,hegyi kuvikfecske
622,Aegotheles savesi,AU,AEGOTHELIFORMES,Aegothelidae,új-kaledón kuvikfecske
623,Aegotheles bennettii,AU,AEGOTHELIFORMES,Aegothelidae,szalagos kuvikfecske
624,Aegotheles affinis,AU,AEGOTHELIFORMES,Aegothelidae,Vogelkop Owlet-nightjar
625,Aegotheles cristatus,AU,AEGOTHELIFORMES,Aegothelidae,ausztrál kuvikfecske
626,Hemiprocne coronata,OR,APODIFORMES,Hemiprocnidae,koronás sarlósfecske
627,Hemiprocne longipennis,"OR, AU",APODIFORMES,Hemiprocnidae,kléhó
628,Hemiprocne comata,OR,APODIFORMES,Hemiprocnidae,füles sarlósfecske
629,Hemiprocne mystacea,AU,APODIFORMES,Hemiprocnidae,barkós sarlósfecske
630,Cypseloides cherriei,"MA, SA",APODIFORMES,Apodidae,diadém sarlósfecske
