,IOC,Breeding Range,Order,Family,Swedish
8787,Cossypha heinrichi,AF,PASSERIFORMES,Muscicapidae,vithuvad snårskvätta
8788,Cossypha cyanocampter,AF,PASSERIFORMES,Muscicapidae,blåskuldrad snårskvätta
8789,Cichladusa arquata,AF,PASSERIFORMES,Muscicapidae,gulögd palmskvätta
8790,Cichladusa ruficauda,AF,PASSERIFORMES,Muscicapidae,angolapalmskvätta
8791,Cichladusa guttata,AF,PASSERIFORMES,Muscicapidae,fläckig palmskvätta
8792,Xenocopsychus ansorgei,AF,PASSERIFORMES,Muscicapidae,angolasnårskvätta
8793,Dessonornis humeralis,AF,PASSERIFORMES,Muscicapidae,vitstrupig snårskvätta
8794,Dessonornis caffer,AF,PASSERIFORMES,Muscicapidae,kapsnårskvätta
8795,Dessonornis archeri,AF,PASSERIFORMES,Muscicapidae,albertinesnårskvätta
8796,Dessonornis anomalus,AF,PASSERIFORMES,Muscicapidae,sotsnårskvätta
8797,Sheppardia montana,AF,PASSERIFORMES,Muscicapidae,usambaraakalat
8798,Sheppardia lowei,AF,PASSERIFORMES,Muscicapidae,iringaakalat
8799,Sheppardia aurantiithorax,AF,PASSERIFORMES,Muscicapidae,rubehoakalat
8800,Sheppardia gunningi,AF,PASSERIFORMES,Muscicapidae,östkustakalat
8801,Sheppardia sharpei,AF,PASSERIFORMES,Muscicapidae,sharpeakalat
8802,Sheppardia bocagei,AF,PASSERIFORMES,Muscicapidae,gråkronad akalat
8803,Sheppardia poensis,AF,PASSERIFORMES,Muscicapidae,kortstjärtad akalat
8804,Sheppardia cyornithopsis,AF,PASSERIFORMES,Muscicapidae,låglandsakalat
8805,Sheppardia aequatorialis,AF,PASSERIFORMES,Muscicapidae,ekvatorialakalat
8806,Sheppardia gabela,AF,PASSERIFORMES,Muscicapidae,gabelaakalat
8807,Sheppardia polioptera,AF,PASSERIFORMES,Muscicapidae,gråvingad akalat
8808,Irania gutturalis,PAL,PASSERIFORMES,Muscicapidae,vitstrupig näktergal
8809,Luscinia luscinia,PAL,PASSERIFORMES,Muscicapidae,näktergal
8810,Luscinia megarhynchos,PAL,PASSERIFORMES,Muscicapidae,sydnäktergal
8811,Luscinia svecica,PAL,PASSERIFORMES,Muscicapidae,blåhake
8812,Luscinia phaenicuroides,OR,PASSERIFORMES,Muscicapidae,vitbukig näktergal
8813,Myiomela leucura,OR,PASSERIFORMES,Muscicapidae,vitstjärtad näktergal
8814,Myiomela sumatrana,OR,PASSERIFORMES,Muscicapidae,sumatranäktergal
8815,Myiomela diana,OR,PASSERIFORMES,Muscicapidae,javanäktergal
8816,Calliope obscura,PAL,PASSERIFORMES,Muscicapidae,svartstrupig näktergal
8817,Calliope pectardens,PAL,PASSERIFORMES,Muscicapidae,glödhake
8818,Calliope calliope,PAL,PASSERIFORMES,Muscicapidae,rubinnäktergal
8819,Calliope pectoralis,OR,PASSERIFORMES,Muscicapidae,svartbröstad rubinnäktergal
8820,Calliope tschebaiewi,OR,PASSERIFORMES,Muscicapidae,tibetansk rubinnäktergal
8821,Enicurus scouleri,OR,PASSERIFORMES,Muscicapidae,mindre klyvstjärt
8822,Enicurus immaculatus,OR,PASSERIFORMES,Muscicapidae,svartryggig klyvstjärt
8823,Enicurus schistaceus,OR,PASSERIFORMES,Muscicapidae,gråryggig klyvstjärt
8824,Enicurus maculatus,OR,PASSERIFORMES,Muscicapidae,fläckig klyvstjärt
8825,Enicurus leschenaulti,OR,PASSERIFORMES,Muscicapidae,vitkronad klyvstjärt
8826,Enicurus borneensis,OR,PASSERIFORMES,Muscicapidae,borneoklyvstjärt
8827,Enicurus ruficapillus,OR,PASSERIFORMES,Muscicapidae,kastanjeklyvstjärt
8828,Enicurus velatus,OR,PASSERIFORMES,Muscicapidae,sundaklyvstjärt
8829,Cinclidium frontale,OR,PASSERIFORMES,Muscicapidae,blåpannad visseltrast
8830,Myophonus insularis,OR,PASSERIFORMES,Muscicapidae,taiwanvisseltrast
8831,Myophonus melanurus,OR,PASSERIFORMES,Muscicapidae,glansvisseltrast
8832,Myophonus castaneus,OR,PASSERIFORMES,Muscicapidae,kastanjevisseltrast
8833,Myophonus caeruleus,OR,PASSERIFORMES,Muscicapidae,blå visseltrast
8834,Myophonus glaucinus,OR,PASSERIFORMES,Muscicapidae,javavisseltrast
8835,Myophonus borneensis,OR,PASSERIFORMES,Muscicapidae,borneovisseltrast
8836,Myophonus robinsoni,OR,PASSERIFORMES,Muscicapidae,malackavisseltrast
8837,Myophonus horsfieldii,OR,PASSERIFORMES,Muscicapidae,ghatsvisseltrast
8838,Myophonus blighi,OR,PASSERIFORMES,Muscicapidae,ceylonvisseltrast
8839,Heinrichia calligyna,AU,PASSERIFORMES,Muscicapidae,större kortvinge
8840,Vauriella gularis,OR,PASSERIFORMES,Muscicapidae,vitbrynad djungelflugsnappare
8841,Vauriella albigularis,OR,PASSERIFORMES,Muscicapidae,visayadjungelflugsnappare
8842,Vauriella insignis,OR,PASSERIFORMES,Muscicapidae,luzondjungelflugsnappare
8843,Vauriella goodfellowi,OR,PASSERIFORMES,Muscicapidae,mindanaodjungelflugsnappare
8844,Leonardina woodi,OR,PASSERIFORMES,Muscicapidae,bagoboskvätta
8845,Brachypteryx cruralis,OR,PASSERIFORMES,Muscicapidae,himalayakortvinge
8846,Brachypteryx sinensis,OR,PASSERIFORMES,Muscicapidae,kinesisk kortvinge
8847,Brachypteryx goodfellowi,OR,PASSERIFORMES,Muscicapidae,taiwankortvinge
8848,Brachypteryx hyperythra,OR,PASSERIFORMES,Muscicapidae,rostbukig kortvinge
8849,Brachypteryx leucophris,"OR, AU",PASSERIFORMES,Muscicapidae,mindre kortvinge
8850,Brachypteryx poliogyna,OR,PASSERIFORMES,Muscicapidae,filippinkortvinge
8851,Brachypteryx erythrogyna,OR,PASSERIFORMES,Muscicapidae,borneokortvinge
8852,Brachypteryx saturata,OR,PASSERIFORMES,Muscicapidae,sumatrakortvinge
8853,Brachypteryx montana,OR,PASSERIFORMES,Muscicapidae,javakortvinge
8854,Brachypteryx floris,OR,PASSERIFORMES,Muscicapidae,floreskortvinge
8855,Larvivora cyane,PAL,PASSERIFORMES,Muscicapidae,blånäktergal
8856,Larvivora brunnea,OR,PASSERIFORMES,Muscicapidae,himalayanäktergal
8857,Larvivora akahige,PAL,PASSERIFORMES,Muscicapidae,japansk näktergal
8858,Larvivora tanensis,PAL,PASSERIFORMES,Muscicapidae,izunäktergal
8859,Larvivora komadori,PAL,PASSERIFORMES,Muscicapidae,ryukyunäktergal
8860,Larvivora namiyei,PAL,PASSERIFORMES,Muscicapidae,okinawanäktergal
8861,Larvivora sibilans,PAL,PASSERIFORMES,Muscicapidae,drillnäktergal
8862,Larvivora ruficeps,PAL,PASSERIFORMES,Muscicapidae,rosthättad näktergal
8863,Ficedula zanthopygia,PAL,PASSERIFORMES,Muscicapidae,solflugsnappare
8864,Ficedula elisae,PAL,PASSERIFORMES,Muscicapidae,shanxiflugsnappare
8865,Ficedula narcissina,PAL,PASSERIFORMES,Muscicapidae,narcissflugsnappare
8866,Ficedula owstoni,PAL,PASSERIFORMES,Muscicapidae,ryukyuflugsnappare
8867,Ficedula tricolor,OR,PASSERIFORMES,Muscicapidae,blågrå flugsnappare
8868,Ficedula hyperythra,"OR, AU",PASSERIFORMES,Muscicapidae,vitbrynad flugsnappare
8869,Ficedula mugimaki,PAL,PASSERIFORMES,Muscicapidae,mugimakiflugsnappare
8870,Ficedula erithacus,OR,PASSERIFORMES,Muscicapidae,skifferryggig flugsnappare
8871,Ficedula hodgsoni,OR,PASSERIFORMES,Muscicapidae,dvärgflugsnappare
8872,Ficedula strophiata,OR,PASSERIFORMES,Muscicapidae,orangestjärnig flugsnappare
8873,Ficedula sapphira,OR,PASSERIFORMES,Muscicapidae,safirflugsnappare
8874,Ficedula superciliaris,OR,PASSERIFORMES,Muscicapidae,ultramarinflugsnappare
8875,Ficedula westermanni,"OR, AU",PASSERIFORMES,Muscicapidae,nunneflugsnappare
8876,Ficedula ruficauda,PAL,PASSERIFORMES,Muscicapidae,rödstjärtad flugsnappare
8877,Ficedula subrubra,OR,PASSERIFORMES,Muscicapidae,kashmirflugsnappare
8878,Ficedula parva,PAL,PASSERIFORMES,Muscicapidae,mindre flugsnappare
8879,Ficedula albicilla,PAL,PASSERIFORMES,Muscicapidae,tajgaflugsnappare
8880,Ficedula semitorquata,PAL,PASSERIFORMES,Muscicapidae,balkanflugsnappare
8881,Ficedula speculigera,AF,PASSERIFORMES,Muscicapidae,atlasflugsnappare
8882,Ficedula hypoleuca,PAL,PASSERIFORMES,Muscicapidae,svartvit flugsnappare
8883,Ficedula albicollis,PAL,PASSERIFORMES,Muscicapidae,halsbandsflugsnappare
8884,Ficedula nigrorufa,OR,PASSERIFORMES,Muscicapidae,svarthuvad flugsnappare
8885,Ficedula riedeli,AU,PASSERIFORMES,Muscicapidae,tanimbarflugsnappare
8886,Ficedula dumetoria,OR,PASSERIFORMES,Muscicapidae,orangebröstad flugsnappare
8887,Ficedula disposita,OR,PASSERIFORMES,Muscicapidae,luzonflugsnappare
8888,Ficedula platenae,OR,PASSERIFORMES,Muscicapidae,palawanflugsnappare
8889,Ficedula rufigula,AU,PASSERIFORMES,Muscicapidae,roststrupig flugsnappare
8890,Ficedula buruensis,AU,PASSERIFORMES,Muscicapidae,bandaflugsnappare
8891,Ficedula harterti,AU,PASSERIFORMES,Muscicapidae,sumbaflugsnappare
8892,Ficedula timorensis,AU,PASSERIFORMES,Muscicapidae,timorflugsnappare
8893,Ficedula basilanica,OR,PASSERIFORMES,Muscicapidae,skifferflugsnappare
8894,Ficedula luzoniensis,OR,PASSERIFORMES,Muscicapidae,bundokflugsnappare
8895,Ficedula crypta,OR,PASSERIFORMES,Muscicapidae,mindanaoflugsnappare
8896,Ficedula bonthaina,AU,PASSERIFORMES,Muscicapidae,lompobattangflugsnappare
8897,Ficedula henrici,AU,PASSERIFORMES,Muscicapidae,damarflugsnappare
8898,Tarsiger indicus,OR,PASSERIFORMES,Muscicapidae,vitbrynad näktergal
8899,Tarsiger chrysaeus,OR,PASSERIFORMES,Muscicapidae,guldnäktergal
8900,Tarsiger johnstoniae,OR,PASSERIFORMES,Muscicapidae,taiwannäktergal
8901,Tarsiger hyperythrus,OR,PASSERIFORMES,Muscicapidae,rhododendronnäktergal
8902,Tarsiger cyanurus,PAL,PASSERIFORMES,Muscicapidae,tajgablåstjärt
8903,Tarsiger rufilatus,OR,PASSERIFORMES,Muscicapidae,himalayablåstjärt
8904,Heteroxenicus stellatus,OR,PASSERIFORMES,Muscicapidae,pärlskvätta
8905,Phoenicurus erythronotus,PAL,PASSERIFORMES,Muscicapidae,altajrödstjärt
8906,Phoenicurus frontalis,OR,PASSERIFORMES,Muscicapidae,blåstrupig rödstjärt
8907,Phoenicurus coeruleocephala,PAL,PASSERIFORMES,Muscicapidae,blåhätta
8908,Phoenicurus schisticeps,PAL,PASSERIFORMES,Muscicapidae,vitstrupig rödstjärt
8909,Phoenicurus fuliginosus,OR,PASSERIFORMES,Muscicapidae,forsrödstjärt
8910,Phoenicurus bicolor,OR,PASSERIFORMES,Muscicapidae,luzonrödstjärt
8911,Phoenicurus leucocephalus,PAL,PASSERIFORMES,Muscicapidae,strömrödstjärt
8912,Phoenicurus alaschanicus,PAL,PASSERIFORMES,Muscicapidae,alashanrödstjärt
8913,Phoenicurus ochruros,"PAL, OR",PASSERIFORMES,Muscicapidae,svart rödstjärt
8914,Phoenicurus phoenicurus,PAL,PASSERIFORMES,Muscicapidae,rödstjärt
8915,Phoenicurus moussieri,AF,PASSERIFORMES,Muscicapidae,diademrödstjärt
8916,Phoenicurus auroreus,PAL,PASSERIFORMES,Muscicapidae,svartryggig rödstjärt
8917,Phoenicurus hodgsoni,OR,PASSERIFORMES,Muscicapidae,hodgsonrödstjärt
8918,Phoenicurus erythrogastrus,PAL,PASSERIFORMES,Muscicapidae,bergrödstjärt
8919,Monticola cinclorhyncha,OR,PASSERIFORMES,Muscicapidae,blåstrupig stentrast
8920,Monticola gularis,PAL,PASSERIFORMES,Muscicapidae,vitstrupig stentrast
8921,Monticola rufiventris,OR,PASSERIFORMES,Muscicapidae,kastanjebukig stentrast
8922,Monticola brevipes,AF,PASSERIFORMES,Muscicapidae,vitpannad stentrast
8923,Monticola explorator,AF,PASSERIFORMES,Muscicapidae,vaktstentrast
8924,Monticola erythronotus,AF,PASSERIFORMES,Muscicapidae,amberstentrast
8925,Monticola sharpei,AF,PASSERIFORMES,Muscicapidae,skogsstentrast
8926,Monticola imerina,AF,PASSERIFORMES,Muscicapidae,dynstentrast
8927,Monticola rufocinereus,AF,PASSERIFORMES,Muscicapidae,dvärgstentrast
8928,Monticola saxatilis,PAL,PASSERIFORMES,Muscicapidae,stentrast
8929,Monticola solitarius,"PAL, OR",PASSERIFORMES,Muscicapidae,blåtrast
8930,Monticola semirufus,AF,PASSERIFORMES,Muscicapidae,svarthuvad stentrast
8931,Monticola rupestris,AF,PASSERIFORMES,Muscicapidae,kapstentrast
8932,Monticola angolensis,AF,PASSERIFORMES,Muscicapidae,miombostentrast
8933,Saxicola jerdoni,OR,PASSERIFORMES,Muscicapidae,jerdonbuskskvätta
8934,Saxicola ferreus,OR,PASSERIFORMES,Muscicapidae,grå buskskvätta
8935,Saxicola rubetra,PAL,PASSERIFORMES,Muscicapidae,buskskvätta
8936,Saxicola macrorhynchus,OR,PASSERIFORMES,Muscicapidae,ökenbuskskvätta
8937,Saxicola gutturalis,AU,PASSERIFORMES,Muscicapidae,timorbuskskvätta
8938,Saxicola caprata,"PAL, OR, AU",PASSERIFORMES,Muscicapidae,svart buskskvätta
8939,Saxicola insignis,PAL,PASSERIFORMES,Muscicapidae,mongolbuskskvätta
8940,Saxicola leucurus,OR,PASSERIFORMES,Muscicapidae,vitstjärtad buskskvätta
8941,Saxicola stejnegeri,PAL,PASSERIFORMES,Muscicapidae,amurbuskskvätta
8942,Saxicola torquatus,AF,PASSERIFORMES,Muscicapidae,afrikansk buskskvätta
8943,Saxicola sibilla,AF,PASSERIFORMES,Muscicapidae,madagaskarbuskskvätta
8944,Saxicola tectes,IO,PASSERIFORMES,Muscicapidae,réunionbuskskvätta
8945,Saxicola maurus,PAL,PASSERIFORMES,Muscicapidae,vitgumpad buskskvätta
8946,Saxicola rubicola,PAL,PASSERIFORMES,Muscicapidae,svarthakad buskskvätta
8947,Saxicola dacotiae,AF,PASSERIFORMES,Muscicapidae,kanariebuskskvätta
8948,Campicoloides bifasciatus,AF,PASSERIFORMES,Muscicapidae,drakensbergskvätta
8949,Emarginata schlegelii,AF,PASSERIFORMES,Muscicapidae,karrooskvätta
8950,Emarginata tractrac,AF,PASSERIFORMES,Muscicapidae,traktrakskvätta
8951,Emarginata sinuata,AF,PASSERIFORMES,Muscicapidae,kapskvätta
8952,Pinarochroa sordida,AF,PASSERIFORMES,Muscicapidae,hedskvätta
8953,Thamnolaea cinnamomeiventris,AF,PASSERIFORMES,Muscicapidae,svarthuvad klippskvätta
8954,Thamnolaea coronata,AF,PASSERIFORMES,Muscicapidae,vitkronad klippskvätta
8955,Myrmecocichla aethiops,AF,PASSERIFORMES,Muscicapidae,nordlig termitskvätta
8956,Myrmecocichla tholloni,AF,PASSERIFORMES,Muscicapidae,kongotermitskvätta
8957,Myrmecocichla formicivora,AF,PASSERIFORMES,Muscicapidae,sydlig termitskvätta
8958,Myrmecocichla monticola,AF,PASSERIFORMES,Muscicapidae,kaptermitskvätta
8959,Myrmecocichla nigra,AF,PASSERIFORMES,Muscicapidae,vitskuldrad termitskvätta
8960,Myrmecocichla melaena,AF,PASSERIFORMES,Muscicapidae,etiopientermitskvätta
8961,Myrmecocichla collaris,AF,PASSERIFORMES,Muscicapidae,ruahatermitskvätta
8962,Myrmecocichla arnotti,AF,PASSERIFORMES,Muscicapidae,miombotermitskvätta
8963,Oenanthe oenanthe,PAL,PASSERIFORMES,Muscicapidae,stenskvätta
8964,Oenanthe seebohmi,AF,PASSERIFORMES,Muscicapidae,atlasstenskvätta
8965,Oenanthe pileata,AF,PASSERIFORMES,Muscicapidae,svartbröstad stenskvätta
8966,Oenanthe bottae,PAL,PASSERIFORMES,Muscicapidae,jemenstenskvätta
8967,Oenanthe frenata,AF,PASSERIFORMES,Muscicapidae,höglandsstenskvätta
8968,Oenanthe isabellina,PAL,PASSERIFORMES,Muscicapidae,isabellastenskvätta
8969,Oenanthe heuglinii,AF,PASSERIFORMES,Muscicapidae,sahelstenskvätta
8970,Oenanthe monacha,PAL,PASSERIFORMES,Muscicapidae,munkstenskvätta
8971,Oenanthe deserti,PAL,PASSERIFORMES,Muscicapidae,ökenstenskvätta
8972,Oenanthe hispanica,PAL,PASSERIFORMES,Muscicapidae,västlig medelhavsstenskvätta
8973,Oenanthe pleschanka,PAL,PASSERIFORMES,Muscicapidae,nunnestenskvätta
8974,Oenanthe melanoleuca,PAL,PASSERIFORMES,Muscicapidae,östlig medelhavsstenskvätta
8975,Oenanthe cypriaca,PAL,PASSERIFORMES,Muscicapidae,cypernstenskvätta
8976,Oenanthe albifrons,AF,PASSERIFORMES,Muscicapidae,vitpannad stenskvätta
8977,Oenanthe phillipsi,AF,PASSERIFORMES,Muscicapidae,somaliastenskvätta
8978,Oenanthe moesta,"PAL, AF",PASSERIFORMES,Muscicapidae,berberstenskvätta
8979,Oenanthe melanura,"PAL, AF",PASSERIFORMES,Muscicapidae,svartstjärt
8980,Oenanthe familiaris,AF,PASSERIFORMES,Muscicapidae,roststjärtad stenskvätta
8981,Oenanthe scotocerca,AF,PASSERIFORMES,Muscicapidae,brunstjärtad stenskvätta
8982,Oenanthe dubia,AF,PASSERIFORMES,Muscicapidae,awashstenskvätta
8983,Oenanthe fusca,OR,PASSERIFORMES,Muscicapidae,brun stenskvätta
8984,Oenanthe picata,PAL,PASSERIFORMES,Muscicapidae,orientstenskvätta
8985,Oenanthe finschii,PAL,PASSERIFORMES,Muscicapidae,finschstenskvätta
8986,Oenanthe halophila,AF,PASSERIFORMES,Muscicapidae,maghrebstenskvätta
8987,Oenanthe lugens,"PAL, AF",PASSERIFORMES,Muscicapidae,sorgstenskvätta
8988,Oenanthe warriae,PAL,PASSERIFORMES,Muscicapidae,basaltstenskvätta
8989,Oenanthe xanthoprymna,PAL,PASSERIFORMES,Muscicapidae,kurdstenskvätta
8990,Oenanthe chrysopygia,PAL,PASSERIFORMES,Muscicapidae,persisk stenskvätta
8991,Oenanthe leucopyga,"AF, PAL",PASSERIFORMES,Muscicapidae,vitkronad stenskvätta
8992,Oenanthe albonigra,PAL,PASSERIFORMES,Muscicapidae,svartvit stenskvätta
8993,Oenanthe leucura,PAL,PASSERIFORMES,Muscicapidae,svart stenskvätta
8994,Oenanthe lugentoides,PAL,PASSERIFORMES,Muscicapidae,arabstenskvätta
8995,Oenanthe lugubris,AF,PASSERIFORMES,Muscicapidae,etiopienstenskvätta
8996,Cinclus cinclus,PAL,PASSERIFORMES,Cinclidae,strömstare
8997,Cinclus pallasii,PAL,PASSERIFORMES,Cinclidae,brun strömstare
8998,Cinclus mexicanus,"NA, MA",PASSERIFORMES,Cinclidae,grå strömstare
8999,Cinclus leucocephalus,SA,PASSERIFORMES,Cinclidae,vitkronad strömstare
9000,Cinclus schulzii,SA,PASSERIFORMES,Cinclidae,roststrupig strömstare
9001,Chloropsis flavipennis,OR,PASSERIFORMES,Chloropseidae,filippinbladfågel
9002,Chloropsis palawanensis,OR,PASSERIFORMES,Chloropseidae,palawanbladfågel
9003,Chloropsis sonnerati,OR,PASSERIFORMES,Chloropseidae,smaragdbladfågel
9004,Chloropsis cyanopogon,OR,PASSERIFORMES,Chloropseidae,grön bladfågel
9005,Chloropsis moluccensis,OR,PASSERIFORMES,Chloropseidae,blåvingad bladfågel
9006,Chloropsis cochinchinensis,OR,PASSERIFORMES,Chloropseidae,javabladfågel
9007,Chloropsis kinabaluensis,OR,PASSERIFORMES,Chloropseidae,borneobladfågel
9008,Chloropsis jerdoni,OR,PASSERIFORMES,Chloropseidae,indisk bladfågel
9009,Chloropsis aurifrons,OR,PASSERIFORMES,Chloropseidae,guldpannad bladfågel
9010,Chloropsis media,OR,PASSERIFORMES,Chloropseidae,sumatrabladfågel
9011,Chloropsis hardwickii,OR,PASSERIFORMES,Chloropseidae,orangebukig bladfågel
9012,Chloropsis venusta,OR,PASSERIFORMES,Chloropseidae,blåmaskad bladfågel
9013,Prionochilus olivaceus,OR,PASSERIFORMES,Dicaeidae,olivryggig blomsterpickare
9014,Prionochilus maculatus,OR,PASSERIFORMES,Dicaeidae,gulbröstad blomsterpickare
9015,Prionochilus percussus,OR,PASSERIFORMES,Dicaeidae,karmosinbröstad blomsterpickare
9016,Prionochilus plateni,OR,PASSERIFORMES,Dicaeidae,palawanblomsterpickare
9017,Prionochilus xanthopygius,OR,PASSERIFORMES,Dicaeidae,borneoblomsterpickare
9018,Prionochilus thoracicus,OR,PASSERIFORMES,Dicaeidae,rubinblomsterpickare
9019,Dicaeum dayakorum,OR,PASSERIFORMES,Dicaeidae,dajakblomsterpickare
9020,Dicaeum annae,AU,PASSERIFORMES,Dicaeidae,floresblomsterpickare
9021,Dicaeum agile,OR,PASSERIFORMES,Dicaeidae,tjocknäbbad blomsterpickare
9022,Dicaeum aeruginosum,OR,PASSERIFORMES,Dicaeidae,strimmig blomsterpickare
9023,Dicaeum everetti,OR,PASSERIFORMES,Dicaeidae,brunryggig blomsterpickare
9024,Dicaeum proprium,OR,PASSERIFORMES,Dicaeidae,mustaschblomsterpickare
9025,Dicaeum chrysorrheum,OR,PASSERIFORMES,Dicaeidae,gulgumpad blomsterpickare
9026,Dicaeum melanozanthum,OR,PASSERIFORMES,Dicaeidae,gulbukig blomsterpickare
9027,Dicaeum vincens,OR,PASSERIFORMES,Dicaeidae,ceylonblomsterpickare
9028,Dicaeum aureolimbatum,AU,PASSERIFORMES,Dicaeidae,gulsidig blomsterpickare
9029,Dicaeum nigrilore,OR,PASSERIFORMES,Dicaeidae,mindanaoblomsterpickare
9030,Dicaeum anthonyi,OR,PASSERIFORMES,Dicaeidae,gulkronad blomsterpickare
9031,Dicaeum kampalili,OR,PASSERIFORMES,Dicaeidae,brandkronad blomsterpickare
9032,Dicaeum bicolor,OR,PASSERIFORMES,Dicaeidae,svartvit blomsterpickare
9033,Dicaeum australe,OR,PASSERIFORMES,Dicaeidae,rödbukig blomsterpickare
9034,Dicaeum haematostictum,OR,PASSERIFORMES,Dicaeidae,visayablomsterpickare
9035,Dicaeum retrocinctum,OR,PASSERIFORMES,Dicaeidae,mindoroblomsterpickare
9036,Dicaeum quadricolor,OR,PASSERIFORMES,Dicaeidae,cebublomsterpickare
9037,Dicaeum trigonostigma,OR,PASSERIFORMES,Dicaeidae,orangebukig blomsterpickare
9038,Dicaeum hypoleucum,OR,PASSERIFORMES,Dicaeidae,vitbukig blomsterpickare
9039,Dicaeum erythrorhynchos,OR,PASSERIFORMES,Dicaeidae,bleknäbbad blomsterpickare
9040,Dicaeum concolor,OR,PASSERIFORMES,Dicaeidae,ghatsblomsterpickare
9041,Dicaeum minullum,OR,PASSERIFORMES,Dicaeidae,enfärgad blomsterpickare
9042,Dicaeum virescens,OR,PASSERIFORMES,Dicaeidae,andamanblomsterpickare
9043,Dicaeum pygmaeum,OR,PASSERIFORMES,Dicaeidae,dvärgblomsterpickare
9044,Dicaeum nehrkorni,AU,PASSERIFORMES,Dicaeidae,kungsblomsterpickare
9045,Dicaeum erythrothorax,AU,PASSERIFORMES,Dicaeidae,burublomsterpickare
9046,Dicaeum schistaceiceps,AU,PASSERIFORMES,Dicaeidae,halmaherablomsterpickare
9047,Dicaeum vulneratum,AU,PASSERIFORMES,Dicaeidae,seramblomsterpickare
9048,Dicaeum pectorale,AU,PASSERIFORMES,Dicaeidae,vogelkopblomsterpickare
9049,Dicaeum geelvinkianum,AU,PASSERIFORMES,Dicaeidae,rödkronad blomsterpickare
9050,Dicaeum nitidum,AU,PASSERIFORMES,Dicaeidae,louisiadblomsterpickare
9051,Dicaeum eximium,AU,PASSERIFORMES,Dicaeidae,bismarckblomsterpickare
9052,Dicaeum aeneum,AU,PASSERIFORMES,Dicaeidae,salomonblomsterpickare
9053,Dicaeum tristrami,AU,PASSERIFORMES,Dicaeidae,makirablomsterpickare
9054,Dicaeum igniferum,AU,PASSERIFORMES,Dicaeidae,eldblomsterpickare
9055,Dicaeum maugei,AU,PASSERIFORMES,Dicaeidae,praktblomsterpickare
9056,Dicaeum hirundinaceum,AU,PASSERIFORMES,Dicaeidae,mistelblomsterpickare
9057,Dicaeum celebicum,AU,PASSERIFORMES,Dicaeidae,sulawesiblomsterpickare
9058,Dicaeum monticolum,OR,PASSERIFORMES,Dicaeidae,bergblomsterpickare
9059,Dicaeum ignipectus,OR,PASSERIFORMES,Dicaeidae,orientblomsterpickare
9060,Dicaeum sanguinolentum,OR,PASSERIFORMES,Dicaeidae,blodbröstad blomsterpickare
9061,Dicaeum cruentatum,OR,PASSERIFORMES,Dicaeidae,rödryggig blomsterpickare
9062,Dicaeum trochileum,OR,PASSERIFORMES,Dicaeidae,kardinalblomsterpickare
9063,Chalcoparia singalensis,OR,PASSERIFORMES,Nectariniidae,rubinkindad solfågel
9064,Deleornis fraseri,AF,PASSERIFORMES,Nectariniidae,frasersolfågel
9065,Deleornis axillaris,AF,PASSERIFORMES,Nectariniidae,gråhuvad solfågel
9066,Anthreptes reichenowi,AF,PASSERIFORMES,Nectariniidae,reichenowsolfågel
9067,Anthreptes anchietae,AF,PASSERIFORMES,Nectariniidae,palettsolfågel
9068,Anthreptes simplex,OR,PASSERIFORMES,Nectariniidae,blåpannad solfågel
9069,Anthreptes malacensis,"OR, AU",PASSERIFORMES,Nectariniidae,brunstrupig solfågel
9070,Anthreptes griseigularis,OR,PASSERIFORMES,Nectariniidae,gråstrupig solfågel
9071,Anthreptes rhodolaemus,OR,PASSERIFORMES,Nectariniidae,rosastrupig solfågel
9072,Anthreptes gabonicus,AF,PASSERIFORMES,Nectariniidae,mangrovesolfågel
9073,Anthreptes longuemarei,AF,PASSERIFORMES,Nectariniidae,violsolfågel
9074,Anthreptes orientalis,AF,PASSERIFORMES,Nectariniidae,törnsolfågel
9075,Anthreptes neglectus,AF,PASSERIFORMES,Nectariniidae,kustsolfågel
9076,Anthreptes aurantius,AF,PASSERIFORMES,Nectariniidae,lilastjärtad solfågel
9077,Anthreptes seimundi,AF,PASSERIFORMES,Nectariniidae,kortstjärtad solfågel
9078,Anthreptes rectirostris,AF,PASSERIFORMES,Nectariniidae,gulhakad solfågel
9079,Anthreptes tephrolaemus,AF,PASSERIFORMES,Nectariniidae,gråhakad solfågel
9080,Anthreptes rubritorques,AF,PASSERIFORMES,Nectariniidae,rödbandad solfågel
9081,Hedydipna collaris,AF,PASSERIFORMES,Nectariniidae,halsbandssolfågel
9082,Hedydipna platura,AF,PASSERIFORMES,Nectariniidae,dvärgsolfågel
9083,Hedydipna metallica,AF,PASSERIFORMES,Nectariniidae,nilsolfågel
9084,Hedydipna pallidigaster,AF,PASSERIFORMES,Nectariniidae,amanisolfågel
9085,Anabathmis reichenbachii,AF,PASSERIFORMES,Nectariniidae,reichenbachsolfågel
9086,Anabathmis hartlaubii,AF,PASSERIFORMES,Nectariniidae,príncipesolfågel
9087,Anabathmis newtonii,AF,PASSERIFORMES,Nectariniidae,sãotomésolfågel
9088,Dreptes thomensis,AF,PASSERIFORMES,Nectariniidae,jättesolfågel
9089,Anthobaphes violacea,AF,PASSERIFORMES,Nectariniidae,orangebröstad solfågel
9090,Cyanomitra verticalis,AF,PASSERIFORMES,Nectariniidae,grönhuvad solfågel
