,IOC,Breeding Range,Order,Family,Swedish
272,Nothocrax urumutum,SA,GALLIFORMES,Cracidae,natthocko
273,Mitu tomentosum,SA,GALLIFORMES,Cracidae,släthuvad hocko
274,Mitu salvini,SA,GALLIFORMES,Cracidae,salvinhocko
275,Mitu tuberosum,SA,GALLIFORMES,Cracidae,knivhocko
276,Mitu mitu,SA,GALLIFORMES,Cracidae,alagoashocko
277,Pauxi pauxi,SA,GALLIFORMES,Cracidae,hjälmhocko
278,Pauxi unicornis,SA,GALLIFORMES,Cracidae,hornhocko
279,Pauxi koepckeae,SA,GALLIFORMES,Cracidae,sirahocko
280,Crax rubra,"MA, SA",GALLIFORMES,Cracidae,större hocko
281,Crax alberti,SA,GALLIFORMES,Cracidae,blånäbbad hocko
282,Crax daubentoni,SA,GALLIFORMES,Cracidae,gulknölshocko
283,Crax alector,SA,GALLIFORMES,Cracidae,svarthocko
284,Crax globulosa,SA,GALLIFORMES,Cracidae,gulflikig hocko
285,Crax fasciolata,SA,GALLIFORMES,Cracidae,gulnäbbad hocko
286,Crax blumenbachii,SA,GALLIFORMES,Cracidae,rödnäbbad hocko
287,Agelastes meleagrides,AF,GALLIFORMES,Numididae,kalkonpärlhöna
288,Agelastes niger,AF,GALLIFORMES,Numididae,svart pärlhöna
289,Numida meleagris,AF,GALLIFORMES,Numididae,hjälmpärlhöna
290,Guttera plumifera,AF,GALLIFORMES,Numididae,plympärlhöna
291,Guttera verreauxi,AF,GALLIFORMES,Numididae,västlig tofspärlhöna
292,Guttera pucherani,AF,GALLIFORMES,Numididae,östlig tofspärlhöna
293,Guttera edouardi,AF,GALLIFORMES,Numididae,sydlig tofspärlhöna
294,Acryllium vulturinum,AF,GALLIFORMES,Numididae,gampärlhöna
295,Ptilopachus petrosus,AF,GALLIFORMES,Odontophoridae,stenvaktel
296,Ptilopachus nahani,AF,GALLIFORMES,Odontophoridae,iturivaktel
297,Dendrortyx leucophrys,MA,GALLIFORMES,Odontophoridae,vitpannad skogsvaktel
298,Dendrortyx macroura,MA,GALLIFORMES,Odontophoridae,långstjärtad skogsvaktel
299,Dendrortyx barbatus,MA,GALLIFORMES,Odontophoridae,rostbröstad skogsvaktel
300,Oreortyx pictus,"NA, MA",GALLIFORMES,Odontophoridae,bergtofsvaktel
301,Callipepla squamata,"NA, MA",GALLIFORMES,Odontophoridae,fjällig tofsvaktel
302,Callipepla douglasii,MA,GALLIFORMES,Odontophoridae,prakttofsvaktel
303,Callipepla californica,"NA, MA",GALLIFORMES,Odontophoridae,kalifornientofsvaktel
304,Callipepla gambelii,"NA, MA",GALLIFORMES,Odontophoridae,ökentofsvaktel
305,Philortyx fasciatus,MA,GALLIFORMES,Odontophoridae,bandtofsvaktel
306,Colinus virginianus,"NA, MA",GALLIFORMES,Odontophoridae,virginiavaktel
307,Colinus nigrogularis,MA,GALLIFORMES,Odontophoridae,svartstrupig vaktel
