,IOC,Breeding Range,Order,Family,Chinese (Traditional)
168,Anas chlorotis,AU,ANSERIFORMES,Anatidae,棕腹鴨
169,Anas aucklandica,AU,ANSERIFORMES,Anatidae,奧克蘭島鴨
170,Anas nesiotis,AU,ANSERIFORMES,Anatidae,坎培爾島鴨1975滅絕
171,Marmaronetta angustirostris,PAL,ANSERIFORMES,Anatidae,雲石斑鴨
172,Netta rufina,PAL,ANSERIFORMES,Anatidae,赤嘴潛鴨
173,Netta peposaca,SA,ANSERIFORMES,Anatidae,粉嘴潛鴨
174,Netta erythrophthalma,"AF, SA",ANSERIFORMES,Anatidae,灰嘴潛鴨
175,Aythya ferina,PAL,ANSERIFORMES,Anatidae,紅頭潛鴨
176,Aythya australis,AU,ANSERIFORMES,Anatidae,澳洲潛鴨
177,Aythya innotata,AF,ANSERIFORMES,Anatidae,馬達加斯加潛鴨
178,Aythya baeri,PAL,ANSERIFORMES,Anatidae,青頭潛鴨
179,Aythya nyroca,PAL,ANSERIFORMES,Anatidae,白眼潛鴨
180,Aythya novaeseelandiae,AU,ANSERIFORMES,Anatidae,紐西蘭潛鴨
181,Aythya fuligula,PAL,ANSERIFORMES,Anatidae,鳳頭潛鴨
182,Aythya marila,"NA, PAL",ANSERIFORMES,Anatidae,斑背潛鴨
183,Polysticta stelleri,"NA, PAL",ANSERIFORMES,Anatidae,小絨鴨
184,Somateria fischeri,"NA, PAL",ANSERIFORMES,Anatidae,眼眶絨鴨
185,Somateria spectabilis,"NA, PAL",ANSERIFORMES,Anatidae,王絨鴨
186,Somateria mollissima,"NA, PAL",ANSERIFORMES,Anatidae,歐絨鴨
187,Histrionicus histrionicus,"NA, PAL",ANSERIFORMES,Anatidae,丑鴨
188,Melanitta fusca,PAL,ANSERIFORMES,Anatidae,斑臉海番鴨
189,Melanitta stejnegeri,PAL,ANSERIFORMES,Anatidae,Stejneger's Scoter
190,Melanitta nigra,PAL,ANSERIFORMES,Anatidae,黑海番鴨〔普通海番鴨〕
191,Melanitta americana,"PAL, NA",ANSERIFORMES,Anatidae,美洲黑海番鴨
192,Clangula hyemalis,"NA, PAL",ANSERIFORMES,Anatidae,長尾鴨
193,Bucephala clangula,"NA, PAL",ANSERIFORMES,Anatidae,普通鵲鴨
194,Bucephala islandica,"NA, PAL",ANSERIFORMES,Anatidae,冰洲鵲鴨
195,Mergellus albellus,PAL,ANSERIFORMES,Anatidae,白秋沙〔斑頭秋沙，小秋沙〕
196,Mergus octosetaceus,SA,ANSERIFORMES,Anatidae,髮冠秋沙
197,Mergus merganser,"NA, PAL",ANSERIFORMES,Anatidae,川秋沙〔普通秋沙〕
198,Mergus serrator,"NA, PAL",ANSERIFORMES,Anatidae,紅胸秋沙
199,Mergus squamatus,PAL,ANSERIFORMES,Anatidae,唐秋沙〔中華秋沙，鱗脇秋沙〕
200,Heteronetta atricapilla,SA,ANSERIFORMES,Anatidae,黑頭鴨
201,Nomonyx dominicus,"MA, SA",ANSERIFORMES,Anatidae,花臉硬尾鴨
202,Oxyura jamaicensis,"NA, MA",ANSERIFORMES,Anatidae,棕硬尾鴨
203,Oxyura ferruginea,SA,ANSERIFORMES,Anatidae,安地斯硬尾鴨
204,Oxyura vittata,SA,ANSERIFORMES,Anatidae,南美硬尾鴨
205,Oxyura australis,AU,ANSERIFORMES,Anatidae,藍嘴硬尾鴨
206,Oxyura maccoa,AF,ANSERIFORMES,Anatidae,非洲硬尾鴨
207,Oxyura leucocephala,PAL,ANSERIFORMES,Anatidae,白頭硬尾鴨
208,Biziura lobata,AU,ANSERIFORMES,Anatidae,麝鴨
209,Alectura lathami,AU,GALLIFORMES,Megapodiidae,叢塚雉
210,Aepypodius arfakianus,AU,GALLIFORMES,Megapodiidae,肉垂塚雉
211,Aepypodius bruijnii,AU,GALLIFORMES,Megapodiidae,冠肉垂塚雉
212,Talegalla cuvieri,AU,GALLIFORMES,Megapodiidae,紅嘴營塚雉
213,Talegalla fuscirostris,AU,GALLIFORMES,Megapodiidae,黑嘴營塚雉〔黃腳營塚雉〕
214,Talegalla jobiensis,AU,GALLIFORMES,Megapodiidae,紅腳營塚雉
215,Leipoa ocellata,AU,GALLIFORMES,Megapodiidae,眼斑塚雉
216,Macrocephalon maleo,AU,GALLIFORMES,Megapodiidae,蘇拉威西塚雉
217,Eulipoa wallacei,AU,GALLIFORMES,Megapodiidae,摩鹿加塚雉
218,Megapodius pritchardii,PO,GALLIFORMES,Megapodiidae,東加塚雉
219,Megapodius laperouse,PO,GALLIFORMES,Megapodiidae,密克羅尼西亞塚雉
220,Megapodius nicobariensis,OR,GALLIFORMES,Megapodiidae,尼科巴塚雉
221,Megapodius cumingii,"OR, AU",GALLIFORMES,Megapodiidae,菲律賓塚雉
222,Megapodius bernsteinii,AU,GALLIFORMES,Megapodiidae,蘇拉塚雉
223,Megapodius tenimberensis,AU,GALLIFORMES,Megapodiidae,塔尼巴塚雉
224,Megapodius freycinet,AU,GALLIFORMES,Megapodiidae,烏塚雉〔普通塜雉〕
225,Megapodius geelvinkianus,AU,GALLIFORMES,Megapodiidae,比雅克塚雉
226,Megapodius eremita,AU,GALLIFORMES,Megapodiidae,美拉尼西亞塚雉
227,Megapodius layardi,AU,GALLIFORMES,Megapodiidae,萬那度塚雉
228,Megapodius decollatus,AU,GALLIFORMES,Megapodiidae,新幾內亞塚雉
229,Megapodius reinwardt,AU,GALLIFORMES,Megapodiidae,橙腳塚雉
230,Ortalis vetula,"NA, MA",GALLIFORMES,Cracidae,小灰頭稚冠雉
231,Ortalis cinereiceps,"MA, SA",GALLIFORMES,Cracidae,灰頭稚冠雉
232,Ortalis garrula,SA,GALLIFORMES,Cracidae,栗翅稚冠雉
233,Ortalis ruficauda,SA,GALLIFORMES,Cracidae,棕臀稚冠雉
234,Ortalis erythroptera,SA,GALLIFORMES,Cracidae,棕頭稚冠雉
235,Ortalis wagleri,MA,GALLIFORMES,Cracidae,棕腹稚冠雉
236,Ortalis poliocephala,MA,GALLIFORMES,Cracidae,墨西哥稚冠雉
237,Ortalis canicollis,SA,GALLIFORMES,Cracidae,查科稚冠雉
238,Ortalis leucogastra,MA,GALLIFORMES,Cracidae,白腹稚冠雉
239,Ortalis guttata,SA,GALLIFORMES,Cracidae,斑點稚冠雉
240,Ortalis araucuan,SA,GALLIFORMES,Cracidae,巴西斑點稚冠雉
241,Ortalis squamata,SA,GALLIFORMES,Cracidae,鱗斑稚冠雉
242,Ortalis columbiana,SA,GALLIFORMES,Cracidae,哥倫比亞斑點稚冠雉
243,Ortalis motmot,SA,GALLIFORMES,Cracidae,小稚冠雉
244,Ortalis ruficeps,SA,GALLIFORMES,Cracidae,栗頭稚冠雉
245,Ortalis superciliaris,SA,GALLIFORMES,Cracidae,黃眉稚冠雉
246,Penelope argyrotis,SA,GALLIFORMES,Cracidae,斑尾冠雉
247,Penelope barbata,SA,GALLIFORMES,Cracidae,鬚冠雉
248,Penelope ortoni,SA,GALLIFORMES,Cracidae,古銅色冠雉
249,Penelope montagnii,SA,GALLIFORMES,Cracidae,安地斯冠雉
250,Penelope marail,SA,GALLIFORMES,Cracidae,綠背冠雉
251,Penelope superciliaris,SA,GALLIFORMES,Cracidae,眉紋冠雉
252,Penelope dabbenei,SA,GALLIFORMES,Cracidae,紅臉冠雉
