,IOC,Breeding Range,Order,Family,Turkish
8429,Leucopsar rothschildi,OR,PASSERIFORMES,Sturnidae,Bali Sığırcığı
8430,Pastor roseus,PAL,PASSERIFORMES,Sturnidae,Alasığırcık
8431,Sturnus vulgaris,PAL,PASSERIFORMES,Sturnidae,Sığırcık
8432,Sturnus unicolor,PAL,PASSERIFORMES,Sturnidae,Kara Sığırcık
8433,Creatophora cinerea,AF,PASSERIFORMES,Sturnidae,İbikli Sığırcık
8434,Notopholia corusca,AF,PASSERIFORMES,Sturnidae,Kara Karınlı Sığırcık
8435,Hylopsar purpureiceps,AF,PASSERIFORMES,Sturnidae,Kadife Başlı Sığırcık
8436,Hylopsar cupreocauda,AF,PASSERIFORMES,Sturnidae,Bakır Kuyruklu Sığırcık
8437,Lamprotornis nitens,AF,PASSERIFORMES,Sturnidae,Kap Sığırcığı
8438,Lamprotornis chalybaeus,AF,PASSERIFORMES,Sturnidae,Büyük Mavikulak Sığırcık
8439,Lamprotornis chloropterus,AF,PASSERIFORMES,Sturnidae,Küçük Mavikulak Sığırcık
8440,Lamprotornis elisabeth,AF,PASSERIFORMES,Sturnidae,Miombo Blue-eared Starling
8441,Lamprotornis chalcurus,AF,PASSERIFORMES,Sturnidae,Bronz Kuyruklu Sığırcık
8442,Lamprotornis splendidus,AF,PASSERIFORMES,Sturnidae,Mücevher Sığırcığı
8443,Lamprotornis ornatus,AF,PASSERIFORMES,Sturnidae,Prinsipe Sığırcığı
8444,Lamprotornis iris,AF,PASSERIFORMES,Sturnidae,Zümrüdi Sığırcık
8445,Lamprotornis purpureus,AF,PASSERIFORMES,Sturnidae,Erguvani Parlak Sığırcık
8446,Lamprotornis purpuroptera,AF,PASSERIFORMES,Sturnidae,Rüppell Sığırcığı
8447,Lamprotornis caudatus,AF,PASSERIFORMES,Sturnidae,Uzun Kuyruklu Sığırcık
8448,Lamprotornis regius,AF,PASSERIFORMES,Sturnidae,Altın Karınlı Sığırcık
8449,Lamprotornis mevesii,AF,PASSERIFORMES,Sturnidae,Meves Sığırcığı
8450,Lamprotornis australis,AF,PASSERIFORMES,Sturnidae,Büyük Sığırcık
8451,Lamprotornis acuticaudus,AF,PASSERIFORMES,Sturnidae,Sivri Kuyruklu Sığırcık
8452,Lamprotornis superbus,AF,PASSERIFORMES,Sturnidae,Muhteşem Sığırcık
8453,Lamprotornis hildebrandti,AF,PASSERIFORMES,Sturnidae,Hildebrant Sığırcığı
8454,Lamprotornis shelleyi,AF,PASSERIFORMES,Sturnidae,Shelley Sığırcığı
8455,Lamprotornis pulcher,AF,PASSERIFORMES,Sturnidae,Kızıl Karınlı Sığırcık
8456,Lamprotornis unicolor,AF,PASSERIFORMES,Sturnidae,Kül Rengi Sığırcık
8457,Lamprotornis fischeri,AF,PASSERIFORMES,Sturnidae,Finsch Sığırcığı
8458,Lamprotornis bicolor,AF,PASSERIFORMES,Sturnidae,Afrika Alaca Sığırcığı
8459,Lamprotornis albicapillus,AF,PASSERIFORMES,Sturnidae,Ak Alınlı Sığırcık
8460,Hartlaubius auratus,AF,PASSERIFORMES,Sturnidae,Madagaskar Sığırcığı
8461,Cinnyricinclus leucogaster,AF,PASSERIFORMES,Sturnidae,Ak Karınlı Sığırcık
8462,Onychognathus morio,AF,PASSERIFORMES,Sturnidae,Kızılkanat
8463,Onychognathus tenuirostris,AF,PASSERIFORMES,Sturnidae,İnce Gagalı Kızılkanat
8464,Onychognathus fulgidus,AF,PASSERIFORMES,Sturnidae,Orman Kızılkanadı
8465,Onychognathus walleri,AF,PASSERIFORMES,Sturnidae,Waller Kızılkanadı
8466,Onychognathus blythii,AF,PASSERIFORMES,Sturnidae,Somali Kızılkanadı
8467,Onychognathus frater,AF,PASSERIFORMES,Sturnidae,Sukutra Kızılkanadı
8468,Onychognathus tristramii,PAL,PASSERIFORMES,Sturnidae,Arabistan Kızılkanadı
8469,Onychognathus nabouroup,AF,PASSERIFORMES,Sturnidae,Ak Kanatlı Kızılkanat
8470,Onychognathus salvadorii,AF,PASSERIFORMES,Sturnidae,Süslü Kızılkanat
8471,Onychognathus albirostris,AF,PASSERIFORMES,Sturnidae,Ak Gagalı Kızılkanat
8472,Onychognathus neumanni,AF,PASSERIFORMES,Sturnidae,Koca Gagalı Kızılkanat
8473,Poeoptera stuhlmanni,AF,PASSERIFORMES,Sturnidae,Stuhlmann Orman Sığırcığı
8474,Poeoptera kenricki,AF,PASSERIFORMES,Sturnidae,Usambara Orman Sığırcığı
8475,Poeoptera lugubris,AF,PASSERIFORMES,Sturnidae,Kılkuyruk Orman Sığırcık
8476,Pholia sharpii,AF,PASSERIFORMES,Sturnidae,Sarı Karınlı Orman Sığırcık
8477,Arizelopsar femoralis,AF,PASSERIFORMES,Sturnidae,Kara Göğüslü Orman Sığırcık
8478,Grafisia torquata,AF,PASSERIFORMES,Sturnidae,Ak Yakalı Sığırcık
8479,Speculipastor bicolor,AF,PASSERIFORMES,Sturnidae,Saksağan Sığırcığı
8480,Neocichla gutturalis,AF,PASSERIFORMES,Sturnidae,Kara Göğüslü Sığırcık
8481,Rhabdornis mystacalis,OR,PASSERIFORMES,Sturnidae,Bıyıklı Çizgili Sığırcık
8482,Rhabdornis inornatus,OR,PASSERIFORMES,Sturnidae,Esmer Çizgili Sığırcık
8483,Rhabdornis rabori,OR,PASSERIFORMES,Sturnidae,Rabor Çizgili Sığırcığı
8484,Rhabdornis grandis,OR,PASSERIFORMES,Sturnidae,Uzun Gagalı Çizgili Sığırcık
8485,Buphagus africanus,AF,PASSERIFORMES,Buphagidae,Sarı Gagalı Kenekuşu
8486,Buphagus erythrorynchus,AF,PASSERIFORMES,Buphagidae,Kırmızı Gagalı Kenekuşu
8487,Grandala coelicolor,OR,PASSERIFORMES,Turdidae,Grandala Bülbülü
8488,Sialia mexicana,"NA, MA",PASSERIFORMES,Turdidae,Batılı Mavi Ardıç
8489,Sialia sialis,"NA, MA",PASSERIFORMES,Turdidae,Doğulu Mavi Ardıç
8490,Stizorhina finschi,AF,PASSERIFORMES,Turdidae,Finsch Kızıl Ardıcı
8491,Stizorhina fraseri,AF,PASSERIFORMES,Turdidae,Fraser Ardıcı
8492,Neocossyphus poensis,AF,PASSERIFORMES,Turdidae,Ak Kuyruklu Karınca Ardıcı
8493,Neocossyphus rufus,AF,PASSERIFORMES,Turdidae,Kızıl Kuyruklu Karınca Ardıcı
8494,Pinarornis plumosus,AF,PASSERIFORMES,Turdidae,Kaya Bülbülü
8495,Myadestes occidentalis,MA,PASSERIFORMES,Turdidae,Kahverengi Sırtlı Soliter
8496,Myadestes unicolor,MA,PASSERIFORMES,Turdidae,Kül Rengi Soliter
8497,Myadestes townsendi,"NA, MA",PASSERIFORMES,Turdidae,Townsend Soliteri
8498,Myadestes palmeri,PO,PASSERIFORMES,Turdidae,Puaiohi Soliteri
8499,Myadestes lanaiensis,PO,PASSERIFORMES,Turdidae,Olomao Soliteri
8500,Myadestes obscurus,PO,PASSERIFORMES,Turdidae,Omao Soliteri
8501,Myadestes melanops,MA,PASSERIFORMES,Turdidae,Kara Yüzlü Soliter
8502,Myadestes coloratus,MA,PASSERIFORMES,Turdidae,Değişken Renkli Soliter
8503,Myadestes ralloides,SA,PASSERIFORMES,Turdidae,And Soliteri
8504,Chlamydochaera jefferyi,OR,PASSERIFORMES,Turdidae,Borneo Ardıcı
8505,Cochoa purpurea,OR,PASSERIFORMES,Turdidae,Mor Koçoa
8506,Cochoa viridis,OR,PASSERIFORMES,Turdidae,Yeşil Koçoa
8507,Cochoa beccarii,OR,PASSERIFORMES,Turdidae,Sumatra Koçoası
8508,Cochoa azurea,OR,PASSERIFORMES,Turdidae,Cava Koçoası
8509,Ridgwayia pinicola,MA,PASSERIFORMES,Turdidae,Aztek Ardıcı
8510,Cichlopsis leucogenys,SA,PASSERIFORMES,Turdidae,Kızıl Sırtlı Soliter
8511,Entomodestes coracinus,SA,PASSERIFORMES,Turdidae,Kara Soliter
8512,Entomodestes leucotis,SA,PASSERIFORMES,Turdidae,Ak Kulaklı Soliter
8513,Catharus dryas,MA,PASSERIFORMES,Turdidae,Kuzeyli Benekli Bülbül Ardıcı
8514,Catharus maculatus,SA,PASSERIFORMES,Turdidae,Güneyli Benekli Bülbül Ardıcı
8515,Catharus aurantiirostris,"MA, SA",PASSERIFORMES,Turdidae,Turuncu Gagalı Bülbül Ardıcı
8516,Catharus mexicanus,MA,PASSERIFORMES,Turdidae,Kara Başlı Bülbül Ardıcı
8517,Catharus fuscater,"MA, SA",PASSERIFORMES,Turdidae,Gri Sırtlı Bülbül Ardıcı
8518,Catharus gracilirostris,MA,PASSERIFORMES,Turdidae,Kara Gagalı Bülbül Ardıcı
8519,Catharus occidentalis,MA,PASSERIFORMES,Turdidae,Kızıl Sırtlı Bülbül Ardıcı
8520,Catharus frantzii,MA,PASSERIFORMES,Turdidae,Kızıl Taçlı Bülbül Ardıcı
8521,Catharus minimus,"PAL, NA",PASSERIFORMES,Turdidae,Gri Yanaklı Bülbül Ardıcı
8522,Zoothera dixoni,OR,PASSERIFORMES,Turdidae,Dixon Ardıcı
8523,Zoothera mollissima,OR,PASSERIFORMES,Turdidae,Himalaya Çayır Ardıcı
8524,Zoothera salimalii,OR,PASSERIFORMES,Turdidae,Himalaya Orman Ardıcı
8525,Zoothera griseiceps,OR,PASSERIFORMES,Turdidae,Siçuan Ardıcı
8526,Zoothera monticola,OR,PASSERIFORMES,Turdidae,Uzun Gagalı Ardıç
8527,Zoothera heinrichi,AU,PASSERIFORMES,Turdidae,Geomalya Ardıcı
8528,Zoothera marginata,OR,PASSERIFORMES,Turdidae,İncili Esmer Ardıç
8529,Zoothera everetti,OR,PASSERIFORMES,Turdidae,Everett Ardıcı
8530,Zoothera andromedae,OR,PASSERIFORMES,Turdidae,Sunda Ardıcı
8531,Zoothera aurea,PAL,PASSERIFORMES,Turdidae,Altın Ardıç
8532,Zoothera dauma,OR,PASSERIFORMES,Turdidae,Pullu Ardıç
8533,Zoothera neilgherriensis,OR,PASSERIFORMES,Turdidae,Nilgiri Ardıcı
8534,Zoothera imbricata,OR,PASSERIFORMES,Turdidae,Seylan Ardıcı
8535,Zoothera major,PAL,PASSERIFORMES,Turdidae,Amami Ardıcı
8536,Zoothera turipavae,AU,PASSERIFORMES,Turdidae,Guadalkanal Ardıcı
8537,Zoothera margaretae,AU,PASSERIFORMES,Turdidae,Makira Ardıcı
8538,Zoothera heinei,AU,PASSERIFORMES,Turdidae,Heine Ardıcı
8539,Zoothera machiki,OR,PASSERIFORMES,Turdidae,Sarı Göğüslü Ardıç
8540,Zoothera lunulata,AU,PASSERIFORMES,Turdidae,Sedefli Ardıç
8541,Zoothera talaseae,AU,PASSERIFORMES,Turdidae,Yeni Britanya Ardıcı
8542,Geokichla sibirica,PAL,PASSERIFORMES,Turdidae,Sibirya Ardıcı
8543,Geokichla wardii,OR,PASSERIFORMES,Turdidae,Alaca Ardıç
8544,Geokichla princei,AF,PASSERIFORMES,Turdidae,Gana Ardıcı
8545,Geokichla camaronensis,AF,PASSERIFORMES,Turdidae,Kamerun Ardıcı
8546,Geokichla guttata,AF,PASSERIFORMES,Turdidae,Benekli Ardıç
8547,Geokichla spiloptera,OR,PASSERIFORMES,Turdidae,Benek Kanatlı Ardıç
8548,Geokichla crossleyi,AF,PASSERIFORMES,Turdidae,Crossley Ardıcı
8549,Geokichla piaggiae,AF,PASSERIFORMES,Turdidae,Habeş Yer Ardıcı
8550,Geokichla oberlaenderi,AF,PASSERIFORMES,Turdidae,Oberlaender Ardıcı
8551,Geokichla gurneyi,AF,PASSERIFORMES,Turdidae,Gurney Ardıcı
8552,Geokichla citrina,OR,PASSERIFORMES,Turdidae,Turuncu Başlı Ardıç
8553,Geokichla dumasi,AU,PASSERIFORMES,Turdidae,Buru Ardıcı
8554,Geokichla joiceyi,AU,PASSERIFORMES,Turdidae,Seram Ardıcı
8555,Geokichla peronii,AU,PASSERIFORMES,Turdidae,Timor Ardıcı
8556,Geokichla schistacea,AU,PASSERIFORMES,Turdidae,Tanimbar Ardıcı
8557,Geokichla interpres,OR,PASSERIFORMES,Turdidae,Kestane Enseli Ardıç
8558,Geokichla leucolaema,OR,PASSERIFORMES,Turdidae,Enggano Ardıcı
8559,Geokichla dohertyi,AU,PASSERIFORMES,Turdidae,Kestane Sırtlı Ardıç
8560,Geokichla cinerea,OR,PASSERIFORMES,Turdidae,Kül Rengi Ardıç
8561,Geokichla erythronota,AU,PASSERIFORMES,Turdidae,Kızıl Sırtlı Ardıç
8562,Geokichla mendeni,AU,PASSERIFORMES,Turdidae,Peleng Ardıcı
8563,Turdus simensis,AF,PASSERIFORMES,Turdidae,Ethiopian Thrush
8564,Turdus litsitsirupa,AF,PASSERIFORMES,Turdidae,Litsitsirupa Ardıcı
8565,Turdus mupinensis,PAL,PASSERIFORMES,Turdidae,Çin Ardıcı
8566,Turdus philomelos,PAL,PASSERIFORMES,Turdidae,Öter Ardıç
8567,Turdus viscivorus,PAL,PASSERIFORMES,Turdidae,Ökse Ardıcı
8568,Turdus pelios,AF,PASSERIFORMES,Turdidae,Afrika Ardıcı
8569,Turdus xanthorhynchus,AF,PASSERIFORMES,Turdidae,Prinsipe Ardıcı
8570,Turdus olivaceofuscus,AF,PASSERIFORMES,Turdidae,Sao Tome Ardıcı
8571,Turdus abyssinicus,AF,PASSERIFORMES,Turdidae,Habeş Ardıcı
8572,Turdus helleri,AF,PASSERIFORMES,Turdidae,Taita Ardıcı
8573,Turdus roehli,AF,PASSERIFORMES,Turdidae,Usambara Ardıcı
8574,Turdus olivaceus,AF,PASSERIFORMES,Turdidae,Zeytuni Ardıç
8575,Turdus libonyana,AF,PASSERIFORMES,Turdidae,Kurriçeyn Ardıcı
8576,Turdus bewsheri,AF,PASSERIFORMES,Turdidae,Komor Ardıcı
8577,Turdus tephronotus,AF,PASSERIFORMES,Turdidae,Afrika Çıplak Gözlü Ardıcı
8578,Turdus smithi,AF,PASSERIFORMES,Turdidae,Karu Ardıcı
8579,Turdus ludoviciae,AF,PASSERIFORMES,Turdidae,Somali Ardıcı
8580,Turdus mandarinus,OR,PASSERIFORMES,Turdidae,Mandarin Karatavuğu
8581,Turdus iliacus,PAL,PASSERIFORMES,Turdidae,Kızıl Ardıç
8582,Turdus merula,"PAL, OR",PASSERIFORMES,Turdidae,Karatavuk
8583,Turdus menachensis,PAL,PASSERIFORMES,Turdidae,Yemen Ardıcı
8584,Turdus niveiceps,OR,PASSERIFORMES,Turdidae,Tayvan Ardıcı
8585,Turdus boulboul,OR,PASSERIFORMES,Turdidae,Gri Kanatlı Karatavuk
8586,Turdus simillimus,OR,PASSERIFORMES,Turdidae,Hint Ardıcı
8587,Turdus unicolor,OR,PASSERIFORMES,Turdidae,Gri Ardıç
8588,Turdus dissimilis,OR,PASSERIFORMES,Turdidae,Kara Göğüslü Ardıç
8589,Turdus cardis,PAL,PASSERIFORMES,Turdidae,Japon Ardıcı
8590,Turdus hortulorum,PAL,PASSERIFORMES,Turdidae,Gri Sırtlı Ardıç
8591,Turdus obscurus,PAL,PASSERIFORMES,Turdidae,Ak Kaşlı Ardıç
8592,Turdus pallidus,PAL,PASSERIFORMES,Turdidae,Boz Ardıç
8593,Turdus feae,PAL,PASSERIFORMES,Turdidae,Fea Ardıcı
8594,Turdus chrysolaus,PAL,PASSERIFORMES,Turdidae,Sakhalin Ardıcı
8595,Turdus celaenops,PAL,PASSERIFORMES,Turdidae,İzu Ardıcı
8596,Turdus poliocephalus,"OR, AU, PO",PASSERIFORMES,Turdidae,Ada Ardıcı
8597,Turdus maximus,OR,PASSERIFORMES,Turdidae,Tibet Karatavuğu
8598,Turdus kessleri,OR,PASSERIFORMES,Turdidae,Kessler Ardıcı
8599,Turdus pilaris,PAL,PASSERIFORMES,Turdidae,Tarla Ardıcı
8600,Turdus torquatus,PAL,PASSERIFORMES,Turdidae,Boğmaklı Ardıç
8601,Turdus atrogularis,PAL,PASSERIFORMES,Turdidae,Kara Gerdanlı Ardıç
8602,Turdus ruficollis,PAL,PASSERIFORMES,Turdidae,Kızıl Gerdanlı Ardıç
8603,Turdus eunomus,PAL,PASSERIFORMES,Turdidae,Karaca Ardıç
8604,Turdus naumanni,PAL,PASSERIFORMES,Turdidae,Kızıl Kanatlı Ardıç
8605,Turdus rubrocanus,OR,PASSERIFORMES,Turdidae,Kestane Rengi Ardıç
8606,Turdus albocinctus,OR,PASSERIFORMES,Turdidae,Ak Boyunlu Ardıç
8607,Turdus turdoides,AU,PASSERIFORMES,Turdidae,Selebes Ardıcı
8608,Turdus migratorius,"NA, MA",PASSERIFORMES,Turdidae,Göçmen Ardıç
8609,Turdus infuscatus,MA,PASSERIFORMES,Turdidae,Guatemala Karatavuğu
8610,Turdus rufitorques,MA,PASSERIFORMES,Turdidae,Kızıl Boyunlu Ardıç
8611,Turdus nigrescens,MA,PASSERIFORMES,Turdidae,İsli Karatavuk
8612,Turdus plebejus,MA,PASSERIFORMES,Turdidae,Dağ Ardıcı
8613,Turdus leucops,SA,PASSERIFORMES,Turdidae,Ak Gözlü Karatavuk
8614,Turdus fulviventris,SA,PASSERIFORMES,Turdidae,Kestane Karınlı Ardıç
8615,Turdus reevei,SA,PASSERIFORMES,Turdidae,Kurşuni Sırtlı Ardıç
8616,Turdus chiguanco,SA,PASSERIFORMES,Turdidae,Çiguanko Ardıcı
8617,Turdus nigriceps,SA,PASSERIFORMES,Turdidae,And Kurşuni Ardıcı
8618,Turdus serranus,SA,PASSERIFORMES,Turdidae,Kadife Sırtlı Karatavuk
8619,Turdus olivater,SA,PASSERIFORMES,Turdidae,Başlıklı Ardıç
8620,Turdus fuscater,SA,PASSERIFORMES,Turdidae,Büyük Ardıç
8621,Turdus falcklandii,SA,PASSERIFORMES,Turdidae,Patagonya Ardıcı
8622,Turdus lawrencii,SA,PASSERIFORMES,Turdidae,Lawrence Ardıcı
8623,Turdus murinus,SA,PASSERIFORMES,Turdidae,Pantepui Ardıcı
8624,Turdus subalaris,SA,PASSERIFORMES,Turdidae,Kurşuni Ardıç
8625,Turdus amaurochalinus,SA,PASSERIFORMES,Turdidae,Krem Rengi Ardıç
8626,Turdus eremita,AO,PASSERIFORMES,Turdidae,Tristan Ardıcı
8627,Turdus maranonicus,SA,PASSERIFORMES,Turdidae,Maranyon Ardıcı
8628,Turdus ignobilis,SA,PASSERIFORMES,Turdidae,Kara Gagalı Ardıç
8629,Turdus arthuri,SA,PASSERIFORMES,Turdidae,Kampina Ardıcı
8630,Turdus flavipes,SA,PASSERIFORMES,Turdidae,Sarı Bacaklı Karatavuk
8631,Turdus assimilis,MA,PASSERIFORMES,Turdidae,Ak Gerdanlı Ardıç
8632,Turdus daguae,"MA, SA",PASSERIFORMES,Turdidae,Dagua Thrush
8633,Turdus albicollis,SA,PASSERIFORMES,Turdidae,Ak Halkalı Ardıç
8634,Turdus rufopalliatus,MA,PASSERIFORMES,Turdidae,Meksika Ardıcı
8635,Turdus obsoletus,"MA, SA",PASSERIFORMES,Turdidae,Soluk Karınlı Ardıç
8636,Turdus leucomelas,SA,PASSERIFORMES,Turdidae,Soluk Göğüslü Ardıç
8637,Turdus fumigatus,SA,PASSERIFORMES,Turdidae,Kakao Ardıcı
8638,Turdus hauxwelli,SA,PASSERIFORMES,Turdidae,Hauxwell Ardıcı
8639,Turdus rufiventris,SA,PASSERIFORMES,Turdidae,Kızıl Karınlı Ardıç
8640,Turdus grayi,"MA, SA",PASSERIFORMES,Turdidae,Kil Rengi Ardıç
8641,Turdus nudigenis,"NA, SA",PASSERIFORMES,Turdidae,Çıplak Gözlü Ardıç
8642,Turdus maculirostris,SA,PASSERIFORMES,Turdidae,Ekvador Ardıcı
8643,Turdus sanchezorum,SA,PASSERIFORMES,Turdidae,Varzea Ardıcı
8644,Turdus haplochrous,SA,PASSERIFORMES,Turdidae,Bolivya Ardıcı
8645,Alethe diademata,AF,PASSERIFORMES,Muscicapidae,Çil Kuyruklu Alete
8646,Alethe castanea,AF,PASSERIFORMES,Muscicapidae,Kızılca Alete
8647,Cercotrichas coryphoeus,AF,PASSERIFORMES,Muscicapidae,Karu Çalı Bülbülü
8648,Cercotrichas signata,AF,PASSERIFORMES,Muscicapidae,Kahverengi Çalı Bülbülü
8649,Cercotrichas leucosticta,AF,PASSERIFORMES,Muscicapidae,Orman Çalı Bülbülü
8650,Cercotrichas quadrivirgata,AF,PASSERIFORMES,Muscicapidae,Kızılca Çalı Bülbülü
8651,Cercotrichas barbata,AF,PASSERIFORMES,Muscicapidae,Miombo Çalı Bülbülü
8652,Cercotrichas paena,AF,PASSERIFORMES,Muscicapidae,Kalahari Çalı Bülbülü
8653,Cercotrichas podobe,AF,PASSERIFORMES,Muscicapidae,Kara Çalı Bülbülü
8654,Cercotrichas galactotes,PAL,PASSERIFORMES,Muscicapidae,Çalı Bülbülü
8655,Cercotrichas hartlaubi,AF,PASSERIFORMES,Muscicapidae,Hartlaub Çalı Bülbülü
8656,Cercotrichas leucophrys,AF,PASSERIFORMES,Muscicapidae,Alaca Kanatlı Çalı Bülbülü
8657,Copsychus saularis,OR,PASSERIFORMES,Muscicapidae,Çinhindi Alaca Bülbülü
8658,Copsychus sechellarum,IO,PASSERIFORMES,Muscicapidae,Seyşeller Alaca Bülbülü
8659,Copsychus mindanensis,OR,PASSERIFORMES,Muscicapidae,Filipin Alaca Bülbülü
8660,Copsychus albospecularis,AF,PASSERIFORMES,Muscicapidae,Madagaskar Alaca Bülbülü
8661,Copsychus pyrropygus,OR,PASSERIFORMES,Muscicapidae,Kızıl Kuyruklu Şama
8662,Copsychus fulicatus,OR,PASSERIFORMES,Muscicapidae,Al Etekli Kara Bülbül
8663,Copsychus luzoniensis,OR,PASSERIFORMES,Muscicapidae,Ak Kaşlı Şama
8664,Copsychus superciliaris,OR,PASSERIFORMES,Muscicapidae,Kara Belli Şama
8665,Copsychus niger,OR,PASSERIFORMES,Muscicapidae,Ak Etekli Şama
8666,Copsychus cebuensis,OR,PASSERIFORMES,Muscicapidae,Sebu Şaması
8667,Copsychus albiventris,OR,PASSERIFORMES,Muscicapidae,Andaman Şaması
8668,Copsychus stricklandii,OR,PASSERIFORMES,Muscicapidae,White-crowned Shama
8669,Copsychus malabaricus,OR,PASSERIFORMES,Muscicapidae,Beyaz Belli Şama
8670,Agricola pallidus,AF,PASSERIFORMES,Muscicapidae,Solgun Sinekkapan
8671,Agricola infuscatus,AF,PASSERIFORMES,Muscicapidae,Büyük Solgun Sinekkapan
8672,Fraseria cinerascens,AF,PASSERIFORMES,Muscicapidae,Ak Kaşlı Sinekkapan
8673,Fraseria ocreata,AF,PASSERIFORMES,Muscicapidae,Ebruli Sinekkapan
8674,Fraseria griseigularis,AF,PASSERIFORMES,Muscicapidae,Gri Gerdanlı Sinekkapan
8675,Fraseria plumbea,AF,PASSERIFORMES,Muscicapidae,Kül Rengi Sinekkapan
8676,Fraseria olivascens,AF,PASSERIFORMES,Muscicapidae,Zeytuni Sinekkapan
8677,Fraseria lendu,AF,PASSERIFORMES,Muscicapidae,Chapin Sinekkapanı
8678,Fraseria caerulescens,AF,PASSERIFORMES,Muscicapidae,Mavi-Gri Sinekkapan
8679,Fraseria tessmanni,AF,PASSERIFORMES,Muscicapidae,Tessmann Sinekkapanı
8680,Melaenornis brunneus,AF,PASSERIFORMES,Muscicapidae,Kesmeli Drongo Sinekkapanı
8681,Melaenornis fischeri,AF,PASSERIFORMES,Muscicapidae,Gözlüklü Drongo Sinekkapanı
8682,Melaenornis chocolatinus,AF,PASSERIFORMES,Muscicapidae,Bozca Drongo Sinekkapanı
8683,Melaenornis annamarulae,AF,PASSERIFORMES,Muscicapidae,Nimba Sinekkapanı
8684,Melaenornis ardesiacus,AF,PASSERIFORMES,Muscicapidae,Sarı Gözlü Drongo Sinekkapanı
8685,Melaenornis edolioides,AF,PASSERIFORMES,Muscicapidae,Kuzeyli Drongo Sinekkapanı
8686,Melaenornis pammelaina,AF,PASSERIFORMES,Muscicapidae,Güneyli Drongo Sinekkapanı
8687,Namibornis herero,AF,PASSERIFORMES,Muscicapidae,Maskeli Sinekkapan
8688,Empidornis semipartitus,AF,PASSERIFORMES,Muscicapidae,Gümüş Sinekkapan
8689,Sigelus silens,AF,PASSERIFORMES,Muscicapidae,Dılgır Sinekkapan
8690,Bradornis comitatus,AF,PASSERIFORMES,Muscicapidae,Kurşuni Sinekkapan
8691,Bradornis microrhynchus,AF,PASSERIFORMES,Muscicapidae,Afrika Gri Sinekkapanı
8692,Bradornis mariquensis,AF,PASSERIFORMES,Muscicapidae,Mariko Sinekkapanı
8693,Bradornis boehmi,AF,PASSERIFORMES,Muscicapidae,Böhm Sinekkapanı
8694,Bradornis ussheri,AF,PASSERIFORMES,Muscicapidae,Ussher Sinekkapanı
8695,Bradornis fuliginosus,AF,PASSERIFORMES,Muscicapidae,Karaca Sinekkapan
8696,Humblotia flavirostris,AF,PASSERIFORMES,Muscicapidae,Büyük Komor Sinekkapanı
8697,Muscicapa griseisticta,PAL,PASSERIFORMES,Muscicapidae,Boz Çizgili Sinekkapan
8698,Muscicapa sibirica,"PAL, OR",PASSERIFORMES,Muscicapidae,Sibirya Sinekkapanı
8699,Muscicapa ferruginea,OR,PASSERIFORMES,Muscicapidae,Pas Rengi Sinekkapan
8700,Muscicapa muttui,OR,PASSERIFORMES,Muscicapidae,Kahverengi Sırtlı Sinekkapan
8701,Muscicapa randi,OR,PASSERIFORMES,Muscicapidae,Boz Sinekkapan
8702,Muscicapa segregata,AU,PASSERIFORMES,Muscicapidae,Sumba Boz Sinekkapanı
8703,Muscicapa dauurica,"PAL, OR",PASSERIFORMES,Muscicapidae,Kahverengi Sinekkapan
8704,Muscicapa williamsoni,OR,PASSERIFORMES,Muscicapidae,Williamson Sinekkapanı
8705,Muscicapa sodhii,AU,PASSERIFORMES,Muscicapidae,Selebes Boz Sinekkapanı
8706,Muscicapa sethsmithi,AF,PASSERIFORMES,Muscicapidae,Sarı Ayaklı Sinekkapan
8707,Muscicapa epulata,AF,PASSERIFORMES,Muscicapidae,Küçük Gri Sinekkapan
8708,Muscicapa adusta,AF,PASSERIFORMES,Muscicapidae,Afrika Esmer Sinekkapanı
8709,Muscicapa striata,PAL,PASSERIFORMES,Muscicapidae,Benekli Sinekkapan
8710,Muscicapa tyrrhenica,PAL,PASSERIFORMES,Muscicapidae,Mediterranean Flycatcher
8711,Muscicapa gambagae,AF,PASSERIFORMES,Muscicapidae,Gambaga Sinekkapanı
8712,Muscicapa cassini,AF,PASSERIFORMES,Muscicapidae,Cassin Sinekkapanı
8713,Muscicapa aquatica,AF,PASSERIFORMES,Muscicapidae,Papirus Sinekkapanı
8714,Leucoptilon concretum,OR,PASSERIFORMES,Muscicapidae,Ak Kuyruklu Mavi Sinekkapan
8715,Sholicola major,OR,PASSERIFORMES,Muscicapidae,Nilgiri Çivit Bülbülü
8716,Sholicola albiventris,OR,PASSERIFORMES,Muscicapidae,Ak Karınlı Çivit Bülbülü
8717,Niltava davidi,OR,PASSERIFORMES,Muscicapidae,David Mavi Sinekkapanı
8718,Niltava sundara,OR,PASSERIFORMES,Muscicapidae,Sundara Mavi Sinekkapanı
8719,Niltava sumatrana,OR,PASSERIFORMES,Muscicapidae,Sumatra Mavi Sinekkapanı
8720,Niltava oatesi,OR,PASSERIFORMES,Muscicapidae,Chinese Vivid Niltava
8721,Niltava vivida,OR,PASSERIFORMES,Muscicapidae,Parlak Mavi Sinekkapanı
8722,Niltava macgrigoriae,OR,PASSERIFORMES,Muscicapidae,Mcgrigor Mavi Sinekkapanı
8723,Niltava grandis,OR,PASSERIFORMES,Muscicapidae,Büyük Mavi Sinekkapan
