,IOC,Breeding Range,Order,Family,Turkish
147,Anas laysanensis,PO,ANSERIFORMES,Anatidae,Laysan Ördeği
148,Anas wyvilliana,PO,ANSERIFORMES,Anatidae,Hawaii Ördeği
149,Anas luzonica,OR,ANSERIFORMES,Anatidae,Filipin Ördeği
150,Anas poecilorhyncha,OR,ANSERIFORMES,Anatidae,Hint Benekgagası
151,Anas zonorhyncha,OR,ANSERIFORMES,Anatidae,Çin Benekgagası
152,Anas platyrhynchos,"NA, PAL",ANSERIFORMES,Anatidae,Yeşilbaş
153,Anas diazi,"NA, MA",ANSERIFORMES,Anatidae,Meksika Ördeği
154,Anas capensis,AF,ANSERIFORMES,Anatidae,Kap Ördeği
155,Anas bahamensis,"SA, NA",ANSERIFORMES,Anatidae,Ak Gerdanlı Kılkuyruk
156,Anas erythrorhyncha,AF,ANSERIFORMES,Anatidae,Kırmızı Gagalı Ördek
157,Anas georgica,SA,ANSERIFORMES,Anatidae,Sarı Gagalı Kılkuyruk
158,Anas eatoni,IO,ANSERIFORMES,Anatidae,Kerguelen Kılkuyruğu
159,Anas acuta,"NA, PAL",ANSERIFORMES,Anatidae,Kılkuyruk
160,Anas crecca,"PAL, NA",ANSERIFORMES,Anatidae,Çamurcun
161,Anas flavirostris,SA,ANSERIFORMES,Anatidae,Sarı Gagalı Çamurcun
162,Anas andium,SA,ANSERIFORMES,Anatidae,And Çamurcunu
163,Anas gibberifrons,OR,ANSERIFORMES,Anatidae,Alınlı Ördek
164,Anas albogularis,OR,ANSERIFORMES,Anatidae,Andaman Gri Çamurcunu
165,Anas gracilis,AU,ANSERIFORMES,Anatidae,Avustralya Gri Çamurcunu
166,Anas castanea,AU,ANSERIFORMES,Anatidae,Kızıl Çamurcun
167,Anas bernieri,AF,ANSERIFORMES,Anatidae,Bernier Ördeği
168,Anas chlorotis,AU,ANSERIFORMES,Anatidae,Pateke
169,Anas aucklandica,AU,ANSERIFORMES,Anatidae,Auckland Patekesi
