,IOC,Breeding Range,Order,Family,Finnish
267,Aburria aburri,SA,GALLIFORMES,Cracidae,helttasaku
268,Chamaepetes unicolor,MA,GALLIFORMES,Cracidae,mustasaku
269,Chamaepetes goudotii,SA,GALLIFORMES,Cracidae,sirppisiipisaku
270,Penelopina nigra,MA,GALLIFORMES,Cracidae,ylänkösaku
271,Oreophasis derbianus,MA,GALLIFORMES,Cracidae,sarvisaku
272,Nothocrax urumutum,SA,GALLIFORMES,Cracidae,yöhokko
273,Mitu tomentosum,SA,GALLIFORMES,Cracidae,samettihokko
274,Mitu salvini,SA,GALLIFORMES,Cracidae,viidakkohokko
275,Mitu tuberosum,SA,GALLIFORMES,Cracidae,kyhmyhokko
276,Mitu mitu,SA,GALLIFORMES,Cracidae,alagoasinhokko
277,Pauxi pauxi,SA,GALLIFORMES,Cracidae,venezuelankypärähokko
278,Pauxi unicornis,SA,GALLIFORMES,Cracidae,perunkypärähokko
279,Pauxi koepckeae,SA,GALLIFORMES,Cracidae,sirankypärähokko
280,Crax rubra,"MA, SA",GALLIFORMES,Cracidae,aarnihokko
281,Crax alberti,SA,GALLIFORMES,Cracidae,sininokkahokko
282,Crax daubentoni,SA,GALLIFORMES,Cracidae,keltaliuskahokko
283,Crax alector,SA,GALLIFORMES,Cracidae,isohokko
284,Crax globulosa,SA,GALLIFORMES,Cracidae,punahelttahokko
285,Crax fasciolata,SA,GALLIFORMES,Cracidae,kaljunaamahokko
286,Crax blumenbachii,SA,GALLIFORMES,Cracidae,punanokkahokko
287,Agelastes meleagrides,AF,GALLIFORMES,Numididae,liberianhelmikana
288,Agelastes niger,AF,GALLIFORMES,Numididae,mustahelmikana
289,Numida meleagris,AF,GALLIFORMES,Numididae,helmikana
290,Guttera plumifera,AF,GALLIFORMES,Numididae,kiharahelmikana
291,Guttera verreauxi,AF,GALLIFORMES,Numididae,Western Crested Guineafowl
292,Guttera pucherani,AF,GALLIFORMES,Numididae,töyhtöhelmikana
293,Guttera edouardi,AF,GALLIFORMES,Numididae,Southern Crested Guineafowl
294,Acryllium vulturinum,AF,GALLIFORMES,Numididae,viiruhelmikana
295,Ptilopachus petrosus,AF,GALLIFORMES,Odontophoridae,louhikkopyy
296,Ptilopachus nahani,AF,GALLIFORMES,Odontophoridae,kongonmetsäfrankoliini
297,Dendrortyx leucophrys,MA,GALLIFORMES,Odontophoridae,valkokurkkupyy
298,Dendrortyx macroura,MA,GALLIFORMES,Odontophoridae,mustakurkkupyy
299,Dendrortyx barbatus,MA,GALLIFORMES,Odontophoridae,harmaakurkkupyy
300,Oreortyx pictus,"NA, MA",GALLIFORMES,Odontophoridae,vuoriviiriäinen
301,Callipepla squamata,"NA, MA",GALLIFORMES,Odontophoridae,suomuviiriäinen
302,Callipepla douglasii,MA,GALLIFORMES,Odontophoridae,pensastupsuviiriäinen
303,Callipepla californica,"NA, MA",GALLIFORMES,Odontophoridae,kaliforniantupsuviiriäinen
304,Callipepla gambelii,"NA, MA",GALLIFORMES,Odontophoridae,aavikkotupsuviiriäinen
305,Philortyx fasciatus,MA,GALLIFORMES,Odontophoridae,meksikonvuoriviiriäinen
306,Colinus virginianus,"NA, MA",GALLIFORMES,Odontophoridae,peltoviiriäinen
307,Colinus nigrogularis,MA,GALLIFORMES,Odontophoridae,mustakurkkuviiriäinen
308,Colinus leucopogon,MA,GALLIFORMES,Odontophoridae,hondurasinviiriäinen
309,Colinus cristatus,"MA, SA",GALLIFORMES,Odontophoridae,töyhtöviiriäinen
310,Odontophorus gujanensis,"MA, SA",GALLIFORMES,Odontophoridae,marmoriviiriäinen
311,Odontophorus capueira,SA,GALLIFORMES,Odontophoridae,täpläsiipiviiriäinen
312,Odontophorus melanotis,MA,GALLIFORMES,Odontophoridae,mustakorvaviiriäinen
313,Odontophorus erythrops,SA,GALLIFORMES,Odontophoridae,sepelviiriäinen
314,Odontophorus atrifrons,SA,GALLIFORMES,Odontophoridae,naamioviiriäinen
315,Odontophorus hyperythrus,SA,GALLIFORMES,Odontophoridae,silmälasiviiriäinen
316,Odontophorus melanonotus,SA,GALLIFORMES,Odontophoridae,ecuadorinviiriäinen
317,Odontophorus speciosus,SA,GALLIFORMES,Odontophoridae,rusorintaviiriäinen
318,Odontophorus dialeucos,"MA, SA",GALLIFORMES,Odontophoridae,panamanviiriäinen
319,Odontophorus strophium,SA,GALLIFORMES,Odontophoridae,kolumbianviiriäinen
320,Odontophorus columbianus,SA,GALLIFORMES,Odontophoridae,venezuelanviiriäinen
321,Odontophorus leucolaemus,MA,GALLIFORMES,Odontophoridae,mustarintaviiriäinen
322,Odontophorus balliviani,SA,GALLIFORMES,Odontophoridae,viirunaamaviiriäinen
323,Odontophorus stellatus,SA,GALLIFORMES,Odontophoridae,tähtiviiriäinen
324,Odontophorus guttatus,MA,GALLIFORMES,Odontophoridae,liekkiniskaviiriäinen
325,Dactylortyx thoracicus,MA,GALLIFORMES,Odontophoridae,ruostekurkkuviiriäinen
326,Cyrtonyx montezumae,"NA, MA",GALLIFORMES,Odontophoridae,montezumanviiriäinen
327,Cyrtonyx ocellatus,MA,GALLIFORMES,Odontophoridae,harlekiiniviiriäinen
328,Rhynchortyx cinctus,"MA, SA",GALLIFORMES,Odontophoridae,peltopyyviiriäinen
329,Xenoperdix udzungwensis,AF,GALLIFORMES,Phasianidae,udzungwanpyy
330,Xenoperdix obscuratus,AF,GALLIFORMES,Phasianidae,Rubeho Forest Partridge
331,Caloperdix oculeus,OR,GALLIFORMES,Phasianidae,ruostepuupyy
332,Rollulus rouloul,OR,GALLIFORMES,Phasianidae,harjapyy
333,Melanoperdix niger,OR,GALLIFORMES,Phasianidae,mustapyy
334,Arborophila torqueola,OR,GALLIFORMES,Phasianidae,viidakkopyy
335,Arborophila rufipectus,OR,GALLIFORMES,Phasianidae,sichuaninpyy
336,Arborophila mandellii,OR,GALLIFORMES,Phasianidae,punarintapyy
337,Arborophila gingica,OR,GALLIFORMES,Phasianidae,kauluspyy
