,IOC,Breeding Range,Order,Family,Finnish
7633,Apalis flavida,AF,PASSERIFORMES,Cisticolidae,keltarinta-apali
7634,Apalis binotata,AF,PASSERIFORMES,Cisticolidae,mustarinta-apali
7635,Apalis personata,AF,PASSERIFORMES,Cisticolidae,vuoriapali
7636,Apalis jacksoni,AF,PASSERIFORMES,Cisticolidae,valkoviiksiapali
7637,Apalis chariessa,AF,PASSERIFORMES,Cisticolidae,kirjosiipiapali
7638,Apalis nigriceps,AF,PASSERIFORMES,Cisticolidae,keltakaulusapali
7639,Apalis melanocephala,AF,PASSERIFORMES,Cisticolidae,mustaselkäapali
7640,Apalis chirindensis,AF,PASSERIFORMES,Cisticolidae,harmaa-apali
7641,Apalis porphyrolaema,AF,PASSERIFORMES,Cisticolidae,ruskokurkkuapali
7642,Apalis kaboboensis,AF,PASSERIFORMES,Cisticolidae,Kabobo Apalis
7643,Apalis chapini,AF,PASSERIFORMES,Cisticolidae,tansanianapali
7644,Apalis sharpii,AF,PASSERIFORMES,Cisticolidae,guineanapali
7645,Apalis rufogularis,AF,PASSERIFORMES,Cisticolidae,valkopyrstöapali
7646,Apalis argentea,AF,PASSERIFORMES,Cisticolidae,Kungwe Apalis
7647,Apalis karamojae,AF,PASSERIFORMES,Cisticolidae,akasia-apali
7648,Apalis bamendae,AF,PASSERIFORMES,Cisticolidae,kameruninapali
7649,Apalis goslingi,AF,PASSERIFORMES,Cisticolidae,gaboninapali
7650,Apalis cinerea,AF,PASSERIFORMES,Cisticolidae,ruskopääapali
7651,Apalis alticola,AF,PASSERIFORMES,Cisticolidae,Brown-headed Apalis
7652,Malcorus pectoralis,AF,PASSERIFORMES,Cisticolidae,kaulusherttu
7653,Hypergerus atriceps,AF,PASSERIFORMES,Cisticolidae,suomupääherttu
7654,Eminia lepida,AF,PASSERIFORMES,Cisticolidae,eminia
7655,Camaroptera brachyura,AF,PASSERIFORMES,Cisticolidae,lyijykerttu
7656,Camaroptera brevicaudata,AF,PASSERIFORMES,Cisticolidae,Grey-backed Camaroptera
7657,Camaroptera harterti,AF,PASSERIFORMES,Cisticolidae,Hartert's Camaroptera
7658,Camaroptera superciliaris,AF,PASSERIFORMES,Cisticolidae,keltalyijykerttu
7659,Camaroptera chloronota,AF,PASSERIFORMES,Cisticolidae,viherlyijykerttu
7660,Calamonastes simplex,AF,PASSERIFORMES,Cisticolidae,tummaraitakerttu
7661,Calamonastes undosus,AF,PASSERIFORMES,Cisticolidae,raitakerttu
7662,Calamonastes stierlingi,AF,PASSERIFORMES,Cisticolidae,Stierling's Wren-Warbler
7663,Calamonastes fasciolatus,AF,PASSERIFORMES,Cisticolidae,kalaharinraitakerttu
7664,Euryptila subcinnamomea,AF,PASSERIFORMES,Cisticolidae,kapinkerttu
7665,Bathmocercus cerviniventris,AF,PASSERIFORMES,Cisticolidae,virtakerttunen
7666,Bathmocercus rufus,AF,PASSERIFORMES,Cisticolidae,punavirtakerttunen
7667,Scepomycter winifredae,AF,PASSERIFORMES,Cisticolidae,rusohuppuherttu
7668,Scepomycter rubehoensis,AF,PASSERIFORMES,Cisticolidae,Rubeho Warbler
7669,Orthotomus sutorius,OR,PASSERIFORMES,Cisticolidae,pitkäpyrstöräätäli
7670,Orthotomus atrogularis,OR,PASSERIFORMES,Cisticolidae,mustakurkkuräätäli
7671,Orthotomus chaktomuk,OR,PASSERIFORMES,Cisticolidae,kambodzanräätäli
7672,Orthotomus castaneiceps,OR,PASSERIFORMES,Cisticolidae,rusolakkiräätäli
7673,Orthotomus chloronotus,OR,PASSERIFORMES,Cisticolidae,luzoninräätäli
7674,Orthotomus frontalis,OR,PASSERIFORMES,Cisticolidae,ruso-otsaräätäli
7675,Orthotomus derbianus,OR,PASSERIFORMES,Cisticolidae,harmaavatsaräätäli
7676,Orthotomus sericeus,OR,PASSERIFORMES,Cisticolidae,ruostepyrstöräätäli
7677,Orthotomus ruficeps,OR,PASSERIFORMES,Cisticolidae,harmaaräätäli
7678,Orthotomus sepium,OR,PASSERIFORMES,Cisticolidae,tuhkaräätäli
7679,Orthotomus cinereiceps,OR,PASSERIFORMES,Cisticolidae,valkokorvaräätäli
7680,Orthotomus nigriceps,OR,PASSERIFORMES,Cisticolidae,mindanaonräätäli
7681,Orthotomus samarensis,OR,PASSERIFORMES,Cisticolidae,samarinräätäli
7682,Artisornis moreaui,AF,PASSERIFORMES,Cisticolidae,metsäräätäli
7683,Artisornis metopias,AF,PASSERIFORMES,Cisticolidae,tansanianräätäli
7684,Poliolais lopezi,AF,PASSERIFORMES,Cisticolidae,valkopyrstökerttu
7685,Eremomela icteropygialis,AF,PASSERIFORMES,Cisticolidae,akasiaeremomela
7686,Eremomela salvadorii,AF,PASSERIFORMES,Cisticolidae,Salvadori's Eremomela
7687,Eremomela flavicrissalis,AF,PASSERIFORMES,Cisticolidae,somalianeremomela
7688,Eremomela pusilla,AF,PASSERIFORMES,Cisticolidae,keltaeremomela
7689,Eremomela canescens,AF,PASSERIFORMES,Cisticolidae,kelta-arokerttu
7690,Eremomela scotops,AF,PASSERIFORMES,Cisticolidae,vihereremomela
7691,Eremomela gregalis,AF,PASSERIFORMES,Cisticolidae,karooeremomela
7692,Eremomela usticollis,AF,PASSERIFORMES,Cisticolidae,ruskokauluseremomela
7693,Eremomela badiceps,AF,PASSERIFORMES,Cisticolidae,ruskolakkieremomela
7694,Eremomela turneri,AF,PASSERIFORMES,Cisticolidae,rusko-otsaeremomela
7695,Eremomela atricollis,AF,PASSERIFORMES,Cisticolidae,mustakauluseremomela
7696,Sylvia atricapilla,PAL,PASSERIFORMES,Sylviidae,mustapääkerttu
7697,Sylvia borin,PAL,PASSERIFORMES,Sylviidae,lehtokerttu
7698,Sylvia dohrni,AF,PASSERIFORMES,Sylviidae,principenkerttu
7699,Sylvia galinieri,AF,PASSERIFORMES,Sylviidae,naukujakerttu
7700,Sylvia nigricapillus,AF,PASSERIFORMES,Sylviidae,kalottikerttu
7701,Sylvia abyssinica,AF,PASSERIFORMES,Sylviidae,ylänkökerttu
7702,Sylvia atriceps,AF,PASSERIFORMES,Sylviidae,ruwenzorintimali
7703,Curruca nisoria,PAL,PASSERIFORMES,Sylviidae,kirjokerttu
7704,Curruca layardi,AF,PASSERIFORMES,Sylviidae,kapintiaiskerttu
7705,Curruca boehmi,AF,PASSERIFORMES,Sylviidae,vyötiaiskerttu
7706,Curruca subcoerulea,AF,PASSERIFORMES,Sylviidae,pensastiaiskerttu
7707,Curruca curruca,PAL,PASSERIFORMES,Sylviidae,hernekerttu
7708,Curruca lugens,AF,PASSERIFORMES,Sylviidae,ruskotiaiskerttu
7709,Curruca buryi,PAL,PASSERIFORMES,Sylviidae,jemenintiaiskerttu
7710,Curruca leucomelaena,AF,PASSERIFORMES,Sylviidae,arabiankerttu
7711,Curruca hortensis,PAL,PASSERIFORMES,Sylviidae,lännenorfeuskerttu
7712,Curruca crassirostris,PAL,PASSERIFORMES,Sylviidae,idänorfeuskerttu
7713,Curruca deserti,PAL,PASSERIFORMES,Sylviidae,saharankääpiökerttu
7714,Curruca nana,PAL,PASSERIFORMES,Sylviidae,kääpiökerttu
7715,Curruca deserticola,AF,PASSERIFORMES,Sylviidae,atlaskerttu
7716,Curruca mystacea,PAL,PASSERIFORMES,Sylviidae,kaspiankerttu
7717,Curruca ruppeli,PAL,PASSERIFORMES,Sylviidae,mustakurkkukerttu
7718,Curruca melanothorax,PAL,PASSERIFORMES,Sylviidae,kyproksenkerttu
7719,Curruca melanocephala,PAL,PASSERIFORMES,Sylviidae,samettipääkerttu
7720,Curruca iberiae,PAL,PASSERIFORMES,Sylviidae,Western Subalpine Warbler
7721,Curruca subalpina,PAL,PASSERIFORMES,Sylviidae,rätinärusokerttu
7722,Curruca cantillans,PAL,PASSERIFORMES,Sylviidae,idänrusokerttu
7723,Curruca communis,PAL,PASSERIFORMES,Sylviidae,pensaskerttu
7724,Curruca conspicillata,PAL,PASSERIFORMES,Sylviidae,pikkupensaskerttu
7725,Curruca sarda,PAL,PASSERIFORMES,Sylviidae,sardiniankerttu
7726,Curruca undata,PAL,PASSERIFORMES,Sylviidae,ruskokerttu
7727,Curruca balearica,PAL,PASSERIFORMES,Sylviidae,baleaarienkerttu
7728,Myzornis pyrrhoura,OR,PASSERIFORMES,Paradoxornithidae,liekkipyrstö
7729,Moupinia poecilotis,PAL,PASSERIFORMES,Paradoxornithidae,ruostemupinia
7730,Lioparus chrysotis,OR,PASSERIFORMES,Paradoxornithidae,kultafulvetta
7731,Chrysomma sinense,OR,PASSERIFORMES,Paradoxornithidae,rillimupinia
7732,Chrysomma altirostre,OR,PASSERIFORMES,Paradoxornithidae,ruohikkomupinia
7733,Rhopophilus albosuperciliaris,PAL,PASSERIFORMES,Paradoxornithidae,Tarim Babbler
7734,Rhopophilus pekinensis,PAL,PASSERIFORMES,Paradoxornithidae,kiinanvuorikerttunen
7735,Fulvetta ruficapilla,OR,PASSERIFORMES,Paradoxornithidae,rillifulvetta
7736,Fulvetta danisi,OR,PASSERIFORMES,Paradoxornithidae,Indochinese Fulvetta
7737,Fulvetta striaticollis,PAL,PASSERIFORMES,Paradoxornithidae,kiinanfulvetta
7738,Fulvetta vinipectus,OR,PASSERIFORMES,Paradoxornithidae,naamiofulvetta
7739,Fulvetta ludlowi,OR,PASSERIFORMES,Paradoxornithidae,tiibetinfulvetta
7740,Fulvetta manipurensis,OR,PASSERIFORMES,Paradoxornithidae,Manipur Fulvetta
7741,Fulvetta cinereiceps,OR,PASSERIFORMES,Paradoxornithidae,viirufulvetta
7742,Fulvetta formosana,OR,PASSERIFORMES,Paradoxornithidae,Taiwan Fulvetta
7743,Paradoxornis heudei,PAL,PASSERIFORMES,Paradoxornithidae,ruokokekonokka
7744,Paradoxornis flavirostris,OR,PASSERIFORMES,Paradoxornithidae,himalajankekonokka
7745,Paradoxornis guttaticollis,OR,PASSERIFORMES,Paradoxornithidae,täpläkekonokka
7746,Paradoxornis aemodius,OR,PASSERIFORMES,Paradoxornithidae,kaijakekonokka
7747,Paradoxornis unicolor,OR,PASSERIFORMES,Paradoxornithidae,ruskokekonokka
7748,Paradoxornis paradoxus,OR,PASSERIFORMES,Paradoxornithidae,isokekonokka
7749,Paradoxornis gularis,OR,PASSERIFORMES,Paradoxornithidae,latvuskekonokka
7750,Paradoxornis margaritae,OR,PASSERIFORMES,Paradoxornithidae,Black-headed Parrotbill
7751,Paradoxornis ruficeps,OR,PASSERIFORMES,Paradoxornithidae,ruostekekonokka
7752,Paradoxornis bakeri,OR,PASSERIFORMES,Paradoxornithidae,Rufous-headed Parrotbill
7753,Suthora davidiana,OR,PASSERIFORMES,Paradoxornithidae,pikkukekonokka
7754,Suthora fulvifrons,OR,PASSERIFORMES,Paradoxornithidae,bambukekonokka
7755,Suthora nipalensis,OR,PASSERIFORMES,Paradoxornithidae,kirjokekonokka
7756,Suthora verreauxi,OR,PASSERIFORMES,Paradoxornithidae,kultakekonokka
7757,Suthora atrosuperciliaris,OR,PASSERIFORMES,Paradoxornithidae,mandariinikekonokka
7758,Suthora conspicillata,PAL,PASSERIFORMES,Paradoxornithidae,rillikekonokka
7759,Suthora zappeyi,OR,PASSERIFORMES,Paradoxornithidae,sichuaninkekonokka
7760,Suthora brunnea,OR,PASSERIFORMES,Paradoxornithidae,yunnaninkekonokka
7761,Suthora webbiana,PAL,PASSERIFORMES,Paradoxornithidae,ruusukekonokka
7762,Suthora alphonsiana,OR,PASSERIFORMES,Paradoxornithidae,tuhkakekonokka
7763,Suthora przewalskii,OR,PASSERIFORMES,Paradoxornithidae,gansunkekonokka
7764,Parayuhina diademata,OR,PASSERIFORMES,Zosteropidae,valkoniskajuhina
7765,Staphida everetti,OR,PASSERIFORMES,Zosteropidae,kanelitöyhtöjuhina
7766,Staphida castaniceps,OR,PASSERIFORMES,Zosteropidae,valkoviirujuhina
7767,Staphida torqueola,OR,PASSERIFORMES,Zosteropidae,Indochinese Yuhina
7768,Yuhina nigrimenta,OR,PASSERIFORMES,Zosteropidae,mustatöyhtöjuhina
7769,Yuhina brunneiceps,OR,PASSERIFORMES,Zosteropidae,taiwaninjuhina
7770,Yuhina flavicollis,OR,PASSERIFORMES,Zosteropidae,viiksijuhina
7771,Yuhina humilis,OR,PASSERIFORMES,Zosteropidae,burmanviiksijuhina
7772,Yuhina bakeri,OR,PASSERIFORMES,Zosteropidae,ruskotöyhtöjuhina
7773,Yuhina gularis,OR,PASSERIFORMES,Zosteropidae,viirukurkkujuhina
7774,Yuhina occipitalis,OR,PASSERIFORMES,Zosteropidae,punaperäjuhina
7775,Dasycrotapha speciosa,OR,PASSERIFORMES,Zosteropidae,tulikulmarilli
7776,Dasycrotapha pygmaea,OR,PASSERIFORMES,Zosteropidae,Visayan Pygmy Babbler
7777,Dasycrotapha plateni,OR,PASSERIFORMES,Zosteropidae,ruskoviirurilli
7778,Sterrhoptilus capitalis,OR,PASSERIFORMES,Zosteropidae,rusolakkirilli
7779,Sterrhoptilus dennistouni,OR,PASSERIFORMES,Zosteropidae,kultalakkirilli
7780,Sterrhoptilus affinis,OR,PASSERIFORMES,Zosteropidae,Calabarzon Babbler
7781,Sterrhoptilus nigrocapitatus,OR,PASSERIFORMES,Zosteropidae,nokilakkirilli
7782,Zosterornis hypogrammicus,OR,PASSERIFORMES,Zosteropidae,palawaninviirurilli
7783,Zosterornis striatus,OR,PASSERIFORMES,Zosteropidae,luzoninviirurilli
7784,Zosterornis whiteheadi,OR,PASSERIFORMES,Zosteropidae,rusonaamarilli
7785,Zosterornis latistriatus,OR,PASSERIFORMES,Zosteropidae,panaynviirurilli
7786,Zosterornis nigrorum,OR,PASSERIFORMES,Zosteropidae,negrosinviirurilli
7787,Cleptornis marchei,PO,PASSERIFORMES,Zosteropidae,kultarilli
7788,Rukia ruki,PO,PASSERIFORMES,Zosteropidae,trukinrilli
7789,Rukia longirostra,PO,PASSERIFORMES,Zosteropidae,pohnpeinrilli
7790,Megazosterops palauensis,PO,PASSERIFORMES,Zosteropidae,palaunrilli
7791,Heleia javanica,OR,PASSERIFORMES,Zosteropidae,jaavanisorilli
7792,Heleia pinaiae,AU,PASSERIFORMES,Zosteropidae,harmaahuppurilli
7793,Heleia squamifrons,OR,PASSERIFORMES,Zosteropidae,borneonrilli
7794,Heleia goodfellowi,OR,PASSERIFORMES,Zosteropidae,filippiinienisorilli
7795,Heleia squamiceps,AU,PASSERIFORMES,Zosteropidae,celebesinrilli
7796,Heleia superciliaris,AU,PASSERIFORMES,Zosteropidae,floresinvuoririlli
7797,Heleia dohertyi,AU,PASSERIFORMES,Zosteropidae,sumbawanvuoririlli
7798,Heleia muelleri,AU,PASSERIFORMES,Zosteropidae,timorinrilli
7799,Heleia crassirostris,AU,PASSERIFORMES,Zosteropidae,viirupäärilli
7800,Heleia wallacei,AU,PASSERIFORMES,Zosteropidae,floresinrilli
7801,Apalopteron familiare,PAL,PASSERIFORMES,Zosteropidae,bonininrilli
7802,Tephrozosterops stalkeri,AU,PASSERIFORMES,Zosteropidae,seraminrilli
7803,Zosterops ceylonensis,OR,PASSERIFORMES,Zosteropidae,srilankanrilli
7804,Zosterops nigrorum,OR,PASSERIFORMES,Zosteropidae,filippiinienkeltarilli
7805,Zosterops atricapilla,OR,PASSERIFORMES,Zosteropidae,sumatranrilli
7806,Zosterops abyssinicus,AF,PASSERIFORMES,Zosteropidae,oliivirilli
7807,Zosterops flavilateralis,AF,PASSERIFORMES,Zosteropidae,Pale White-eye
7808,Zosterops mbuluensis,AF,PASSERIFORMES,Zosteropidae,Mbulu White-eye
7809,Zosterops erythropleurus,PAL,PASSERIFORMES,Zosteropidae,ruskokylkirilli
7810,Zosterops simplex,OR,PASSERIFORMES,Zosteropidae,Swinhoe's White-eye
7811,Zosterops emiliae,OR,PASSERIFORMES,Zosteropidae,mustasilmärilli
7812,Zosterops japonicus,"PAL, OR, AU",PASSERIFORMES,Zosteropidae,japaninrilli
7813,Zosterops palpebrosus,OR,PASSERIFORMES,Zosteropidae,aasianrilli
7814,Zosterops meyeni,OR,PASSERIFORMES,Zosteropidae,filippiinienrilli
7815,Zosterops mouroniensis,AF,PASSERIFORMES,Zosteropidae,komorienrilli
7816,Zosterops olivaceus,IO,PASSERIFORMES,Zosteropidae,reunioninrilli
7817,Zosterops chloronothos,IO,PASSERIFORMES,Zosteropidae,mauritiuksenrilli
7818,Zosterops borbonicus,IO,PASSERIFORMES,Zosteropidae,reunioninharmaarilli
7819,Zosterops mauritianus,IO,PASSERIFORMES,Zosteropidae,mauritiuksenharmaarilli
7820,Zosterops melanocephalus,AF,PASSERIFORMES,Zosteropidae,kamerunvuorenrilli
7821,Zosterops stenocricotus,AF,PASSERIFORMES,Zosteropidae,Forest White-eye
7822,Zosterops stuhlmanni,AF,PASSERIFORMES,Zosteropidae,Green White-eye
7823,Zosterops eurycricotus,AF,PASSERIFORMES,Zosteropidae,Broad-ringed White-eye
7824,Zosterops brunneus,AF,PASSERIFORMES,Zosteropidae,biokonrilli
7825,Zosterops poliogastrus,AF,PASSERIFORMES,Zosteropidae,etiopianrilli
7826,Zosterops kikuyuensis,AF,PASSERIFORMES,Zosteropidae,Kikuyu White-eye
7827,Zosterops socotranus,AF,PASSERIFORMES,Zosteropidae,Socotra White-eye
7828,Zosterops ficedulinus,AF,PASSERIFORMES,Zosteropidae,guineanrilli
7829,Zosterops griseovirescens,AF,PASSERIFORMES,Zosteropidae,annoboninrilli
7830,Zosterops feae,AF,PASSERIFORMES,Zosteropidae,saotomenrilli
7831,Zosterops lugubris,AF,PASSERIFORMES,Zosteropidae,mustalakkirilli
7832,Zosterops leucophaeus,AF,PASSERIFORMES,Zosteropidae,principenrilli
7833,Zosterops silvanus,AF,PASSERIFORMES,Zosteropidae,Taita White-eye
7834,Zosterops senegalensis,AF,PASSERIFORMES,Zosteropidae,afrikankeltarilli
7835,Zosterops pallidus,AF,PASSERIFORMES,Zosteropidae,namibianrilli
7836,Zosterops winifredae,AF,PASSERIFORMES,Zosteropidae,South Pare White-eye
7837,Zosterops virens,AF,PASSERIFORMES,Zosteropidae,eteläafrikanrilli
7838,Zosterops anderssoni,AF,PASSERIFORMES,Zosteropidae,Southern Yellow White-eye
7839,Zosterops vaughani,IO,PASSERIFORMES,Zosteropidae,pembanrilli
7840,Zosterops modestus,IO,PASSERIFORMES,Zosteropidae,seychellienrilli
7841,Zosterops anjuanensis,AF,PASSERIFORMES,Zosteropidae,Anjouan White-eye
7842,Zosterops aldabrensis,IO,PASSERIFORMES,Zosteropidae,Aldabra White-eye
7843,Zosterops kirki,AF,PASSERIFORMES,Zosteropidae,Kirk's White-eye
7844,Zosterops comorensis,AF,PASSERIFORMES,Zosteropidae,Moheli White-eye
7845,Zosterops mayottensis,AF,PASSERIFORMES,Zosteropidae,mayottenrilli
7846,Zosterops maderaspatanus,AF,PASSERIFORMES,Zosteropidae,madagaskarinrilli
7847,Zosterops meratusensis,OR,PASSERIFORMES,Zosteropidae,Meratus White-eye
7848,Zosterops chloris,AU,PASSERIFORMES,Zosteropidae,mangroverilli
7849,Zosterops flavissimus,AU,PASSERIFORMES,Zosteropidae,Wakatobi White-eye
7850,Zosterops atrifrons,AU,PASSERIFORMES,Zosteropidae,kultakurkkurilli
7851,Zosterops nehrkorni,AU,PASSERIFORMES,Zosteropidae,sangihenrilli
7852,Zosterops consobrinorum,AU,PASSERIFORMES,Zosteropidae,vaaleavatsarilli
7853,Zosterops somadikartai,AU,PASSERIFORMES,Zosteropidae,togianinrilli
7854,Zosterops anomalus,AU,PASSERIFORMES,Zosteropidae,sitruunakurkkurilli
7855,Zosterops minor,AU,PASSERIFORMES,Zosteropidae,mustaotsarilli
7856,Zosterops chrysolaemus,AU,PASSERIFORMES,Zosteropidae,Black-fronted White-eye
7857,Zosterops meeki,AU,PASSERIFORMES,Zosteropidae,valkokurkkurilli
7858,Zosterops dehaani,OR,PASSERIFORMES,Zosteropidae,Morotai White-eye
7859,Zosterops atriceps,AU,PASSERIFORMES,Zosteropidae,halmaheranrilli
7860,Zosterops buruensis,AU,PASSERIFORMES,Zosteropidae,burunrilli
7861,Zosterops stalkeri,AU,PASSERIFORMES,Zosteropidae,molukkienrilli
7862,Zosterops flavus,OR,PASSERIFORMES,Zosteropidae,keltarilli
7863,Zosterops citrinella,AU,PASSERIFORMES,Zosteropidae,keltavatsarilli
7864,Zosterops luteus,AU,PASSERIFORMES,Zosteropidae,sitruunarilli
7865,Zosterops lateralis,"AU, PO",PASSERIFORMES,Zosteropidae,hopearilli
7866,Zosterops auriventer,OR,PASSERIFORMES,Zosteropidae,Hume's White-eye
7867,Zosterops melanurus,OR,PASSERIFORMES,Zosteropidae,Sangkar White-eye
7868,Zosterops everetti,OR,PASSERIFORMES,Zosteropidae,harmaakuverilli
7869,Zosterops vellalavella,AU,PASSERIFORMES,Zosteropidae,vellalavellanrilli
7870,Zosterops sanctaecrucis,AU,PASSERIFORMES,Zosteropidae,santacruzinrilli
7871,Zosterops fuscicapilla,AU,PASSERIFORMES,Zosteropidae,oliivivatsarilli
7872,Zosterops crookshanki,AU,PASSERIFORMES,Zosteropidae,Oya Tabu White-eye
7873,Zosterops flavifrons,AU,PASSERIFORMES,Zosteropidae,vanuatunrilli
7874,Zosterops superciliosus,AU,PASSERIFORMES,Zosteropidae,rennellinisorilli
7875,Zosterops lacertosus,AU,PASSERIFORMES,Zosteropidae,santacruzinisorilli
7876,Zosterops gibbsi,AU,PASSERIFORMES,Zosteropidae,vanikoronrilli
7877,Zosterops explorator,PO,PASSERIFORMES,Zosteropidae,fidzinrilli
7878,Zosterops hypoxanthus,AU,PASSERIFORMES,Zosteropidae,bismarckinrilli
7879,Zosterops mysorensis,AU,PASSERIFORMES,Zosteropidae,biakinrilli
7880,Zosterops hamlini,AU,PASSERIFORMES,Zosteropidae,Bougainville White-eye
7881,Zosterops oblitus,AU,PASSERIFORMES,Zosteropidae,Guadalcanal White-eye
7882,Zosterops rendovae,AU,PASSERIFORMES,Zosteropidae,harmaakurkkurilli
7883,Zosterops oleagineus,PO,PASSERIFORMES,Zosteropidae,yapinrilli
7884,Zosterops finschii,PO,PASSERIFORMES,Zosteropidae,Dusky White-eye
7885,Zosterops ponapensis,PO,PASSERIFORMES,Zosteropidae,Grey-brown White-eye
7886,Zosterops cinereus,PO,PASSERIFORMES,Zosteropidae,etelämikronesianrilli
7887,Zosterops rotensis,PO,PASSERIFORMES,Zosteropidae,rotasaarenrilli
7888,Zosterops metcalfii,AU,PASSERIFORMES,Zosteropidae,saintgeorgesinrilli
7889,Zosterops stresemanni,AU,PASSERIFORMES,Zosteropidae,malaitanrilli
7890,Zosterops novaeguineae,AU,PASSERIFORMES,Zosteropidae,vuorimetsärilli
7891,Zosterops kuehni,AU,PASSERIFORMES,Zosteropidae,amboninrilli
7892,Zosterops grayi,AU,PASSERIFORMES,Zosteropidae,hopeavatsarilli
7893,Zosterops luteirostris,AU,PASSERIFORMES,Zosteropidae,gizonrilli
7894,Zosterops uropygialis,AU,PASSERIFORMES,Zosteropidae,kultavatsarilli
7895,Zosterops splendidus,AU,PASSERIFORMES,Zosteropidae,ranongganrilli
7896,Zosterops kulambangrae,AU,PASSERIFORMES,Zosteropidae,salomoninrilli
7897,Zosterops tetiparius,AU,PASSERIFORMES,Zosteropidae,Dark-eyed White-eye
7898,Zosterops natalis,IO,PASSERIFORMES,Zosteropidae,joulusaarenrilli
7899,Zosterops conspicillatus,PO,PASSERIFORMES,Zosteropidae,pohjoismikronesianrilli
7900,Zosterops semperi,PO,PASSERIFORMES,Zosteropidae,mikronesianrilli
7901,Zosterops hypolais,PO,PASSERIFORMES,Zosteropidae,yapinpikkurilli
7902,Zosterops paruhbesar,AU,PASSERIFORMES,Zosteropidae,Wangi-wangi White-eye
7903,Zosterops griseotinctus,AU,PASSERIFORMES,Zosteropidae,louisiadenrilli
7904,Zosterops murphyi,AU,PASSERIFORMES,Zosteropidae,kolombangaranrilli
7905,Zosterops inornatus,AU,PASSERIFORMES,Zosteropidae,lifounisorilli
7906,Zosterops samoensis,PO,PASSERIFORMES,Zosteropidae,samoanrilli
7907,Zosterops tenuirostris,AU,PASSERIFORMES,Zosteropidae,norfolkinsaarenrilli
7908,Zosterops minutus,AU,PASSERIFORMES,Zosteropidae,lifounpikkurilli
7909,Zosterops xanthochroa,AU,PASSERIFORMES,Zosteropidae,uudenkaledonianrilli
7910,Zosterops rennellianus,AU,PASSERIFORMES,Zosteropidae,rennellinrilli
7911,Timalia pileata,OR,PASSERIFORMES,Timaliidae,bambutimali
7912,Dumetia hyperythra,OR,PASSERIFORMES,Timaliidae,ruostevatsatimali
7913,Dumetia atriceps,OR,PASSERIFORMES,Timaliidae,mustapäätimali
7914,Mixornis kelleyi,OR,PASSERIFORMES,Timaliidae,laosintiheikkötimali
7915,Mixornis flavicollis,OR,PASSERIFORMES,Timaliidae,jaavantiheikkötimali
7916,Mixornis prillwitzi,OR,PASSERIFORMES,Timaliidae,Kangean Tit-Babbler
7917,Mixornis gularis,OR,PASSERIFORMES,Timaliidae,keltatiheikkötimali
7918,Mixornis bornensis,OR,PASSERIFORMES,Timaliidae,Bold-striped Tit-Babbler
7919,Macronus ptilosus,OR,PASSERIFORMES,Timaliidae,hapsutiheikkötimali
7920,Macronus striaticeps,OR,PASSERIFORMES,Timaliidae,ruskotiheikkötimali
7921,Cyanoderma chrysaeum,OR,PASSERIFORMES,Timaliidae,kultalymytimali
7922,Cyanoderma erythropterum,OR,PASSERIFORMES,Timaliidae,kastanjasiipitimali
7923,Cyanoderma bicolor,OR,PASSERIFORMES,Timaliidae,Grey-hooded Babbler
7924,Cyanoderma melanothorax,OR,PASSERIFORMES,Timaliidae,kaulanauhatimali
7925,Cyanoderma rufifrons,OR,PASSERIFORMES,Timaliidae,ruostelakkitimali
7926,Cyanoderma pyrrhops,OR,PASSERIFORMES,Timaliidae,pakistanintimali
7927,Cyanoderma ruficeps,OR,PASSERIFORMES,Timaliidae,ruostepäätimali
7928,Cyanoderma ambiguum,OR,PASSERIFORMES,Timaliidae,rikkilymytimali
7929,Spelaeornis caudatus,OR,PASSERIFORMES,Timaliidae,nepalinvuoritimali
7930,Spelaeornis badeigularis,OR,PASSERIFORMES,Timaliidae,mishminvuoritimali
7931,Spelaeornis troglodytoides,OR,PASSERIFORMES,Timaliidae,bambuvuoritimali
7932,Spelaeornis kinneari,OR,PASSERIFORMES,Timaliidae,vietnaminvuoritimali
7933,Spelaeornis chocolatinus,OR,PASSERIFORMES,Timaliidae,naganvuoritimali
7934,Spelaeornis oatesi,OR,PASSERIFORMES,Timaliidae,rokkovuoritimali
7935,Spelaeornis longicaudatus,OR,PASSERIFORMES,Timaliidae,manipurinvuoritimali
7936,Spelaeornis reptatus,OR,PASSERIFORMES,Timaliidae,burmanvuoritimali
7937,Melanocichla lugubris,OR,PASSERIFORMES,Timaliidae,mustanauruli
7938,Melanocichla calva,OR,PASSERIFORMES,Timaliidae,keltapäänauruli
7939,Pomatorhinus ferruginosus,OR,PASSERIFORMES,Timaliidae,korallinokkatimali
7940,Pomatorhinus phayrei,OR,PASSERIFORMES,Timaliidae,Brown-crowned Scimitar Babbler
7941,Pomatorhinus ochraceiceps,OR,PASSERIFORMES,Timaliidae,kaitasirppitimali
7942,Pomatorhinus superciliaris,OR,PASSERIFORMES,Timaliidae,sirppinokkatimali
7943,Pomatorhinus ruficollis,OR,PASSERIFORMES,Timaliidae,pikkusirppitimali
7944,Pomatorhinus musicus,OR,PASSERIFORMES,Timaliidae,Taiwan Scimitar Babbler
7945,Pomatorhinus schisticeps,OR,PASSERIFORMES,Timaliidae,keltanokkatimali
