,IOC,Breeding Range,Order,Family,Catalan
193,Bucephala clangula,"NA, PAL",ANSERIFORMES,Anatidae,morell d'ulls grocs
194,Bucephala islandica,"NA, PAL",ANSERIFORMES,Anatidae,morell d'Islàndia
195,Mergellus albellus,PAL,ANSERIFORMES,Anatidae,bec de serra petit
196,Mergus octosetaceus,SA,ANSERIFORMES,Anatidae,bec de serra sud-americà
197,Mergus merganser,"NA, PAL",ANSERIFORMES,Anatidae,bec de serra gros
198,Mergus serrator,"NA, PAL",ANSERIFORMES,Anatidae,bec de serra mitjà
199,Mergus squamatus,PAL,ANSERIFORMES,Anatidae,bec de serra de la Xina
200,Heteronetta atricapilla,SA,ANSERIFORMES,Anatidae,ànec capnegre
201,Nomonyx dominicus,"MA, SA",ANSERIFORMES,Anatidae,malvasia emmascarada
202,Oxyura jamaicensis,"NA, MA",ANSERIFORMES,Anatidae,malvasia de Jamaica
203,Oxyura ferruginea,SA,ANSERIFORMES,Anatidae,malvasia dels Andes
204,Oxyura vittata,SA,ANSERIFORMES,Anatidae,malvasia de l'Argentina
205,Oxyura australis,AU,ANSERIFORMES,Anatidae,malvasia australiana
206,Oxyura maccoa,AF,ANSERIFORMES,Anatidae,malvasia africana
207,Oxyura leucocephala,PAL,ANSERIFORMES,Anatidae,malvasia capblanca
208,Biziura lobata,AU,ANSERIFORMES,Anatidae,ànec de papada
209,Alectura lathami,AU,GALLIFORMES,Megapodiidae,talègol cap-roig
210,Aepypodius arfakianus,AU,GALLIFORMES,Megapodiidae,talègol carablanc
211,Aepypodius bruijnii,AU,GALLIFORMES,Megapodiidae,talègol de l'illa Waigeo
212,Talegalla cuvieri,AU,GALLIFORMES,Megapodiidae,talègol bec-roig
213,Talegalla fuscirostris,AU,GALLIFORMES,Megapodiidae,talègol becnegre
214,Talegalla jobiensis,AU,GALLIFORMES,Megapodiidae,talègol cama-roig
215,Leipoa ocellata,AU,GALLIFORMES,Megapodiidae,talègol ocel·lat
216,Macrocephalon maleo,AU,GALLIFORMES,Megapodiidae,talègol Maleo
217,Eulipoa wallacei,AU,GALLIFORMES,Megapodiidae,megàpode de Wallace
218,Megapodius pritchardii,PO,GALLIFORMES,Megapodiidae,megàpode de les illes Tonga
219,Megapodius laperouse,PO,GALLIFORMES,Megapodiidae,megàpode de Micronèsia
220,Megapodius nicobariensis,OR,GALLIFORMES,Megapodiidae,megàpode de les illes Nicobar
221,Megapodius cumingii,"OR, AU",GALLIFORMES,Megapodiidae,megàpode de les Filipines
222,Megapodius bernsteinii,AU,GALLIFORMES,Megapodiidae,megàpode de l'illa Sula
223,Megapodius tenimberensis,AU,GALLIFORMES,Megapodiidae,megàpode de les illes Tanimbar
224,Megapodius freycinet,AU,GALLIFORMES,Megapodiidae,megàpode de Freycinet
225,Megapodius geelvinkianus,AU,GALLIFORMES,Megapodiidae,megàpode de Geelvink
226,Megapodius eremita,AU,GALLIFORMES,Megapodiidae,megàpode de Melanèsia
227,Megapodius layardi,AU,GALLIFORMES,Megapodiidae,megàpode de Vanuatu
228,Megapodius decollatus,AU,GALLIFORMES,Megapodiidae,megàpode de Nova Guinea
229,Megapodius reinwardt,AU,GALLIFORMES,Megapodiidae,megàpode de Reinwardt
230,Ortalis vetula,"NA, MA",GALLIFORMES,Cracidae,txatxalaca de plana
231,Ortalis cinereiceps,"MA, SA",GALLIFORMES,Cracidae,txatxalaca capgrís
232,Ortalis garrula,SA,GALLIFORMES,Cracidae,txatxalaca ala-roig
233,Ortalis ruficauda,SA,GALLIFORMES,Cracidae,txatxalaca cul-roig
234,Ortalis erythroptera,SA,GALLIFORMES,Cracidae,txatxalaca cap-roig
235,Ortalis wagleri,MA,GALLIFORMES,Cracidae,txatxalaca de ventre rogenc
236,Ortalis poliocephala,MA,GALLIFORMES,Cracidae,txatxalaca de Jalisco
237,Ortalis canicollis,SA,GALLIFORMES,Cracidae,txatxalaca del Chaco
238,Ortalis leucogastra,MA,GALLIFORMES,Cracidae,txatxalaca ventreblanc
239,Ortalis guttata,SA,GALLIFORMES,Cracidae,txatxalaca pigallat
240,Ortalis araucuan,SA,GALLIFORMES,Cracidae,txatxalaca oriental
241,Ortalis squamata,SA,GALLIFORMES,Cracidae,txatxalaca escatós
242,Ortalis columbiana,SA,GALLIFORMES,Cracidae,txatxalaca de Colòmbia
243,Ortalis motmot,SA,GALLIFORMES,Cracidae,txatxalaca de cresta vermella
244,Ortalis ruficeps,SA,GALLIFORMES,Cracidae,Chestnut-headed Chachalaca
245,Ortalis superciliaris,SA,GALLIFORMES,Cracidae,txatxalaca cellut
246,Penelope argyrotis,SA,GALLIFORMES,Cracidae,guan cuabarrat
247,Penelope barbata,SA,GALLIFORMES,Cracidae,guan barbat
248,Penelope ortoni,SA,GALLIFORMES,Cracidae,guan d'Orton
249,Penelope montagnii,SA,GALLIFORMES,Cracidae,guan dels Andes
250,Penelope marail,SA,GALLIFORMES,Cracidae,guan marail
251,Penelope superciliaris,SA,GALLIFORMES,Cracidae,guan cellut
252,Penelope dabbenei,SA,GALLIFORMES,Cracidae,guan cara-roig
253,Penelope purpurascens,"MA, SA",GALLIFORMES,Cracidae,guan crestat
254,Penelope perspicax,SA,GALLIFORMES,Cracidae,guan del Cauca
255,Penelope albipennis,SA,GALLIFORMES,Cracidae,guan alablanc
256,Penelope jacquacu,SA,GALLIFORMES,Cracidae,guan de Spix
257,Penelope obscura,SA,GALLIFORMES,Cracidae,guan camanegre
258,Penelope bridgesi,SA,GALLIFORMES,Cracidae,Yungas Guan
259,Penelope pileata,SA,GALLIFORMES,Cracidae,guan de pit rogenc
260,Penelope ochrogaster,SA,GALLIFORMES,Cracidae,guan de ventre rogenc
261,Penelope jacucaca,SA,GALLIFORMES,Cracidae,guan cellablanc
262,Pipile pipile,SA,GALLIFORMES,Cracidae,guan xiulador de Trinitat
263,Pipile cumanensis,SA,GALLIFORMES,Cracidae,guan xiulador gorjablau
264,Pipile grayi,SA,GALLIFORMES,Cracidae,White-throated Piping Guan
265,Pipile cujubi,SA,GALLIFORMES,Cracidae,guan xiulador gorja-roig
266,Pipile jacutinga,SA,GALLIFORMES,Cracidae,guan xiulador d'ulleres
267,Aburria aburri,SA,GALLIFORMES,Cracidae,guan camagroc
268,Chamaepetes unicolor,MA,GALLIFORMES,Cracidae,guan negre
269,Chamaepetes goudotii,SA,GALLIFORMES,Cracidae,guan carablau
270,Penelopina nigra,MA,GALLIFORMES,Cracidae,guan d'altiplà
271,Oreophasis derbianus,MA,GALLIFORMES,Cracidae,guan banyut
272,Nothocrax urumutum,SA,GALLIFORMES,Cracidae,hoco nocturn
273,Mitu tomentosum,SA,GALLIFORMES,Cracidae,hoco de bec curt
274,Mitu salvini,SA,GALLIFORMES,Cracidae,hoco de Salvin
275,Mitu tuberosum,SA,GALLIFORMES,Cracidae,hoco becgròs
276,Mitu mitu,SA,GALLIFORMES,Cracidae,hoco d'Alagoas
277,Pauxi pauxi,SA,GALLIFORMES,Cracidae,hoco de casquet septentrional
278,Pauxi unicornis,SA,GALLIFORMES,Cracidae,hoco de casquet meridional
279,Pauxi koepckeae,SA,GALLIFORMES,Cracidae,hoco de Koepcke
280,Crax rubra,"MA, SA",GALLIFORMES,Cracidae,hoco de carúncula groga
281,Crax alberti,SA,GALLIFORMES,Cracidae,hoco becblau
282,Crax daubentoni,SA,GALLIFORMES,Cracidae,hoco de Daubenton
283,Crax alector,SA,GALLIFORMES,Cracidae,hoco becllarg
284,Crax globulosa,SA,GALLIFORMES,Cracidae,hoco globulat
285,Crax fasciolata,SA,GALLIFORMES,Cracidae,hoco de cara nua
286,Crax blumenbachii,SA,GALLIFORMES,Cracidae,hoco de Blumenbach
287,Agelastes meleagrides,AF,GALLIFORMES,Numididae,pintada de pit blanc
288,Agelastes niger,AF,GALLIFORMES,Numididae,pintada negra
289,Numida meleagris,AF,GALLIFORMES,Numididae,pintada comuna
290,Guttera plumifera,AF,GALLIFORMES,Numididae,pintada de plomall
291,Guttera verreauxi,AF,GALLIFORMES,Numididae,Western Crested Guineafowl
292,Guttera pucherani,AF,GALLIFORMES,Numididae,pintada crestada oriental
293,Guttera edouardi,AF,GALLIFORMES,Numididae,Southern Crested Guineafowl
294,Acryllium vulturinum,AF,GALLIFORMES,Numididae,pintada vulturina
295,Ptilopachus petrosus,AF,GALLIFORMES,Odontophoridae,perdiu del Sahel
296,Ptilopachus nahani,AF,GALLIFORMES,Odontophoridae,perdiu de Naham
297,Dendrortyx leucophrys,MA,GALLIFORMES,Odontophoridae,colí cellablanc
298,Dendrortyx macroura,MA,GALLIFORMES,Odontophoridae,colí cuallarg
299,Dendrortyx barbatus,MA,GALLIFORMES,Odontophoridae,colí barbat
300,Oreortyx pictus,"NA, MA",GALLIFORMES,Odontophoridae,colí de muntanya
301,Callipepla squamata,"NA, MA",GALLIFORMES,Odontophoridae,colí escatós
302,Callipepla douglasii,MA,GALLIFORMES,Odontophoridae,colí elegant
303,Callipepla californica,"NA, MA",GALLIFORMES,Odontophoridae,colí de Califòrnia
304,Callipepla gambelii,"NA, MA",GALLIFORMES,Odontophoridae,colí de Gambel
305,Philortyx fasciatus,MA,GALLIFORMES,Odontophoridae,colí barrat
306,Colinus virginianus,"NA, MA",GALLIFORMES,Odontophoridae,colí de Virgínia
307,Colinus nigrogularis,MA,GALLIFORMES,Odontophoridae,colí golanegre
308,Colinus leucopogon,MA,GALLIFORMES,Odontophoridae,colí golablanc
309,Colinus cristatus,"MA, SA",GALLIFORMES,Odontophoridae,colí crestat
310,Odontophorus gujanensis,"MA, SA",GALLIFORMES,Odontophoridae,tocro comú
311,Odontophorus capueira,SA,GALLIFORMES,Odontophoridae,tocro fumat
312,Odontophorus melanotis,MA,GALLIFORMES,Odontophoridae,tocro de galtes negres
313,Odontophorus erythrops,SA,GALLIFORMES,Odontophoridae,tocro de front vermell
314,Odontophorus atrifrons,SA,GALLIFORMES,Odontophoridae,tocro de front negre
315,Odontophorus hyperythrus,SA,GALLIFORMES,Odontophoridae,tocro rogenc
316,Odontophorus melanonotus,SA,GALLIFORMES,Odontophoridae,tocro de dors fosc
317,Odontophorus speciosus,SA,GALLIFORMES,Odontophoridae,tocro pit-roig
318,Odontophorus dialeucos,"MA, SA",GALLIFORMES,Odontophoridae,tocro del mont Tacarcuna
319,Odontophorus strophium,SA,GALLIFORMES,Odontophoridae,tocro de collar
320,Odontophorus columbianus,SA,GALLIFORMES,Odontophoridae,tocro de Veneçuela
321,Odontophorus leucolaemus,MA,GALLIFORMES,Odontophoridae,tocro pitnegre
322,Odontophorus balliviani,SA,GALLIFORMES,Odontophoridae,tocro de Ballivian
323,Odontophorus stellatus,SA,GALLIFORMES,Odontophoridae,tocro de màscara groga
324,Odontophorus guttatus,MA,GALLIFORMES,Odontophoridae,tocro pigallat
325,Dactylortyx thoracicus,MA,GALLIFORMES,Odontophoridae,colí cantaire
326,Cyrtonyx montezumae,"NA, MA",GALLIFORMES,Odontophoridae,colí de Moctezuma
327,Cyrtonyx ocellatus,MA,GALLIFORMES,Odontophoridae,colí ocel·lat
328,Rhynchortyx cinctus,"MA, SA",GALLIFORMES,Odontophoridae,colí cara-roig
329,Xenoperdix udzungwensis,AF,GALLIFORMES,Phasianidae,perdiu de Tanzània
330,Xenoperdix obscuratus,AF,GALLIFORMES,Phasianidae,perdiu de Rubeho
331,Caloperdix oculeus,OR,GALLIFORMES,Phasianidae,rul-rul fuliginós
332,Rollulus rouloul,OR,GALLIFORMES,Phasianidae,rul-rul crestat
333,Melanoperdix niger,OR,GALLIFORMES,Phasianidae,perdiu negra
334,Arborophila torqueola,OR,GALLIFORMES,Phasianidae,perdiu forestal de collar
