,IOC,Breeding Range,Order,Family,Indonesian
151,Anas zonorhyncha,OR,ANSERIFORMES,Anatidae,Eastern Spot-billed Duck
152,Anas platyrhynchos,"NA, PAL",ANSERIFORMES,Anatidae,Itik kalung
153,Anas diazi,"NA, MA",ANSERIFORMES,Anatidae,Mexican Duck
154,Anas capensis,AF,ANSERIFORMES,Anatidae,Cape Teal
155,Anas bahamensis,"SA, NA",ANSERIFORMES,Anatidae,White-cheeked Pintail
156,Anas erythrorhyncha,AF,ANSERIFORMES,Anatidae,Red-billed Teal
157,Anas georgica,SA,ANSERIFORMES,Anatidae,Yellow-billed Pintail
158,Anas eatoni,IO,ANSERIFORMES,Anatidae,Eaton's Pintail
159,Anas acuta,"NA, PAL",ANSERIFORMES,Anatidae,Itik lancip
160,Anas crecca,"PAL, NA",ANSERIFORMES,Anatidae,Eurasian Teal
161,Anas flavirostris,SA,ANSERIFORMES,Anatidae,Yellow-billed Teal
162,Anas andium,SA,ANSERIFORMES,Anatidae,Andean Teal
163,Anas gibberifrons,OR,ANSERIFORMES,Anatidae,Itik benjut
164,Anas albogularis,OR,ANSERIFORMES,Anatidae,Andaman Teal
165,Anas gracilis,AU,ANSERIFORMES,Anatidae,Itik kelabu
166,Anas castanea,AU,ANSERIFORMES,Anatidae,Chestnut Teal
167,Anas bernieri,AF,ANSERIFORMES,Anatidae,Bernier's Teal
168,Anas chlorotis,AU,ANSERIFORMES,Anatidae,Brown Teal
169,Anas aucklandica,AU,ANSERIFORMES,Anatidae,Auckland Teal
170,Anas nesiotis,AU,ANSERIFORMES,Anatidae,Campbell Teal
171,Marmaronetta angustirostris,PAL,ANSERIFORMES,Anatidae,Marbled Duck
172,Netta rufina,PAL,ANSERIFORMES,Anatidae,Red-crested Pochard
173,Netta peposaca,SA,ANSERIFORMES,Anatidae,Rosy-billed Pochard
174,Netta erythrophthalma,"AF, SA",ANSERIFORMES,Anatidae,Southern Pochard
175,Aythya ferina,PAL,ANSERIFORMES,Anatidae,Common Pochard
176,Aythya australis,AU,ANSERIFORMES,Anatidae,Kambangan coklat
177,Aythya innotata,AF,ANSERIFORMES,Anatidae,Madagascar Pochard
178,Aythya baeri,PAL,ANSERIFORMES,Anatidae,Baer's Pochard
