,IOC,Breeding Range,Order,Family,Italian
328,Rhynchortyx cinctus,"MA, SA",GALLIFORMES,Odontophoridae,Quaglia facciafulva
329,Xenoperdix udzungwensis,AF,GALLIFORMES,Phasianidae,Pernice degli Udzungwa
330,Xenoperdix obscuratus,AF,GALLIFORMES,Phasianidae,Rubeho Forest Partridge
331,Caloperdix oculeus,OR,GALLIFORMES,Phasianidae,Pernice tabaccata
332,Rollulus rouloul,OR,GALLIFORMES,Phasianidae,Pernice crestata
333,Melanoperdix niger,OR,GALLIFORMES,Phasianidae,Pernice nera
334,Arborophila torqueola,OR,GALLIFORMES,Phasianidae,Pernice di collina
335,Arborophila rufipectus,OR,GALLIFORMES,Phasianidae,Pernice del Sichuan
336,Arborophila mandellii,OR,GALLIFORMES,Phasianidae,Pernice pettocastano
337,Arborophila gingica,OR,GALLIFORMES,Phasianidae,Pernice dal collare
338,Arborophila rufogularis,OR,GALLIFORMES,Phasianidae,Pernice golarossiccia
339,Arborophila rubrirostris,OR,GALLIFORMES,Phasianidae,Pernice beccorosso
340,Arborophila diversa,OR,GALLIFORMES,Phasianidae,Siamese Partridge
341,Arborophila cambodiana,OR,GALLIFORMES,Phasianidae,Pernice testacastana
342,Arborophila ardens,OR,GALLIFORMES,Phasianidae,Pernice di Hainan
343,Arborophila crudigularis,OR,GALLIFORMES,Phasianidae,Pernice di Taiwan
344,Arborophila atrogularis,OR,GALLIFORMES,Phasianidae,Pernice guancebianche
345,Arborophila brunneopectus,OR,GALLIFORMES,Phasianidae,Pernice dorsobarrato
346,Arborophila davidi,OR,GALLIFORMES,Phasianidae,Pernice colloarancio
347,Arborophila hyperythra,OR,GALLIFORMES,Phasianidae,Pernice pettorosso
348,Arborophila campbelli,OR,GALLIFORMES,Phasianidae,Pernice di Campbell
349,Arborophila rolli,OR,GALLIFORMES,Phasianidae,Pernice di Roll
350,Arborophila sumatrana,OR,GALLIFORMES,Phasianidae,Pernice di Sumatra
351,Arborophila javanica,OR,GALLIFORMES,Phasianidae,Pernice panciacastana
352,Arborophila orientalis,OR,GALLIFORMES,Phasianidae,Pernice pettogrigio
353,Lerwa lerwa,PAL,GALLIFORMES,Phasianidae,Pernice delle nevi
354,Ithaginis cruentus,OR,GALLIFORMES,Phasianidae,Fagiano insanguinato
355,Tragopan melanocephalus,OR,GALLIFORMES,Phasianidae,Tragopan occidentale
356,Tragopan satyra,OR,GALLIFORMES,Phasianidae,Tragopan satiro
357,Tragopan blythii,OR,GALLIFORMES,Phasianidae,Tragopan di Blyth
358,Tragopan temminckii,OR,GALLIFORMES,Phasianidae,Tragopan di Temminck
359,Tragopan caboti,OR,GALLIFORMES,Phasianidae,Tragopan di Cabot
360,Tetraophasis obscurus,PAL,GALLIFORMES,Phasianidae,Pernice di Verreaux
361,Tetraophasis szechenyii,PAL,GALLIFORMES,Phasianidae,Pernice di Szecheny
362,Lophophorus impejanus,OR,GALLIFORMES,Phasianidae,Monal dell'Himalaya
363,Lophophorus sclateri,OR,GALLIFORMES,Phasianidae,Monal di Sclater
364,Lophophorus lhuysii,OR,GALLIFORMES,Phasianidae,Monal della Cina
365,Pucrasia macrolopha,OR,GALLIFORMES,Phasianidae,Fagiano koklass
366,Meleagris gallopavo,"NA, MA",GALLIFORMES,Phasianidae,Tacchino
367,Meleagris ocellata,MA,GALLIFORMES,Phasianidae,Tacchino ocellato
368,Tetrastes bonasia,PAL,GALLIFORMES,Phasianidae,Francolino di monte
369,Tetrastes sewerzowi,PAL,GALLIFORMES,Phasianidae,Francolino di monte della Cina
370,Lagopus lagopus,"NA, PAL",GALLIFORMES,Phasianidae,Pernice bianca nordica
371,Lagopus muta,"NA, PAL",GALLIFORMES,Phasianidae,Pernice bianca
372,Falcipennis falcipennis,PAL,GALLIFORMES,Phasianidae,Pernice siberiana
373,Tetrao urogallus,PAL,GALLIFORMES,Phasianidae,Gallo cedrone
374,Tetrao urogalloides,PAL,GALLIFORMES,Phasianidae,Gallo cedrone becconero
375,Lyrurus tetrix,PAL,GALLIFORMES,Phasianidae,Fagiano di monte
376,Lyrurus mlokosiewiczi,PAL,GALLIFORMES,Phasianidae,Fagiano di monte del Caucaso
377,Rhizothera longirostris,OR,GALLIFORMES,Phasianidae,Pernice beccolungo
378,Rhizothera dulitensis,OR,GALLIFORMES,Phasianidae,Pernice di Hose
379,Perdix hodgsoniae,PAL,GALLIFORMES,Phasianidae,Starna del Tibet
380,Perdix perdix,PAL,GALLIFORMES,Phasianidae,Starna
381,Perdix dauurica,PAL,GALLIFORMES,Phasianidae,Starna asiatica
382,Syrmaticus soemmerringii,PAL,GALLIFORMES,Phasianidae,Fagiano ramato
383,Syrmaticus reevesii,PAL,GALLIFORMES,Phasianidae,Fagiano venerato
384,Syrmaticus mikado,OR,GALLIFORMES,Phasianidae,Fagiano mikado
385,Syrmaticus ellioti,OR,GALLIFORMES,Phasianidae,Fagiano di Elliot
386,Syrmaticus humiae,OR,GALLIFORMES,Phasianidae,Fagiano di Hume
387,Chrysolophus pictus,OR,GALLIFORMES,Phasianidae,Fagiano dorato
388,Chrysolophus amherstiae,OR,GALLIFORMES,Phasianidae,Fagiano di Lady Amherst
389,Phasianus colchicus,"PAL, OR",GALLIFORMES,Phasianidae,Fagiano comune
390,Phasianus versicolor,OR,GALLIFORMES,Phasianidae,Fagiano versicolore
391,Catreus wallichii,OR,GALLIFORMES,Phasianidae,Fagiano di Wallich
392,Crossoptilon harmani,OR,GALLIFORMES,Phasianidae,Fagiano orecchiuto del Tibet
393,Crossoptilon crossoptilon,OR,GALLIFORMES,Phasianidae,Fagiano orecchiuto bianco
394,Crossoptilon mantchuricum,PAL,GALLIFORMES,Phasianidae,Fagiano orecchiuto bruno
395,Crossoptilon auritum,PAL,GALLIFORMES,Phasianidae,Fagiano orecchiuto azzurro
396,Lophura edwardsi,OR,GALLIFORMES,Phasianidae,Fagiano di Edwards
397,Lophura swinhoii,OR,GALLIFORMES,Phasianidae,Fagiano di Swinhoe
398,Lophura bulweri,OR,GALLIFORMES,Phasianidae,Fagiano di Bulwer
399,Lophura leucomelanos,OR,GALLIFORMES,Phasianidae,Fagiano kalij
400,Lophura nycthemera,OR,GALLIFORMES,Phasianidae,Fagiano argentato
401,Lophura erythrophthalma,OR,GALLIFORMES,Phasianidae,Dorso di fuoco senzacresta
402,Lophura pyronota,OR,GALLIFORMES,Phasianidae,Bornean Crestless Fireback
403,Lophura diardi,OR,GALLIFORMES,Phasianidae,Dorso di fuoco siamese
404,Lophura inornata,OR,GALLIFORMES,Phasianidae,Fagiano di Salvadori
405,Lophura rufa,OR,GALLIFORMES,Phasianidae,Malayan Crested Fireback
406,Lophura ignita,OR,GALLIFORMES,Phasianidae,Dorso di fuoco crestato
407,Rheinardia ocellata,OR,GALLIFORMES,Phasianidae,Argo crestato
408,Rheinardia nigrescens,OR,GALLIFORMES,Phasianidae,Malayan Crested Argus
409,Argusianus argus,OR,GALLIFORMES,Phasianidae,Argo maggiore
410,Afropavo congensis,AF,GALLIFORMES,Phasianidae,Pavone del Congo
411,Pavo cristatus,OR,GALLIFORMES,Phasianidae,Pavone indiano
412,Pavo muticus,OR,GALLIFORMES,Phasianidae,Pavone verde
413,Tropicoperdix chloropus,OR,GALLIFORMES,Phasianidae,Pernice pettosquamato
414,Tropicoperdix charltonii,OR,GALLIFORMES,Phasianidae,Pernice collare castano
415,Tropicoperdix graydoni,OR,GALLIFORMES,Phasianidae,Sabah Partridge
416,Haematortyx sanguiniceps,OR,GALLIFORMES,Phasianidae,Pernice testacremisi
417,Galloperdix spadicea,OR,GALLIFORMES,Phasianidae,Gallopernice rosso
418,Galloperdix lunulata,OR,GALLIFORMES,Phasianidae,Gallopernice pittato
419,Galloperdix bicalcarata,OR,GALLIFORMES,Phasianidae,Gallopernice di Sri Lanka
420,Polyplectron napoleonis,OR,GALLIFORMES,Phasianidae,Speroniere di Palawan
421,Polyplectron schleiermacheri,OR,GALLIFORMES,Phasianidae,Speroniere del Borneo
422,Polyplectron malacense,OR,GALLIFORMES,Phasianidae,Speroniere di Malesia
423,Polyplectron germaini,OR,GALLIFORMES,Phasianidae,Speroniere di Germain
424,Polyplectron katsumatae,OR,GALLIFORMES,Phasianidae,Speroniere di Hainan
425,Polyplectron bicalcaratum,OR,GALLIFORMES,Phasianidae,Speroniere grigio
426,Polyplectron inopinatum,OR,GALLIFORMES,Phasianidae,Speroniere montano
427,Polyplectron chalcurum,OR,GALLIFORMES,Phasianidae,Speroniere codabronzo
428,Bambusicola fytchii,OR,GALLIFORMES,Phasianidae,Pernice del bambù montana
429,Bambusicola thoracicus,OR,GALLIFORMES,Phasianidae,Pernice del bambù della Cina
430,Bambusicola sonorivox,OR,GALLIFORMES,Phasianidae,Taiwan Bamboo Partridge
431,Gallus varius,OR,GALLIFORMES,Phasianidae,Gallo verde
432,Gallus gallus,OR,GALLIFORMES,Phasianidae,Gallo comune
433,Gallus sonneratii,OR,GALLIFORMES,Phasianidae,Gallo grigio
434,Gallus lafayettii,OR,GALLIFORMES,Phasianidae,Gallo di Sri Lanka
435,Peliperdix lathami,AF,GALLIFORMES,Phasianidae,Francolino di foresta
436,Ortygornis sephaena,AF,GALLIFORMES,Phasianidae,Francolino crestato
437,Ortygornis pondicerianus,"PAL, OR",GALLIFORMES,Phasianidae,Francolino grigio
438,Ortygornis gularis,OR,GALLIFORMES,Phasianidae,Francolino di palude
439,Francolinus pintadeanus,OR,GALLIFORMES,Phasianidae,Francolino della Cina
440,Francolinus francolinus,"PAL, OR",GALLIFORMES,Phasianidae,Francolino
441,Francolinus pictus,OR,GALLIFORMES,Phasianidae,Francolino pittato
442,Campocolinus coqui,AF,GALLIFORMES,Phasianidae,Francolino coqui
443,Campocolinus albogularis,AF,GALLIFORMES,Phasianidae,Francolino golabianca
444,Campocolinus schlegelii,AF,GALLIFORMES,Phasianidae,Francolino di Schlegel
445,Scleroptila streptophora,AF,GALLIFORMES,Phasianidae,Francolino dal collare
446,Scleroptila levaillantii,AF,GALLIFORMES,Phasianidae,Francolino alirosse
447,Scleroptila finschi,AF,GALLIFORMES,Phasianidae,Francolino di Finsch
448,Scleroptila psilolaema,AF,GALLIFORMES,Phasianidae,Francolino di brughiera
449,Scleroptila elgonensis,AF,GALLIFORMES,Phasianidae,Elgon Francolin
450,Scleroptila afra,AF,GALLIFORMES,Phasianidae,Francolino aligrigie
451,Scleroptila gutturalis,AF,GALLIFORMES,Phasianidae,Francolino dell'Orange
452,Scleroptila shelleyi,AF,GALLIFORMES,Phasianidae,Francolino di Shelley
453,Scleroptila whytei,AF,GALLIFORMES,Phasianidae,Whyte's Francolin
454,Tetraogallus tibetanus,PAL,GALLIFORMES,Phasianidae,Tetraogallo del Tibet
455,Tetraogallus altaicus,PAL,GALLIFORMES,Phasianidae,Tetraogallo dell'Altai
456,Tetraogallus caucasicus,PAL,GALLIFORMES,Phasianidae,Tetraogallo del Caucaso
457,Tetraogallus caspius,PAL,GALLIFORMES,Phasianidae,Tetraogallo del Caspio
458,Tetraogallus himalayensis,PAL,GALLIFORMES,Phasianidae,Tetraogallo dell'Himalaya
459,Ammoperdix griseogularis,PAL,GALLIFORMES,Phasianidae,Pernice golagrigia
460,Ammoperdix heyi,"PAL, AF",GALLIFORMES,Phasianidae,Pernice delle sabbie
461,Synoicus ypsilophorus,AU,GALLIFORMES,Phasianidae,Quaglia bruna
462,Synoicus monorthonyx,AU,GALLIFORMES,Phasianidae,Quaglia degli Snow
463,Synoicus chinensis,"OR, AU",GALLIFORMES,Phasianidae,Quaglia pettoblu
464,Synoicus adansonii,AF,GALLIFORMES,Phasianidae,Quaglia blu
465,Margaroperdix madagarensis,AF,GALLIFORMES,Phasianidae,Pernice del Madagascar
466,Coturnix coturnix,"AF, IO, PAL",GALLIFORMES,Phasianidae,Quaglia
467,Coturnix japonica,PAL,GALLIFORMES,Phasianidae,Quaglia del Giappone
468,Coturnix delegorguei,AF,GALLIFORMES,Phasianidae,Quaglia arlecchino
469,Coturnix coromandelica,OR,GALLIFORMES,Phasianidae,Quaglia delle piogge
470,Coturnix pectoralis,AU,GALLIFORMES,Phasianidae,Quaglia delle stoppie
471,Alectoris barbara,AF,GALLIFORMES,Phasianidae,Pernice sarda
472,Alectoris melanocephala,PAL,GALLIFORMES,Phasianidae,Pernice d'Arabia
473,Alectoris rufa,PAL,GALLIFORMES,Phasianidae,Pernice rossa
474,Alectoris chukar,PAL,GALLIFORMES,Phasianidae,Coturnice orientale
475,Alectoris graeca,PAL,GALLIFORMES,Phasianidae,Coturnice
476,Alectoris philbyi,PAL,GALLIFORMES,Phasianidae,Pernice di Philby
477,Alectoris magna,PAL,GALLIFORMES,Phasianidae,Pernice di Przevalski
478,Perdicula asiatica,OR,GALLIFORMES,Phasianidae,Quaglietta della giungla
479,Perdicula argoondah,OR,GALLIFORMES,Phasianidae,Quaglietta del deserto
480,Perdicula erythrorhyncha,OR,GALLIFORMES,Phasianidae,Quaglietta pittata
481,Perdicula manipurensis,OR,GALLIFORMES,Phasianidae,Quaglietta del Manipur
482,Pternistis hartlaubi,AF,GALLIFORMES,Phasianidae,Francolino di Hartlaub
483,Pternistis camerunensis,AF,GALLIFORMES,Phasianidae,Francolino del Camerun
484,Pternistis nobilis,AF,GALLIFORMES,Phasianidae,Francolino magnifico
485,Pternistis castaneicollis,AF,GALLIFORMES,Phasianidae,Francolino nucacastana
486,Pternistis erckelii,AF,GALLIFORMES,Phasianidae,Francolino di Erckel
487,Pternistis ochropectus,AF,GALLIFORMES,Phasianidae,Francolino di Gibuti
488,Pternistis swierstrai,AF,GALLIFORMES,Phasianidae,Francolino di Swierstra
489,Pternistis ahantensis,AF,GALLIFORMES,Phasianidae,Francolino dell'Ashanti
490,Pternistis griseostriatus,AF,GALLIFORMES,Phasianidae,Francolino striegrigie
491,Pternistis jacksoni,AF,GALLIFORMES,Phasianidae,Francolino di Jackson
492,Pternistis adspersus,AF,GALLIFORMES,Phasianidae,Francolino beccorosso
493,Pternistis capensis,AF,GALLIFORMES,Phasianidae,Francolino del Capo
494,Pternistis natalensis,AF,GALLIFORMES,Phasianidae,Francolino del Natal
495,Pternistis hildebrandti,AF,GALLIFORMES,Phasianidae,Francolino di Hildebrandt
496,Pternistis bicalcaratus,AF,GALLIFORMES,Phasianidae,Francolino bisperonato
497,Pternistis squamatus,AF,GALLIFORMES,Phasianidae,Francolino squamato
498,Pternistis icterorhynchus,AF,GALLIFORMES,Phasianidae,Francolino di Heuglin
499,Pternistis clappertoni,AF,GALLIFORMES,Phasianidae,Francolino di Clapperton
500,Pternistis harwoodi,AF,GALLIFORMES,Phasianidae,Francolino di Harwood
501,Pternistis swainsonii,AF,GALLIFORMES,Phasianidae,Francolino di Swainson
502,Pternistis leucoscepus,AF,GALLIFORMES,Phasianidae,Francolino collogiallo
503,Pternistis rufopictus,AF,GALLIFORMES,Phasianidae,Francolino pettogrigio
504,Pternistis afer,AF,GALLIFORMES,Phasianidae,Francolino collorosso
505,Eurostopodus argus,AU,CAPRIMULGIFORMES,Caprimulgidae,Succiacapre macchiato
506,Eurostopodus mystacalis,AU,CAPRIMULGIFORMES,Caprimulgidae,Succiacapre golabianca
507,Eurostopodus nigripennis,AU,CAPRIMULGIFORMES,Caprimulgidae,Solomons Nightjar
508,Eurostopodus exul,AU,CAPRIMULGIFORMES,Caprimulgidae,New Caledonian Nightjar
509,Eurostopodus diabolicus,AU,CAPRIMULGIFORMES,Caprimulgidae,Succiacapre satanico
510,Eurostopodus papuensis,AU,CAPRIMULGIFORMES,Caprimulgidae,Succiacapre papua
511,Eurostopodus archboldi,AU,CAPRIMULGIFORMES,Caprimulgidae,Succiacapre di Archbold
512,Lyncornis temminckii,OR,CAPRIMULGIFORMES,Caprimulgidae,Succiacapre orecchiuto di Malesia
513,Lyncornis macrotis,"OR, AU",CAPRIMULGIFORMES,Caprimulgidae,Succiacapre orecchiuto maggiore
514,Gactornis enarratus,AF,CAPRIMULGIFORMES,Caprimulgidae,Succiacapre dal collare
515,Chordeiles nacunda,SA,CAPRIMULGIFORMES,Caprimulgidae,Succiacapre nacunda
516,Chordeiles pusillus,SA,CAPRIMULGIFORMES,Caprimulgidae,Succiacapre minuto
517,Chordeiles rupestris,SA,CAPRIMULGIFORMES,Caprimulgidae,Succiacapre sabbia
518,Chordeiles acutipennis,"NA, MA, SA",CAPRIMULGIFORMES,Caprimulgidae,Succiacapre minore
519,Chordeiles minor,"NA, MA",CAPRIMULGIFORMES,Caprimulgidae,Succiacapre sparviere
520,Lurocalis semitorquatus,"MA, SA",CAPRIMULGIFORMES,Caprimulgidae,Succiacapre codacorta
521,Lurocalis rufiventris,SA,CAPRIMULGIFORMES,Caprimulgidae,Succiacapre panciarossiccia
522,Nyctiprogne leucopyga,SA,CAPRIMULGIFORMES,Caprimulgidae,Succiacapre codabarrata
523,Nyctiprogne vielliardi,SA,CAPRIMULGIFORMES,Caprimulgidae,Succiacapre del Bahia
524,Nyctipolus nigrescens,SA,CAPRIMULGIFORMES,Caprimulgidae,Succiacapre nerastro
525,Nyctipolus hirundinaceus,SA,CAPRIMULGIFORMES,Caprimulgidae,Succiacapre pigmeo
526,Nyctidromus albicollis,"MA, SA",CAPRIMULGIFORMES,Caprimulgidae,Pauraque
527,Nyctidromus anthonyi,SA,CAPRIMULGIFORMES,Caprimulgidae,Succiacapre di macchia
528,Setopagis heterura,SA,CAPRIMULGIFORMES,Caprimulgidae,Succiacapre di Todd
529,Setopagis parvula,SA,CAPRIMULGIFORMES,Caprimulgidae,Succiacapre piccolo
530,Setopagis whitelyi,SA,CAPRIMULGIFORMES,Caprimulgidae,Succiacapre del Roraima
531,Setopagis maculosa,SA,CAPRIMULGIFORMES,Caprimulgidae,Succiacapre di Cayenne
532,Eleothreptus anomalus,SA,CAPRIMULGIFORMES,Caprimulgidae,Succiacapre alifalcate
533,Eleothreptus candicans,SA,CAPRIMULGIFORMES,Caprimulgidae,Succiacapre alibianche
534,Systellura longirostris,SA,CAPRIMULGIFORMES,Caprimulgidae,Succiacapre alibarrate
535,Systellura decussata,SA,CAPRIMULGIFORMES,Caprimulgidae,Tschudi's Nightjar
536,Uropsalis segmentata,SA,CAPRIMULGIFORMES,Caprimulgidae,Succiacapre coda di rondine
537,Uropsalis lyra,SA,CAPRIMULGIFORMES,Caprimulgidae,Succiacapre codalira
538,Hydropsalis cayennensis,"MA, SA",CAPRIMULGIFORMES,Caprimulgidae,Succiacapre codabianca
539,Hydropsalis maculicaudus,"MA, SA",CAPRIMULGIFORMES,Caprimulgidae,Succiacapre codamacchiata
540,Hydropsalis climacocerca,SA,CAPRIMULGIFORMES,Caprimulgidae,Succiacapre scalare
541,Hydropsalis torquata,SA,CAPRIMULGIFORMES,Caprimulgidae,Succiacapre codaforbice
542,Macropsalis forcipata,SA,CAPRIMULGIFORMES,Caprimulgidae,Succiacapre paggetto
543,Nyctiphrynus rosenbergi,SA,CAPRIMULGIFORMES,Caprimulgidae,Succiacapre del Chocò
544,Nyctiphrynus mcleodii,MA,CAPRIMULGIFORMES,Caprimulgidae,Succiacapre di McLeod
545,Nyctiphrynus yucatanicus,MA,CAPRIMULGIFORMES,Caprimulgidae,Succiacapre dello Yucatan
546,Nyctiphrynus ocellatus,"MA, SA",CAPRIMULGIFORMES,Caprimulgidae,Succiacapre ocellato
547,Phalaenoptilus nuttallii,"NA, MA",CAPRIMULGIFORMES,Caprimulgidae,Succiacapre di Nuttall
548,Antrostomus rufus,"MA, SA",CAPRIMULGIFORMES,Caprimulgidae,Succiacapre rossiccio
549,Antrostomus salvini,MA,CAPRIMULGIFORMES,Caprimulgidae,Succiacapre collofulvo
550,Antrostomus badius,MA,CAPRIMULGIFORMES,Caprimulgidae,Succiacapre baio
551,Antrostomus sericocaudatus,SA,CAPRIMULGIFORMES,Caprimulgidae,Succiacapre sericeo
552,Antrostomus ridgwayi,MA,CAPRIMULGIFORMES,Caprimulgidae,Succiacapre collocamoscio
553,Antrostomus saturatus,MA,CAPRIMULGIFORMES,Caprimulgidae,Succiacapre fosco
554,Veles binotatus,AF,CAPRIMULGIFORMES,Caprimulgidae,Succiacapre bruno
555,Caprimulgus ruficollis,"PAL, AF",CAPRIMULGIFORMES,Caprimulgidae,Succiacapre collorosso
556,Caprimulgus indicus,OR,CAPRIMULGIFORMES,Caprimulgidae,Succiacapre grigio
557,Caprimulgus jotaka,OR,CAPRIMULGIFORMES,Caprimulgidae,Grey Nightjar
558,Caprimulgus phalaena,OR,CAPRIMULGIFORMES,Caprimulgidae,Palau Nightjar
559,Caprimulgus europaeus,PAL,CAPRIMULGIFORMES,Caprimulgidae,Succiacapre
560,Caprimulgus fraenatus,AF,CAPRIMULGIFORMES,Caprimulgidae,Succiacapre scuro
561,Caprimulgus rufigena,AF,CAPRIMULGIFORMES,Caprimulgidae,Succiacapre guancerossicce
562,Caprimulgus aegyptius,"PAL, AF",CAPRIMULGIFORMES,Caprimulgidae,Succiacapre isabellino
563,Caprimulgus mahrattensis,PAL,CAPRIMULGIFORMES,Caprimulgidae,Succiacapre di Sykes
564,Caprimulgus nubicus,AF,CAPRIMULGIFORMES,Caprimulgidae,Succiacapre della Nubia
565,Caprimulgus eximius,AF,CAPRIMULGIFORMES,Caprimulgidae,Succiacapre dorato
566,Caprimulgus atripennis,OR,CAPRIMULGIFORMES,Caprimulgidae,Succiacapre di Jerdon
567,Caprimulgus macrurus,"OR, AU",CAPRIMULGIFORMES,Caprimulgidae,Succiacapre codalarga
568,Caprimulgus meesi,OR,CAPRIMULGIFORMES,Caprimulgidae,Succiacapre di Mees
569,Caprimulgus andamanicus,OR,CAPRIMULGIFORMES,Caprimulgidae,Succiacapre delle Andamane
570,Caprimulgus manillensis,OR,CAPRIMULGIFORMES,Caprimulgidae,Succiacapre delle Filippine
571,Caprimulgus celebensis,AU,CAPRIMULGIFORMES,Caprimulgidae,Succiacapre di Sulawesi
572,Caprimulgus donaldsoni,AF,CAPRIMULGIFORMES,Caprimulgidae,Succiacapre di Donaldson Smith
573,Caprimulgus pectoralis,AF,CAPRIMULGIFORMES,Caprimulgidae,Succiacapre colloflammeo
574,Caprimulgus poliocephalus,AF,CAPRIMULGIFORMES,Caprimulgidae,Succiacapre d'Abissinia
575,Caprimulgus asiaticus,OR,CAPRIMULGIFORMES,Caprimulgidae,Succiacapre indiano
576,Caprimulgus madagascariensis,AF,CAPRIMULGIFORMES,Caprimulgidae,Succiacapre del Madagascar
577,Caprimulgus natalensis,AF,CAPRIMULGIFORMES,Caprimulgidae,Succiacapre di palude
578,Caprimulgus solala,AF,CAPRIMULGIFORMES,Caprimulgidae,Succiacapre del Nechisar
579,Caprimulgus inornatus,AF,CAPRIMULGIFORMES,Caprimulgidae,Succiacapre disadorno
580,Caprimulgus stellatus,AF,CAPRIMULGIFORMES,Caprimulgidae,Succiacapre stellato
581,Caprimulgus affinis,"OR, AU",CAPRIMULGIFORMES,Caprimulgidae,Succiacapre di savana
582,Caprimulgus griseatus,OR,CAPRIMULGIFORMES,Caprimulgidae,Chirruping Nightjar
583,Caprimulgus tristigma,AF,CAPRIMULGIFORMES,Caprimulgidae,Succiacapre lentigginoso
584,Caprimulgus concretus,OR,CAPRIMULGIFORMES,Caprimulgidae,Succiacapre di Bonaparte
585,Caprimulgus pulchellus,OR,CAPRIMULGIFORMES,Caprimulgidae,Succiacapre di Salvadori
586,Caprimulgus prigoginei,AF,CAPRIMULGIFORMES,Caprimulgidae,Succiacapre di Itombwe
587,Caprimulgus batesi,AF,CAPRIMULGIFORMES,Caprimulgidae,Succiacapre di Bates
588,Caprimulgus climacurus,AF,CAPRIMULGIFORMES,Caprimulgidae,Succiacapre codalunga
589,Caprimulgus clarus,AF,CAPRIMULGIFORMES,Caprimulgidae,Succiacapre codasottile
590,Caprimulgus fossii,AF,CAPRIMULGIFORMES,Caprimulgidae,Succiacapre codaquadra
591,Caprimulgus longipennis,AF,CAPRIMULGIFORMES,Caprimulgidae,Succiacapre vessillario
592,Caprimulgus vexillarius,AF,CAPRIMULGIFORMES,Caprimulgidae,Succiacapre dai pennacchi
593,Steatornis caripensis,SA,STEATORNITHIFORMES,Steatornithidae,Guaciaro
594,Phyllaemulor bracteatus,SA,NYCTIBIIFORMES,Nyctibiidae,Nittibio rossiccio
595,Nyctibius grandis,"MA, SA",NYCTIBIIFORMES,Nyctibiidae,Nittibio maggiore
596,Nyctibius aethereus,SA,NYCTIBIIFORMES,Nyctibiidae,Nittibio codalunga
597,Nyctibius jamaicensis,"MA, NA",NYCTIBIIFORMES,Nyctibiidae,Nittibio settentrionale
598,Nyctibius griseus,"MA, SA",NYCTIBIIFORMES,Nyctibiidae,Nittibio comune
599,Nyctibius maculosus,SA,NYCTIBIIFORMES,Nyctibiidae,Nittibio delle Ande
600,Nyctibius leucopterus,SA,NYCTIBIIFORMES,Nyctibiidae,Nittibio alibianche
601,Podargus ocellatus,AU,PODARGIFORMES,Podargidae,Bocca di rana marmorizzato
602,Podargus papuensis,AU,PODARGIFORMES,Podargidae,Bocca di rana papua
603,Podargus strigoides,AU,PODARGIFORMES,Podargidae,Bocca di rana grigio
604,Rigidipenna inexpectata,AU,PODARGIFORMES,Podargidae,Bocca di rana delle Salomone
605,Batrachostomus auritus,OR,PODARGIFORMES,Podargidae,Bocca di rana maggiore
606,Batrachostomus harterti,OR,PODARGIFORMES,Podargidae,Bocca di rana del Dulit
607,Batrachostomus septimus,OR,PODARGIFORMES,Podargidae,Bocca di rana delle Filippine
608,Batrachostomus stellatus,OR,PODARGIFORMES,Podargidae,Bocca di rana di Gould
609,Batrachostomus moniliger,OR,PODARGIFORMES,Podargidae,Bocca di rana di Sri Lanka
610,Batrachostomus hodgsoni,OR,PODARGIFORMES,Podargidae,Bocca di rana di Hodgson
611,Batrachostomus poliolophus,OR,PODARGIFORMES,Podargidae,Bocca di rana codacorta
612,Batrachostomus mixtus,OR,PODARGIFORMES,Podargidae,Bocca di rana del Borneo
613,Batrachostomus javensis,OR,PODARGIFORMES,Podargidae,Bocca di rana di Giava
614,Batrachostomus affinis,OR,PODARGIFORMES,Podargidae,Bocca di rana di Blyth
615,Batrachostomus chaseni,OR,PODARGIFORMES,Podargidae,Palawan Frogmouth
616,Batrachostomus cornutus,OR,PODARGIFORMES,Podargidae,Bocca di rana della Sonda
617,Aegotheles insignis,AU,AEGOTHELIFORMES,Aegothelidae,Egotele felino
618,Aegotheles tatei,AU,AEGOTHELIFORMES,Aegothelidae,Egotele picchiettato
619,Aegotheles crinifrons,AU,AEGOTHELIFORMES,Aegothelidae,Egotele delle Molucche
620,Aegotheles wallacii,AU,AEGOTHELIFORMES,Aegothelidae,Egotele di Wallace
621,Aegotheles albertisi,AU,AEGOTHELIFORMES,Aegothelidae,Egotele montano
622,Aegotheles savesi,AU,AEGOTHELIFORMES,Aegothelidae,Egotele di New Caledonia
