,IOC,Breeding Range,Order,Family,Italian
150,Anas poecilorhyncha,OR,ANSERIFORMES,Anatidae,Germano beccomacchiato
151,Anas zonorhyncha,OR,ANSERIFORMES,Anatidae,Germano beccomacchiato orientale
152,Anas platyrhynchos,"NA, PAL",ANSERIFORMES,Anatidae,Germano reale
153,Anas diazi,"NA, MA",ANSERIFORMES,Anatidae,Germano messicano
154,Anas capensis,AF,ANSERIFORMES,Anatidae,Alzavola del Capo
155,Anas bahamensis,"SA, NA",ANSERIFORMES,Anatidae,Codone guancebianche
156,Anas erythrorhyncha,AF,ANSERIFORMES,Anatidae,Anatra beccorosso
157,Anas georgica,SA,ANSERIFORMES,Anatidae,Codone beccogiallo
158,Anas eatoni,IO,ANSERIFORMES,Anatidae,Codone di Eaton
159,Anas acuta,"NA, PAL",ANSERIFORMES,Anatidae,Codone
160,Anas crecca,"PAL, NA",ANSERIFORMES,Anatidae,Alzavola
161,Anas flavirostris,SA,ANSERIFORMES,Anatidae,Alzavola marezzata
162,Anas andium,SA,ANSERIFORMES,Anatidae,Alzavola delle Ande
163,Anas gibberifrons,OR,ANSERIFORMES,Anatidae,Alzavola d'Indonesia
164,Anas albogularis,OR,ANSERIFORMES,Anatidae,Alzavola delle Andamane
165,Anas gracilis,AU,ANSERIFORMES,Anatidae,Alzavola grigia
166,Anas castanea,AU,ANSERIFORMES,Anatidae,Alzavola castana
167,Anas bernieri,AF,ANSERIFORMES,Anatidae,Alzavola di Bernier
168,Anas chlorotis,AU,ANSERIFORMES,Anatidae,Alzavola bruna
169,Anas aucklandica,AU,ANSERIFORMES,Anatidae,Alzavola delle Auckland
170,Anas nesiotis,AU,ANSERIFORMES,Anatidae,Alzavola delle Campbell
171,Marmaronetta angustirostris,PAL,ANSERIFORMES,Anatidae,Anatra marmorizzata
172,Netta rufina,PAL,ANSERIFORMES,Anatidae,Fistione turco
173,Netta peposaca,SA,ANSERIFORMES,Anatidae,Fistione beccoroseo
174,Netta erythrophthalma,"AF, SA",ANSERIFORMES,Anatidae,Fistione bruno
175,Aythya ferina,PAL,ANSERIFORMES,Anatidae,Moriglione
176,Aythya australis,AU,ANSERIFORMES,Anatidae,Moretta australiana
177,Aythya innotata,AF,ANSERIFORMES,Anatidae,Moretta del Madagascar
178,Aythya baeri,PAL,ANSERIFORMES,Anatidae,Moriglione di Baer
179,Aythya nyroca,PAL,ANSERIFORMES,Anatidae,Moretta tabaccata
180,Aythya novaeseelandiae,AU,ANSERIFORMES,Anatidae,Moretta di Nuova Zelanda
181,Aythya fuligula,PAL,ANSERIFORMES,Anatidae,Moretta
182,Aythya marila,"NA, PAL",ANSERIFORMES,Anatidae,Moretta grigia
183,Polysticta stelleri,"NA, PAL",ANSERIFORMES,Anatidae,Edredone di Steller
184,Somateria fischeri,"NA, PAL",ANSERIFORMES,Anatidae,Edredone dagli occhiali
185,Somateria spectabilis,"NA, PAL",ANSERIFORMES,Anatidae,Re degli edredoni
186,Somateria mollissima,"NA, PAL",ANSERIFORMES,Anatidae,Edredone
187,Histrionicus histrionicus,"NA, PAL",ANSERIFORMES,Anatidae,Moretta arlecchino
188,Melanitta fusca,PAL,ANSERIFORMES,Anatidae,Orco marino
189,Melanitta stejnegeri,PAL,ANSERIFORMES,Anatidae,Orco marino di Stejneger
190,Melanitta nigra,PAL,ANSERIFORMES,Anatidae,Orchetto marino
191,Melanitta americana,"PAL, NA",ANSERIFORMES,Anatidae,Orchetto marino americano
192,Clangula hyemalis,"NA, PAL",ANSERIFORMES,Anatidae,Moretta codona
193,Bucephala clangula,"NA, PAL",ANSERIFORMES,Anatidae,Quattrocchi
194,Bucephala islandica,"NA, PAL",ANSERIFORMES,Anatidae,Quattrocchi d'Islanda
195,Mergellus albellus,PAL,ANSERIFORMES,Anatidae,Pesciaiola
196,Mergus octosetaceus,SA,ANSERIFORMES,Anatidae,Smergo del Brasile
197,Mergus merganser,"NA, PAL",ANSERIFORMES,Anatidae,Smergo maggiore
198,Mergus serrator,"NA, PAL",ANSERIFORMES,Anatidae,Smergo minore
199,Mergus squamatus,PAL,ANSERIFORMES,Anatidae,Smergo squamato
200,Heteronetta atricapilla,SA,ANSERIFORMES,Anatidae,Gobbo testanera
201,Nomonyx dominicus,"MA, SA",ANSERIFORMES,Anatidae,Gobbo mascherato
202,Oxyura jamaicensis,"NA, MA",ANSERIFORMES,Anatidae,Gobbo della Giamaica
203,Oxyura ferruginea,SA,ANSERIFORMES,Anatidae,Gobbo delle Ande
204,Oxyura vittata,SA,ANSERIFORMES,Anatidae,Gobbo lacustre
205,Oxyura australis,AU,ANSERIFORMES,Anatidae,Gobbo beccazzurro
206,Oxyura maccoa,AF,ANSERIFORMES,Anatidae,Gobbo maccoa
207,Oxyura leucocephala,PAL,ANSERIFORMES,Anatidae,Gobbo rugginoso
208,Biziura lobata,AU,ANSERIFORMES,Anatidae,Gobbo muschiato
209,Alectura lathami,AU,GALLIFORMES,Megapodiidae,Megapodio australiano
210,Aepypodius arfakianus,AU,GALLIFORMES,Megapodiidae,Megapodio dal bargiglio
211,Aepypodius bruijnii,AU,GALLIFORMES,Megapodiidae,Megapodio di Bruijn
212,Talegalla cuvieri,AU,GALLIFORMES,Megapodiidae,Megapodio beccorosso
213,Talegalla fuscirostris,AU,GALLIFORMES,Megapodiidae,Megapodio becconero
214,Talegalla jobiensis,AU,GALLIFORMES,Megapodiidae,Megapodio dal collare
215,Leipoa ocellata,AU,GALLIFORMES,Megapodiidae,Megapodio del mallee
216,Macrocephalon maleo,AU,GALLIFORMES,Megapodiidae,Maleo
217,Eulipoa wallacei,AU,GALLIFORMES,Megapodiidae,Megapodio delle Molucche
218,Megapodius pritchardii,PO,GALLIFORMES,Megapodiidae,Megapodio di Niuafoou
219,Megapodius laperouse,PO,GALLIFORMES,Megapodiidae,Megapodio di Micronesia
220,Megapodius nicobariensis,OR,GALLIFORMES,Megapodiidae,Megapodio delle Nicobare
221,Megapodius cumingii,"OR, AU",GALLIFORMES,Megapodiidae,Megapodio tabon
222,Megapodius bernsteinii,AU,GALLIFORMES,Megapodiidae,Megapodio delle Sula
223,Megapodius tenimberensis,AU,GALLIFORMES,Megapodiidae,Megapodio delle Tanimbar
224,Megapodius freycinet,AU,GALLIFORMES,Megapodiidae,Megapodio fosco
225,Megapodius geelvinkianus,AU,GALLIFORMES,Megapodiidae,Megapodio di Geelvink
226,Megapodius eremita,AU,GALLIFORMES,Megapodiidae,Megapodio di Melanesia
227,Megapodius layardi,AU,GALLIFORMES,Megapodiidae,Megapodio delle Vanuatu
228,Megapodius decollatus,AU,GALLIFORMES,Megapodiidae,Megapodio papua
229,Megapodius reinwardt,AU,GALLIFORMES,Megapodiidae,Megapodio piediarancio
230,Ortalis vetula,"NA, MA",GALLIFORMES,Cracidae,Ciacialaca disadorno
231,Ortalis cinereiceps,"MA, SA",GALLIFORMES,Cracidae,Ciacialaca testagrigia
232,Ortalis garrula,SA,GALLIFORMES,Cracidae,Ciacialaca alicastane
233,Ortalis ruficauda,SA,GALLIFORMES,Cracidae,Ciacialaca culorossiccio
234,Ortalis erythroptera,SA,GALLIFORMES,Cracidae,Ciacialaca testarossiccia
235,Ortalis wagleri,MA,GALLIFORMES,Cracidae,Ciacialaca panciarossiccia
236,Ortalis poliocephala,MA,GALLIFORMES,Cracidae,Ciacialaca del Messico Occidentale
237,Ortalis canicollis,SA,GALLIFORMES,Cracidae,Ciacialaca del chaco
238,Ortalis leucogastra,MA,GALLIFORMES,Cracidae,Ciacialaca panciabianca
239,Ortalis guttata,SA,GALLIFORMES,Cracidae,Ciacialaca marezzato
240,Ortalis araucuan,SA,GALLIFORMES,Cracidae,Ciacialaca brasiliano
241,Ortalis squamata,SA,GALLIFORMES,Cracidae,Scaled Chachalaca
242,Ortalis columbiana,SA,GALLIFORMES,Cracidae,Ciacialaca colombiano
243,Ortalis motmot,SA,GALLIFORMES,Cracidae,Ciacialaca minore
244,Ortalis ruficeps,SA,GALLIFORMES,Cracidae,Chestnut-headed Chachalaca
245,Ortalis superciliaris,SA,GALLIFORMES,Cracidae,Ciacialaca cigliacamoscio
246,Penelope argyrotis,SA,GALLIFORMES,Cracidae,Guan codafasciata
247,Penelope barbata,SA,GALLIFORMES,Cracidae,Guan barbuto
248,Penelope ortoni,SA,GALLIFORMES,Cracidae,Guan di Baudò
249,Penelope montagnii,SA,GALLIFORMES,Cracidae,Guan delle Ande
250,Penelope marail,SA,GALLIFORMES,Cracidae,Guan marail
251,Penelope superciliaris,SA,GALLIFORMES,Cracidae,Guan alirossicce
252,Penelope dabbenei,SA,GALLIFORMES,Cracidae,Guan facciarossa
253,Penelope purpurascens,"MA, SA",GALLIFORMES,Cracidae,Guan crestato
254,Penelope perspicax,SA,GALLIFORMES,Cracidae,Guan di Cauca
255,Penelope albipennis,SA,GALLIFORMES,Cracidae,Guan alibianche
256,Penelope jacquacu,SA,GALLIFORMES,Cracidae,Guan di Spix
257,Penelope obscura,SA,GALLIFORMES,Cracidae,Guan zampescure
258,Penelope bridgesi,SA,GALLIFORMES,Cracidae,Yungas Guan
259,Penelope pileata,SA,GALLIFORMES,Cracidae,Guan crestabianca
260,Penelope ochrogaster,SA,GALLIFORMES,Cracidae,Guan panciacastana
261,Penelope jacucaca,SA,GALLIFORMES,Cracidae,Guan cigliabianche
262,Pipile pipile,SA,GALLIFORMES,Cracidae,Guan fischiatore di Trinidad
263,Pipile cumanensis,SA,GALLIFORMES,Cracidae,Guan fischiatore golablu
264,Pipile grayi,SA,GALLIFORMES,Cracidae,White-throated Piping Guan
265,Pipile cujubi,SA,GALLIFORMES,Cracidae,Guan fischiatore golarossa
266,Pipile jacutinga,SA,GALLIFORMES,Cracidae,Guan fischiatore frontenera
267,Aburria aburri,SA,GALLIFORMES,Cracidae,Guan dal bargiglio
268,Chamaepetes unicolor,MA,GALLIFORMES,Cracidae,Guan nero
269,Chamaepetes goudotii,SA,GALLIFORMES,Cracidae,Guan alifalcate
270,Penelopina nigra,MA,GALLIFORMES,Cracidae,Guan delle alture
271,Oreophasis derbianus,MA,GALLIFORMES,Cracidae,Guan cornuto
272,Nothocrax urumutum,SA,GALLIFORMES,Cracidae,Hocco notturno
273,Mitu tomentosum,SA,GALLIFORMES,Cracidae,Hocco senzacresta
274,Mitu salvini,SA,GALLIFORMES,Cracidae,Hocco di Salvin
275,Mitu tuberosum,SA,GALLIFORMES,Cracidae,Hocco becco a rasoio
276,Mitu mitu,SA,GALLIFORMES,Cracidae,Hocco di Alagoas
277,Pauxi pauxi,SA,GALLIFORMES,Cracidae,Hocco dall'elmo
278,Pauxi unicornis,SA,GALLIFORMES,Cracidae,Hocco cornuto
279,Pauxi koepckeae,SA,GALLIFORMES,Cracidae,Sira Curassow
280,Crax rubra,"MA, SA",GALLIFORMES,Cracidae,Hocco maggiore
281,Crax alberti,SA,GALLIFORMES,Cracidae,Hocco beccazzurro
282,Crax daubentoni,SA,GALLIFORMES,Cracidae,Hocco beccogiallo
283,Crax alector,SA,GALLIFORMES,Cracidae,Hocco nero
284,Crax globulosa,SA,GALLIFORMES,Cracidae,Hocco dai bargigli
285,Crax fasciolata,SA,GALLIFORMES,Cracidae,Hocco faccianuda
286,Crax blumenbachii,SA,GALLIFORMES,Cracidae,Hocco beccorosso
287,Agelastes meleagrides,AF,GALLIFORMES,Numididae,Faraona pettobianco
288,Agelastes niger,AF,GALLIFORMES,Numididae,Faraona nera
289,Numida meleagris,AF,GALLIFORMES,Numididae,Faraona
290,Guttera plumifera,AF,GALLIFORMES,Numididae,Faraona piumata
291,Guttera verreauxi,AF,GALLIFORMES,Numididae,Western Crested Guineafowl
292,Guttera pucherani,AF,GALLIFORMES,Numididae,Faraona crestata
293,Guttera edouardi,AF,GALLIFORMES,Numididae,Southern Crested Guineafowl
294,Acryllium vulturinum,AF,GALLIFORMES,Numididae,Faraona vulturina
295,Ptilopachus petrosus,AF,GALLIFORMES,Odontophoridae,Pernice sassicola
296,Ptilopachus nahani,AF,GALLIFORMES,Odontophoridae,Francolino di Nahan
297,Dendrortyx leucophrys,MA,GALLIFORMES,Odontophoridae,Pernice boschereccia capocamoscio
298,Dendrortyx macroura,MA,GALLIFORMES,Odontophoridae,Pernice boschereccia codalunga
299,Dendrortyx barbatus,MA,GALLIFORMES,Odontophoridae,Pernice boschereccia barbuta
300,Oreortyx pictus,"NA, MA",GALLIFORMES,Odontophoridae,Quaglia montana
301,Callipepla squamata,"NA, MA",GALLIFORMES,Odontophoridae,Quaglia squamata
302,Callipepla douglasii,MA,GALLIFORMES,Odontophoridae,Quaglia elegante
303,Callipepla californica,"NA, MA",GALLIFORMES,Odontophoridae,Colino della California
304,Callipepla gambelii,"NA, MA",GALLIFORMES,Odontophoridae,Quaglia di Gambel
305,Philortyx fasciatus,MA,GALLIFORMES,Odontophoridae,Quaglia fasciata
306,Colinus virginianus,"NA, MA",GALLIFORMES,Odontophoridae,Colino della Virginia
307,Colinus nigrogularis,MA,GALLIFORMES,Odontophoridae,Colino golanera
308,Colinus leucopogon,MA,GALLIFORMES,Odontophoridae,Colino macchiato
309,Colinus cristatus,"MA, SA",GALLIFORMES,Odontophoridae,Colino crestato
310,Odontophorus gujanensis,"MA, SA",GALLIFORMES,Odontophoridae,Quaglia boschereccia marmorizzata
311,Odontophorus capueira,SA,GALLIFORMES,Odontophoridae,Quaglia boschereccia alimacchiate
312,Odontophorus melanotis,MA,GALLIFORMES,Odontophoridae,Quaglia boschereccia guancenere
313,Odontophorus erythrops,SA,GALLIFORMES,Odontophoridae,Quaglia boschereccia fronterossiccia
314,Odontophorus atrifrons,SA,GALLIFORMES,Odontophoridae,Quaglia boschereccia frontenera
315,Odontophorus hyperythrus,SA,GALLIFORMES,Odontophoridae,Quaglia boschereccia castana
316,Odontophorus melanonotus,SA,GALLIFORMES,Odontophoridae,Quaglia boschereccia dososcuro
317,Odontophorus speciosus,SA,GALLIFORMES,Odontophoridae,Quaglia boschereccia pettorossiccio
318,Odontophorus dialeucos,"MA, SA",GALLIFORMES,Odontophoridae,Quaglia boschereccia del Tacarcuna
319,Odontophorus strophium,SA,GALLIFORMES,Odontophoridae,Quaglia boschereccia dalla gorgiera
320,Odontophorus columbianus,SA,GALLIFORMES,Odontophoridae,Quaglia boschereccia del Venezuela
321,Odontophorus leucolaemus,MA,GALLIFORMES,Odontophoridae,Quaglia boschereccia pettonero
322,Odontophorus balliviani,SA,GALLIFORMES,Odontophoridae,Quaglia boschereccia facciastriata
323,Odontophorus stellatus,SA,GALLIFORMES,Odontophoridae,Quaglia boschereccia stellata
324,Odontophorus guttatus,MA,GALLIFORMES,Odontophoridae,Quaglia boschereccia macchiata
325,Dactylortyx thoracicus,MA,GALLIFORMES,Odontophoridae,Quaglia canora
326,Cyrtonyx montezumae,"NA, MA",GALLIFORMES,Odontophoridae,Quaglia di Montezuma
327,Cyrtonyx ocellatus,MA,GALLIFORMES,Odontophoridae,Quaglia ocellata
