,IOC,Breeding Range,Order,Family,German
8946,Saxicola rubicola,PAL,PASSERIFORMES,Muscicapidae,Schwarzkehlchen
8947,Saxicola dacotiae,AF,PASSERIFORMES,Muscicapidae,Kanarenschmätzer
8948,Campicoloides bifasciatus,AF,PASSERIFORMES,Muscicapidae,Fahlschulterschmätzer
8949,Emarginata schlegelii,AF,PASSERIFORMES,Muscicapidae,Bleichschmätzer
8950,Emarginata tractrac,AF,PASSERIFORMES,Muscicapidae,Oranjeschmätzer
8951,Emarginata sinuata,AF,PASSERIFORMES,Muscicapidae,Sichelschwingenschmätzer
8952,Pinarochroa sordida,AF,PASSERIFORMES,Muscicapidae,Almenschmätzer
8953,Thamnolaea cinnamomeiventris,AF,PASSERIFORMES,Muscicapidae,Rotbauchschmätzer
8954,Thamnolaea coronata,AF,PASSERIFORMES,Muscicapidae,Weißscheitelschmätzer
8955,Myrmecocichla aethiops,AF,PASSERIFORMES,Muscicapidae,Rußschmätzer
8956,Myrmecocichla tholloni,AF,PASSERIFORMES,Muscicapidae,Kongoschmätzer
8957,Myrmecocichla formicivora,AF,PASSERIFORMES,Muscicapidae,Termitenschmätzer
8958,Myrmecocichla monticola,AF,PASSERIFORMES,Muscicapidae,Bergschmätzer
8959,Myrmecocichla nigra,AF,PASSERIFORMES,Muscicapidae,Hadesschmätzer
8960,Myrmecocichla melaena,AF,PASSERIFORMES,Muscicapidae,Einfarbschmätzer
8961,Myrmecocichla collaris,AF,PASSERIFORMES,Muscicapidae,Ruahaschmätzer
8962,Myrmecocichla arnotti,AF,PASSERIFORMES,Muscicapidae,Arnotschmätzer
8963,Oenanthe oenanthe,PAL,PASSERIFORMES,Muscicapidae,Steinschmätzer
8964,Oenanthe seebohmi,AF,PASSERIFORMES,Muscicapidae,Atlassteinschmätzer
8965,Oenanthe pileata,AF,PASSERIFORMES,Muscicapidae,Erdsteinschmätzer
8966,Oenanthe bottae,PAL,PASSERIFORMES,Muscicapidae,Ockerbrust-Steinschmätzer
8967,Oenanthe frenata,AF,PASSERIFORMES,Muscicapidae,Braunbrust-Steinschmätzer
8968,Oenanthe isabellina,PAL,PASSERIFORMES,Muscicapidae,Isabellsteinschmätzer
8969,Oenanthe heuglinii,AF,PASSERIFORMES,Muscicapidae,Heuglinsteinschmätzer
8970,Oenanthe monacha,PAL,PASSERIFORMES,Muscicapidae,Kappensteinschmätzer
8971,Oenanthe deserti,PAL,PASSERIFORMES,Muscicapidae,Wüstensteinschmätzer
8972,Oenanthe hispanica,PAL,PASSERIFORMES,Muscicapidae,Maurensteinschmätzer
8973,Oenanthe pleschanka,PAL,PASSERIFORMES,Muscicapidae,Nonnensteinschmätzer
8974,Oenanthe melanoleuca,PAL,PASSERIFORMES,Muscicapidae,Balkansteinschmätzer
8975,Oenanthe cypriaca,PAL,PASSERIFORMES,Muscicapidae,Zypernsteinschmätzer
8976,Oenanthe albifrons,AF,PASSERIFORMES,Muscicapidae,Weißstirn-Steinschmätzer
8977,Oenanthe phillipsi,AF,PASSERIFORMES,Muscicapidae,Somalisteinschmätzer
8978,Oenanthe moesta,"PAL, AF",PASSERIFORMES,Muscicapidae,Fahlbürzel-Steinschmätzer
8979,Oenanthe melanura,"PAL, AF",PASSERIFORMES,Muscicapidae,Schwarzschwanz-Steinschmätzer
8980,Oenanthe familiaris,AF,PASSERIFORMES,Muscicapidae,Rostschwanz-Steinschmätzer
8981,Oenanthe scotocerca,AF,PASSERIFORMES,Muscicapidae,Braunschwanz-Steinschmätzer
8982,Oenanthe dubia,AF,PASSERIFORMES,Muscicapidae,Dunkelsteinschmätzer
8983,Oenanthe fusca,OR,PASSERIFORMES,Muscicapidae,Braunsteinschmätzer
8984,Oenanthe picata,PAL,PASSERIFORMES,Muscicapidae,Elstersteinschmätzer
8985,Oenanthe finschii,PAL,PASSERIFORMES,Muscicapidae,Felsensteinschmätzer
8986,Oenanthe halophila,AF,PASSERIFORMES,Muscicapidae,Maghrebsteinschmätzer
8987,Oenanthe lugens,"PAL, AF",PASSERIFORMES,Muscicapidae,Schwarzrücken-Steinschmätzer
8988,Oenanthe warriae,PAL,PASSERIFORMES,Muscicapidae,Basaltsteinschmätzer
8989,Oenanthe xanthoprymna,PAL,PASSERIFORMES,Muscicapidae,Rostbürzel-Steinschmätzer
8990,Oenanthe chrysopygia,PAL,PASSERIFORMES,Muscicapidae,Kaukasussteinschmätzer
8991,Oenanthe leucopyga,"AF, PAL",PASSERIFORMES,Muscicapidae,Saharasteinschmätzer
8992,Oenanthe albonigra,PAL,PASSERIFORMES,Muscicapidae,Schwarzkopf-Steinschmätzer
8993,Oenanthe leucura,PAL,PASSERIFORMES,Muscicapidae,Trauersteinschmätzer
8994,Oenanthe lugentoides,PAL,PASSERIFORMES,Muscicapidae,Arabiensteinschmätzer
8995,Oenanthe lugubris,AF,PASSERIFORMES,Muscicapidae,Abessiniensteinschmätzer
8996,Cinclus cinclus,PAL,PASSERIFORMES,Cinclidae,Wasseramsel
8997,Cinclus pallasii,PAL,PASSERIFORMES,Cinclidae,Pallaswasseramsel
8998,Cinclus mexicanus,"NA, MA",PASSERIFORMES,Cinclidae,Grauwasseramsel
8999,Cinclus leucocephalus,SA,PASSERIFORMES,Cinclidae,Weißkopf-Wasseramsel
9000,Cinclus schulzii,SA,PASSERIFORMES,Cinclidae,Rostkehl-Wasseramsel
9001,Chloropsis flavipennis,OR,PASSERIFORMES,Chloropseidae,Philippinenblattvogel
9002,Chloropsis palawanensis,OR,PASSERIFORMES,Chloropseidae,Palawanblattvogel
9003,Chloropsis sonnerati,OR,PASSERIFORMES,Chloropseidae,Dickschnabel-Blattvogel
9004,Chloropsis cyanopogon,OR,PASSERIFORMES,Chloropseidae,Blaubart-Blattvogel
9005,Chloropsis moluccensis,OR,PASSERIFORMES,Chloropseidae,Blauflügel-Blattvogel
9006,Chloropsis cochinchinensis,OR,PASSERIFORMES,Chloropseidae,Javablattvogel
9007,Chloropsis kinabaluensis,OR,PASSERIFORMES,Chloropseidae,Borneoblattvogel
9008,Chloropsis jerdoni,OR,PASSERIFORMES,Chloropseidae,Jerdonblattvogel
9009,Chloropsis aurifrons,OR,PASSERIFORMES,Chloropseidae,Goldstirn-Blattvogel
9010,Chloropsis media,OR,PASSERIFORMES,Chloropseidae,Sumatrablattvogel
9011,Chloropsis hardwickii,OR,PASSERIFORMES,Chloropseidae,Orangebauch-Blattvogel
9012,Chloropsis venusta,OR,PASSERIFORMES,Chloropseidae,Blaustirn-Blattvogel
9013,Prionochilus olivaceus,OR,PASSERIFORMES,Dicaeidae,Grünmantel-Mistelfresser
9014,Prionochilus maculatus,OR,PASSERIFORMES,Dicaeidae,Goldbrust-Mistelfresser
9015,Prionochilus percussus,OR,PASSERIFORMES,Dicaeidae,Mennigbrust-Mistelfresser
9016,Prionochilus plateni,OR,PASSERIFORMES,Dicaeidae,Palawanmistelfresser
9017,Prionochilus xanthopygius,OR,PASSERIFORMES,Dicaeidae,Gelbbürzel-Mistelfresser
9018,Prionochilus thoracicus,OR,PASSERIFORMES,Dicaeidae,Rubinkehl-Mistelfresser
9019,Dicaeum dayakorum,OR,PASSERIFORMES,Dicaeidae,Dayakmistelfresser
9020,Dicaeum annae,AU,PASSERIFORMES,Dicaeidae,Bartmistelfresser
9021,Dicaeum agile,OR,PASSERIFORMES,Dicaeidae,Dickschnabel-Mistelfresser
9022,Dicaeum aeruginosum,OR,PASSERIFORMES,Dicaeidae,Streifenbrust-Mistelfresser
9023,Dicaeum everetti,OR,PASSERIFORMES,Dicaeidae,Braunrücken-Mistelfresser
9024,Dicaeum proprium,OR,PASSERIFORMES,Dicaeidae,Graubrust-Mistelfresser
9025,Dicaeum chrysorrheum,OR,PASSERIFORMES,Dicaeidae,Gelbsteiß-Mistelfresser
9026,Dicaeum melanozanthum,OR,PASSERIFORMES,Dicaeidae,Gelbbauch-Mistelfresser
9027,Dicaeum vincens,OR,PASSERIFORMES,Dicaeidae,Weißkehl-Mistelfresser
9028,Dicaeum aureolimbatum,AU,PASSERIFORMES,Dicaeidae,Gelbflanken-Mistelfresser
9029,Dicaeum nigrilore,OR,PASSERIFORMES,Dicaeidae,Olivkopf-Mistelfresser
9030,Dicaeum anthonyi,OR,PASSERIFORMES,Dicaeidae,Goldkronen-Mistelfresser
9031,Dicaeum kampalili,OR,PASSERIFORMES,Dicaeidae,Feuerkronen-Mistelfresser
9032,Dicaeum bicolor,OR,PASSERIFORMES,Dicaeidae,Zweifarben-Mistelfresser
9033,Dicaeum australe,OR,PASSERIFORMES,Dicaeidae,Rostbauch-Mistelfresser
9034,Dicaeum haematostictum,OR,PASSERIFORMES,Dicaeidae,Schwarzgürtel-Mistelfresser
9035,Dicaeum retrocinctum,OR,PASSERIFORMES,Dicaeidae,Mindoromistelfresser
9036,Dicaeum quadricolor,OR,PASSERIFORMES,Dicaeidae,Vierfarben-Mistelfresser
9037,Dicaeum trigonostigma,OR,PASSERIFORMES,Dicaeidae,Orangebauch-Mistelfresser
9038,Dicaeum hypoleucum,OR,PASSERIFORMES,Dicaeidae,Weißbauch-Mistelfresser
9039,Dicaeum erythrorhynchos,OR,PASSERIFORMES,Dicaeidae,Blassschnabel-Mistelfresser
9040,Dicaeum concolor,OR,PASSERIFORMES,Dicaeidae,Nilgirimistelfresser
9041,Dicaeum minullum,OR,PASSERIFORMES,Dicaeidae,Einfarb-Mistelfresser
9042,Dicaeum virescens,OR,PASSERIFORMES,Dicaeidae,Andamanenmistelfresser
9043,Dicaeum pygmaeum,OR,PASSERIFORMES,Dicaeidae,Zwergmistelfresser
9044,Dicaeum nehrkorni,AU,PASSERIFORMES,Dicaeidae,Nehrkornmistelfresser
9045,Dicaeum erythrothorax,AU,PASSERIFORMES,Dicaeidae,Burumistelfresser
9046,Dicaeum schistaceiceps,AU,PASSERIFORMES,Dicaeidae,Halmaheramistelfresser
9047,Dicaeum vulneratum,AU,PASSERIFORMES,Dicaeidae,Serammistelfresser
9048,Dicaeum pectorale,AU,PASSERIFORMES,Dicaeidae,Papuamistelfresser
9049,Dicaeum geelvinkianum,AU,PASSERIFORMES,Dicaeidae,Rotkappen-Mistelfresser
9050,Dicaeum nitidum,AU,PASSERIFORMES,Dicaeidae,Louisiadenmistelfresser
9051,Dicaeum eximium,AU,PASSERIFORMES,Dicaeidae,Bismarckmistelfresser
9052,Dicaeum aeneum,AU,PASSERIFORMES,Dicaeidae,Salomonenmistelfresser
9053,Dicaeum tristrami,AU,PASSERIFORMES,Dicaeidae,Makiramistelfresser
9054,Dicaeum igniferum,AU,PASSERIFORMES,Dicaeidae,Rotkehl-Mistelfresser
9055,Dicaeum maugei,AU,PASSERIFORMES,Dicaeidae,Blauwangen-Mistelfresser
9056,Dicaeum hirundinaceum,AU,PASSERIFORMES,Dicaeidae,Rotsteiß-Mistelfresser
9057,Dicaeum celebicum,AU,PASSERIFORMES,Dicaeidae,Schwarzwangen-Mistelfresser
9058,Dicaeum monticolum,OR,PASSERIFORMES,Dicaeidae,Borneomistelfresser
9059,Dicaeum ignipectus,OR,PASSERIFORMES,Dicaeidae,Feuerbrust-Mistelfresser
9060,Dicaeum sanguinolentum,OR,PASSERIFORMES,Dicaeidae,Purpurmistelfresser
9061,Dicaeum cruentatum,OR,PASSERIFORMES,Dicaeidae,Scharlachmistelfresser
9062,Dicaeum trochileum,OR,PASSERIFORMES,Dicaeidae,Feuerkopf-Mistelfresser
9063,Chalcoparia singalensis,OR,PASSERIFORMES,Nectariniidae,Rubinwangen-Nektarvogel
9064,Deleornis fraseri,AF,PASSERIFORMES,Nectariniidae,Laubnektarvogel
9065,Deleornis axillaris,AF,PASSERIFORMES,Nectariniidae,Graukopf-Nektarvogel
9066,Anthreptes reichenowi,AF,PASSERIFORMES,Nectariniidae,Blaukehl-Nektarvogel
9067,Anthreptes anchietae,AF,PASSERIFORMES,Nectariniidae,Buntbauch-Nektarvogel
9068,Anthreptes simplex,OR,PASSERIFORMES,Nectariniidae,Schlichtnektarvogel
9069,Anthreptes malacensis,"OR, AU",PASSERIFORMES,Nectariniidae,Braunkehl-Nektarvogel
9070,Anthreptes griseigularis,OR,PASSERIFORMES,Nectariniidae,Graukehl-Nektarvogel
9071,Anthreptes rhodolaemus,OR,PASSERIFORMES,Nectariniidae,Rotkehl-Nektarvogel
9072,Anthreptes gabonicus,AF,PASSERIFORMES,Nectariniidae,Mangrovenektarvogel
9073,Anthreptes longuemarei,AF,PASSERIFORMES,Nectariniidae,Violettmantel-Nektarvogel
9074,Anthreptes orientalis,AF,PASSERIFORMES,Nectariniidae,Schwalbennektarvogel
9075,Anthreptes neglectus,AF,PASSERIFORMES,Nectariniidae,Ulugurunektarvogel
9076,Anthreptes aurantius,AF,PASSERIFORMES,Nectariniidae,Violettschwanz-Nektarvogel
9077,Anthreptes seimundi,AF,PASSERIFORMES,Nectariniidae,Stutzschwanz-Nektarvogel
9078,Anthreptes rectirostris,AF,PASSERIFORMES,Nectariniidae,Gelbkehl-Nektarvogel
9079,Anthreptes tephrolaemus,AF,PASSERIFORMES,Nectariniidae,Graukinn-Nektarvogel
9080,Anthreptes rubritorques,AF,PASSERIFORMES,Nectariniidae,Rotband-Nektarvogel
9081,Hedydipna collaris,AF,PASSERIFORMES,Nectariniidae,Halsband-Nektarvogel
9082,Hedydipna platura,AF,PASSERIFORMES,Nectariniidae,Grünkehl-Nektarvogel
9083,Hedydipna metallica,AF,PASSERIFORMES,Nectariniidae,Erznektarvogel
9084,Hedydipna pallidigaster,AF,PASSERIFORMES,Nectariniidae,Amaninektarvogel
9085,Anabathmis reichenbachii,AF,PASSERIFORMES,Nectariniidae,Reichenbach-Nektarvogel
9086,Anabathmis hartlaubii,AF,PASSERIFORMES,Nectariniidae,Hartlaub-Nektarvogel
9087,Anabathmis newtonii,AF,PASSERIFORMES,Nectariniidae,Gelbbrust-Nektarvogel
9088,Dreptes thomensis,AF,PASSERIFORMES,Nectariniidae,Riesennektarvogel
9089,Anthobaphes violacea,AF,PASSERIFORMES,Nectariniidae,Goldbrust-Nektarvogel
9090,Cyanomitra verticalis,AF,PASSERIFORMES,Nectariniidae,Grünkopf-Nektarvogel
9091,Cyanomitra bannermani,AF,PASSERIFORMES,Nectariniidae,Bannerman-Nektarvogel
9092,Cyanomitra cyanolaema,AF,PASSERIFORMES,Nectariniidae,Braunrücken-Nektarvogel
9093,Cyanomitra oritis,AF,PASSERIFORMES,Nectariniidae,Blaukopf-Nektarvogel
9094,Cyanomitra alinae,AF,PASSERIFORMES,Nectariniidae,Ruwenzorinektarvogel
9095,Cyanomitra olivacea,AF,PASSERIFORMES,Nectariniidae,Olivnektarvogel
9096,Cyanomitra veroxii,AF,PASSERIFORMES,Nectariniidae,Graunektarvogel
9097,Chalcomitra adelberti,AF,PASSERIFORMES,Nectariniidae,Fahlkehl-Glanzköpfchen
9098,Chalcomitra fuliginosa,AF,PASSERIFORMES,Nectariniidae,Rußglanzköpfchen
9099,Chalcomitra rubescens,AF,PASSERIFORMES,Nectariniidae,Grünkehl-Glanzköpfchen
9100,Chalcomitra amethystina,AF,PASSERIFORMES,Nectariniidae,Amethystglanzköpfchen
9101,Chalcomitra senegalensis,AF,PASSERIFORMES,Nectariniidae,Rotbrust-Glanzköpfchen
9102,Chalcomitra hunteri,AF,PASSERIFORMES,Nectariniidae,Purpurbürzel-Glanzköpfchen
9103,Chalcomitra balfouri,AF,PASSERIFORMES,Nectariniidae,Sokotraglanzköpfchen
9104,Leptocoma zeylonica,OR,PASSERIFORMES,Nectariniidae,Indiennektarvogel
9105,Leptocoma minima,OR,PASSERIFORMES,Nectariniidae,Däumlingsnektarvogel
9106,Leptocoma sperata,OR,PASSERIFORMES,Nectariniidae,Purpurkehl-Nektarvogel
9107,Leptocoma brasiliana,OR,PASSERIFORMES,Nectariniidae,Blauglanz-Nektarvogel
9108,Leptocoma aspasia,AU,PASSERIFORMES,Nectariniidae,Seidennektarvogel
9109,Leptocoma calcostetha,OR,PASSERIFORMES,Nectariniidae,Kupferkehl-Nektarvogel
9110,Nectarinia bocagii,AF,PASSERIFORMES,Nectariniidae,Bocagenektarvogel
9111,Nectarinia purpureiventris,AF,PASSERIFORMES,Nectariniidae,Purpurbrust-Nektarvogel
9112,Nectarinia tacazze,AF,PASSERIFORMES,Nectariniidae,Tacazzenektarvogel
9113,Nectarinia kilimensis,AF,PASSERIFORMES,Nectariniidae,Bronzenektarvogel
9114,Nectarinia famosa,AF,PASSERIFORMES,Nectariniidae,Malachitnektarvogel
9115,Nectarinia johnstoni,AF,PASSERIFORMES,Nectariniidae,Lobeliennektarvogel
9116,Drepanorhynchus reichenowi,AF,PASSERIFORMES,Nectariniidae,Goldschwingen-Nektarvogel
9117,Cinnyris chloropygius,AF,PASSERIFORMES,Nectariniidae,Olivbauch-Nektarvogel
9118,Cinnyris minullus,AF,PASSERIFORMES,Nectariniidae,Zwergnektarvogel
9119,Cinnyris manoensis,AF,PASSERIFORMES,Nectariniidae,Miombonektarvogel
9120,Cinnyris gertrudis,AF,PASSERIFORMES,Nectariniidae,Gertrudisnektarvogel
9121,Cinnyris chalybeus,AF,PASSERIFORMES,Nectariniidae,Kapnektarvogel
9122,Cinnyris neergaardi,AF,PASSERIFORMES,Nectariniidae,Neergaard-Nektarvogel
9123,Cinnyris stuhlmanni,AF,PASSERIFORMES,Nectariniidae,Stuhlmann-Nektarvogel
9124,Cinnyris whytei,AF,PASSERIFORMES,Nectariniidae,Malawinektarvogel
9125,Cinnyris prigoginei,AF,PASSERIFORMES,Nectariniidae,Marungunektarvogel
9126,Cinnyris ludovicensis,AF,PASSERIFORMES,Nectariniidae,Bergnektarvogel
9127,Cinnyris reichenowi,AF,PASSERIFORMES,Nectariniidae,Nandinektarvogel
9128,Cinnyris afer,AF,PASSERIFORMES,Nectariniidae,Doppelband-Nektarvogel
9129,Cinnyris regius,AF,PASSERIFORMES,Nectariniidae,Königsnektarvogel
9130,Cinnyris rockefelleri,AF,PASSERIFORMES,Nectariniidae,Blutbrust-Nektarvogel
9131,Cinnyris mediocris,AF,PASSERIFORMES,Nectariniidae,Hochland-Nektarvogel
9132,Cinnyris usambaricus,AF,PASSERIFORMES,Nectariniidae,Usambaranektarvogel
9133,Cinnyris fuelleborni,AF,PASSERIFORMES,Nectariniidae,Füllebornnektarvogel
9134,Cinnyris moreaui,AF,PASSERIFORMES,Nectariniidae,Moreaunektarvogel
9135,Cinnyris loveridgei,AF,PASSERIFORMES,Nectariniidae,Orangebauch-Nektarvogel
9136,Cinnyris pulchellus,AF,PASSERIFORMES,Nectariniidae,Elfennektarvogel
9137,Cinnyris mariquensis,AF,PASSERIFORMES,Nectariniidae,Bindennektarvogel
9138,Cinnyris shelleyi,AF,PASSERIFORMES,Nectariniidae,Scharlachbrust-Nektarvogel
9139,Cinnyris hofmanni,AF,PASSERIFORMES,Nectariniidae,Hofmann-Nektarvogel
9140,Cinnyris congensis,AF,PASSERIFORMES,Nectariniidae,Kongonektarvogel
9141,Cinnyris erythrocercus,AF,PASSERIFORMES,Nectariniidae,Schmucknektarvogel
9142,Cinnyris nectarinioides,AF,PASSERIFORMES,Nectariniidae,Mennigbrust-Nektarvogel
9143,Cinnyris bifasciatus,AF,PASSERIFORMES,Nectariniidae,Zweiband-Nektarvogel
9144,Cinnyris tsavoensis,AF,PASSERIFORMES,Nectariniidae,Tsavonektarvogel
9145,Cinnyris chalcomelas,AF,PASSERIFORMES,Nectariniidae,Veilchenbrust-Nektarvogel
9146,Cinnyris pembae,IO,PASSERIFORMES,Nectariniidae,Pembanektarvogel
9147,Cinnyris bouvieri,AF,PASSERIFORMES,Nectariniidae,Braunbauch-Nektarvogel
9148,Cinnyris osea,AF,PASSERIFORMES,Nectariniidae,Jerichonektarvogel
9149,Cinnyris hellmayri,PAL,PASSERIFORMES,Nectariniidae,Arabiennektarvogel
9150,Cinnyris habessinicus,AF,PASSERIFORMES,Nectariniidae,Glanznektarvogel
9151,Cinnyris coccinigastrus,AF,PASSERIFORMES,Nectariniidae,Vielfarben-Nektarvogel
9152,Cinnyris johannae,AF,PASSERIFORMES,Nectariniidae,Grünscheitel-Nektarvogel
9153,Cinnyris superbus,AF,PASSERIFORMES,Nectariniidae,Prachtnektarvogel
9154,Cinnyris rufipennis,AF,PASSERIFORMES,Nectariniidae,Rotflügel-Nektarvogel
9155,Cinnyris oustaleti,AF,PASSERIFORMES,Nectariniidae,Angolanektarvogel
9156,Cinnyris talatala,AF,PASSERIFORMES,Nectariniidae,Weißbauch-Nektarvogel
9157,Cinnyris venustus,AF,PASSERIFORMES,Nectariniidae,Ziernektarvogel
9158,Cinnyris fuscus,AF,PASSERIFORMES,Nectariniidae,Rußnektarvogel
9159,Cinnyris ursulae,AF,PASSERIFORMES,Nectariniidae,Graubrust-Nektarvogel
9160,Cinnyris batesi,AF,PASSERIFORMES,Nectariniidae,Einfarb-Nektarvogel
9161,Cinnyris cupreus,AF,PASSERIFORMES,Nectariniidae,Kupfernektarvogel
9162,Cinnyris asiaticus,"PAL, OR",PASSERIFORMES,Nectariniidae,Purpurnektarvogel
9163,Cinnyris jugularis,"OR, AU",PASSERIFORMES,Nectariniidae,Grünrücken-Nektarvogel
9164,Cinnyris buettikoferi,AU,PASSERIFORMES,Nectariniidae,Sumbanektarvogel
9165,Cinnyris solaris,AU,PASSERIFORMES,Nectariniidae,Sonnennektarvogel
9166,Cinnyris sovimanga,AF,PASSERIFORMES,Nectariniidae,Malegassennektarvogel
9167,Cinnyris notatus,AF,PASSERIFORMES,Nectariniidae,Stahlnektarvogel
9168,Cinnyris dussumieri,IO,PASSERIFORMES,Nectariniidae,Seychellennektarvogel
9169,Cinnyris humbloti,AF,PASSERIFORMES,Nectariniidae,Schlichtmantel-Nektarvogel
9170,Cinnyris comorensis,AF,PASSERIFORMES,Nectariniidae,Anjouannektarvogel
9171,Cinnyris coquerellii,AF,PASSERIFORMES,Nectariniidae,Mayottenektarvogel
9172,Cinnyris lotenius,OR,PASSERIFORMES,Nectariniidae,Lotennektarvogel
9173,Aethopyga primigenia,OR,PASSERIFORMES,Nectariniidae,Grauhauben-Nektarvogel
9174,Aethopyga boltoni,OR,PASSERIFORMES,Nectariniidae,Mindanaonektarvogel
9175,Aethopyga linaraborae,OR,PASSERIFORMES,Nectariniidae,Linanektarvogel
9176,Aethopyga flagrans,OR,PASSERIFORMES,Nectariniidae,Feuerbrust-Nektarvogel
9177,Aethopyga guimarasensis,OR,PASSERIFORMES,Nectariniidae,Braunnacken-Nektarvogel
9178,Aethopyga pulcherrima,OR,PASSERIFORMES,Nectariniidae,Glanzflügel-Nektarvogel
9179,Aethopyga jefferyi,OR,PASSERIFORMES,Nectariniidae,Luzonnektarvogel
9180,Aethopyga decorosa,OR,PASSERIFORMES,Nectariniidae,Boholnektarvogel
9181,Aethopyga duyvenbodei,AU,PASSERIFORMES,Nectariniidae,Sangihenektarvogel
9182,Aethopyga shelleyi,OR,PASSERIFORMES,Nectariniidae,Goldkehl-Nektarvogel
9183,Aethopyga bella,OR,PASSERIFORMES,Nectariniidae,Philippinennektarvogel
9184,Aethopyga gouldiae,OR,PASSERIFORMES,Nectariniidae,Gouldnektarvogel
9185,Aethopyga nipalensis,OR,PASSERIFORMES,Nectariniidae,Grünschwanz-Nektarvogel
9186,Aethopyga eximia,OR,PASSERIFORMES,Nectariniidae,Javanektarvogel
9187,Aethopyga christinae,OR,PASSERIFORMES,Nectariniidae,Hainannektarvogel
9188,Aethopyga saturata,OR,PASSERIFORMES,Nectariniidae,Schwarzkehl-Nektarvogel
9189,Aethopyga siparaja,"OR, AU",PASSERIFORMES,Nectariniidae,Karmesinnektarvogel
9190,Aethopyga magnifica,OR,PASSERIFORMES,Nectariniidae,Prunknektarvogel
9191,Aethopyga vigorsii,OR,PASSERIFORMES,Nectariniidae,Graubauch-Nektarvogel
9192,Aethopyga mystacalis,OR,PASSERIFORMES,Nectariniidae,Scharlachnektarvogel
9193,Aethopyga temminckii,OR,PASSERIFORMES,Nectariniidae,Temmincknektarvogel
9194,Aethopyga ignicauda,OR,PASSERIFORMES,Nectariniidae,Feuerschwanz-Nektarvogel
9195,Kurochkinegramma hypogrammicum,OR,PASSERIFORMES,Nectariniidae,Streifennektarvogel
9196,Arachnothera longirostra,OR,PASSERIFORMES,Nectariniidae,Weißkehl-Spinnenjäger
9197,Arachnothera flammifera,OR,PASSERIFORMES,Nectariniidae,Gelbsteiß-Spinnenjäger
9198,Arachnothera dilutior,OR,PASSERIFORMES,Nectariniidae,Palawanspinnenjäger
9199,Arachnothera crassirostris,OR,PASSERIFORMES,Nectariniidae,Dickschnabel-Spinnenjäger
9200,Arachnothera robusta,OR,PASSERIFORMES,Nectariniidae,Langschnabel-Spinnenjäger
9201,Arachnothera flavigaster,OR,PASSERIFORMES,Nectariniidae,Brillenspinnenjäger
9202,Arachnothera chrysogenys,OR,PASSERIFORMES,Nectariniidae,Gelbwangen-Spinnenjäger
9203,Arachnothera clarae,OR,PASSERIFORMES,Nectariniidae,Nacktwangen-Spinnenjäger
9204,Arachnothera modesta,OR,PASSERIFORMES,Nectariniidae,Graubrust-Spinnenjäger
9205,Arachnothera affinis,OR,PASSERIFORMES,Nectariniidae,Strichelbrust-Spinnenjäger
9206,Arachnothera everetti,OR,PASSERIFORMES,Nectariniidae,Borneospinnenjäger
9207,Arachnothera magna,OR,PASSERIFORMES,Nectariniidae,Strichelspinnenjäger
9208,Arachnothera juliae,OR,PASSERIFORMES,Nectariniidae,Bergspinnenjäger
9209,Hypocryptadius cinnamomeus,OR,PASSERIFORMES,Passeridae,Zimtsperling
9210,Carpospiza brachydactyla,PAL,PASSERIFORMES,Passeridae,Fahlsperling
9211,Petronia petronia,PAL,PASSERIFORMES,Passeridae,Steinsperling
9212,Onychostruthus taczanowskii,PAL,PASSERIFORMES,Passeridae,Weißbürzel-Erdsperling
9213,Montifringilla henrici,PAL,PASSERIFORMES,Passeridae,Tibetschneesperling
9214,Montifringilla nivalis,PAL,PASSERIFORMES,Passeridae,Schneesperling
9215,Montifringilla adamsi,PAL,PASSERIFORMES,Passeridae,Adamsschneesperling
9216,Pyrgilauda theresae,PAL,PASSERIFORMES,Passeridae,Hindukusch-Erdsperling
9217,Pyrgilauda ruficollis,PAL,PASSERIFORMES,Passeridae,Rothals-Erdsperling
9218,Pyrgilauda davidiana,PAL,PASSERIFORMES,Passeridae,Daviderdsperling
9219,Pyrgilauda blanfordi,PAL,PASSERIFORMES,Passeridae,Blanforderdsperling
9220,Gymnoris pyrgita,AF,PASSERIFORMES,Passeridae,Sahelsteinsperling
9221,Gymnoris superciliaris,AF,PASSERIFORMES,Passeridae,Kapsteinsperling
9222,Gymnoris dentata,AF,PASSERIFORMES,Passeridae,Buschsteinsperling
9223,Gymnoris xanthocollis,"PAL, OR",PASSERIFORMES,Passeridae,Gelbkehlsperling
9224,Passer melanurus,AF,PASSERIFORMES,Passeridae,Kapsperling
9225,Passer eminibey,AF,PASSERIFORMES,Passeridae,Maronensperling
9226,Passer cordofanicus,AF,PASSERIFORMES,Passeridae,Kordofansperling
9227,Passer shelleyi,AF,PASSERIFORMES,Passeridae,Nilsperling
9228,Passer rufocinctus,AF,PASSERIFORMES,Passeridae,Keniasperling
9229,Passer motitensis,AF,PASSERIFORMES,Passeridae,Rostsperling
9230,Passer griseus,AF,PASSERIFORMES,Passeridae,Graukopfsperling
9231,Passer swainsonii,AF,PASSERIFORMES,Passeridae,Swainsonsperling
9232,Passer suahelicus,AF,PASSERIFORMES,Passeridae,Suahelisperling
9233,Passer gongonensis,AF,PASSERIFORMES,Passeridae,Papageischnabelsperling
9234,Passer diffusus,AF,PASSERIFORMES,Passeridae,Damarasperling
