,IOC,Breeding Range,Order,Family,German
5211,Platyrinchus coronatus,"MA, SA",PASSERIFORMES,Tyrannidae,Goldkappen-Spatelschnabeltyrann
5212,Platyrinchus flavigularis,SA,PASSERIFORMES,Tyrannidae,Gelbkehl-Spatelschnabeltyrann
5213,Platyrinchus platyrhynchos,SA,PASSERIFORMES,Tyrannidae,Silberkopf-Spatelschnabeltyrann
5214,Platyrinchus leucoryphus,SA,PASSERIFORMES,Tyrannidae,Rostflügel-Spatelschnabeltyrann
5215,Neopipo cinnamomea,SA,PASSERIFORMES,Tyrannidae,Zimtbauchtyrann
5216,Pyrrhomyias cinnamomeus,SA,PASSERIFORMES,Tyrannidae,Zimttyrann
5217,Hirundinea ferruginea,SA,PASSERIFORMES,Tyrannidae,Schwalbentyrann
5218,Lathrotriccus euleri,SA,PASSERIFORMES,Tyrannidae,Eulerschnäppertyrann
5219,Lathrotriccus griseipectus,SA,PASSERIFORMES,Tyrannidae,Graubrust-Schnäppertyrann
5220,Aphanotriccus capitalis,MA,PASSERIFORMES,Tyrannidae,Ockerbrust-Schnäppertyrann
5221,Aphanotriccus audax,"MA, SA",PASSERIFORMES,Tyrannidae,Schwarzschnabel-Schnäppertyrann
5222,Cnemotriccus fuscatus,SA,PASSERIFORMES,Tyrannidae,Augenstreif-Schnäppertyrann
5223,Xenotriccus callizonus,MA,PASSERIFORMES,Tyrannidae,Brustband-Schnäppertyrann
5224,Xenotriccus mexicanus,MA,PASSERIFORMES,Tyrannidae,Schopfschnäppertyrann
5225,Sayornis nigricans,"NA, MA, SA",PASSERIFORMES,Tyrannidae,Schwarzkopf-Phoebetyrann
5226,Sayornis saya,"NA, MA",PASSERIFORMES,Tyrannidae,Zimtbauch-Phoebetyrann
5227,Mitrephanes phaeocercus,"MA, SA",PASSERIFORMES,Tyrannidae,Gelbbauch-Schnäppertyrann
5228,Mitrephanes olivaceus,SA,PASSERIFORMES,Tyrannidae,Olivbauch-Schnäppertyrann
5229,Contopus pertinax,"NA, MA",PASSERIFORMES,Tyrannidae,Mexikoschnäppertyrann
5230,Contopus lugubris,MA,PASSERIFORMES,Tyrannidae,Trauerschnäppertyrann
5231,Contopus fumigatus,SA,PASSERIFORMES,Tyrannidae,Schieferschnäppertyrann
5232,Contopus ochraceus,MA,PASSERIFORMES,Tyrannidae,Ockergelb-Schnäppertyrann
5233,Contopus sordidulus,"NA, MA",PASSERIFORMES,Tyrannidae,Blasskehl-Schnäppertyrann
5234,Contopus bogotensis,"MA, SA",PASSERIFORMES,Tyrannidae,Waldschnäppertyrann
5235,Contopus punensis,SA,PASSERIFORMES,Tyrannidae,Tumbesschnäppertyrann
5236,Contopus cinereus,SA,PASSERIFORMES,Tyrannidae,Dunkel-Waldschnäppertyrann
5237,Contopus albogularis,SA,PASSERIFORMES,Tyrannidae,Weißkehl-Schnäppertyrann
5238,Contopus nigrescens,SA,PASSERIFORMES,Tyrannidae,Dunkelschnäppertyrann
5239,Empidonax albigularis,MA,PASSERIFORMES,Tyrannidae,Fahlkehl-Schnäppertyrann
5240,Empidonax affinis,MA,PASSERIFORMES,Tyrannidae,Kiefernschnäppertyrann
5241,Empidonax difficilis,"NA, MA",PASSERIFORMES,Tyrannidae,Feuchtwald-Schnäppertyrann
5242,Empidonax flavescens,MA,PASSERIFORMES,Tyrannidae,Sumpfschnäppertyrann
5243,Empidonax fulvifrons,"NA, MA",PASSERIFORMES,Tyrannidae,Orangebrust-Schnäppertyrann
5244,Empidonax atriceps,MA,PASSERIFORMES,Tyrannidae,Schwarzkappen-Schnäppertyrann
5245,Pyrocephalus rubinus,SA,PASSERIFORMES,Tyrannidae,Rubintyrann
5246,Pyrocephalus obscurus,"NA, MA, SA",PASSERIFORMES,Tyrannidae,Karmintyrann
5247,Pyrocephalus nanus,SA,PASSERIFORMES,Tyrannidae,Galápagostyrann
5248,Ochthornis littoralis,SA,PASSERIFORMES,Tyrannidae,Weißbrauentyrann
5249,Satrapa icterophrys,SA,PASSERIFORMES,Tyrannidae,Goldbrauentyrann
5250,Syrtidicola fluviatilis,SA,PASSERIFORMES,Tyrannidae,Tiefland-Grundtyrann
5251,Muscisaxicola maculirostris,SA,PASSERIFORMES,Tyrannidae,Schnabelfleck-Grundtyrann
5252,Muscisaxicola albifrons,SA,PASSERIFORMES,Tyrannidae,Weißstirn-Grundtyrann
5253,Muscisaxicola flavinucha,SA,PASSERIFORMES,Tyrannidae,Gelbnacken-Grundtyrann
5254,Muscisaxicola alpinus,SA,PASSERIFORMES,Tyrannidae,Weißbrauen-Grundtyrann
5255,Muscisaxicola griseus,SA,PASSERIFORMES,Tyrannidae,Graubrust-Grundtyrann
5256,Muscisaxicola cinereus,SA,PASSERIFORMES,Tyrannidae,Graubraun-Grundtyrann
5257,Muscisaxicola rufivertex,SA,PASSERIFORMES,Tyrannidae,Rotscheitel-Grundtyrann
5258,Muscisaxicola maclovianus,SA,PASSERIFORMES,Tyrannidae,Maskengrundtyrann
5259,Muscisaxicola albilora,SA,PASSERIFORMES,Tyrannidae,Rostkappen-Grundtyrann
5260,Muscisaxicola capistratus,SA,PASSERIFORMES,Tyrannidae,Zimtbauch-Grundtyrann
5261,Muscisaxicola juninensis,SA,PASSERIFORMES,Tyrannidae,Braunscheitel-Grundtyrann
5262,Muscisaxicola frontalis,SA,PASSERIFORMES,Tyrannidae,Schwarzstirn-Grundtyrann
