,IOC,Breeding Range,Order,Family,Dutch
9701,Haemorhous mexicanus,"NA, MA",PASSERIFORMES,Fringillidae,Mexicaanse Roodmus
9702,Chloris chloris,PAL,PASSERIFORMES,Fringillidae,Groenling
9703,Chloris sinica,"PAL, OR",PASSERIFORMES,Fringillidae,Chinese Groenling
9704,Chloris kittlitzi,PAL,PASSERIFORMES,Fringillidae,Boningroenling
9705,Chloris spinoides,OR,PASSERIFORMES,Fringillidae,Himalayagroenling
9706,Chloris monguilloti,OR,PASSERIFORMES,Fringillidae,Vietnamese Groenling
9707,Chloris ambigua,OR,PASSERIFORMES,Fringillidae,Yunnangroenling
9708,Rhodospiza obsoleta,PAL,PASSERIFORMES,Fringillidae,Vale Woestijnvink
9709,Rhynchostruthus socotranus,AF,PASSERIFORMES,Fringillidae,Socotragoudvleugelvink
9710,Rhynchostruthus percivali,PAL,PASSERIFORMES,Fringillidae,Arabische Goudvleugelvink
9711,Rhynchostruthus louisae,AF,PASSERIFORMES,Fringillidae,Somalische Goudvleugelvink
9712,Linurgus olivaceus,AF,PASSERIFORMES,Fringillidae,Wielewaalvink
9713,Crithagra rufobrunnea,AF,PASSERIFORMES,Fringillidae,Principekanarie
9714,Crithagra concolor,AF,PASSERIFORMES,Fringillidae,São-Tomékanarie
9715,Crithagra citrinelloides,AF,PASSERIFORMES,Fringillidae,Dunbekkanarie
9716,Crithagra frontalis,AF,PASSERIFORMES,Fringillidae,Geelvoorhoofdkanarie
9717,Crithagra hyposticta,AF,PASSERIFORMES,Fringillidae,Gestreepte Dunbekkanarie
9718,Crithagra capistrata,AF,PASSERIFORMES,Fringillidae,Maskerkanarie
9719,Crithagra koliensis,AF,PASSERIFORMES,Fringillidae,Papyruskanarie
9720,Crithagra scotops,AF,PASSERIFORMES,Fringillidae,Boskanarie
9721,Crithagra leucopygia,AF,PASSERIFORMES,Fringillidae,Edelzanger
9722,Crithagra atrogularis,AF,PASSERIFORMES,Fringillidae,Zwartkeelkanarie
9723,Crithagra xanthopygia,AF,PASSERIFORMES,Fringillidae,Geelstuitkanarie
9724,Crithagra reichenowi,AF,PASSERIFORMES,Fringillidae,Reichenows Kanarie
9725,Crithagra rothschildi,PAL,PASSERIFORMES,Fringillidae,Arabische Kanarie
9726,Crithagra flavigula,AF,PASSERIFORMES,Fringillidae,Shoakanarie
9727,Crithagra xantholaema,AF,PASSERIFORMES,Fringillidae,Salvadori's Kanarie
9728,Crithagra citrinipectus,AF,PASSERIFORMES,Fringillidae,Geelborstkanarie
9729,Crithagra mozambica,AF,PASSERIFORMES,Fringillidae,Mozambiquesijs
9730,Crithagra dorsostriata,AF,PASSERIFORMES,Fringillidae,Witbuikkanarie
9731,Crithagra ankoberensis,AF,PASSERIFORMES,Fringillidae,Ankoberkanarie
9732,Crithagra menachensis,PAL,PASSERIFORMES,Fringillidae,Jemenitische Kanarie
9733,Crithagra totta,AF,PASSERIFORMES,Fringillidae,Kaapse Kanarie
9734,Crithagra symonsi,AF,PASSERIFORMES,Fringillidae,Basutokanarie
9735,Crithagra donaldsoni,AF,PASSERIFORMES,Fringillidae,Noordelijke Dikbekkanarie
9736,Crithagra buchanani,AF,PASSERIFORMES,Fringillidae,Zuidelijke Dikbekkanarie
9737,Crithagra flaviventris,AF,PASSERIFORMES,Fringillidae,Geelbuikkanarie
9738,Crithagra sulphurata,AF,PASSERIFORMES,Fringillidae,Zwavelkanarie
9739,Crithagra striatipectus,AF,PASSERIFORMES,Fringillidae,Streepborstkanarie
9740,Crithagra reichardi,AF,PASSERIFORMES,Fringillidae,Miombokanarie
9741,Crithagra gularis,AF,PASSERIFORMES,Fringillidae,Streepkopkanarie
9742,Crithagra canicapilla,AF,PASSERIFORMES,Fringillidae,West-Afrikaanse Kanarie
9743,Crithagra mennelli,AF,PASSERIFORMES,Fringillidae,Zwartwangkanarie
9744,Crithagra tristriata,AF,PASSERIFORMES,Fringillidae,Rüppells Kanarie
9745,Crithagra albogularis,AF,PASSERIFORMES,Fringillidae,Witkeelkanarie
9746,Crithagra burtoni,AF,PASSERIFORMES,Fringillidae,Bergkanarie
9747,Crithagra striolata,AF,PASSERIFORMES,Fringillidae,Gestreepte Kanarie
9748,Crithagra whytii,AF,PASSERIFORMES,Fringillidae,Geelbrauwkanarie
9749,Crithagra melanochroa,AF,PASSERIFORMES,Fringillidae,Kipengerekanarie
9750,Crithagra leucoptera,AF,PASSERIFORMES,Fringillidae,Witbandkanarie
9751,Linaria flavirostris,PAL,PASSERIFORMES,Fringillidae,Frater
9752,Linaria cannabina,PAL,PASSERIFORMES,Fringillidae,Kneu
9753,Linaria yemenensis,PAL,PASSERIFORMES,Fringillidae,Jemenitische Kneu
9754,Linaria johannis,AF,PASSERIFORMES,Fringillidae,Somalische Kneu
9755,Acanthis flammea,"PAL, NA",PASSERIFORMES,Fringillidae,Grote Barmsijs
9756,Acanthis cabaret,PAL,PASSERIFORMES,Fringillidae,Kleine Barmsijs
9757,Acanthis hornemanni,"PAL, NA",PASSERIFORMES,Fringillidae,Witstuitbarmsijs
9758,Loxia pytyopsittacus,PAL,PASSERIFORMES,Fringillidae,Grote Kruisbek
9759,Loxia scotica,PAL,PASSERIFORMES,Fringillidae,Schotse Kruisbek
9760,Loxia curvirostra,"PAL, OR, NA, MA",PASSERIFORMES,Fringillidae,Kruisbek
9761,Loxia leucoptera,"PAL, NA",PASSERIFORMES,Fringillidae,Witbandkruisbek
9762,Chrysocorythus estherae,"OR, AU",PASSERIFORMES,Fringillidae,Indonesische Kanarie
9763,Chrysocorythus mindanensis,OR,PASSERIFORMES,Fringillidae,Mindanaokanarie
9764,Carduelis carduelis,PAL,PASSERIFORMES,Fringillidae,Putter
9765,Carduelis citrinella,PAL,PASSERIFORMES,Fringillidae,Citroensijs
9766,Carduelis corsicana,PAL,PASSERIFORMES,Fringillidae,Corsicaanse Citroensijs
9767,Serinus pusillus,PAL,PASSERIFORMES,Fringillidae,Roodvoorhoofdkanarie
9768,Serinus serinus,"PAL, AF",PASSERIFORMES,Fringillidae,Europese Kanarie
9769,Serinus syriacus,"PAL, AF",PASSERIFORMES,Fringillidae,Syrische Kanarie
9770,Serinus canaria,AF,PASSERIFORMES,Fringillidae,Kanarie
9771,Serinus canicollis,AF,PASSERIFORMES,Fringillidae,Grijsnekkanarie
9772,Serinus flavivertex,AF,PASSERIFORMES,Fringillidae,Geelkruinkanarie
9773,Serinus nigriceps,AF,PASSERIFORMES,Fringillidae,Zwartkopkanarie
9774,Serinus alario,AF,PASSERIFORMES,Fringillidae,Alariokanarie
9775,Spinus thibetanus,OR,PASSERIFORMES,Fringillidae,Tibetaanse Kanarie
9776,Spinus lawrencei,"NA, MA",PASSERIFORMES,Fringillidae,Maskergeelvink
9777,Spinus tristis,"NA, MA",PASSERIFORMES,Fringillidae,Goudsijs
9778,Spinus psaltria,"NA, MA, SA",PASSERIFORMES,Fringillidae,Witbandsijs
9779,Spinus spinus,PAL,PASSERIFORMES,Fringillidae,Sijs
9780,Spinus pinus,"NA, MA",PASSERIFORMES,Fringillidae,Dennensijs
9781,Spinus atriceps,MA,PASSERIFORMES,Fringillidae,Groene Sijs
9782,Spinus notatus,MA,PASSERIFORMES,Fringillidae,Zwartkopsijs
9783,Spinus barbatus,SA,PASSERIFORMES,Fringillidae,Zwartkinsijs
9784,Spinus xanthogastrus,"MA, SA",PASSERIFORMES,Fringillidae,Geelbuiksijs
9785,Spinus olivaceus,SA,PASSERIFORMES,Fringillidae,Olijfgele Sijs
9786,Spinus magellanicus,SA,PASSERIFORMES,Fringillidae,Kapsijs
9787,Spinus siemiradzkii,SA,PASSERIFORMES,Fringillidae,Saffraansijs
9788,Spinus yarrellii,SA,PASSERIFORMES,Fringillidae,Geelwangsijs
9789,Spinus cucullatus,SA,PASSERIFORMES,Fringillidae,Kapoetsensijs
9790,Spinus atratus,SA,PASSERIFORMES,Fringillidae,Zwarte Sijs
9791,Spinus uropygialis,SA,PASSERIFORMES,Fringillidae,Geelstuitsijs
9792,Spinus crassirostris,SA,PASSERIFORMES,Fringillidae,Dikbeksijs
9793,Spinus spinescens,SA,PASSERIFORMES,Fringillidae,Andessijs
9794,Chlorophonia elegantissima,MA,PASSERIFORMES,Fringillidae,Blauwkaporganist
9795,Chlorophonia cyanocephala,SA,PASSERIFORMES,Fringillidae,Goudstuitorganist
9796,Chlorophonia cyanea,SA,PASSERIFORMES,Fringillidae,Blauwnekorganist
9797,Chlorophonia pyrrhophrys,SA,PASSERIFORMES,Fringillidae,Zwartbrauworganist
9798,Chlorophonia flavirostris,SA,PASSERIFORMES,Fringillidae,Geelkraagorganist
9799,Chlorophonia occipitalis,MA,PASSERIFORMES,Fringillidae,Blauwkruinorganist
9800,Chlorophonia callophrys,MA,PASSERIFORMES,Fringillidae,Goudbrauworganist
9801,Euphonia saturata,SA,PASSERIFORMES,Fringillidae,Vuurkruinorganist
9802,Euphonia plumbea,SA,PASSERIFORMES,Fringillidae,Grijze Organist
9803,Euphonia chlorotica,SA,PASSERIFORMES,Fringillidae,Purperkeelorganist
9804,Euphonia finschi,SA,PASSERIFORMES,Fringillidae,Finsch' Organist
9805,Euphonia concinna,SA,PASSERIFORMES,Fringillidae,Pluchekaporganist
9806,Euphonia trinitatis,SA,PASSERIFORMES,Fringillidae,Trinidadorganist
9807,Euphonia godmani,MA,PASSERIFORMES,Fringillidae,West-Mexicaanse Organist
9808,Euphonia affinis,MA,PASSERIFORMES,Fringillidae,Struikorganist
9809,Euphonia luteicapilla,MA,PASSERIFORMES,Fringillidae,Geelkruinorganist
9810,Euphonia chrysopasta,SA,PASSERIFORMES,Fringillidae,Goudbuikorganist
9811,Euphonia minuta,"MA, SA",PASSERIFORMES,Fringillidae,Witbuikorganist
9812,Euphonia chalybea,SA,PASSERIFORMES,Fringillidae,Groenkeelorganist
9813,Euphonia violacea,SA,PASSERIFORMES,Fringillidae,Violette Organist
9814,Euphonia hirundinacea,MA,PASSERIFORMES,Fringillidae,Geelkeelorganist
9815,Euphonia laniirostris,"MA, SA",PASSERIFORMES,Fringillidae,Dikbekorganist
9816,Euphonia imitans,MA,PASSERIFORMES,Fringillidae,Vlekkruinorganist
9817,Euphonia gouldi,MA,PASSERIFORMES,Fringillidae,Olijfrugorganist
9818,Euphonia fulvicrissa,"MA, SA",PASSERIFORMES,Fringillidae,Roestbuikorganist
9819,Euphonia anneae,"MA, SA",PASSERIFORMES,Fringillidae,Bruinkaporganist
9820,Euphonia xanthogaster,"MA, SA",PASSERIFORMES,Fringillidae,Vuurbuikorganist
9821,Euphonia mesochrysa,SA,PASSERIFORMES,Fringillidae,Groenkaporganist
9822,Euphonia cayennensis,SA,PASSERIFORMES,Fringillidae,Cayenneorganist
9823,Euphonia rufiventris,SA,PASSERIFORMES,Fringillidae,Roodbuikorganist
9824,Euphonia pectoralis,SA,PASSERIFORMES,Fringillidae,Kastanjebuikorganist
9825,Calcarius lapponicus,"NA, PAL",PASSERIFORMES,Calcariidae,IJsgors
9826,Plectrophenax nivalis,"NA, PAL",PASSERIFORMES,Calcariidae,Sneeuwgors
9827,Rhodinocichla rosea,"MA, SA",PASSERIFORMES,Rhodinocichlidae,Troepiaaltangare
9828,Emberiza lathami,OR,PASSERIFORMES,Emberizidae,Kuifgors
9829,Emberiza siemsseni,PAL,PASSERIFORMES,Emberizidae,Blauwe Gors
9830,Emberiza calandra,PAL,PASSERIFORMES,Emberizidae,Grauwe Gors
9831,Emberiza citrinella,PAL,PASSERIFORMES,Emberizidae,Geelgors
9832,Emberiza leucocephalos,PAL,PASSERIFORMES,Emberizidae,Witkopgors
9833,Emberiza cia,PAL,PASSERIFORMES,Emberizidae,Grijze Gors
9834,Emberiza godlewskii,PAL,PASSERIFORMES,Emberizidae,Rotsgors
9835,Emberiza cioides,PAL,PASSERIFORMES,Emberizidae,Weidegors
9836,Emberiza stewarti,OR,PASSERIFORMES,Emberizidae,Stewarts Gors
9837,Emberiza jankowskii,PAL,PASSERIFORMES,Emberizidae,Jankowski's Gors
9838,Emberiza buchanani,PAL,PASSERIFORMES,Emberizidae,Steenortolaan
9839,Emberiza cineracea,PAL,PASSERIFORMES,Emberizidae,Smyrnagors
9840,Emberiza hortulana,PAL,PASSERIFORMES,Emberizidae,Ortolaan
9841,Emberiza caesia,PAL,PASSERIFORMES,Emberizidae,Bruinkeelortolaan
9842,Emberiza cirlus,"PAL, AF",PASSERIFORMES,Emberizidae,Cirlgors
9843,Emberiza striolata,"PAL, AF",PASSERIFORMES,Emberizidae,Gestreepte Gors
9844,Emberiza sahari,AF,PASSERIFORMES,Emberizidae,Huisgors
9845,Emberiza impetuani,AF,PASSERIFORMES,Emberizidae,Leeuwerikgors
9846,Emberiza tahapisi,AF,PASSERIFORMES,Emberizidae,Zevenstrepengors
9847,Emberiza goslingi,AF,PASSERIFORMES,Emberizidae,Goslings Gors
9848,Emberiza socotrana,AF,PASSERIFORMES,Emberizidae,Socotragors
9849,Emberiza capensis,AF,PASSERIFORMES,Emberizidae,Kaapse Gors
9850,Emberiza tristrami,PAL,PASSERIFORMES,Emberizidae,Tristrams Gors
9851,Emberiza fucata,PAL,PASSERIFORMES,Emberizidae,Grijskopgors
9852,Emberiza pusilla,PAL,PASSERIFORMES,Emberizidae,Dwerggors
9853,Emberiza chrysophrys,PAL,PASSERIFORMES,Emberizidae,Geelbrauwgors
9854,Emberiza rustica,PAL,PASSERIFORMES,Emberizidae,Bosgors
9855,Emberiza elegans,PAL,PASSERIFORMES,Emberizidae,Geelkeelgors
9856,Emberiza aureola,PAL,PASSERIFORMES,Emberizidae,Wilgengors
9857,Emberiza poliopleura,AF,PASSERIFORMES,Emberizidae,Somalische Gors
9858,Emberiza flaviventris,AF,PASSERIFORMES,Emberizidae,Acaciagors
9859,Emberiza affinis,AF,PASSERIFORMES,Emberizidae,Bruinstuitgors
9860,Emberiza cabanisi,AF,PASSERIFORMES,Emberizidae,Cabanis' Gors
9861,Emberiza rutila,PAL,PASSERIFORMES,Emberizidae,Rosse Gors
9862,Emberiza koslowi,PAL,PASSERIFORMES,Emberizidae,Koslows Gors
9863,Emberiza melanocephala,PAL,PASSERIFORMES,Emberizidae,Zwartkopgors
9864,Emberiza bruniceps,PAL,PASSERIFORMES,Emberizidae,Bruinkopgors
9865,Emberiza sulphurata,PAL,PASSERIFORMES,Emberizidae,Zwavelgors
9866,Emberiza spodocephala,PAL,PASSERIFORMES,Emberizidae,Maskergors
9867,Emberiza personata,PAL,PASSERIFORMES,Emberizidae,Japanse Maskergors
9868,Emberiza variabilis,PAL,PASSERIFORMES,Emberizidae,Bamboegors
9869,Emberiza pallasi,PAL,PASSERIFORMES,Emberizidae,Pallas' Rietgors
9870,Emberiza yessoensis,PAL,PASSERIFORMES,Emberizidae,Japanse Rietgors
9871,Emberiza schoeniclus,PAL,PASSERIFORMES,Emberizidae,Rietgors
9872,Oreothraupis arremonops,SA,PASSERIFORMES,Passerellidae,Tangarestruikgors
9873,Chlorospingus flavigularis,"MA, SA",PASSERIFORMES,Passerellidae,Geelborsttangare
9874,Chlorospingus parvirostris,SA,PASSERIFORMES,Passerellidae,Kortsnaveltangare
9875,Chlorospingus canigularis,"MA, SA",PASSERIFORMES,Passerellidae,Grijskeeltangare
9876,Chlorospingus pileatus,MA,PASSERIFORMES,Passerellidae,Witbrauwtangare
9877,Chlorospingus flavopectus,"MA, SA",PASSERIFORMES,Passerellidae,Briltangare
9878,Chlorospingus tacarcunae,"MA, SA",PASSERIFORMES,Passerellidae,Tacarcunatangare
9879,Chlorospingus inornatus,MA,PASSERIFORMES,Passerellidae,Pirritangare
9880,Chlorospingus semifuscus,SA,PASSERIFORMES,Passerellidae,Grijsborsttangare
9881,Rhynchospiza stolzmanni,SA,PASSERIFORMES,Passerellidae,Stolzmanns Gors
9882,Rhynchospiza dabbenei,SA,PASSERIFORMES,Passerellidae,Yungasgors
9883,Rhynchospiza strigiceps,SA,PASSERIFORMES,Passerellidae,Chacogors
9884,Peucaea carpalis,"NA, MA",PASSERIFORMES,Passerellidae,Roestvleugelgors
9885,Peucaea sumichrasti,MA,PASSERIFORMES,Passerellidae,Kaneelstaartgors
9886,Peucaea ruficauda,MA,PASSERIFORMES,Passerellidae,Roeststaartgors
9887,Peucaea humeralis,MA,PASSERIFORMES,Passerellidae,Zwartborstgors
9888,Peucaea mystacalis,MA,PASSERIFORMES,Passerellidae,Teugelgors
9889,Peucaea botterii,"NA, MA",PASSERIFORMES,Passerellidae,Botteri's Gors
9890,Peucaea cassinii,"NA, MA",PASSERIFORMES,Passerellidae,Cassins Gors
9891,Ammodramus savannarum,"NA, MA",PASSERIFORMES,Passerellidae,Sprinkhaangors
9892,Ammodramus humeralis,SA,PASSERIFORMES,Passerellidae,Graslandgors
9893,Ammodramus aurifrons,SA,PASSERIFORMES,Passerellidae,Geelwanggors
9894,Arremonops rufivirgatus,"NA, MA",PASSERIFORMES,Passerellidae,Olijfgors
9895,Arremonops chloronotus,MA,PASSERIFORMES,Passerellidae,Groenruggors
9896,Arremonops conirostris,"MA, SA",PASSERIFORMES,Passerellidae,Panamagors
9897,Arremonops tocuyensis,SA,PASSERIFORMES,Passerellidae,Tocuyugors
9898,Amphispizopsis quinquestriata,MA,PASSERIFORMES,Passerellidae,Vijfstrepengors
9899,Amphispiza bilineata,"NA, MA",PASSERIFORMES,Passerellidae,Zwartkeelgors
9900,Spizella passerina,"NA, MA",PASSERIFORMES,Passerellidae,Musgors
9901,Spizella atrogularis,"NA, MA",PASSERIFORMES,Passerellidae,Zwartkingors
9902,Spizella wortheni,MA,PASSERIFORMES,Passerellidae,Mexicaanse Veldgors
9903,Arremon basilicus,SA,PASSERIFORMES,Passerellidae,Bangs' Struikgors
9904,Arremon perijanus,SA,PASSERIFORMES,Passerellidae,Perijástruikgors
9905,Arremon costaricensis,MA,PASSERIFORMES,Passerellidae,Costaricaanse Struikgors
9906,Arremon atricapillus,"MA, SA",PASSERIFORMES,Passerellidae,Zwartkopstruikgors
9907,Arremon phaeopleurus,SA,PASSERIFORMES,Passerellidae,Caracasstruikgors
9908,Arremon phygas,SA,PASSERIFORMES,Passerellidae,Pariastruikgors
9909,Arremon assimilis,SA,PASSERIFORMES,Passerellidae,Grijsbrauwstruikgors
9910,Arremon torquatus,SA,PASSERIFORMES,Passerellidae,Streepkopstruikgors
9911,Arremon aurantiirostris,"MA, SA",PASSERIFORMES,Passerellidae,Goudsnavelgors
9912,Arremon abeillei,SA,PASSERIFORMES,Passerellidae,Kapucijnergors
9913,Arremon schlegeli,SA,PASSERIFORMES,Passerellidae,Goudvleugelgors
9914,Arremon taciturnus,SA,PASSERIFORMES,Passerellidae,Olijfruggors
9915,Arremon franciscanus,SA,PASSERIFORMES,Passerellidae,São-Franciscogors
9916,Arremon semitorquatus,SA,PASSERIFORMES,Passerellidae,São-Paulostruikgors
9917,Arremon dorbignii,SA,PASSERIFORMES,Passerellidae,Wenkbrauwgeelsnavelgors
9918,Arremon flavirostris,SA,PASSERIFORMES,Passerellidae,Geelsnavelgors
9919,Arremon virenticeps,MA,PASSERIFORMES,Passerellidae,Groenkapstruikgors
9920,Arremon brunneinucha,"MA, SA",PASSERIFORMES,Passerellidae,Bruinkapstruikgors
9921,Arremon crassirostris,MA,PASSERIFORMES,Passerellidae,Dikbekstruikgors
9922,Arremon castaneiceps,SA,PASSERIFORMES,Passerellidae,Olijfgroene Struikgors
9923,Junco vulcani,MA,PASSERIFORMES,Passerellidae,Vulkaanjunco
9924,Junco insularis,MA,PASSERIFORMES,Passerellidae,Guadalupejunco
9925,Junco hyemalis,"NA, MA",PASSERIFORMES,Passerellidae,Grijze Junco
9926,Junco phaeonotus,"NA, MA",PASSERIFORMES,Passerellidae,Geeloogjunco
9927,Junco bairdi,MA,PASSERIFORMES,Passerellidae,Bairds Junco
9928,Zonotrichia capensis,"MA, SA",PASSERIFORMES,Passerellidae,Roodkraaggors
9929,Artemisiospiza belli,"NA, MA",PASSERIFORMES,Passerellidae,Bells Gors
9930,Oriturus superciliosus,MA,PASSERIFORMES,Passerellidae,Zwartwanggors
9931,Passerculus sandwichensis,"NA, MA",PASSERIFORMES,Passerellidae,Savannahgors
9932,Xenospiza baileyi,MA,PASSERIFORMES,Passerellidae,Sierra-Madregors
9933,Pezopetes capitalis,MA,PASSERIFORMES,Passerellidae,Grootpootstruikgors
9934,Melozone kieneri,MA,PASSERIFORMES,Passerellidae,Roestnekgors
9935,Melozone fusca,"NA, MA",PASSERIFORMES,Passerellidae,Bruine Towie
9936,Melozone albicollis,MA,PASSERIFORMES,Passerellidae,Witkeeltowie
9937,Melozone aberti,"NA, MA",PASSERIFORMES,Passerellidae,Zwartkintowie
9938,Melozone crissalis,"NA, MA",PASSERIFORMES,Passerellidae,Californische Towie
9939,Melozone leucotis,MA,PASSERIFORMES,Passerellidae,Witoorgrondgors
9940,Melozone biarcuata,MA,PASSERIFORMES,Passerellidae,Witwanggrondgors
9941,Melozone cabanisi,MA,PASSERIFORMES,Passerellidae,Cabanis' Grondgors
9942,Aimophila rufescens,MA,PASSERIFORMES,Passerellidae,Roestruggors
9943,Aimophila ruficeps,"NA, MA",PASSERIFORMES,Passerellidae,Roestkruingors
9944,Aimophila notosticta,MA,PASSERIFORMES,Passerellidae,Oaxacagors
9945,Pipilo maculatus,"NA, MA",PASSERIFORMES,Passerellidae,Gevlekte Towie
9946,Pipilo ocai,MA,PASSERIFORMES,Passerellidae,Kraagtowie
9947,Atlapetes pileatus,MA,PASSERIFORMES,Passerellidae,Roodkapstruikgors
9948,Atlapetes albinucha,"MA, SA",PASSERIFORMES,Passerellidae,Witnekstruikgors
9949,Atlapetes tibialis,MA,PASSERIFORMES,Passerellidae,Geeldijstruikgors
9950,Atlapetes luteoviridis,MA,PASSERIFORMES,Passerellidae,Geelgroene Struikgors
9951,Atlapetes albofrenatus,SA,PASSERIFORMES,Passerellidae,Witbaardstruikgors
9952,Atlapetes meridae,SA,PASSERIFORMES,Passerellidae,Méridastruikgors
9953,Atlapetes personatus,SA,PASSERIFORMES,Passerellidae,Tepuistruikgors
9954,Atlapetes melanocephalus,SA,PASSERIFORMES,Passerellidae,Santa-Martastruikgors
9955,Atlapetes semirufus,SA,PASSERIFORMES,Passerellidae,Okerborststruikgors
9956,Atlapetes flaviceps,SA,PASSERIFORMES,Passerellidae,Goudkopstruikgors
9957,Atlapetes fuscoolivaceus,SA,PASSERIFORMES,Passerellidae,Roetkopstruikgors
9958,Atlapetes leucopis,SA,PASSERIFORMES,Passerellidae,Brilstruikgors
9959,Atlapetes albiceps,SA,PASSERIFORMES,Passerellidae,Witkopstruikgors
9960,Atlapetes rufigenis,SA,PASSERIFORMES,Passerellidae,Roodoorstruikgors
9961,Atlapetes crassus,SA,PASSERIFORMES,Passerellidae,Donkere Struikgors
9962,Atlapetes tricolor,SA,PASSERIFORMES,Passerellidae,Driekleurige Struikgors
9963,Atlapetes schistaceus,SA,PASSERIFORMES,Passerellidae,Grijsborststruikgors
9964,Atlapetes pallidinucha,SA,PASSERIFORMES,Passerellidae,Bleeknekstruikgors
9965,Atlapetes blancae,SA,PASSERIFORMES,Passerellidae,Antioquiastruikgors
9966,Atlapetes latinuchus,SA,PASSERIFORMES,Passerellidae,Geelborststruikgors
9967,Atlapetes nigrifrons,SA,PASSERIFORMES,Passerellidae,Zwartvoorhoofdstruikgors
9968,Atlapetes leucopterus,SA,PASSERIFORMES,Passerellidae,Witvleugelstruikgors
9969,Atlapetes pallidiceps,SA,PASSERIFORMES,Passerellidae,Bleekkopstruikgors
9970,Atlapetes seebohmi,SA,PASSERIFORMES,Passerellidae,Roodkruinstruikgors
9971,Atlapetes nationi,SA,PASSERIFORMES,Passerellidae,Roestbuikstruikgors
9972,Atlapetes forbesi,SA,PASSERIFORMES,Passerellidae,Apurímacstruikgors
9973,Atlapetes melanopsis,SA,PASSERIFORMES,Passerellidae,Zwartbrilstruikgors
9974,Atlapetes terborghi,SA,PASSERIFORMES,Passerellidae,Vilcabambastruikgors
9975,Atlapetes canigenis,SA,PASSERIFORMES,Passerellidae,Grijze Struikgors
9976,Atlapetes melanolaemus,SA,PASSERIFORMES,Passerellidae,Zwartkeelstruikgors
9977,Atlapetes rufinucha,SA,PASSERIFORMES,Passerellidae,Roodnekstruikgors
9978,Atlapetes fulviceps,SA,PASSERIFORMES,Passerellidae,Bruinbaardstruikgors
9979,Atlapetes citrinellus,SA,PASSERIFORMES,Passerellidae,Zwartbaardstruikgors
9980,Zeledonia coronata,MA,PASSERIFORMES,Zeledoniidae,Zeledonia
9981,Icteria virens,"NA, MA",PASSERIFORMES,Icteriidae,Geelborstzanger
9982,Xanthocephalus xanthocephalus,"NA, MA",PASSERIFORMES,Icteridae,Geelkoptroepiaal
9983,Sturnella neglecta,"NA, MA",PASSERIFORMES,Icteridae,Geelkaakweidespreeuw
9984,Sturnella magna,"NA, MA, SA",PASSERIFORMES,Icteridae,Witkaakweidespreeuw
9985,Sturnella lilianae,"NA, MA",PASSERIFORMES,Icteridae,Lilians Weidespreeuw
9986,Leistes militaris,"MA, SA",PASSERIFORMES,Icteridae,Zwartkopsoldatenspreeuw
9987,Leistes superciliaris,SA,PASSERIFORMES,Icteridae,Witbrauwsoldatenspreeuw
9988,Leistes bellicosus,SA,PASSERIFORMES,Icteridae,Peruaanse Weidespreeuw
9989,Leistes loyca,SA,PASSERIFORMES,Icteridae,Grote Weidespreeuw
9990,Leistes defilippii,SA,PASSERIFORMES,Icteridae,Kleine Weidespreeuw
9991,Amblycercus holosericeus,"MA, SA",PASSERIFORMES,Icteridae,Geelsnaveltroepiaal
9992,Cassiculus melanicterus,MA,PASSERIFORMES,Icteridae,Geelvleugelbuidelspreeuw
9993,Psarocolius wagleri,"MA, SA",PASSERIFORMES,Icteridae,Waglers Oropendola
9994,Psarocolius angustifrons,SA,PASSERIFORMES,Icteridae,Roestrugoropendola
9995,Psarocolius atrovirens,SA,PASSERIFORMES,Icteridae,Groensnaveloropendola
9996,Psarocolius decumanus,SA,PASSERIFORMES,Icteridae,Kuiforopendola
9997,Psarocolius viridis,SA,PASSERIFORMES,Icteridae,Groene Oropendola
9998,Psarocolius bifasciatus,SA,PASSERIFORMES,Icteridae,Paráoropendola
9999,Psarocolius montezuma,MA,PASSERIFORMES,Icteridae,Montezumaoropendola
10000,Psarocolius guatimozinus,"MA, SA",PASSERIFORMES,Icteridae,Zwarte Oropendola
10001,Psarocolius cassini,SA,PASSERIFORMES,Icteridae,Bruinrugoropendola
10002,Cacicus solitarius,SA,PASSERIFORMES,Icteridae,Zwarte Buidelspreeuw
10003,Cacicus chrysopterus,SA,PASSERIFORMES,Icteridae,Goudvleugelbuidelspreeuw
10004,Cacicus koepckeae,SA,PASSERIFORMES,Icteridae,Loretobuidelspreeuw
10005,Cacicus sclateri,SA,PASSERIFORMES,Icteridae,Rouwbuidelspreeuw
10006,Cacicus cela,"MA, SA",PASSERIFORMES,Icteridae,Geelstuitbuidelspreeuw
10007,Cacicus microrhynchus,"MA, SA",PASSERIFORMES,Icteridae,Kleine Bloedstuitbuidelspreeuw
10008,Cacicus uropygialis,"MA, SA",PASSERIFORMES,Icteridae,Grote Bloedstuitbuidelspreeuw
10009,Cacicus chrysonotus,SA,PASSERIFORMES,Icteridae,Geelstuitbergbuidelspreeuw
10010,Cacicus latirostris,SA,PASSERIFORMES,Icteridae,Bandstaartoropendola
10011,Cacicus oseryi,SA,PASSERIFORMES,Icteridae,Helmoropendola
10012,Cacicus haemorrhous,SA,PASSERIFORMES,Icteridae,Roodstuitbuidelspreeuw
10013,Icterus parisorum,"NA, MA",PASSERIFORMES,Icteridae,Scotts Troepiaal
