,IOC,Breeding Range,Order,Family,Dutch
166,Anas castanea,AU,ANSERIFORMES,Anatidae,Kastanjetaling
167,Anas bernieri,AF,ANSERIFORMES,Anatidae,Madagaskartaling
168,Anas chlorotis,AU,ANSERIFORMES,Anatidae,Bruine Taling
169,Anas aucklandica,AU,ANSERIFORMES,Anatidae,Aucklandtaling
170,Anas nesiotis,AU,ANSERIFORMES,Anatidae,Campbelltaling
171,Marmaronetta angustirostris,PAL,ANSERIFORMES,Anatidae,Marmereend
172,Netta rufina,PAL,ANSERIFORMES,Anatidae,Krooneend
173,Netta peposaca,SA,ANSERIFORMES,Anatidae,Peposaka-eend
174,Netta erythrophthalma,"AF, SA",ANSERIFORMES,Anatidae,Bruine Krooneend
175,Aythya ferina,PAL,ANSERIFORMES,Anatidae,Tafeleend
176,Aythya australis,AU,ANSERIFORMES,Anatidae,Australische Witoogeend
177,Aythya innotata,AF,ANSERIFORMES,Anatidae,Madagaskarwitoogeend
178,Aythya baeri,PAL,ANSERIFORMES,Anatidae,Baers Witoogeend
179,Aythya nyroca,PAL,ANSERIFORMES,Anatidae,Witoogeend
180,Aythya novaeseelandiae,AU,ANSERIFORMES,Anatidae,Nieuw-Zeelandse Topper
181,Aythya fuligula,PAL,ANSERIFORMES,Anatidae,Kuifeend
182,Aythya marila,"NA, PAL",ANSERIFORMES,Anatidae,Topper
183,Polysticta stelleri,"NA, PAL",ANSERIFORMES,Anatidae,Stellers Eider
184,Somateria fischeri,"NA, PAL",ANSERIFORMES,Anatidae,Brileider
185,Somateria spectabilis,"NA, PAL",ANSERIFORMES,Anatidae,Koningseider
186,Somateria mollissima,"NA, PAL",ANSERIFORMES,Anatidae,Eider
187,Histrionicus histrionicus,"NA, PAL",ANSERIFORMES,Anatidae,Harlekijneend
188,Melanitta fusca,PAL,ANSERIFORMES,Anatidae,Grote Zee-eend
189,Melanitta stejnegeri,PAL,ANSERIFORMES,Anatidae,Aziatische Grote Zee-eend
190,Melanitta nigra,PAL,ANSERIFORMES,Anatidae,Zwarte Zee-eend
191,Melanitta americana,"PAL, NA",ANSERIFORMES,Anatidae,Amerikaanse Zee-eend
192,Clangula hyemalis,"NA, PAL",ANSERIFORMES,Anatidae,IJseend
193,Bucephala clangula,"NA, PAL",ANSERIFORMES,Anatidae,Brilduiker
194,Bucephala islandica,"NA, PAL",ANSERIFORMES,Anatidae,IJslandse Brilduiker
195,Mergellus albellus,PAL,ANSERIFORMES,Anatidae,Nonnetje
196,Mergus octosetaceus,SA,ANSERIFORMES,Anatidae,Braziliaanse Zaagbek
197,Mergus merganser,"NA, PAL",ANSERIFORMES,Anatidae,Grote Zaagbek
198,Mergus serrator,"NA, PAL",ANSERIFORMES,Anatidae,Middelste Zaagbek
199,Mergus squamatus,PAL,ANSERIFORMES,Anatidae,Chinese Zaagbek
200,Heteronetta atricapilla,SA,ANSERIFORMES,Anatidae,Koekoekseend
201,Nomonyx dominicus,"MA, SA",ANSERIFORMES,Anatidae,Maskerstekelstaart
202,Oxyura jamaicensis,"NA, MA",ANSERIFORMES,Anatidae,Rosse Stekelstaart
203,Oxyura ferruginea,SA,ANSERIFORMES,Anatidae,Andesstekelstaart
204,Oxyura vittata,SA,ANSERIFORMES,Anatidae,Argentijnse Stekelstaart
205,Oxyura australis,AU,ANSERIFORMES,Anatidae,Australische Stekelstaart
206,Oxyura maccoa,AF,ANSERIFORMES,Anatidae,Afrikaanse Stekelstaart
207,Oxyura leucocephala,PAL,ANSERIFORMES,Anatidae,Witkopeend
208,Biziura lobata,AU,ANSERIFORMES,Anatidae,Australische Muskuseend
209,Alectura lathami,AU,GALLIFORMES,Megapodiidae,Boskalkoen
210,Aepypodius arfakianus,AU,GALLIFORMES,Megapodiidae,Kamboskalkoen
211,Aepypodius bruijnii,AU,GALLIFORMES,Megapodiidae,Bruijns Boskalkoen
212,Talegalla cuvieri,AU,GALLIFORMES,Megapodiidae,Roodsnavelboskalkoen
213,Talegalla fuscirostris,AU,GALLIFORMES,Megapodiidae,Zwartsnavelboskalkoen
214,Talegalla jobiensis,AU,GALLIFORMES,Megapodiidae,Bruinkraagboskalkoen
215,Leipoa ocellata,AU,GALLIFORMES,Megapodiidae,Thermometervogel
216,Macrocephalon maleo,AU,GALLIFORMES,Megapodiidae,Hamerhoen
217,Eulipoa wallacei,AU,GALLIFORMES,Megapodiidae,Moluks Boshoen
218,Megapodius pritchardii,PO,GALLIFORMES,Megapodiidae,Polynesisch Boshoen
219,Megapodius laperouse,PO,GALLIFORMES,Megapodiidae,Marianenboshoen
220,Megapodius nicobariensis,OR,GALLIFORMES,Megapodiidae,Nicobarenboshoen
221,Megapodius cumingii,"OR, AU",GALLIFORMES,Megapodiidae,Filipijns Boshoen
222,Megapodius bernsteinii,AU,GALLIFORMES,Megapodiidae,Bruin Boshoen
223,Megapodius tenimberensis,AU,GALLIFORMES,Megapodiidae,Tanimbarboshoen
224,Megapodius freycinet,AU,GALLIFORMES,Megapodiidae,Zwart Boshoen
225,Megapodius geelvinkianus,AU,GALLIFORMES,Megapodiidae,Geelvinkboshoen
226,Megapodius eremita,AU,GALLIFORMES,Megapodiidae,Heremietboshoen
227,Megapodius layardi,AU,GALLIFORMES,Megapodiidae,Vanuatuboshoen
228,Megapodius decollatus,AU,GALLIFORMES,Megapodiidae,Grijs Boshoen
229,Megapodius reinwardt,AU,GALLIFORMES,Megapodiidae,Rood Boshoen
230,Ortalis vetula,"NA, MA",GALLIFORMES,Cracidae,Bruine Chachalaca
231,Ortalis cinereiceps,"MA, SA",GALLIFORMES,Cracidae,Grijskopchachalaca
232,Ortalis garrula,SA,GALLIFORMES,Cracidae,Roodvleugelchachalaca
233,Ortalis ruficauda,SA,GALLIFORMES,Cracidae,Roodbuikchachalaca
234,Ortalis erythroptera,SA,GALLIFORMES,Cracidae,Roodkopchachalaca
235,Ortalis wagleri,MA,GALLIFORMES,Cracidae,Waglers Chachalaca
236,Ortalis poliocephala,MA,GALLIFORMES,Cracidae,West-Mexicaanse Chachalaca
237,Ortalis canicollis,SA,GALLIFORMES,Cracidae,Chacochachalaca
238,Ortalis leucogastra,MA,GALLIFORMES,Cracidae,Witbuikchachalaca
239,Ortalis guttata,SA,GALLIFORMES,Cracidae,Gevlekte Chachalaca
240,Ortalis araucuan,SA,GALLIFORMES,Cracidae,Oost-Braziliaanse Chachalaca
241,Ortalis squamata,SA,GALLIFORMES,Cracidae,Geschubde Chachalaca
242,Ortalis columbiana,SA,GALLIFORMES,Cracidae,Colombiaanse Chachalaca
243,Ortalis motmot,SA,GALLIFORMES,Cracidae,Kleine Chachalaca
244,Ortalis ruficeps,SA,GALLIFORMES,Cracidae,Kastanjekopchachalaca
245,Ortalis superciliaris,SA,GALLIFORMES,Cracidae,Geelbrauwchachalaca
246,Penelope argyrotis,SA,GALLIFORMES,Cracidae,Bandstaartsjakohoen
247,Penelope barbata,SA,GALLIFORMES,Cracidae,Baardsjakohoen
248,Penelope ortoni,SA,GALLIFORMES,Cracidae,Ortons Sjakohoen
249,Penelope montagnii,SA,GALLIFORMES,Cracidae,Andessjakohoen
250,Penelope marail,SA,GALLIFORMES,Cracidae,Marailsjakohoen
251,Penelope superciliaris,SA,GALLIFORMES,Cracidae,Witvoorhoofdsjakohoen
252,Penelope dabbenei,SA,GALLIFORMES,Cracidae,Roodmaskersjakohoen
253,Penelope purpurascens,"MA, SA",GALLIFORMES,Cracidae,Kuifsjakohoen
254,Penelope perspicax,SA,GALLIFORMES,Cracidae,Caucasjakohoen
255,Penelope albipennis,SA,GALLIFORMES,Cracidae,Witvleugelsjakohoen
256,Penelope jacquacu,SA,GALLIFORMES,Cracidae,Spix' Sjakohoen
257,Penelope obscura,SA,GALLIFORMES,Cracidae,Grijspootsjakohoen
258,Penelope bridgesi,SA,GALLIFORMES,Cracidae,Yungassjakohoen
259,Penelope pileata,SA,GALLIFORMES,Cracidae,Witkuifsjakohoen
260,Penelope ochrogaster,SA,GALLIFORMES,Cracidae,Rossig Sjakohoen
261,Penelope jacucaca,SA,GALLIFORMES,Cracidae,Witbrauwsjakohoen
262,Pipile pipile,SA,GALLIFORMES,Cracidae,Trinidadblauwkeelgoean
263,Pipile cumanensis,SA,GALLIFORMES,Cracidae,Blauwkeelgoean
264,Pipile grayi,SA,GALLIFORMES,Cracidae,Witkeelgoean
265,Pipile cujubi,SA,GALLIFORMES,Cracidae,Roodkeelgoean
266,Pipile jacutinga,SA,GALLIFORMES,Cracidae,Zwartmaskergoean
267,Aburria aburri,SA,GALLIFORMES,Cracidae,Lelgoean
268,Chamaepetes unicolor,MA,GALLIFORMES,Cracidae,Zwarte Goean
269,Chamaepetes goudotii,SA,GALLIFORMES,Cracidae,Sikkelvleugelgoean
270,Penelopina nigra,MA,GALLIFORMES,Cracidae,Berggoean
271,Oreophasis derbianus,MA,GALLIFORMES,Cracidae,Hoorngoean
272,Nothocrax urumutum,SA,GALLIFORMES,Cracidae,Nachthokko
273,Mitu tomentosum,SA,GALLIFORMES,Cracidae,Kleine Mesbekpauwies
274,Mitu salvini,SA,GALLIFORMES,Cracidae,Salvins Mesbekpauwies
275,Mitu tuberosum,SA,GALLIFORMES,Cracidae,Mesbekpauwies
276,Mitu mitu,SA,GALLIFORMES,Cracidae,Alagoasmesbekpauwies
277,Pauxi pauxi,SA,GALLIFORMES,Cracidae,Helmhokko
278,Pauxi unicornis,SA,GALLIFORMES,Cracidae,Hoornhokko
279,Pauxi koepckeae,SA,GALLIFORMES,Cracidae,Sirahokko
280,Crax rubra,"MA, SA",GALLIFORMES,Cracidae,Bruine Hokko
281,Crax alberti,SA,GALLIFORMES,Cracidae,Blauwknobbelhokko
282,Crax daubentoni,SA,GALLIFORMES,Cracidae,Geelknobbelhokko
283,Crax alector,SA,GALLIFORMES,Cracidae,Zwarte Hokko
284,Crax globulosa,SA,GALLIFORMES,Cracidae,Knobbelhokko
285,Crax fasciolata,SA,GALLIFORMES,Cracidae,Maskerhokko
286,Crax blumenbachii,SA,GALLIFORMES,Cracidae,Roodsnavelhokko
287,Agelastes meleagrides,AF,GALLIFORMES,Numididae,Kalkoenparelhoen
288,Agelastes niger,AF,GALLIFORMES,Numididae,Zwart Parelhoen
289,Numida meleagris,AF,GALLIFORMES,Numididae,Helmparelhoen
290,Guttera plumifera,AF,GALLIFORMES,Numididae,Kuifparelhoen
291,Guttera verreauxi,AF,GALLIFORMES,Numididae,Blauwkopkroonparelhoen
292,Guttera pucherani,AF,GALLIFORMES,Numididae,Roodkopkroonparelhoen
293,Guttera edouardi,AF,GALLIFORMES,Numididae,Geelnekkroonparelhoen
294,Acryllium vulturinum,AF,GALLIFORMES,Numididae,Gierparelhoen
295,Ptilopachus petrosus,AF,GALLIFORMES,Odontophoridae,Rotspatrijs
296,Ptilopachus nahani,AF,GALLIFORMES,Odontophoridae,Nahans Frankolijn
297,Dendrortyx leucophrys,MA,GALLIFORMES,Odontophoridae,Witkeelbospatrijs
298,Dendrortyx macroura,MA,GALLIFORMES,Odontophoridae,Mexicaanse Bospatrijs
299,Dendrortyx barbatus,MA,GALLIFORMES,Odontophoridae,Grijskeelbospatrijs
300,Oreortyx pictus,"NA, MA",GALLIFORMES,Odontophoridae,Bergkwartel
301,Callipepla squamata,"NA, MA",GALLIFORMES,Odontophoridae,Geschubde Kwartel
302,Callipepla douglasii,MA,GALLIFORMES,Odontophoridae,Douglas' Kuifkwartel
303,Callipepla californica,"NA, MA",GALLIFORMES,Odontophoridae,Californische Kuifkwartel
304,Callipepla gambelii,"NA, MA",GALLIFORMES,Odontophoridae,Gambels Kuifkwartel
305,Philortyx fasciatus,MA,GALLIFORMES,Odontophoridae,Bandkwartel
306,Colinus virginianus,"NA, MA",GALLIFORMES,Odontophoridae,Bobwhite
307,Colinus nigrogularis,MA,GALLIFORMES,Odontophoridae,Zwartkeelbobwhite
308,Colinus leucopogon,MA,GALLIFORMES,Odontophoridae,Vlekbuikbobwhite
309,Colinus cristatus,"MA, SA",GALLIFORMES,Odontophoridae,Kuifbobwhite
310,Odontophorus gujanensis,"MA, SA",GALLIFORMES,Odontophoridae,Gemarmerde Tandkwartel
311,Odontophorus capueira,SA,GALLIFORMES,Odontophoridae,Grijze Tandkwartel
312,Odontophorus melanotis,MA,GALLIFORMES,Odontophoridae,Zwartoortandkwartel
313,Odontophorus erythrops,SA,GALLIFORMES,Odontophoridae,Bruinmaskertandkwartel
314,Odontophorus atrifrons,SA,GALLIFORMES,Odontophoridae,Zwartmaskertandkwartel
315,Odontophorus hyperythrus,SA,GALLIFORMES,Odontophoridae,Witoortandkwartel
316,Odontophorus melanonotus,SA,GALLIFORMES,Odontophoridae,Zwartrugtandkwartel
317,Odontophorus speciosus,SA,GALLIFORMES,Odontophoridae,Bruinborsttandkwartel
318,Odontophorus dialeucos,"MA, SA",GALLIFORMES,Odontophoridae,Zwartkeeltandkwartel
319,Odontophorus strophium,SA,GALLIFORMES,Odontophoridae,Witkeeltandkwartel
320,Odontophorus columbianus,SA,GALLIFORMES,Odontophoridae,Venezuelatandkwartel
321,Odontophorus leucolaemus,MA,GALLIFORMES,Odontophoridae,Zwartborsttandkwartel
322,Odontophorus balliviani,SA,GALLIFORMES,Odontophoridae,Vlekbuiktandkwartel
323,Odontophorus stellatus,SA,GALLIFORMES,Odontophoridae,Stippelborsttandkwartel
