,IOC,Breeding Range,Order,Family,Spanish
8168,Pterorhinus woodi,OR,PASSERIFORMES,Leiothrichidae,Babax indio
8169,Pterorhinus lanceolatus,OR,PASSERIFORMES,Leiothrichidae,Babax chino
8170,Pterorhinus waddelli,PAL,PASSERIFORMES,Leiothrichidae,Babax gigante
8171,Pterorhinus koslowi,PAL,PASSERIFORMES,Leiothrichidae,Babax de Koslov
8172,Pterorhinus albogularis,OR,PASSERIFORMES,Leiothrichidae,Charlatán gorjiblanco
8173,Pterorhinus ruficeps,OR,PASSERIFORMES,Leiothrichidae,Charlatán coronirrufo
8174,Pterorhinus caerulatus,OR,PASSERIFORMES,Leiothrichidae,Charlatán flanquigrís
8175,Pterorhinus berthemyi,OR,PASSERIFORMES,Leiothrichidae,Charlatán rojizo chino
8176,Pterorhinus poecilorhynchus,OR,PASSERIFORMES,Leiothrichidae,Charlatán rojizo de Formosa
8177,Modulatrix stictigula,AF,PASSERIFORMES,Modulatricidae,Tordina de anteojos
8178,Arcanator orostruthus,AF,PASSERIFORMES,Modulatricidae,Tordina manchada
8179,Kakamega poliothorax,AF,PASSERIFORMES,Modulatricidae,Tordina de Kakamega
8180,Promerops cafer,AF,PASSERIFORMES,Promeropidae,Mielero abejaruco de El Cabo
8181,Promerops gurneyi,AF,PASSERIFORMES,Promeropidae,Mielero abejaruco de Gurney
8182,Irena puella,OR,PASSERIFORMES,Irenidae,Irena común
8183,Irena tweeddalii,OR,PASSERIFORMES,Irenidae,Irena de Palawan
8184,Irena cyanogastra,OR,PASSERIFORMES,Irenidae,Irena dorsinegra
8185,Regulus ignicapilla,PAL,PASSERIFORMES,Regulidae,Reyezuelo listado
8186,Regulus madeirensis,PAL,PASSERIFORMES,Regulidae,Reyezuelo de Madeira
8187,Regulus satrapa,"NA, MA",PASSERIFORMES,Regulidae,Reyezuelo sátrapa
8188,Regulus goodfellowi,OR,PASSERIFORMES,Regulidae,Reyezuelo de Formosa
8189,Regulus regulus,PAL,PASSERIFORMES,Regulidae,Reyezuelo sencillo
8190,Elachura formosa,OR,PASSERIFORMES,Elachuridae,Ratina moteada
8191,Hyliota flavigaster,AF,PASSERIFORMES,Hyliotidae,Hiliota ventrigualda
8192,Hyliota australis,AF,PASSERIFORMES,Hyliotidae,Hiliota austral
8193,Hyliota usambara,AF,PASSERIFORMES,Hyliotidae,Hiliota de los Usambara
8194,Hyliota violacea,AF,PASSERIFORMES,Hyliotidae,Hiliota violácea
8195,Campylorhynchus albobrunneus,"MA, SA",PASSERIFORMES,Troglodytidae,Cucarachero cabeciblanco
8196,Campylorhynchus zonatus,"MA, SA",PASSERIFORMES,Troglodytidae,Cucarachero barrado
8197,Campylorhynchus megalopterus,MA,PASSERIFORMES,Troglodytidae,Cucarachero serrano
8198,Campylorhynchus nuchalis,SA,PASSERIFORMES,Troglodytidae,Cucarachero chocorocoy
8199,Campylorhynchus fasciatus,SA,PASSERIFORMES,Troglodytidae,Cucarachero ondeado
8200,Campylorhynchus chiapensis,MA,PASSERIFORMES,Troglodytidae,Cucarachero de Chiapas
8201,Campylorhynchus griseus,SA,PASSERIFORMES,Troglodytidae,Cucarachero currucuchú
8202,Campylorhynchus rufinucha,MA,PASSERIFORMES,Troglodytidae,Cucarachero nuquirrufo
8203,Campylorhynchus humilis,MA,PASSERIFORMES,Troglodytidae,Cucarachero de Sclater
8204,Campylorhynchus capistratus,MA,PASSERIFORMES,Troglodytidae,Cucarachero dorsicastaño
8205,Campylorhynchus gularis,MA,PASSERIFORMES,Troglodytidae,Cucarachero manchado
8206,Campylorhynchus jocosus,MA,PASSERIFORMES,Troglodytidae,Cucarachero del Balsas
8207,Campylorhynchus yucatanicus,MA,PASSERIFORMES,Troglodytidae,Cucarachero yucateco
8208,Campylorhynchus brunneicapillus,"NA, MA",PASSERIFORMES,Troglodytidae,Cucarachero desértico
8209,Campylorhynchus turdinus,SA,PASSERIFORMES,Troglodytidae,Cucarachero turdino
8210,Odontorchilus branickii,SA,PASSERIFORMES,Troglodytidae,Cucarachero dorsigrís
8211,Odontorchilus cinereus,SA,PASSERIFORMES,Troglodytidae,Cucarachero dentado
8212,Salpinctes obsoletus,"NA, MA",PASSERIFORMES,Troglodytidae,Cucarachero roquero
8213,Catherpes mexicanus,"NA, MA",PASSERIFORMES,Troglodytidae,Cucarachero barranquero
8214,Hylorchilus sumichrasti,MA,PASSERIFORMES,Troglodytidae,Cucarachero picofino
8215,Hylorchilus navai,MA,PASSERIFORMES,Troglodytidae,Cucarachero de Nava
8216,Cinnycerthia unirufa,SA,PASSERIFORMES,Troglodytidae,Cucarachero rufo
8217,Cinnycerthia olivascens,SA,PASSERIFORMES,Troglodytidae,Cucarachero sepia
8218,Cinnycerthia peruana,SA,PASSERIFORMES,Troglodytidae,Cucarachero peruano
8219,Cinnycerthia fulva,SA,PASSERIFORMES,Troglodytidae,Cucarachero fulvo
8220,Cistothorus meridae,SA,PASSERIFORMES,Troglodytidae,Cucarachero de Mérida
8221,Cistothorus apolinari,SA,PASSERIFORMES,Troglodytidae,Cucarachero de Apolinar
8222,Cistothorus platensis,"MA, SA",PASSERIFORMES,Troglodytidae,Cucarachero sabanero
8223,Cistothorus palustris,"NA, MA",PASSERIFORMES,Troglodytidae,Cucarachero pantanero
8224,Thryomanes bewickii,"NA, MA",PASSERIFORMES,Troglodytidae,Cucarachero colinegro
8225,Pheugopedius atrogularis,MA,PASSERIFORMES,Troglodytidae,Cucarachero gorjinegro
8226,Pheugopedius spadix,"MA, SA",PASSERIFORMES,Troglodytidae,Cucarachero cabecigrís
8227,Pheugopedius fasciatoventris,"MA, SA",PASSERIFORMES,Troglodytidae,Cucarachero ventrinegro
8228,Pheugopedius euophrys,SA,PASSERIFORMES,Troglodytidae,Cucarachero coliliso
8229,Pheugopedius eisenmanni,SA,PASSERIFORMES,Troglodytidae,Cucarachero inca
8230,Pheugopedius genibarbis,SA,PASSERIFORMES,Troglodytidae,Cucarachero bigotudo brasileño
8231,Pheugopedius mystacalis,SA,PASSERIFORMES,Troglodytidae,Cucarachero bigotudo montano
8232,Pheugopedius coraya,SA,PASSERIFORMES,Troglodytidae,Cucarachero coraya
8233,Pheugopedius felix,MA,PASSERIFORMES,Troglodytidae,Cucarachero feliz
8234,Pheugopedius maculipectus,MA,PASSERIFORMES,Troglodytidae,Cucarachero pinto
8235,Pheugopedius rutilus,"MA, SA",PASSERIFORMES,Troglodytidae,Cucarachero pechirrufo
8236,Pheugopedius sclateri,SA,PASSERIFORMES,Troglodytidae,Cucarachero jaspeado
8237,Thryophilus pleurostictus,MA,PASSERIFORMES,Troglodytidae,Cucarachero ventribarrado
8238,Thryophilus rufalbus,"MA, SA",PASSERIFORMES,Troglodytidae,Cucarachero rufiblanco
8239,Thryophilus sernai,SA,PASSERIFORMES,Troglodytidae,Cucarachero antioqueño
8240,Thryophilus nicefori,SA,PASSERIFORMES,Troglodytidae,Cucarachero de Nicéforo
8241,Thryophilus sinaloa,MA,PASSERIFORMES,Troglodytidae,Cucarachero sinaloense
8242,Cantorchilus modestus,MA,PASSERIFORMES,Troglodytidae,Cucarachero modesto
8243,Cantorchilus zeledoni,MA,PASSERIFORMES,Troglodytidae,Cucarachero de Zeledón
8244,Cantorchilus elutus,MA,PASSERIFORMES,Troglodytidae,Cucarachero del istmo
8245,Cantorchilus leucotis,"MA, SA",PASSERIFORMES,Troglodytidae,Cucarachero pechihabano
8246,Cantorchilus superciliaris,SA,PASSERIFORMES,Troglodytidae,Cucarachero cejón
8247,Cantorchilus guarayanus,SA,PASSERIFORMES,Troglodytidae,Cucarachero de Guarayos
8248,Cantorchilus longirostris,SA,PASSERIFORMES,Troglodytidae,Cucarachero piquilargo
8249,Cantorchilus griseus,SA,PASSERIFORMES,Troglodytidae,Cucarachero gris
8250,Cantorchilus semibadius,MA,PASSERIFORMES,Troglodytidae,Cucarachero ribereño
8251,Cantorchilus nigricapillus,"MA, SA",PASSERIFORMES,Troglodytidae,Cucarachero cabecinegro
8252,Cantorchilus thoracicus,MA,PASSERIFORMES,Troglodytidae,Cucarachero pechirrayado
8253,Cantorchilus leucopogon,"MA, SA",PASSERIFORMES,Troglodytidae,Cucarachero gorjirrayado
8254,Thryothorus ludovicianus,"NA, MA",PASSERIFORMES,Troglodytidae,Cucarachero de Carolina
8255,Troglodytes troglodytes,PAL,PASSERIFORMES,Troglodytidae,Chochín paleártico
8256,Troglodytes tanneri,MA,PASSERIFORMES,Troglodytidae,Chochín de la Clarión
8257,Troglodytes aedon,"NA, MA, SA",PASSERIFORMES,Troglodytidae,Chochín criollo
8258,Troglodytes cobbi,SA,PASSERIFORMES,Troglodytidae,Chochín malvinero
8259,Troglodytes sissonii,MA,PASSERIFORMES,Troglodytidae,Chochín de Socorro
8260,Troglodytes rufociliatus,MA,PASSERIFORMES,Troglodytidae,Chochín cejirrufo
8261,Troglodytes ochraceus,MA,PASSERIFORMES,Troglodytidae,Chochín ocráceo
8262,Troglodytes solstitialis,SA,PASSERIFORMES,Troglodytidae,Chochín montañés
8263,Troglodytes monticola,SA,PASSERIFORMES,Troglodytidae,Chochín de Santa Marta
8264,Troglodytes rufulus,SA,PASSERIFORMES,Troglodytidae,Chochín de tepuí
8265,Thryorchilus browni,MA,PASSERIFORMES,Troglodytidae,Cucarachero del bambú
8266,Uropsila leucogastra,MA,PASSERIFORMES,Troglodytidae,Cucarachero ventriblanco
8267,Henicorhina leucosticta,"MA, SA",PASSERIFORMES,Troglodytidae,Cucarachero pechiblanco
8268,Henicorhina leucophrys,"MA, SA",PASSERIFORMES,Troglodytidae,Cucarachero pechigrís
8269,Henicorhina anachoreta,SA,PASSERIFORMES,Troglodytidae,Cucarachero anacoreta
8270,Henicorhina leucoptera,SA,PASSERIFORMES,Troglodytidae,Cucarachero aliblanco
8271,Henicorhina negreti,SA,PASSERIFORMES,Troglodytidae,Cucarachero del Munchique
8272,Microcerculus philomela,MA,PASSERIFORMES,Troglodytidae,Cucarachero ruiseñor norteño
8273,Microcerculus marginatus,"MA, SA",PASSERIFORMES,Troglodytidae,Cucarachero ruiseñor sureño
8274,Microcerculus ustulatus,SA,PASSERIFORMES,Troglodytidae,Cucarachero flautista
8275,Microcerculus bambla,SA,PASSERIFORMES,Troglodytidae,Cucarachero alifranjeado
8276,Cyphorhinus thoracicus,SA,PASSERIFORMES,Troglodytidae,Cucarachero dorsicastaño del sur
8277,Cyphorhinus arada,SA,PASSERIFORMES,Troglodytidae,Cucarachero musical
8278,Cyphorhinus phaeocephalus,"MA, SA",PASSERIFORMES,Troglodytidae,Cucarachero canoro
8279,Ramphocaenus sticturus,SA,PASSERIFORMES,Polioptilidae,Soterillo parloteador
8280,Ramphocaenus melanurus,"MA, SA",PASSERIFORMES,Polioptilidae,Soterillo picudo
8281,Microbates cinereiventris,"MA, SA",PASSERIFORMES,Polioptilidae,Soterillo caricastaño
8282,Microbates collaris,SA,PASSERIFORMES,Polioptilidae,Soterillo acollarado
8283,Polioptila facilis,SA,PASSERIFORMES,Polioptilidae,Perlita del Río Negro
8284,Polioptila guianensis,SA,PASSERIFORMES,Polioptilidae,Perlita guayanesa
8285,Polioptila schistaceigula,"MA, SA",PASSERIFORMES,Polioptilidae,Perlita pizarrosa
8286,Polioptila paraensis,SA,PASSERIFORMES,Polioptilidae,Perlita de Pará
8287,Polioptila clementsi,SA,PASSERIFORMES,Polioptilidae,Perlita de Iquitos
8288,Polioptila attenboroughi,SA,PASSERIFORMES,Polioptilidae,Perlita de Inambari
8289,Polioptila plumbea,SA,PASSERIFORMES,Polioptilidae,Perlita tropical
8290,Polioptila lactea,SA,PASSERIFORMES,Polioptilidae,Perlita blanca
8291,Polioptila dumicola,SA,PASSERIFORMES,Polioptilidae,Perlita azul
8292,Polioptila albiventris,MA,PASSERIFORMES,Polioptilidae,Perlita del Yucatán
8293,Polioptila bilineata,"MA, SA",PASSERIFORMES,Polioptilidae,White-browed Gnatcatcher
8294,Polioptila caerulea,"NA, MA",PASSERIFORMES,Polioptilidae,Perlita grisilla
8295,Polioptila melanura,"NA, MA",PASSERIFORMES,Polioptilidae,Perlita colinegra
8296,Polioptila californica,"NA, MA",PASSERIFORMES,Polioptilidae,Perlita californiana
8297,Polioptila nigriceps,"NA, MA",PASSERIFORMES,Polioptilidae,Perlita capirotada
8298,Polioptila albiloris,MA,PASSERIFORMES,Polioptilidae,Perlita cejiblanca
8299,Sitta leucopsis,OR,PASSERIFORMES,Sittidae,Trepador cariblanco
8300,Sitta przewalskii,PAL,PASSERIFORMES,Sittidae,Trepador de Przewalski
8301,Sitta magna,OR,PASSERIFORMES,Sittidae,Trepador gigante
8302,Sitta carolinensis,"NA, MA",PASSERIFORMES,Sittidae,Trepador pechiblanco
8303,Sitta formosa,OR,PASSERIFORMES,Sittidae,Trepador hermoso
8304,Sitta azurea,OR,PASSERIFORMES,Sittidae,Trepador azur
8305,Sitta frontalis,OR,PASSERIFORMES,Sittidae,Trepador piquirrojo
8306,Sitta solangiae,OR,PASSERIFORMES,Sittidae,Trepador piquigualdo
8307,Sitta oenochlamys,OR,PASSERIFORMES,Sittidae,Trepador filipino
8308,Sitta pygmaea,"NA, MA",PASSERIFORMES,Sittidae,Trepador enano
8309,Sitta yunnanensis,OR,PASSERIFORMES,Sittidae,Trepador de Yunnan
8310,Sitta ledanti,AF,PASSERIFORMES,Sittidae,Trepador de Kabilia
8311,Sitta krueperi,PAL,PASSERIFORMES,Sittidae,Trepador de Krüper
8312,Sitta whiteheadi,PAL,PASSERIFORMES,Sittidae,Trepador corso
8313,Sitta villosa,PAL,PASSERIFORMES,Sittidae,Trepador chino
8314,Sitta neumayer,PAL,PASSERIFORMES,Sittidae,Trepador rupestre occidental
8315,Sitta tephronota,PAL,PASSERIFORMES,Sittidae,Trepador rupestre oriental
8316,Sitta arctica,PAL,PASSERIFORMES,Sittidae,Trepador siberiano
8317,Sitta victoriae,OR,PASSERIFORMES,Sittidae,Trepador birmano
8318,Sitta himalayensis,OR,PASSERIFORMES,Sittidae,Trepador del Himalaya
8319,Sitta europaea,PAL,PASSERIFORMES,Sittidae,Trepador azul
8320,Sitta nagaensis,OR,PASSERIFORMES,Sittidae,Trepador de las Naga
8321,Sitta cashmirensis,OR,PASSERIFORMES,Sittidae,Trepador de Cachemira
8322,Sitta castanea,OR,PASSERIFORMES,Sittidae,Trepador indio
8323,Sitta cinnamoventris,OR,PASSERIFORMES,Sittidae,Trepador ventricastaño
8324,Sitta neglecta,OR,PASSERIFORMES,Sittidae,Trepador indochino
8325,Tichodroma muraria,PAL,PASSERIFORMES,Tichodromidae,Treparriscos
8326,Certhia familiaris,PAL,PASSERIFORMES,Certhiidae,Agateador euroasiático
8327,Certhia hodgsoni,OR,PASSERIFORMES,Certhiidae,Agateador de Hodgson
8328,Certhia americana,"NA, MA",PASSERIFORMES,Certhiidae,Agateador americano
8329,Certhia brachydactyla,PAL,PASSERIFORMES,Certhiidae,Agateador europeo
8330,Certhia himalayana,PAL,PASSERIFORMES,Certhiidae,Agateador del Himalaya
8331,Certhia nipalensis,OR,PASSERIFORMES,Certhiidae,Agateador nepalés
8332,Certhia discolor,OR,PASSERIFORMES,Certhiidae,Agateador gorjipardo
8333,Certhia manipurensis,OR,PASSERIFORMES,Certhiidae,Agateador de Manipur
8334,Certhia tianquanensis,OR,PASSERIFORMES,Certhiidae,Agateador de Sichuan
8335,Salpornis spilonota,OR,PASSERIFORMES,Certhiidae,Agateador moteado indio
8336,Salpornis salvadori,AF,PASSERIFORMES,Certhiidae,Agateador moteado africano
8337,Melanoptila glabrirostris,MA,PASSERIFORMES,Mimidae,Pájaro gato negro
8338,Mimus polyglottos,"NA, MA",PASSERIFORMES,Mimidae,Sinsonte norteño
8339,Mimus gilvus,"MA, SA",PASSERIFORMES,Mimidae,Sinsonte tropical
8340,Mimus thenca,SA,PASSERIFORMES,Mimidae,Sinsonte tenca
8341,Mimus longicaudatus,SA,PASSERIFORMES,Mimidae,Sinsonte colilargo
8342,Mimus saturninus,SA,PASSERIFORMES,Mimidae,Sinsonte calandria
8343,Mimus patagonicus,SA,PASSERIFORMES,Mimidae,Sinsonte patagón
8344,Mimus triurus,SA,PASSERIFORMES,Mimidae,Sinsonte trescolas
8345,Mimus dorsalis,SA,PASSERIFORMES,Mimidae,Sinsonte castaño
8346,Mimus parvulus,SA,PASSERIFORMES,Mimidae,Sinsonte de Galápagos
8347,Mimus trifasciatus,SA,PASSERIFORMES,Mimidae,Sinsonte de Floreana
8348,Mimus macdonaldi,SA,PASSERIFORMES,Mimidae,Sinsonte de Española
8349,Mimus melanotis,SA,PASSERIFORMES,Mimidae,Sinsonte de San Cristóbal
8350,Mimus graysoni,MA,PASSERIFORMES,Mimidae,Sinsonte de Socorro
8351,Toxostoma longirostre,"NA, MA",PASSERIFORMES,Mimidae,Cuitlacoche piquilargo
8352,Toxostoma guttatum,MA,PASSERIFORMES,Mimidae,Cuitlacoche de Cozumel
8353,Toxostoma cinereum,MA,PASSERIFORMES,Mimidae,Cuitlacoche ceniciento
8354,Toxostoma bendirei,"NA, MA",PASSERIFORMES,Mimidae,Cuitlacoche piquicorto
8355,Toxostoma ocellatum,MA,PASSERIFORMES,Mimidae,Cuitlacoche ocelado
8356,Toxostoma curvirostre,"NA, MA",PASSERIFORMES,Mimidae,Cuitlacoche piquicurvo
8357,Toxostoma redivivum,"NA, MA",PASSERIFORMES,Mimidae,Cuitlacoche californiano
8358,Toxostoma crissale,"NA, MA",PASSERIFORMES,Mimidae,Cuitlacoche culirrojo
8359,Toxostoma lecontei,"NA, MA",PASSERIFORMES,Mimidae,Cuitlacoche pálido
8360,Melanotis caerulescens,MA,PASSERIFORMES,Mimidae,Mulato azul
8361,Melanotis hypoleucus,MA,PASSERIFORMES,Mimidae,Mulato pechiblanco
8362,Aplonis metallica,AU,PASSERIFORMES,Sturnidae,Estornino lustroso
8363,Aplonis circumscripta,AU,PASSERIFORMES,Sturnidae,Violet-hooded Starling
8364,Aplonis mystacea,AU,PASSERIFORMES,Sturnidae,Estornino ojigualdo
8365,Aplonis cantoroides,AU,PASSERIFORMES,Sturnidae,Estornino cantor
8366,Aplonis crassa,AU,PASSERIFORMES,Sturnidae,Estornino de las Tanimbar
8367,Aplonis feadensis,AU,PASSERIFORMES,Sturnidae,Estornino de los atolones
8368,Aplonis insularis,AU,PASSERIFORMES,Sturnidae,Estornino de la Rennell
8369,Aplonis magna,AU,PASSERIFORMES,Sturnidae,Estornino de Biak
8370,Aplonis brunneicapillus,AU,PASSERIFORMES,Sturnidae,Estornino ojiblanco
8371,Aplonis grandis,AU,PASSERIFORMES,Sturnidae,Estornino de las Salomón
8372,Aplonis dichroa,AU,PASSERIFORMES,Sturnidae,Estornino de San Cristóbal
8373,Aplonis zelandica,AU,PASSERIFORMES,Sturnidae,Estornino de Melanesia
8374,Aplonis striata,AU,PASSERIFORMES,Sturnidae,Estornino de Nueva Caledonia
8375,Aplonis santovestris,AU,PASSERIFORMES,Sturnidae,Estornino de Espíritu Santo
8376,Aplonis panayensis,"OR, AU",PASSERIFORMES,Sturnidae,Estornino bronceado
8377,Aplonis mysolensis,AU,PASSERIFORMES,Sturnidae,Estornino moluqueño
8378,Aplonis minor,AU,PASSERIFORMES,Sturnidae,Estornino colicorto
8379,Aplonis opaca,PO,PASSERIFORMES,Sturnidae,Estornino de Micronesia
8380,Aplonis pelzelni,PO,PASSERIFORMES,Sturnidae,Estornino de Ponapé
8381,Aplonis tabuensis,PO,PASSERIFORMES,Sturnidae,Estornino de Polinesia
8382,Aplonis atrifusca,PO,PASSERIFORMES,Sturnidae,Estornino de Samoa
8383,Aplonis cinerascens,PO,PASSERIFORMES,Sturnidae,Estornino de Rarotonga
8384,Mino dumontii,AU,PASSERIFORMES,Sturnidae,Miná carigualdo
8385,Mino kreffti,AU,PASSERIFORMES,Sturnidae,Miná de las Bismarck
8386,Mino anais,AU,PASSERIFORMES,Sturnidae,Miná dorado
8387,Basilornis celebensis,AU,PASSERIFORMES,Sturnidae,Miná de Célebes
8388,Basilornis galeatus,AU,PASSERIFORMES,Sturnidae,Miná de yelmo
8389,Basilornis corythaix,AU,PASSERIFORMES,Sturnidae,Miná moluqueño
8390,Goodfellowia miranda,OR,PASSERIFORMES,Sturnidae,Miná de Mindanao
8391,Sarcops calvus,OR,PASSERIFORMES,Sturnidae,Miná coleto
8392,Streptocitta albicollis,AU,PASSERIFORMES,Sturnidae,Miná cuelliblanco sureño
8393,Streptocitta albertinae,AU,PASSERIFORMES,Sturnidae,Miná caricalvo
8394,Enodes erythrophris,AU,PASSERIFORMES,Sturnidae,Estornino cejirrojo
8395,Scissirostrum dubium,AU,PASSERIFORMES,Sturnidae,Estornino culipinto
8396,Saroglossa spilopterus,OR,PASSERIFORMES,Sturnidae,Estornino alipinto
8397,Ampeliceps coronatus,OR,PASSERIFORMES,Sturnidae,Miná coronado
8398,Gracula ptilogenys,OR,PASSERIFORMES,Sturnidae,Miná cingalés
8399,Gracula religiosa,OR,PASSERIFORMES,Sturnidae,Miná religioso
8400,Gracula venerata,OR,PASSERIFORMES,Sturnidae,Miná venerado
8401,Gracula indica,OR,PASSERIFORMES,Sturnidae,Miná indio
8402,Gracula robusta,OR,PASSERIFORMES,Sturnidae,Miná de Nias
8403,Gracula enganensis,OR,PASSERIFORMES,Sturnidae,Miná de Enggano
8404,Acridotheres grandis,OR,PASSERIFORMES,Sturnidae,Miná grande
8405,Acridotheres cristatellus,OR,PASSERIFORMES,Sturnidae,Miná crestado
8406,Acridotheres javanicus,OR,PASSERIFORMES,Sturnidae,Miná de Java
8407,Acridotheres cinereus,AU,PASSERIFORMES,Sturnidae,Miná cenizo
8408,Acridotheres fuscus,OR,PASSERIFORMES,Sturnidae,Miná de la jungla
8409,Acridotheres albocinctus,OR,PASSERIFORMES,Sturnidae,Miná acollarado
8410,Acridotheres ginginianus,OR,PASSERIFORMES,Sturnidae,Miná ribereño
8411,Acridotheres tristis,OR,PASSERIFORMES,Sturnidae,Miná común
8412,Acridotheres burmannicus,OR,PASSERIFORMES,Sturnidae,Miná birmano
8413,Acridotheres leucocephalus,OR,PASSERIFORMES,Sturnidae,Miná vinoso
8414,Acridotheres melanopterus,OR,PASSERIFORMES,Sturnidae,Miná alinegro
8415,Spodiopsar sericeus,OR,PASSERIFORMES,Sturnidae,Estornino piquirrojo
8416,Spodiopsar cineraceus,PAL,PASSERIFORMES,Sturnidae,Estornino gris
8417,Gracupica nigricollis,OR,PASSERIFORMES,Sturnidae,Estornino cuellinegro
8418,Gracupica contra,OR,PASSERIFORMES,Sturnidae,Estornino pío común
8419,Gracupica floweri,OR,PASSERIFORMES,Sturnidae,Siamese Pied Myna
8420,Gracupica jalla,OR,PASSERIFORMES,Sturnidae,Estornino pío de Java
8421,Agropsar sturninus,PAL,PASSERIFORMES,Sturnidae,Estornino dáurico
8422,Agropsar philippensis,PAL,PASSERIFORMES,Sturnidae,Estornino carirrojo
8423,Sturnia sinensis,OR,PASSERIFORMES,Sturnidae,Estornino chino
8424,Sturnia malabarica,OR,PASSERIFORMES,Sturnidae,Estornino malabar
8425,Sturnia erythropygia,OR,PASSERIFORMES,Sturnidae,Estornino cabeciblanco
8426,Sturnia blythii,OR,PASSERIFORMES,Sturnidae,Malabar Starling
8427,Sturnia pagodarum,OR,PASSERIFORMES,Sturnidae,Estornino de las pagodas
8428,Sturnornis albofrontatus,OR,PASSERIFORMES,Sturnidae,Estornino cingalés
8429,Leucopsar rothschildi,OR,PASSERIFORMES,Sturnidae,Estornino de Bali
8430,Pastor roseus,PAL,PASSERIFORMES,Sturnidae,Estornino rosado
8431,Sturnus vulgaris,PAL,PASSERIFORMES,Sturnidae,Estornino pinto
8432,Sturnus unicolor,PAL,PASSERIFORMES,Sturnidae,Estornino negro
8433,Creatophora cinerea,AF,PASSERIFORMES,Sturnidae,Estornino carunculado
8434,Notopholia corusca,AF,PASSERIFORMES,Sturnidae,Estornino ventrinegro
8435,Hylopsar purpureiceps,AF,PASSERIFORMES,Sturnidae,Estornino cabecipúrpura
8436,Hylopsar cupreocauda,AF,PASSERIFORMES,Sturnidae,Estornino colicobrizo
8437,Lamprotornis nitens,AF,PASSERIFORMES,Sturnidae,Estornino de El Cabo
8438,Lamprotornis chalybaeus,AF,PASSERIFORMES,Sturnidae,Estornino orejiazul
8439,Lamprotornis chloropterus,AF,PASSERIFORMES,Sturnidae,Estornino de Swainson
8440,Lamprotornis elisabeth,AF,PASSERIFORMES,Sturnidae,Miombo Blue-eared Starling
8441,Lamprotornis chalcurus,AF,PASSERIFORMES,Sturnidae,Estornino colibronceado
8442,Lamprotornis splendidus,AF,PASSERIFORMES,Sturnidae,Estornino espléndido
8443,Lamprotornis ornatus,AF,PASSERIFORMES,Sturnidae,Estornino de Príncipe
8444,Lamprotornis iris,AF,PASSERIFORMES,Sturnidae,Estornino esmeralda
8445,Lamprotornis purpureus,AF,PASSERIFORMES,Sturnidae,Estornino purpúreo
8446,Lamprotornis purpuroptera,AF,PASSERIFORMES,Sturnidae,Estornino de Rüppell
8447,Lamprotornis caudatus,AF,PASSERIFORMES,Sturnidae,Estornino colilargo
8448,Lamprotornis regius,AF,PASSERIFORMES,Sturnidae,Estornino pechidorado
8449,Lamprotornis mevesii,AF,PASSERIFORMES,Sturnidae,Estornino de Meves
8450,Lamprotornis australis,AF,PASSERIFORMES,Sturnidae,Estornino de Burchell
8451,Lamprotornis acuticaudus,AF,PASSERIFORMES,Sturnidae,Estornino colifino
8452,Lamprotornis superbus,AF,PASSERIFORMES,Sturnidae,Estornino soberbio
8453,Lamprotornis hildebrandti,AF,PASSERIFORMES,Sturnidae,Estornino de Hildebrant
8454,Lamprotornis shelleyi,AF,PASSERIFORMES,Sturnidae,Estornino de Shelley
8455,Lamprotornis pulcher,AF,PASSERIFORMES,Sturnidae,Estornino ventrirrufo
8456,Lamprotornis unicolor,AF,PASSERIFORMES,Sturnidae,Estornino cenizo
8457,Lamprotornis fischeri,AF,PASSERIFORMES,Sturnidae,Estornino de Fischer
8458,Lamprotornis bicolor,AF,PASSERIFORMES,Sturnidae,Estornino bicolor
8459,Lamprotornis albicapillus,AF,PASSERIFORMES,Sturnidae,Estornino coroniblanco
8460,Hartlaubius auratus,AF,PASSERIFORMES,Sturnidae,Estornino malgache
8461,Cinnyricinclus leucogaster,AF,PASSERIFORMES,Sturnidae,Estornino amatista
8462,Onychognathus morio,AF,PASSERIFORMES,Sturnidae,Estornino alirrojo
8463,Onychognathus tenuirostris,AF,PASSERIFORMES,Sturnidae,Estornino picofino
8464,Onychognathus fulgidus,AF,PASSERIFORMES,Sturnidae,Estornino alirrufo
8465,Onychognathus walleri,AF,PASSERIFORMES,Sturnidae,Estornino de Waller
8466,Onychognathus blythii,AF,PASSERIFORMES,Sturnidae,Estornino somalí
8467,Onychognathus frater,AF,PASSERIFORMES,Sturnidae,Estornino de Socotora
8468,Onychognathus tristramii,PAL,PASSERIFORMES,Sturnidae,Estornino de Tristram
8469,Onychognathus nabouroup,AF,PASSERIFORMES,Sturnidae,Estornino naburup
8470,Onychognathus salvadorii,AF,PASSERIFORMES,Sturnidae,Estornino de Salvadori
8471,Onychognathus albirostris,AF,PASSERIFORMES,Sturnidae,Estornino piquiblanco
8472,Onychognathus neumanni,AF,PASSERIFORMES,Sturnidae,Estornino de Neumann
8473,Poeoptera stuhlmanni,AF,PASSERIFORMES,Sturnidae,Estornino de Stuhlmann
8474,Poeoptera kenricki,AF,PASSERIFORMES,Sturnidae,Estornino de Kenrick
8475,Poeoptera lugubris,AF,PASSERIFORMES,Sturnidae,Estornino rabilargo
8476,Pholia sharpii,AF,PASSERIFORMES,Sturnidae,Estornino de Sharpe
