,IOC,Breeding Range,Order,Family,Spanish
218,Megapodius pritchardii,PO,GALLIFORMES,Megapodiidae,Talégalo de las Tonga
219,Megapodius laperouse,PO,GALLIFORMES,Megapodiidae,Talégalo de las Marianas
220,Megapodius nicobariensis,OR,GALLIFORMES,Megapodiidae,Talégalo de Nicobar
221,Megapodius cumingii,"OR, AU",GALLIFORMES,Megapodiidae,Talégalo filipino
222,Megapodius bernsteinii,AU,GALLIFORMES,Megapodiidae,Talégalo de Sula
223,Megapodius tenimberensis,AU,GALLIFORMES,Megapodiidae,Talégalo de Tanimbar
224,Megapodius freycinet,AU,GALLIFORMES,Megapodiidae,Talégalo de Freycinet
225,Megapodius geelvinkianus,AU,GALLIFORMES,Megapodiidae,Talégalo de Biak
226,Megapodius eremita,AU,GALLIFORMES,Megapodiidae,Talégalo eremita
227,Megapodius layardi,AU,GALLIFORMES,Megapodiidae,Talégalo de Nuevas Hébridas
228,Megapodius decollatus,AU,GALLIFORMES,Megapodiidae,Talégalo papúa
229,Megapodius reinwardt,AU,GALLIFORMES,Megapodiidae,Talégalo de Reinwardt
230,Ortalis vetula,"NA, MA",GALLIFORMES,Cracidae,Chachalaca norteña
231,Ortalis cinereiceps,"MA, SA",GALLIFORMES,Cracidae,Chachalaca cabecigrís
232,Ortalis garrula,SA,GALLIFORMES,Cracidae,Chachalaca alirroja
233,Ortalis ruficauda,SA,GALLIFORMES,Cracidae,Chachalaca culirroja
234,Ortalis erythroptera,SA,GALLIFORMES,Cracidae,Chachalaca cabecirrufa
235,Ortalis wagleri,MA,GALLIFORMES,Cracidae,Chachalaca ventricastaña
236,Ortalis poliocephala,MA,GALLIFORMES,Cracidae,Chachalaca pechigrís
237,Ortalis canicollis,SA,GALLIFORMES,Cracidae,Chachalaca charata
238,Ortalis leucogastra,MA,GALLIFORMES,Cracidae,Chachalaca ventriblanca
239,Ortalis guttata,SA,GALLIFORMES,Cracidae,Chachalaca moteada
240,Ortalis araucuan,SA,GALLIFORMES,Cracidae,Chachalaca oriental
241,Ortalis squamata,SA,GALLIFORMES,Cracidae,Chachalaca escamosa
