,IOC,Breeding Range,Order,Family,Chinese
235,Ortalis wagleri,MA,GALLIFORMES,Cracidae,棕腹小冠雉
236,Ortalis poliocephala,MA,GALLIFORMES,Cracidae,墨西哥小冠雉
237,Ortalis canicollis,SA,GALLIFORMES,Cracidae,查科小冠雉
238,Ortalis leucogastra,MA,GALLIFORMES,Cracidae,白腹小冠雉
239,Ortalis guttata,SA,GALLIFORMES,Cracidae,鳞斑小冠雉
240,Ortalis araucuan,SA,GALLIFORMES,Cracidae,巴西小冠雉
241,Ortalis squamata,SA,GALLIFORMES,Cracidae,点斑小冠雉
242,Ortalis columbiana,SA,GALLIFORMES,Cracidae,哥伦比亚小冠雉
243,Ortalis motmot,SA,GALLIFORMES,Cracidae,小冠雉
244,Ortalis ruficeps,SA,GALLIFORMES,Cracidae,栗头小冠雉
245,Ortalis superciliaris,SA,GALLIFORMES,Cracidae,黄眉小冠雉
246,Penelope argyrotis,SA,GALLIFORMES,Cracidae,斑尾冠雉
247,Penelope barbata,SA,GALLIFORMES,Cracidae,须冠雉
248,Penelope ortoni,SA,GALLIFORMES,Cracidae,古铜冠雉
249,Penelope montagnii,SA,GALLIFORMES,Cracidae,安第斯冠雉
250,Penelope marail,SA,GALLIFORMES,Cracidae,绿背冠雉
251,Penelope superciliaris,SA,GALLIFORMES,Cracidae,眉纹冠雉
252,Penelope dabbenei,SA,GALLIFORMES,Cracidae,红脸冠雉
253,Penelope purpurascens,"MA, SA",GALLIFORMES,Cracidae,紫冠雉
254,Penelope perspicax,SA,GALLIFORMES,Cracidae,考卡冠雉
255,Penelope albipennis,SA,GALLIFORMES,Cracidae,白翅冠雉
256,Penelope jacquacu,SA,GALLIFORMES,Cracidae,棕胸冠雉
257,Penelope obscura,SA,GALLIFORMES,Cracidae,乌腿冠雉
258,Penelope bridgesi,SA,GALLIFORMES,Cracidae,央葛斯冠雉
259,Penelope pileata,SA,GALLIFORMES,Cracidae,白顶冠雉
260,Penelope ochrogaster,SA,GALLIFORMES,Cracidae,栗腹冠雉
261,Penelope jacucaca,SA,GALLIFORMES,Cracidae,白眉冠雉
262,Pipile pipile,SA,GALLIFORMES,Cracidae,鸣冠雉
263,Pipile cumanensis,SA,GALLIFORMES,Cracidae,蓝喉鸣冠雉
264,Pipile grayi,SA,GALLIFORMES,Cracidae,白喉鸣冠雉
265,Pipile cujubi,SA,GALLIFORMES,Cracidae,红喉鸣冠雉
266,Pipile jacutinga,SA,GALLIFORMES,Cracidae,黑额鸣冠雉
267,Aburria aburri,SA,GALLIFORMES,Cracidae,肉垂冠雉
268,Chamaepetes unicolor,MA,GALLIFORMES,Cracidae,黑镰翅冠雉
269,Chamaepetes goudotii,SA,GALLIFORMES,Cracidae,褐镰翅冠雉
270,Penelopina nigra,MA,GALLIFORMES,Cracidae,山冠雉
271,Oreophasis derbianus,MA,GALLIFORMES,Cracidae,角冠雉
272,Nothocrax urumutum,SA,GALLIFORMES,Cracidae,夜冠雉
273,Mitu tomentosum,SA,GALLIFORMES,Cracidae,无冠盔嘴雉
274,Mitu salvini,SA,GALLIFORMES,Cracidae,白腹盔嘴雉
275,Mitu tuberosum,SA,GALLIFORMES,Cracidae,巨嘴盔嘴雉
276,Mitu mitu,SA,GALLIFORMES,Cracidae,阿拉戈盔嘴雉
277,Pauxi pauxi,SA,GALLIFORMES,Cracidae,盔凤冠雉
278,Pauxi unicornis,SA,GALLIFORMES,Cracidae,单盔凤冠雉
279,Pauxi koepckeae,SA,GALLIFORMES,Cracidae,希拉盔嘴雉
280,Crax rubra,"MA, SA",GALLIFORMES,Cracidae,大凤冠雉
281,Crax alberti,SA,GALLIFORMES,Cracidae,蓝嘴凤冠雉
282,Crax daubentoni,SA,GALLIFORMES,Cracidae,黄瘤凤冠雉
283,Crax alector,SA,GALLIFORMES,Cracidae,黑凤冠雉
284,Crax globulosa,SA,GALLIFORMES,Cracidae,肉垂凤冠雉
285,Crax fasciolata,SA,GALLIFORMES,Cracidae,裸脸凤冠雉
286,Crax blumenbachii,SA,GALLIFORMES,Cracidae,红嘴凤冠雉
287,Agelastes meleagrides,AF,GALLIFORMES,Numididae,白胸珠鸡
288,Agelastes niger,AF,GALLIFORMES,Numididae,黑珠鸡
289,Numida meleagris,AF,GALLIFORMES,Numididae,珠鸡
290,Guttera plumifera,AF,GALLIFORMES,Numididae,长冠珠鸡
291,Guttera verreauxi,AF,GALLIFORMES,Numididae,西冠珠鸡
292,Guttera pucherani,AF,GALLIFORMES,Numididae,冠珠鸡
293,Guttera edouardi,AF,GALLIFORMES,Numididae,南冠珠鸡
294,Acryllium vulturinum,AF,GALLIFORMES,Numididae,鹫珠鸡
295,Ptilopachus petrosus,AF,GALLIFORMES,Odontophoridae,石鹑
296,Ptilopachus nahani,AF,GALLIFORMES,Odontophoridae,纳氏石鹑
297,Dendrortyx leucophrys,MA,GALLIFORMES,Odontophoridae,黄顶林鹑
298,Dendrortyx macroura,MA,GALLIFORMES,Odontophoridae,长尾林鹑
299,Dendrortyx barbatus,MA,GALLIFORMES,Odontophoridae,须林鹑
