,IOC,Breeding Range,Order,Family,Norwegian
172,Netta rufina,PAL,ANSERIFORMES,Anatidae,rødhodeand
173,Netta peposaca,SA,ANSERIFORMES,Anatidae,peposacaand
174,Netta erythrophthalma,"AF, SA",ANSERIFORMES,Anatidae,fløyelsand
175,Aythya ferina,PAL,ANSERIFORMES,Anatidae,taffeland
176,Aythya australis,AU,ANSERIFORMES,Anatidae,australdykkand
177,Aythya innotata,AF,ANSERIFORMES,Anatidae,alaotraand
178,Aythya baeri,PAL,ANSERIFORMES,Anatidae,amurand
179,Aythya nyroca,PAL,ANSERIFORMES,Anatidae,hvitøyeand
180,Aythya novaeseelandiae,AU,ANSERIFORMES,Anatidae,maoridykkand
181,Aythya fuligula,PAL,ANSERIFORMES,Anatidae,toppand
182,Aythya marila,"NA, PAL",ANSERIFORMES,Anatidae,bergand
183,Polysticta stelleri,"NA, PAL",ANSERIFORMES,Anatidae,stellerand
184,Somateria fischeri,"NA, PAL",ANSERIFORMES,Anatidae,brilleærfugl
185,Somateria spectabilis,"NA, PAL",ANSERIFORMES,Anatidae,praktærfugl
186,Somateria mollissima,"NA, PAL",ANSERIFORMES,Anatidae,ærfugl
187,Histrionicus histrionicus,"NA, PAL",ANSERIFORMES,Anatidae,harlekinand
188,Melanitta fusca,PAL,ANSERIFORMES,Anatidae,sjøorre
189,Melanitta stejnegeri,PAL,ANSERIFORMES,Anatidae,sibirsjøorre
190,Melanitta nigra,PAL,ANSERIFORMES,Anatidae,svartand
191,Melanitta americana,"PAL, NA",ANSERIFORMES,Anatidae,amerikasvartand
192,Clangula hyemalis,"NA, PAL",ANSERIFORMES,Anatidae,havelle
193,Bucephala clangula,"NA, PAL",ANSERIFORMES,Anatidae,kvinand
194,Bucephala islandica,"NA, PAL",ANSERIFORMES,Anatidae,islandsand
195,Mergellus albellus,PAL,ANSERIFORMES,Anatidae,lappfiskand
196,Mergus octosetaceus,SA,ANSERIFORMES,Anatidae,brasilfiskand
197,Mergus merganser,"NA, PAL",ANSERIFORMES,Anatidae,laksand
198,Mergus serrator,"NA, PAL",ANSERIFORMES,Anatidae,siland
199,Mergus squamatus,PAL,ANSERIFORMES,Anatidae,skjellfiskand
200,Heteronetta atricapilla,SA,ANSERIFORMES,Anatidae,gjøkand
201,Nomonyx dominicus,"MA, SA",ANSERIFORMES,Anatidae,maskeand
202,Oxyura jamaicensis,"NA, MA",ANSERIFORMES,Anatidae,stivhaleand
203,Oxyura ferruginea,SA,ANSERIFORMES,Anatidae,andesand
204,Oxyura vittata,SA,ANSERIFORMES,Anatidae,trommeand
205,Oxyura australis,AU,ANSERIFORMES,Anatidae,blånebband
206,Oxyura maccoa,AF,ANSERIFORMES,Anatidae,kaffeand
207,Oxyura leucocephala,PAL,ANSERIFORMES,Anatidae,hvithodeand
208,Biziura lobata,AU,ANSERIFORMES,Anatidae,pungand
