,IOC,Breeding Range,Order,Family,Czech
9441,Erythrura trichroa,AU,PASSERIFORMES,Estrildidae,amada tříbarvá
9442,Nesocharis shelleyi,AF,PASSERIFORMES,Estrildidae,oliváček malý
9443,Nesocharis ansorgei,AF,PASSERIFORMES,Estrildidae,oliváček černohlavý
9444,Coccopygia quartinia,AF,PASSERIFORMES,Estrildidae,astrild čtyřbarvý
9445,Coccopygia bocagei,AF,PASSERIFORMES,Estrildidae,Angola Waxbill
9446,Coccopygia melanotis,AF,PASSERIFORMES,Estrildidae,astrild šedoprsý
9447,Mandingoa nitidula,AF,PASSERIFORMES,Estrildidae,vločkovník zelenohřbetý
9448,Cryptospiza shelleyi,AF,PASSERIFORMES,Estrildidae,astrild bambusový
9449,Cryptospiza jacksoni,AF,PASSERIFORMES,Estrildidae,astrild rudolící
9450,Cryptospiza salvadorii,AF,PASSERIFORMES,Estrildidae,astrild etiopský
9451,Cryptospiza reichenovii,AF,PASSERIFORMES,Estrildidae,astrild horský
9452,Parmoptila rubrifrons,AF,PASSERIFORMES,Estrildidae,rezohlávek červenočelý
9453,Parmoptila woodhousei,AF,PASSERIFORMES,Estrildidae,rezohlávek mravenčí
9454,Parmoptila jamesoni,AF,PASSERIFORMES,Estrildidae,Jameson's Antpecker
9455,Nigrita fusconotus,AF,PASSERIFORMES,Estrildidae,černoušek pláštíkový
9456,Nigrita bicolor,AF,PASSERIFORMES,Estrildidae,černoušek hnědoprsý
9457,Nigrita canicapillus,AF,PASSERIFORMES,Estrildidae,černoušek šedohřbetý
9458,Nigrita luteifrons,AF,PASSERIFORMES,Estrildidae,černoušek žlutočelý
9459,Delacourella capistrata,AF,PASSERIFORMES,Estrildidae,oliváček běločelý
9460,Brunhilda charmosyna,AF,PASSERIFORMES,Estrildidae,astrild běločelý
9461,Brunhilda erythronotos,AF,PASSERIFORMES,Estrildidae,astrild rudobřichý
9462,Glaucestrilda caerulescens,AF,PASSERIFORMES,Estrildidae,modroušek rudoocasý
9463,Glaucestrilda perreini,AF,PASSERIFORMES,Estrildidae,modroušek černoocasý
9464,Glaucestrilda thomensis,AF,PASSERIFORMES,Estrildidae,modroušek rudoboký
9465,Estrilda nonnula,AF,PASSERIFORMES,Estrildidae,astrild černotemenný
9466,Estrilda atricapilla,AF,PASSERIFORMES,Estrildidae,astrild černohlavý
9467,Estrilda kandti,AF,PASSERIFORMES,Estrildidae,Kandt's Waxbill
9468,Estrilda melpoda,AF,PASSERIFORMES,Estrildidae,astrild oranžovolící
9469,Estrilda poliopareia,AF,PASSERIFORMES,Estrildidae,astrild nigerijský
9470,Estrilda paludicola,AF,PASSERIFORMES,Estrildidae,astrild bahenní
9471,Estrilda astrild,AF,PASSERIFORMES,Estrildidae,astrild vlnkovaný
9472,Estrilda nigriloris,AF,PASSERIFORMES,Estrildidae,astrild černobrvý
9473,Estrilda troglodytes,AF,PASSERIFORMES,Estrildidae,astrild sahelský
9474,Estrilda rhodopyga,AF,PASSERIFORMES,Estrildidae,astrild žlutobřichý
9475,Estrilda rufibarba,PAL,PASSERIFORMES,Estrildidae,astrild arabský
9476,Ortygospiza atricollis,AF,PASSERIFORMES,Estrildidae,astrild černohrdlý
9477,Paludipasser locustella,AF,PASSERIFORMES,Estrildidae,astrild kobylčí
9478,Amadina fasciata,AF,PASSERIFORMES,Estrildidae,amadina páskovaná
9479,Amadina erythrocephala,AF,PASSERIFORMES,Estrildidae,amadina červenohlavá
9480,Amandava formosa,OR,PASSERIFORMES,Estrildidae,tygříček olivový
9481,Amandava subflava,"AF, PAL",PASSERIFORMES,Estrildidae,zlatoprska malá
9482,Amandava amandava,OR,PASSERIFORMES,Estrildidae,tygříček tečkovaný
9483,Granatina ianthinogaster,AF,PASSERIFORMES,Estrildidae,motýlek modrobřichý
9484,Granatina granatina,AF,PASSERIFORMES,Estrildidae,motýlek granátový
9485,Uraeginthus angolensis,AF,PASSERIFORMES,Estrildidae,motýlek angolský
9486,Uraeginthus bengalus,AF,PASSERIFORMES,Estrildidae,motýlek rudouchý
9487,Uraeginthus cyanocephalus,AF,PASSERIFORMES,Estrildidae,motýlek modrohlavý
9488,Spermophaga poliogenys,AF,PASSERIFORMES,Estrildidae,louskáček konžský
9489,Spermophaga haematina,AF,PASSERIFORMES,Estrildidae,louskáček červenoprsý
9490,Spermophaga ruficapilla,AF,PASSERIFORMES,Estrildidae,louskáček červenohlavý
9491,Pyrenestes minor,AF,PASSERIFORMES,Estrildidae,rudoušek malý
9492,Pyrenestes sanguineus,AF,PASSERIFORMES,Estrildidae,rudoušek karmínový
9493,Pyrenestes ostrinus,AF,PASSERIFORMES,Estrildidae,rudoušek černobřichý
9494,Pytilia melba,AF,PASSERIFORMES,Estrildidae,astrild pestrý
9495,Pytilia afra,AF,PASSERIFORMES,Estrildidae,astrild Wienerův
9496,Pytilia phoenicoptera,AF,PASSERIFORMES,Estrildidae,astrild rudokřídlý
9497,Pytilia lineata,AF,PASSERIFORMES,Estrildidae,Red-billed Pytilia
9498,Pytilia hypogrammica,AF,PASSERIFORMES,Estrildidae,astrild rudočelý
9499,Euschistospiza dybowskii,AF,PASSERIFORMES,Estrildidae,vločkovník rudohřbetý
9500,Euschistospiza cinereovinacea,AF,PASSERIFORMES,Estrildidae,vločkovník popelavý
9501,Hypargos niveoguttatus,AF,PASSERIFORMES,Estrildidae,vločkovník červený
9502,Hypargos margaritatus,AF,PASSERIFORMES,Estrildidae,vločkovník perličkový
9503,Clytospiza monteiri,AF,PASSERIFORMES,Estrildidae,vločkovník hnědý
9504,Lagonosticta senegala,AF,PASSERIFORMES,Estrildidae,amarant rudozobý
9505,Lagonosticta rubricata,AF,PASSERIFORMES,Estrildidae,amarant tmavý
9506,Lagonosticta rhodopareia,AF,PASSERIFORMES,Estrildidae,amarant růžový
9507,Lagonosticta virata,AF,PASSERIFORMES,Estrildidae,amarant kulikoro
9508,Lagonosticta sanguinodorsalis,AF,PASSERIFORMES,Estrildidae,amarant rudohřbetý
9509,Lagonosticta umbrinodorsalis,AF,PASSERIFORMES,Estrildidae,amarant nigerijský
9510,Lagonosticta rara,AF,PASSERIFORMES,Estrildidae,amarant černobřichý
9511,Lagonosticta rufopicta,AF,PASSERIFORMES,Estrildidae,amarant tečkovaný
9512,Lagonosticta nitidula,AF,PASSERIFORMES,Estrildidae,amarant hnědý
9513,Lagonosticta larvata,AF,PASSERIFORMES,Estrildidae,amarant škraboškový
9514,Vidua chalybeata,AF,PASSERIFORMES,Viduidae,atlásek malý
9515,Vidua purpurascens,AF,PASSERIFORMES,Viduidae,atlásek tmavý
9516,Vidua raricola,AF,PASSERIFORMES,Viduidae,atlásek jambandský
9517,Vidua larvaticola,AF,PASSERIFORMES,Viduidae,atlásek černolící
9518,Vidua funerea,AF,PASSERIFORMES,Viduidae,atlásek proměnlivý
9519,Vidua codringtoni,AF,PASSERIFORMES,Viduidae,atlásek zelenavý
9520,Vidua wilsoni,AF,PASSERIFORMES,Viduidae,atlásek Wilsonův
9521,Vidua nigeriae,AF,PASSERIFORMES,Viduidae,atlásek křepelčí
9522,Vidua maryae,AF,PASSERIFORMES,Viduidae,atlásek nigerijský
9523,Vidua camerunensis,AF,PASSERIFORMES,Viduidae,atlásek kamerunský
9524,Vidua macroura,AF,PASSERIFORMES,Viduidae,vdovka černobílá
9525,Vidua hypocherina,AF,PASSERIFORMES,Viduidae,vdovka modrá
9526,Vidua fischeri,AF,PASSERIFORMES,Viduidae,vdovka Fischerova
9527,Vidua regia,AF,PASSERIFORMES,Viduidae,vdovka královská
9528,Vidua paradisaea,AF,PASSERIFORMES,Viduidae,vdovka rajská
9529,Vidua orientalis,AF,PASSERIFORMES,Viduidae,vdovka sahelská
9530,Vidua interjecta,AF,PASSERIFORMES,Viduidae,vdovka dlouhoocasá
9531,Vidua togoensis,AF,PASSERIFORMES,Viduidae,vdovka tožská
9532,Vidua obtusa,AF,PASSERIFORMES,Viduidae,vdovka širokoocasá
9533,Anomalospiza imberbis,AF,PASSERIFORMES,Viduidae,přádelník kukaččí
9534,Peucedramus taeniatus,"NA, MA",PASSERIFORMES,Peucedramidae,hájníček pruhokřídlý
9535,Prunella collaris,PAL,PASSERIFORMES,Prunellidae,pěvuška podhorní
9536,Prunella himalayana,PAL,PASSERIFORMES,Prunellidae,pěvuška altajská
9537,Prunella rubeculoides,OR,PASSERIFORMES,Prunellidae,pěvuška oranžovoprsá
9538,Prunella strophiata,OR,PASSERIFORMES,Prunellidae,pěvuška rezavoprsá
9539,Prunella montanella,PAL,PASSERIFORMES,Prunellidae,pěvuška sibiřská
9540,Prunella fulvescens,PAL,PASSERIFORMES,Prunellidae,pěvuška hnědavá
9541,Prunella ocularis,PAL,PASSERIFORMES,Prunellidae,pěvuška skalní
9542,Prunella atrogularis,PAL,PASSERIFORMES,Prunellidae,pěvuška černohrdlá
9543,Prunella koslowi,PAL,PASSERIFORMES,Prunellidae,pěvuška mongolská
9544,Prunella modularis,PAL,PASSERIFORMES,Prunellidae,pěvuška modrá
9545,Prunella rubida,PAL,PASSERIFORMES,Prunellidae,pěvuška japonská
9546,Prunella immaculata,OR,PASSERIFORMES,Prunellidae,pěvuška lesní
9547,Dendronanthus indicus,PAL,PASSERIFORMES,Motacillidae,konipas lesní
9548,Motacilla flava,PAL,PASSERIFORMES,Motacillidae,konipas luční
9549,Motacilla tschutschensis,"PAL, NA",PASSERIFORMES,Motacillidae,konipas východní
9550,Motacilla citreola,PAL,PASSERIFORMES,Motacillidae,konipas citronový
9551,Motacilla capensis,AF,PASSERIFORMES,Motacillidae,konipas jihoafrický
9552,Motacilla flaviventris,AF,PASSERIFORMES,Motacillidae,konipas madagaskarský
9553,Motacilla bocagii,AF,PASSERIFORMES,Motacillidae,pěnčák ostrovní
9554,Motacilla cinerea,"PAL, OR",PASSERIFORMES,Motacillidae,konipas horský
9555,Motacilla clara,AF,PASSERIFORMES,Motacillidae,konipas bystřinný
9556,Motacilla alba,PAL,PASSERIFORMES,Motacillidae,konipas bílý
9557,Motacilla aguimp,AF,PASSERIFORMES,Motacillidae,konipas africký
9558,Motacilla samveasnae,OR,PASSERIFORMES,Motacillidae,konipas mekongský
9559,Motacilla grandis,PAL,PASSERIFORMES,Motacillidae,konipas japonský
9560,Motacilla maderaspatensis,OR,PASSERIFORMES,Motacillidae,konipas indický
9561,Tmetothylacus tenellus,AF,PASSERIFORMES,Motacillidae,linduška zlatá
9562,Macronyx sharpei,AF,PASSERIFORMES,Motacillidae,linduškovec keňský
9563,Macronyx flavicollis,AF,PASSERIFORMES,Motacillidae,linduškovec etiopský
9564,Macronyx fuelleborni,AF,PASSERIFORMES,Motacillidae,linduškovec žlutobrvý
9565,Macronyx capensis,AF,PASSERIFORMES,Motacillidae,linduškovec kapský
9566,Macronyx croceus,AF,PASSERIFORMES,Motacillidae,linduškovec žlutohrdlý
9567,Macronyx aurantiigula,AF,PASSERIFORMES,Motacillidae,linduškovec prpužkoprsý
9568,Macronyx ameliae,AF,PASSERIFORMES,Motacillidae,linduškovec růžovoprsý
9569,Macronyx grimwoodi,AF,PASSERIFORMES,Motacillidae,linduškovec rudohrdlý
9570,Anthus richardi,PAL,PASSERIFORMES,Motacillidae,linduška velká
9571,Anthus rufulus,"OR, AU",PASSERIFORMES,Motacillidae,linduška rýžová
9572,Anthus australis,AU,PASSERIFORMES,Motacillidae,Australian Pipit
9573,Anthus novaeseelandiae,AU,PASSERIFORMES,Motacillidae,linduška zabajkalská
9574,Anthus cinnamomeus,AF,PASSERIFORMES,Motacillidae,linduška pastvinná
9575,Anthus hoeschi,AF,PASSERIFORMES,Motacillidae,linduška kapská
9576,Anthus godlewskii,PAL,PASSERIFORMES,Motacillidae,linduška mongolská
9577,Anthus campestris,"PAL, AF",PASSERIFORMES,Motacillidae,linduška úhorní
9578,Anthus similis,"AF, OR",PASSERIFORMES,Motacillidae,linduška dlouhozobá
9579,Anthus nicholsoni,AF,PASSERIFORMES,Motacillidae,Nicholson's Pipit
9580,Anthus nyassae,AF,PASSERIFORMES,Motacillidae,linduška malawijská
9581,Anthus vaalensis,AF,PASSERIFORMES,Motacillidae,linduška plavá
9582,Anthus leucophrys,AF,PASSERIFORMES,Motacillidae,linduška hnědohřbetá
9583,Anthus pallidiventris,AF,PASSERIFORMES,Motacillidae,linduška dlouhonohá
9584,Anthus pratensis,PAL,PASSERIFORMES,Motacillidae,linduška luční
9585,Anthus trivialis,PAL,PASSERIFORMES,Motacillidae,linduška lesní
9586,Anthus hodgsoni,PAL,PASSERIFORMES,Motacillidae,linduška olivová
9587,Anthus gustavi,PAL,PASSERIFORMES,Motacillidae,linduška sibiřská
9588,Anthus roseatus,PAL,PASSERIFORMES,Motacillidae,linduška růžová
9589,Anthus cervinus,"PAL, NA",PASSERIFORMES,Motacillidae,linduška rudokrká
9590,Anthus rubescens,"NA, PAL",PASSERIFORMES,Motacillidae,linduška tundrová
9591,Anthus spinoletta,PAL,PASSERIFORMES,Motacillidae,linduška horská
9592,Anthus petrosus,PAL,PASSERIFORMES,Motacillidae,linduška skalní
9593,Anthus nilghiriensis,OR,PASSERIFORMES,Motacillidae,linduška jihoindická
9594,Anthus sylvanus,OR,PASSERIFORMES,Motacillidae,linduška himálajská
9595,Anthus berthelotii,AF,PASSERIFORMES,Motacillidae,linduška kanárská
9596,Anthus lineiventris,AF,PASSERIFORMES,Motacillidae,linduška proužkovaná
9597,Anthus crenatus,AF,PASSERIFORMES,Motacillidae,linduška jihoafrická
9598,Anthus brachyurus,AF,PASSERIFORMES,Motacillidae,linduška krátkoocasá
9599,Anthus caffer,AF,PASSERIFORMES,Motacillidae,linduška drobná
9600,Anthus sokokensis,AF,PASSERIFORMES,Motacillidae,linduška keňská
9601,Anthus melindae,AF,PASSERIFORMES,Motacillidae,linduška pobřežní
9602,Anthus chloris,AF,PASSERIFORMES,Motacillidae,linduška žlutoprsá
9603,Anthus gutturalis,AU,PASSERIFORMES,Motacillidae,linduška papuánská
9604,Anthus ruficollis,AU,PASSERIFORMES,Motacillidae,kruhoočko rezavokrké
9605,Anthus chii,SA,PASSERIFORMES,Motacillidae,linduška savanová
9606,Anthus peruvianus,SA,PASSERIFORMES,Motacillidae,Peruvian Pipit
9607,Anthus furcatus,SA,PASSERIFORMES,Motacillidae,linduška krátkozobá
9608,Anthus brevirostris,SA,PASSERIFORMES,Motacillidae,Puna Pipit
9609,Anthus chacoensis,SA,PASSERIFORMES,Motacillidae,linduška paraguajská
9610,Anthus correndera,SA,PASSERIFORMES,Motacillidae,linduška jihoamerická
9611,Anthus antarcticus,AO,PASSERIFORMES,Motacillidae,linduška jižní
9612,Anthus nattereri,SA,PASSERIFORMES,Motacillidae,linduška okrovoprsá
9613,Anthus hellmayri,SA,PASSERIFORMES,Motacillidae,linduška čárkovaná
9614,Anthus bogotensis,SA,PASSERIFORMES,Motacillidae,linduška andská
9615,Urocynchramus pylzowi,OR,PASSERIFORMES,Urocynchramidae,strnad Převalského
9616,Fringilla coelebs,PAL,PASSERIFORMES,Fringillidae,pěnkava obecná
9617,Fringilla spodiogenys,PAL,PASSERIFORMES,Fringillidae,African Chaffinch
9618,Fringilla moreletti,PAL,PASSERIFORMES,Fringillidae,Azores Chaffinch
9619,Fringilla maderensis,PAL,PASSERIFORMES,Fringillidae,Madeira Chaffinch
9620,Fringilla canariensis,AF,PASSERIFORMES,Fringillidae,Canary Islands Chaffinch
9621,Fringilla teydea,AF,PASSERIFORMES,Fringillidae,pěnkava tenerifská
9622,Fringilla polatzeki,AF,PASSERIFORMES,Fringillidae,pěnkava kanárská
9623,Fringilla montifringilla,PAL,PASSERIFORMES,Fringillidae,pěnkava jikavec
9624,Mycerobas icterioides,OR,PASSERIFORMES,Fringillidae,dlask žlutočerný
9625,Mycerobas affinis,OR,PASSERIFORMES,Fringillidae,dlask černohlavý
9626,Mycerobas melanozanthos,OR,PASSERIFORMES,Fringillidae,dlask skvrnitokřídlý
9627,Mycerobas carnipes,PAL,PASSERIFORMES,Fringillidae,dlask jalovcový
9628,Hesperiphona vespertina,"NA, MA",PASSERIFORMES,Fringillidae,dlask žlutočelý
9629,Hesperiphona abeillei,MA,PASSERIFORMES,Fringillidae,dlask mexický
9630,Coccothraustes coccothraustes,PAL,PASSERIFORMES,Fringillidae,dlask tlustozobý
9631,Eophona migratoria,PAL,PASSERIFORMES,Fringillidae,dlask východní
9632,Eophona personata,PAL,PASSERIFORMES,Fringillidae,dlask škraboškový
9633,Pinicola enucleator,"PAL, NA",PASSERIFORMES,Fringillidae,hýl křivčí
9634,Pyrrhula nipalensis,OR,PASSERIFORMES,Fringillidae,hýl šedohlavý
9635,Pyrrhula aurantiaca,OR,PASSERIFORMES,Fringillidae,hýl rezavý
9636,Pyrrhula erythrocephala,OR,PASSERIFORMES,Fringillidae,hýl rezavohlavý
9637,Pyrrhula erythaca,OR,PASSERIFORMES,Fringillidae,hýl škraboškový
9638,Pyrrhula owstoni,OR,PASSERIFORMES,Fringillidae,Taiwan Bullfinch
9639,Pyrrhula leucogenis,OR,PASSERIFORMES,Fringillidae,hýl filipínský
9640,Pyrrhula pyrrhula,PAL,PASSERIFORMES,Fringillidae,hýl obecný
9641,Pyrrhula murina,AO,PASSERIFORMES,Fringillidae,hýl azorský
9642,Rhodopechys sanguineus,PAL,PASSERIFORMES,Fringillidae,hýl růžovokřídlý
9643,Rhodopechys alienus,AF,PASSERIFORMES,Fringillidae,hýl atlaský
9644,Bucanetes githagineus,PAL,PASSERIFORMES,Fringillidae,hýl trubač
9645,Bucanetes mongolicus,PAL,PASSERIFORMES,Fringillidae,hýl mongolský
9646,Agraphospiza rubescens,OR,PASSERIFORMES,Fringillidae,hýl koniferový
9647,Callacanthis burtoni,OR,PASSERIFORMES,Fringillidae,hýl červenočelý
9648,Pyrrhoplectes epauletta,OR,PASSERIFORMES,Fringillidae,hýl oranžovohlavý
9649,Procarduelis nipalensis,OR,PASSERIFORMES,Fringillidae,hýl tmavý
9650,Leucosticte nemoricola,OR,PASSERIFORMES,Fringillidae,pěnkavice alpínská
9651,Leucosticte brandti,OR,PASSERIFORMES,Fringillidae,pěnkavice velehorská
9652,Leucosticte arctoa,PAL,PASSERIFORMES,Fringillidae,pěnkavice severní
9653,Carpodacus erythrinus,PAL,PASSERIFORMES,Fringillidae,hýl rudý
9654,Carpodacus sipahi,OR,PASSERIFORMES,Fringillidae,hýl šarlatový
9655,Carpodacus rubicilloides,PAL,PASSERIFORMES,Fringillidae,hýl větší
9656,Carpodacus rubicilla,PAL,PASSERIFORMES,Fringillidae,hýl velký
9657,Carpodacus grandis,PAL,PASSERIFORMES,Fringillidae,Blyth's Rosefinch
9658,Carpodacus rhodochlamys,PAL,PASSERIFORMES,Fringillidae,hýl rudopláštíkový
9659,Carpodacus pulcherrimus,"OR, PAL",PASSERIFORMES,Fringillidae,hýl nádherný
9660,Carpodacus davidianus,PAL,PASSERIFORMES,Fringillidae,Chinese Beautiful Rosefinch
9661,Carpodacus waltoni,PAL,PASSERIFORMES,Fringillidae,Pink-rumped Rosefinch
9662,Carpodacus rodochroa,"PAL, OR",PASSERIFORMES,Fringillidae,hýl růžovobrvý
9663,Carpodacus edwardsii,"PAL, OR",PASSERIFORMES,Fringillidae,hýl růžovohrdlý
9664,Carpodacus rodopeplus,"PAL, OR",PASSERIFORMES,Fringillidae,hýl skvrnitokřídlý
9665,Carpodacus verreauxii,PAL,PASSERIFORMES,Fringillidae,Sharpe's Rosefinch
9666,Carpodacus vinaceus,"PAL, OR",PASSERIFORMES,Fringillidae,hýl vínorudý
9667,Carpodacus formosanus,OR,PASSERIFORMES,Fringillidae,Taiwan Rosefinch
9668,Carpodacus synoicus,PAL,PASSERIFORMES,Fringillidae,hýl sinajský
9669,Carpodacus stoliczkae,PAL,PASSERIFORMES,Fringillidae,Pale Rosefinch
9670,Carpodacus roborowskii,PAL,PASSERIFORMES,Fringillidae,hýl tibetský
9671,Carpodacus sillemi,PAL,PASSERIFORMES,Fringillidae,pěnkavice tibetská
9672,Carpodacus sibiricus,PAL,PASSERIFORMES,Fringillidae,hýl sibiřský
9673,Carpodacus lepidus,PAL,PASSERIFORMES,Fringillidae,Chinese Long-tailed Rosefinch
9674,Carpodacus roseus,PAL,PASSERIFORMES,Fringillidae,hýl růžový
9675,Carpodacus trifasciatus,PAL,PASSERIFORMES,Fringillidae,hýl čínský
9676,Carpodacus thura,"PAL, OR",PASSERIFORMES,Fringillidae,hýl alpínský
9677,Carpodacus dubius,PAL,PASSERIFORMES,Fringillidae,Chinese White-browed Rosefinch
9678,Carpodacus puniceus,"PAL, OR",PASSERIFORMES,Fringillidae,hýl velehorský
9679,Carpodacus subhimachalus,"PAL, OR",PASSERIFORMES,Fringillidae,hýl rudočelý
9680,Paroreomyza maculata,PO,PASSERIFORMES,Fringillidae,šatovník zlatoprsý
9681,Paroreomyza montana,PO,PASSERIFORMES,Fringillidae,šatovník mauijský
9682,Oreomystis bairdi,PO,PASSERIFORMES,Fringillidae,šatovník tmavohřbetý
9683,Telespiza cantans,PO,PASSERIFORMES,Fringillidae,šatovník laysanský
9684,Telespiza ultima,PO,PASSERIFORMES,Fringillidae,šatovník nihojský
9685,Loxioides bailleui,PO,PASSERIFORMES,Fringillidae,šatovník žlutokápý
9686,Drepanis coccinea,PO,PASSERIFORMES,Fringillidae,šatovník šarlatový
9687,Palmeria dolei,PO,PASSERIFORMES,Fringillidae,šatovník chocholatý
9688,Himatione sanguinea,PO,PASSERIFORMES,Fringillidae,šatovník karmínový
9689,Hemignathus hanapepe,PO,PASSERIFORMES,Fringillidae,Kauai Nukupuu
9690,Hemignathus affinis,PO,PASSERIFORMES,Fringillidae,Maui Nukupuu
9691,Hemignathus wilsoni,PO,PASSERIFORMES,Fringillidae,šatovník hamakauský
9692,Pseudonestor xanthophrys,PO,PASSERIFORMES,Fringillidae,šatovník lesní
9693,Magumma parva,PO,PASSERIFORMES,Fringillidae,šatovník žlutý
9694,Loxops mana,PO,PASSERIFORMES,Fringillidae,šatovník havajský
9695,Loxops caeruleirostris,PO,PASSERIFORMES,Fringillidae,šatovník alakaiský
9696,Loxops coccineus,PO,PASSERIFORMES,Fringillidae,šatovník akepa
9697,Loxops ochraceus,PO,PASSERIFORMES,Fringillidae,Maui Akepa
9698,Chlorodrepanis virens,PO,PASSERIFORMES,Fringillidae,šatovník amakihi
9699,Chlorodrepanis flava,PO,PASSERIFORMES,Fringillidae,šatovník oahský
9700,Chlorodrepanis stejnegeri,PO,PASSERIFORMES,Fringillidae,šatovník kauaiský
9701,Haemorhous mexicanus,"NA, MA",PASSERIFORMES,Fringillidae,hýl mexický
9702,Chloris chloris,PAL,PASSERIFORMES,Fringillidae,zvonek zelený
9703,Chloris sinica,"PAL, OR",PASSERIFORMES,Fringillidae,zvonek čínský
9704,Chloris kittlitzi,PAL,PASSERIFORMES,Fringillidae,Bonin Greenfinch
9705,Chloris spinoides,OR,PASSERIFORMES,Fringillidae,zvonek žlutoprsý
9706,Chloris monguilloti,OR,PASSERIFORMES,Fringillidae,zvonek vietnamský
9707,Chloris ambigua,OR,PASSERIFORMES,Fringillidae,zvonek černohlavý
9708,Rhodospiza obsoleta,PAL,PASSERIFORMES,Fringillidae,hýl černozobý
9709,Rhynchostruthus socotranus,AF,PASSERIFORMES,Fringillidae,stehlíkovec dlaskovitý
9710,Rhynchostruthus percivali,PAL,PASSERIFORMES,Fringillidae,stehlíkovec arabský
9711,Rhynchostruthus louisae,AF,PASSERIFORMES,Fringillidae,Somali Golden-winged Grosbeak
9712,Linurgus olivaceus,AF,PASSERIFORMES,Fringillidae,stehlíkovec oranžovozobý
9713,Crithagra rufobrunnea,AF,PASSERIFORMES,Fringillidae,zvonohlík skořicový
9714,Crithagra concolor,AF,PASSERIFORMES,Fringillidae,hnědák ostrovní
9715,Crithagra citrinelloides,AF,PASSERIFORMES,Fringillidae,zvonohlík africký
9716,Crithagra frontalis,AF,PASSERIFORMES,Fringillidae,Western Citril
9717,Crithagra hyposticta,AF,PASSERIFORMES,Fringillidae,Southern Citril
9718,Crithagra capistrata,AF,PASSERIFORMES,Fringillidae,zvonohlík černolící
9719,Crithagra koliensis,AF,PASSERIFORMES,Fringillidae,zvonohlík papyrusový
9720,Crithagra scotops,AF,PASSERIFORMES,Fringillidae,zvonohlík lesní
9721,Crithagra leucopygia,AF,PASSERIFORMES,Fringillidae,zvonohlík šedý
9722,Crithagra atrogularis,AF,PASSERIFORMES,Fringillidae,zvonohlík angolský
9723,Crithagra xanthopygia,AF,PASSERIFORMES,Fringillidae,zvonohlík savanový
9724,Crithagra reichenowi,AF,PASSERIFORMES,Fringillidae,Reichenow's Seedeater
9725,Crithagra rothschildi,PAL,PASSERIFORMES,Fringillidae,zvonohlík arabský
9726,Crithagra flavigula,AF,PASSERIFORMES,Fringillidae,zvonohlík žlutohrdlý
9727,Crithagra xantholaema,AF,PASSERIFORMES,Fringillidae,zvonohlík pruhoprsý
9728,Crithagra citrinipectus,AF,PASSERIFORMES,Fringillidae,zvonohlík bělouchý
9729,Crithagra mozambica,AF,PASSERIFORMES,Fringillidae,zvonohlík žlutočelý
9730,Crithagra dorsostriata,AF,PASSERIFORMES,Fringillidae,zvonohlík bělořitý
9731,Crithagra ankoberensis,AF,PASSERIFORMES,Fringillidae,zvonohlík etiopský
9732,Crithagra menachensis,PAL,PASSERIFORMES,Fringillidae,zvonohlík jemenský
9733,Crithagra totta,AF,PASSERIFORMES,Fringillidae,zvonohlík žlutohnědý
9734,Crithagra symonsi,AF,PASSERIFORMES,Fringillidae,zvonohlík natalský
9735,Crithagra donaldsoni,AF,PASSERIFORMES,Fringillidae,zvonohlík dlaskozobý
9736,Crithagra buchanani,AF,PASSERIFORMES,Fringillidae,zvonohlík keňský
9737,Crithagra flaviventris,AF,PASSERIFORMES,Fringillidae,zvonohlík žlutobřichý
9738,Crithagra sulphurata,AF,PASSERIFORMES,Fringillidae,zvonohlík sírožlutý
9739,Crithagra striatipectus,AF,PASSERIFORMES,Fringillidae,Stripe-breasted Seedeater
9740,Crithagra reichardi,AF,PASSERIFORMES,Fringillidae,zvonohlík východoafrický
9741,Crithagra gularis,AF,PASSERIFORMES,Fringillidae,zvonohlík proužkohlavý
9742,Crithagra canicapilla,AF,PASSERIFORMES,Fringillidae,West African Seedeater
9743,Crithagra mennelli,AF,PASSERIFORMES,Fringillidae,zvonohlík šedobílý
9744,Crithagra tristriata,AF,PASSERIFORMES,Fringillidae,zvonohlík bělobrvý
9745,Crithagra albogularis,AF,PASSERIFORMES,Fringillidae,zvonohlík bělohrdlý
9746,Crithagra burtoni,AF,PASSERIFORMES,Fringillidae,zvonohlík tmavý
9747,Crithagra striolata,AF,PASSERIFORMES,Fringillidae,zvonohlík proužkovaný
9748,Crithagra whytii,AF,PASSERIFORMES,Fringillidae,Yellow-browed Seedeater
9749,Crithagra melanochroa,AF,PASSERIFORMES,Fringillidae,zvonohlík horský
9750,Crithagra leucoptera,AF,PASSERIFORMES,Fringillidae,zvonohlík kapský
9751,Linaria flavirostris,PAL,PASSERIFORMES,Fringillidae,konopka žlutozobá
9752,Linaria cannabina,PAL,PASSERIFORMES,Fringillidae,konopka obecná
9753,Linaria yemenensis,PAL,PASSERIFORMES,Fringillidae,konopka šedohlavá
9754,Linaria johannis,AF,PASSERIFORMES,Fringillidae,konopka somálská
9755,Acanthis flammea,"PAL, NA",PASSERIFORMES,Fringillidae,čečetka zimní
9756,Acanthis cabaret,PAL,PASSERIFORMES,Fringillidae,čečetka tmavá
9757,Acanthis hornemanni,"PAL, NA",PASSERIFORMES,Fringillidae,čečetka bělavá
9758,Loxia pytyopsittacus,PAL,PASSERIFORMES,Fringillidae,křivka velká
