,IOC,Breeding Range,Order,Family,Czech
242,Ortalis columbiana,SA,GALLIFORMES,Cracidae,čačalaka kolumbijská
243,Ortalis motmot,SA,GALLIFORMES,Cracidae,čačalaka guyanská
244,Ortalis ruficeps,SA,GALLIFORMES,Cracidae,čačalaka hnědohlavá
245,Ortalis superciliaris,SA,GALLIFORMES,Cracidae,čačalaka světlebrvá
246,Penelope argyrotis,SA,GALLIFORMES,Cracidae,guan stříbrouchý
247,Penelope barbata,SA,GALLIFORMES,Cracidae,guan bradatý
248,Penelope ortoni,SA,GALLIFORMES,Cracidae,guan Ortonův
249,Penelope montagnii,SA,GALLIFORMES,Cracidae,guan andský
250,Penelope marail,SA,GALLIFORMES,Cracidae,guan guyanský
251,Penelope superciliaris,SA,GALLIFORMES,Cracidae,guan brazilský
252,Penelope dabbenei,SA,GALLIFORMES,Cracidae,guan červenolící
253,Penelope purpurascens,"MA, SA",GALLIFORMES,Cracidae,guan chocholatý
254,Penelope perspicax,SA,GALLIFORMES,Cracidae,guan kolumbijský
255,Penelope albipennis,SA,GALLIFORMES,Cracidae,guan bělokřídlý
256,Penelope jacquacu,SA,GALLIFORMES,Cracidae,guan proměnlivý
257,Penelope obscura,SA,GALLIFORMES,Cracidae,guan tmavonohý
258,Penelope bridgesi,SA,GALLIFORMES,Cracidae,guan bolivijský
259,Penelope pileata,SA,GALLIFORMES,Cracidae,guan pestrý
260,Penelope ochrogaster,SA,GALLIFORMES,Cracidae,guan středobrazilský
261,Penelope jacucaca,SA,GALLIFORMES,Cracidae,guan bělobrvý
262,Pipile pipile,SA,GALLIFORMES,Cracidae,guan trinidadský
263,Pipile cumanensis,SA,GALLIFORMES,Cracidae,guan modrohrdlý
264,Pipile grayi,SA,GALLIFORMES,Cracidae,guan bělohlavý
265,Pipile cujubi,SA,GALLIFORMES,Cracidae,guan červenohrdlý
266,Pipile jacutinga,SA,GALLIFORMES,Cracidae,guan černočelý
267,Aburria aburri,SA,GALLIFORMES,Cracidae,guan aburri
268,Chamaepetes unicolor,MA,GALLIFORMES,Cracidae,guan černý
269,Chamaepetes goudotii,SA,GALLIFORMES,Cracidae,guan modrolící
270,Penelopina nigra,MA,GALLIFORMES,Cracidae,guan hvízdavý
271,Oreophasis derbianus,MA,GALLIFORMES,Cracidae,guan jednorohý
272,Nothocrax urumutum,SA,GALLIFORMES,Cracidae,hoko noční
273,Mitu tomentosum,SA,GALLIFORMES,Cracidae,hoko pruhoocasý
274,Mitu salvini,SA,GALLIFORMES,Cracidae,hoko Salvinův
275,Mitu tuberosum,SA,GALLIFORMES,Cracidae,hoko amazonský
276,Mitu mitu,SA,GALLIFORMES,Cracidae,hoko mitu
277,Pauxi pauxi,SA,GALLIFORMES,Cracidae,hoko přílbový
278,Pauxi unicornis,SA,GALLIFORMES,Cracidae,hoko bolivijský
279,Pauxi koepckeae,SA,GALLIFORMES,Cracidae,hoko peruánský
280,Crax rubra,"MA, SA",GALLIFORMES,Cracidae,hoko proměnlivý
281,Crax alberti,SA,GALLIFORMES,Cracidae,hoko modrolaločný
282,Crax daubentoni,SA,GALLIFORMES,Cracidae,hoko žlutolaločný
283,Crax alector,SA,GALLIFORMES,Cracidae,hoko černý
284,Crax globulosa,SA,GALLIFORMES,Cracidae,hoko bradavičnatý
285,Crax fasciolata,SA,GALLIFORMES,Cracidae,hoko žlutozobý
286,Crax blumenbachii,SA,GALLIFORMES,Cracidae,hoko červenolaločný
287,Agelastes meleagrides,AF,GALLIFORMES,Numididae,perlička červenohlavá
288,Agelastes niger,AF,GALLIFORMES,Numididae,perlička černá
289,Numida meleagris,AF,GALLIFORMES,Numididae,perlička kropenatá
290,Guttera plumifera,AF,GALLIFORMES,Numididae,perlička lesní
291,Guttera verreauxi,AF,GALLIFORMES,Numididae,perlička modrolící
292,Guttera pucherani,AF,GALLIFORMES,Numididae,perlička chocholatá
293,Guttera edouardi,AF,GALLIFORMES,Numididae,perlička bělošíjná
294,Acryllium vulturinum,AF,GALLIFORMES,Numididae,perlička supí
295,Ptilopachus petrosus,AF,GALLIFORMES,Odontophoridae,křepel skalní
296,Ptilopachus nahani,AF,GALLIFORMES,Odontophoridae,křepel iturský
297,Dendrortyx leucophrys,MA,GALLIFORMES,Odontophoridae,křepel bledočelý
298,Dendrortyx macroura,MA,GALLIFORMES,Odontophoridae,křepel dlouhoocasý
299,Dendrortyx barbatus,MA,GALLIFORMES,Odontophoridae,křepel vousatý
300,Oreortyx pictus,"NA, MA",GALLIFORMES,Odontophoridae,křepel horský
301,Callipepla squamata,"NA, MA",GALLIFORMES,Odontophoridae,křepel šupinkatý
302,Callipepla douglasii,MA,GALLIFORMES,Odontophoridae,křepel chocholkatý
303,Callipepla californica,"NA, MA",GALLIFORMES,Odontophoridae,křepel kalifornský
304,Callipepla gambelii,"NA, MA",GALLIFORMES,Odontophoridae,křepel čelenkový
305,Philortyx fasciatus,MA,GALLIFORMES,Odontophoridae,křepel pruhovaný
306,Colinus virginianus,"NA, MA",GALLIFORMES,Odontophoridae,křepel virginský
307,Colinus nigrogularis,MA,GALLIFORMES,Odontophoridae,křepel černohrdlý
