,IOC,Breeding Range,Order,Family,Russian
305,Philortyx fasciatus,MA,GALLIFORMES,Odontophoridae,Полосатый перепел
306,Colinus virginianus,"NA, MA",GALLIFORMES,Odontophoridae,Виргинская американская куропатка
307,Colinus nigrogularis,MA,GALLIFORMES,Odontophoridae,Черногорлая американская куропатка
308,Colinus leucopogon,MA,GALLIFORMES,Odontophoridae,Белогрудая американская куропатка
309,Colinus cristatus,"MA, SA",GALLIFORMES,Odontophoridae,Хохлатая американская куропатка
310,Odontophorus gujanensis,"MA, SA",GALLIFORMES,Odontophoridae,Мраморный лесной перепел
311,Odontophorus capueira,SA,GALLIFORMES,Odontophoridae,Пестрокрылый лесной перепел
312,Odontophorus melanotis,MA,GALLIFORMES,Odontophoridae,Черноухий лесной перепел
313,Odontophorus erythrops,SA,GALLIFORMES,Odontophoridae,Краснолобый лесной перепел
314,Odontophorus atrifrons,SA,GALLIFORMES,Odontophoridae,Чернолобый лесной перепел
315,Odontophorus hyperythrus,SA,GALLIFORMES,Odontophoridae,Каштановый лесной перепел
316,Odontophorus melanonotus,SA,GALLIFORMES,Odontophoridae,Черноспинный лесной перепел
317,Odontophorus speciosus,SA,GALLIFORMES,Odontophoridae,Красногрудый лесной перепел
318,Odontophorus dialeucos,"MA, SA",GALLIFORMES,Odontophoridae,Черношапочный лесной перепел
319,Odontophorus strophium,SA,GALLIFORMES,Odontophoridae,Воротничковый лесной перепел
320,Odontophorus columbianus,SA,GALLIFORMES,Odontophoridae,Венесуэльский лесной перепел
321,Odontophorus leucolaemus,MA,GALLIFORMES,Odontophoridae,Белогорлый лесной перепел
322,Odontophorus balliviani,SA,GALLIFORMES,Odontophoridae,Пестролицый лесной перепел
323,Odontophorus stellatus,SA,GALLIFORMES,Odontophoridae,Звездчатый лесной перепел
324,Odontophorus guttatus,MA,GALLIFORMES,Odontophoridae,Хохлатый лесной перепел
325,Dactylortyx thoracicus,MA,GALLIFORMES,Odontophoridae,Длиннопалый перепел
326,Cyrtonyx montezumae,"NA, MA",GALLIFORMES,Odontophoridae,Плачущий перепел Монтесумы
327,Cyrtonyx ocellatus,MA,GALLIFORMES,Odontophoridae,Плачущий перепел
