,IOC,Breeding Range,Order,Family,Danish
218,Megapodius pritchardii,PO,GALLIFORMES,Megapodiidae,Niaufooubuskhøne
219,Megapodius laperouse,PO,GALLIFORMES,Megapodiidae,Mikronesisk Buskhøne
220,Megapodius nicobariensis,OR,GALLIFORMES,Megapodiidae,Nicobarbuskhøne
221,Megapodius cumingii,"OR, AU",GALLIFORMES,Megapodiidae,Filippinsk Buskhøne
222,Megapodius bernsteinii,AU,GALLIFORMES,Megapodiidae,Sulabuskhøne
223,Megapodius tenimberensis,AU,GALLIFORMES,Megapodiidae,Tanimbarbuskhøne
224,Megapodius freycinet,AU,GALLIFORMES,Megapodiidae,Mørk Buskhøne
225,Megapodius geelvinkianus,AU,GALLIFORMES,Megapodiidae,Biakbuskhøne
226,Megapodius eremita,AU,GALLIFORMES,Megapodiidae,Melanesisk Buskhøne
227,Megapodius layardi,AU,GALLIFORMES,Megapodiidae,Vanuatubuskhøne
228,Megapodius decollatus,AU,GALLIFORMES,Megapodiidae,Ny Guinea-buskhøne
229,Megapodius reinwardt,AU,GALLIFORMES,Megapodiidae,Torresbuskhøne
230,Ortalis vetula,"NA, MA",GALLIFORMES,Cracidae,Brun Chachalaca
231,Ortalis cinereiceps,"MA, SA",GALLIFORMES,Cracidae,Mexicansk Chachalaca
232,Ortalis garrula,SA,GALLIFORMES,Cracidae,Kastanjevinget Chachalaca
233,Ortalis ruficauda,SA,GALLIFORMES,Cracidae,Venezuela-chachalaca
234,Ortalis erythroptera,SA,GALLIFORMES,Cracidae,Rusthovedet Chachalaca
235,Ortalis wagleri,MA,GALLIFORMES,Cracidae,Rødbuget Chachalaca
236,Ortalis poliocephala,MA,GALLIFORMES,Cracidae,Sierra Madre-chachalaca
237,Ortalis canicollis,SA,GALLIFORMES,Cracidae,Chacochachalaca
238,Ortalis leucogastra,MA,GALLIFORMES,Cracidae,Hvidbuget Chachalaca
239,Ortalis guttata,SA,GALLIFORMES,Cracidae,Spættet Chachalaca
240,Ortalis araucuan,SA,GALLIFORMES,Cracidae,Brasiliansk Chachalaca
241,Ortalis squamata,SA,GALLIFORMES,Cracidae,Skællet Chachalaca
242,Ortalis columbiana,SA,GALLIFORMES,Cracidae,Colombiansk Chachalaca
243,Ortalis motmot,SA,GALLIFORMES,Cracidae,Lille Chachalaca
244,Ortalis ruficeps,SA,GALLIFORMES,Cracidae,Kastanjehovedet Chachalaca
245,Ortalis superciliaris,SA,GALLIFORMES,Cracidae,Lysbrynet Chachalaca
246,Penelope argyrotis,SA,GALLIFORMES,Cracidae,Sølvøret Penelopehøne
247,Penelope barbata,SA,GALLIFORMES,Cracidae,Skægpenelopehøne
248,Penelope ortoni,SA,GALLIFORMES,Cracidae,Chocópenelopehøne
249,Penelope montagnii,SA,GALLIFORMES,Cracidae,Andespenelopehøne
250,Penelope marail,SA,GALLIFORMES,Cracidae,Cayennepenelopehøne
251,Penelope superciliaris,SA,GALLIFORMES,Cracidae,Rustrandet Penelopehøne
252,Penelope dabbenei,SA,GALLIFORMES,Cracidae,Rødmasket Penelopehøne
253,Penelope purpurascens,"MA, SA",GALLIFORMES,Cracidae,Toppet Penelopehøne
254,Penelope perspicax,SA,GALLIFORMES,Cracidae,Caucapenelopehøne
255,Penelope albipennis,SA,GALLIFORMES,Cracidae,Hvidvinget Penelopehøne
256,Penelope jacquacu,SA,GALLIFORMES,Cracidae,Spix´ Penelopehøne
257,Penelope obscura,SA,GALLIFORMES,Cracidae,Mørkbenet Penelopehøne
258,Penelope bridgesi,SA,GALLIFORMES,Cracidae,Cochabamba-penelopehøne
259,Penelope pileata,SA,GALLIFORMES,Cracidae,Hvidtoppet Penelopehøne
260,Penelope ochrogaster,SA,GALLIFORMES,Cracidae,Kastanjebuget Penelopehøne
261,Penelope jacucaca,SA,GALLIFORMES,Cracidae,Hvidbrynet Penelopehøne
262,Pipile pipile,SA,GALLIFORMES,Cracidae,Trinidadfløjtehøne
263,Pipile cumanensis,SA,GALLIFORMES,Cracidae,Blåstrubet Fløjtehøne
264,Pipile grayi,SA,GALLIFORMES,Cracidae,Hvidstrubet Fløjtehøne
265,Pipile cujubi,SA,GALLIFORMES,Cracidae,Rødstrubet Fløjtehøne
266,Pipile jacutinga,SA,GALLIFORMES,Cracidae,Sortpandet Fløjtehøne
267,Aburria aburri,SA,GALLIFORMES,Cracidae,Lappepenelopehøne
268,Chamaepetes unicolor,MA,GALLIFORMES,Cracidae,Sort Penelopehøne
269,Chamaepetes goudotii,SA,GALLIFORMES,Cracidae,Seglvinget Penelopehøne
270,Penelopina nigra,MA,GALLIFORMES,Cracidae,Chalopehøne
271,Oreophasis derbianus,MA,GALLIFORMES,Cracidae,Hornhokko
272,Nothocrax urumutum,SA,GALLIFORMES,Cracidae,Nathokko
273,Mitu tomentosum,SA,GALLIFORMES,Cracidae,Topløs Hokko
274,Mitu salvini,SA,GALLIFORMES,Cracidae,Salvins Hokko
275,Mitu tuberosum,SA,GALLIFORMES,Cracidae,Kamnæbshokko
276,Mitu mitu,SA,GALLIFORMES,Cracidae,Alagoashokko
277,Pauxi pauxi,SA,GALLIFORMES,Cracidae,Hjelmhokko
278,Pauxi unicornis,SA,GALLIFORMES,Cracidae,Sydlig Hjelmhokko
279,Pauxi koepckeae,SA,GALLIFORMES,Cracidae,Sira-hokko
280,Crax rubra,"MA, SA",GALLIFORMES,Cracidae,Stor Hokko
281,Crax alberti,SA,GALLIFORMES,Cracidae,Blåknoppet Hokko
282,Crax daubentoni,SA,GALLIFORMES,Cracidae,Gulknoppet Hokko
283,Crax alector,SA,GALLIFORMES,Cracidae,Kamhokko
284,Crax globulosa,SA,GALLIFORMES,Cracidae,Gullappet Hokko
285,Crax fasciolata,SA,GALLIFORMES,Cracidae,Nøgenmasket Hokko
286,Crax blumenbachii,SA,GALLIFORMES,Cracidae,Rødnæbbet Hokko
287,Agelastes meleagrides,AF,GALLIFORMES,Numididae,Hvidbrystet Kalkunhøne
288,Agelastes niger,AF,GALLIFORMES,Numididae,Sort Kalkunhøne
289,Numida meleagris,AF,GALLIFORMES,Numididae,Perlehøne
290,Guttera plumifera,AF,GALLIFORMES,Numididae,Parykperlehøne
291,Guttera verreauxi,AF,GALLIFORMES,Numididae,Vestlig Parykperlehøne
292,Guttera pucherani,AF,GALLIFORMES,Numididae,Krøltoppet Perlehøne
293,Guttera edouardi,AF,GALLIFORMES,Numididae,Gulnakket Perlehøne
294,Acryllium vulturinum,AF,GALLIFORMES,Numididae,Gribbeperlehøne
295,Ptilopachus petrosus,AF,GALLIFORMES,Odontophoridae,Afrikansk Buskhøne
296,Ptilopachus nahani,AF,GALLIFORMES,Odontophoridae,Ituribuskhøne
297,Dendrortyx leucophrys,MA,GALLIFORMES,Odontophoridae,Hvidpandet Skovvagtel
298,Dendrortyx macroura,MA,GALLIFORMES,Odontophoridae,Langhalet Skovvagtel
299,Dendrortyx barbatus,MA,GALLIFORMES,Odontophoridae,Vera Cruz-skovvagtel
300,Oreortyx pictus,"NA, MA",GALLIFORMES,Odontophoridae,Bjergvagtel
301,Callipepla squamata,"NA, MA",GALLIFORMES,Odontophoridae,Skælvagtel
302,Callipepla douglasii,MA,GALLIFORMES,Odontophoridae,Rødtoppet Vagtel
303,Callipepla californica,"NA, MA",GALLIFORMES,Odontophoridae,Californisk Topvagtel
304,Callipepla gambelii,"NA, MA",GALLIFORMES,Odontophoridae,Ørkentopvagtel
305,Philortyx fasciatus,MA,GALLIFORMES,Odontophoridae,Båndvagtel
306,Colinus virginianus,"NA, MA",GALLIFORMES,Odontophoridae,Bobwhite
