,IOC,Breeding Range,Order,Family,Portuguese
259,Penelope pileata,SA,GALLIFORMES,Cracidae,jacupiranga
260,Penelope ochrogaster,SA,GALLIFORMES,Cracidae,jacu-de-barriga-castanha
261,Penelope jacucaca,SA,GALLIFORMES,Cracidae,jacucaca
262,Pipile pipile,SA,GALLIFORMES,Cracidae,jacutinga-da-trindade
263,Pipile cumanensis,SA,GALLIFORMES,Cracidae,jacutinga-de-garganta-azul
264,Pipile grayi,SA,GALLIFORMES,Cracidae,White-throated Piping Guan
265,Pipile cujubi,SA,GALLIFORMES,Cracidae,cujubi
266,Pipile jacutinga,SA,GALLIFORMES,Cracidae,jacutinga-do-sudeste
267,Aburria aburri,SA,GALLIFORMES,Cracidae,jacu-de-barbela
268,Chamaepetes unicolor,MA,GALLIFORMES,Cracidae,jacu-preto
269,Chamaepetes goudotii,SA,GALLIFORMES,Cracidae,jacu-maraqueiro
270,Penelopina nigra,MA,GALLIFORMES,Cracidae,jacu-da-montanha
271,Oreophasis derbianus,MA,GALLIFORMES,Cracidae,jacu-chifrudo
272,Nothocrax urumutum,SA,GALLIFORMES,Cracidae,urumutum
273,Mitu tomentosum,SA,GALLIFORMES,Cracidae,mutum-do-norte
274,Mitu salvini,SA,GALLIFORMES,Cracidae,mutum-de-ventre-branco
275,Mitu tuberosum,SA,GALLIFORMES,Cracidae,mutum-cavalo
276,Mitu mitu,SA,GALLIFORMES,Cracidae,mutum-do-nordeste
277,Pauxi pauxi,SA,GALLIFORMES,Cracidae,mutum-de-elmo
278,Pauxi unicornis,SA,GALLIFORMES,Cracidae,mutum-unicórnio-boliviano
279,Pauxi koepckeae,SA,GALLIFORMES,Cracidae,mutum-unicórnio-do-sira
280,Crax rubra,"MA, SA",GALLIFORMES,Cracidae,mutum-grande
281,Crax alberti,SA,GALLIFORMES,Cracidae,mutum-de-bico-azul
282,Crax daubentoni,SA,GALLIFORMES,Cracidae,mutum-de-carúncula-amarela
283,Crax alector,SA,GALLIFORMES,Cracidae,mutum-poranga
284,Crax globulosa,SA,GALLIFORMES,Cracidae,mutum-de-fava
285,Crax fasciolata,SA,GALLIFORMES,Cracidae,mutum-de-penacho
286,Crax blumenbachii,SA,GALLIFORMES,Cracidae,mutum-de-bico-vermelho
287,Agelastes meleagrides,AF,GALLIFORMES,Numididae,pintada-de-peito-branco
288,Agelastes niger,AF,GALLIFORMES,Numididae,pintada-preta
289,Numida meleagris,AF,GALLIFORMES,Numididae,pintada-comum
290,Guttera plumifera,AF,GALLIFORMES,Numididae,pintada-de-penacho
291,Guttera verreauxi,AF,GALLIFORMES,Numididae,"galinha-azul, galinha-de-poupa"
292,Guttera pucherani,AF,GALLIFORMES,Numididae,pintada-de-poupa
293,Guttera edouardi,AF,GALLIFORMES,Numididae,Southern Crested Guineafowl
294,Acryllium vulturinum,AF,GALLIFORMES,Numididae,pintada-vulturina
295,Ptilopachus petrosus,AF,GALLIFORMES,Odontophoridae,galinha-da-pedra
