,IOC,Breeding Range,Order,Family,Portuguese
8654,Cercotrichas galactotes,PAL,PASSERIFORMES,Muscicapidae,rouxinol-do-mato-ruivo
8655,Cercotrichas hartlaubi,AF,PASSERIFORMES,Muscicapidae,rouxinol-do-mato-de-dorso-castanho
8656,Cercotrichas leucophrys,AF,PASSERIFORMES,Muscicapidae,rouxinol-do-mato-estriado
8657,Copsychus saularis,OR,PASSERIFORMES,Muscicapidae,dominico
8658,Copsychus sechellarum,IO,PASSERIFORMES,Muscicapidae,pisco-das-seicheles
8659,Copsychus mindanensis,OR,PASSERIFORMES,Muscicapidae,pisco-filipino
8660,Copsychus albospecularis,AF,PASSERIFORMES,Muscicapidae,pisco-de-madagáscar
8661,Copsychus pyrropygus,OR,PASSERIFORMES,Muscicapidae,xama-rabirruivo
8662,Copsychus fulicatus,OR,PASSERIFORMES,Muscicapidae,pisco-indiano
8663,Copsychus luzoniensis,OR,PASSERIFORMES,Muscicapidae,xama-de-lução
8664,Copsychus superciliaris,OR,PASSERIFORMES,Muscicapidae,xama-das-vissaias
8665,Copsychus niger,OR,PASSERIFORMES,Muscicapidae,xama-de-palauã
8666,Copsychus cebuensis,OR,PASSERIFORMES,Muscicapidae,xama-preto
8667,Copsychus albiventris,OR,PASSERIFORMES,Muscicapidae,xama-das-andamão
8668,Copsychus stricklandii,OR,PASSERIFORMES,Muscicapidae,xama-de-coroa-branca
8669,Copsychus malabaricus,OR,PASSERIFORMES,Muscicapidae,xama-indiano
8670,Agricola pallidus,AF,PASSERIFORMES,Muscicapidae,papa-moscas-pálido
8671,Agricola infuscatus,AF,PASSERIFORMES,Muscicapidae,papa-moscas-chasco
8672,Fraseria cinerascens,AF,PASSERIFORMES,Muscicapidae,papa-moscas-florestal-de-sobrancelhas
8673,Fraseria ocreata,AF,PASSERIFORMES,Muscicapidae,papa-moscas-florestal-liso
8674,Fraseria griseigularis,AF,PASSERIFORMES,Muscicapidae,papa-moscas-de-garganta-cinzenta
8675,Fraseria plumbea,AF,PASSERIFORMES,Muscicapidae,papa-moscas-de-leque
8676,Fraseria olivascens,AF,PASSERIFORMES,Muscicapidae,papa-moscas-oliváceo
8677,Fraseria lendu,AF,PASSERIFORMES,Muscicapidae,papa-moscas-de-ituri
8678,Fraseria caerulescens,AF,PASSERIFORMES,Muscicapidae,papa-moscas-azulado
8679,Fraseria tessmanni,AF,PASSERIFORMES,Muscicapidae,papa-moscas-de-bico-grosso
8680,Melaenornis brunneus,AF,PASSERIFORMES,Muscicapidae,papa-moscas-de-angola
8681,Melaenornis fischeri,AF,PASSERIFORMES,Muscicapidae,papa-moscas-de-olho-branco
8682,Melaenornis chocolatinus,AF,PASSERIFORMES,Muscicapidae,papa-moscas-da-abissínia
8683,Melaenornis annamarulae,AF,PASSERIFORMES,Muscicapidae,papa-moscas-do-nimba
8684,Melaenornis ardesiacus,AF,PASSERIFORMES,Muscicapidae,papa-moscas-de-olho-amarelo
8685,Melaenornis edolioides,AF,PASSERIFORMES,Muscicapidae,papa-moscas-preto-setentrional
8686,Melaenornis pammelaina,AF,PASSERIFORMES,Muscicapidae,papa-moscas-preto-meridional
8687,Namibornis herero,AF,PASSERIFORMES,Muscicapidae,chasco-dos-hereros
8688,Empidornis semipartitus,AF,PASSERIFORMES,Muscicapidae,papa-moscas-prateado
8689,Sigelus silens,AF,PASSERIFORMES,Muscicapidae,papa-moscas-fiscal
8690,Bradornis comitatus,AF,PASSERIFORMES,Muscicapidae,papa-moscas-ardósia
8691,Bradornis microrhynchus,AF,PASSERIFORMES,Muscicapidae,papa-moscas-cinzento
8692,Bradornis mariquensis,AF,PASSERIFORMES,Muscicapidae,papa-moscas-do-marico
8693,Bradornis boehmi,AF,PASSERIFORMES,Muscicapidae,papa-moscas-malhado
8694,Bradornis ussheri,AF,PASSERIFORMES,Muscicapidae,papa-moscas-andorinha
8695,Bradornis fuliginosus,AF,PASSERIFORMES,Muscicapidae,papa-moscas-fuliginoso
8696,Humblotia flavirostris,AF,PASSERIFORMES,Muscicapidae,papa-moscas-da-grande-comore
8697,Muscicapa griseisticta,PAL,PASSERIFORMES,Muscicapidae,taralhão-listrado
8698,Muscicapa sibirica,"PAL, OR",PASSERIFORMES,Muscicapidae,taralhão-siberiano
8699,Muscicapa ferruginea,OR,PASSERIFORMES,Muscicapidae,papa-moscas-ferrugíneo
8700,Muscicapa muttui,OR,PASSERIFORMES,Muscicapidae,taralhão-de-peito-castanho
8701,Muscicapa randi,OR,PASSERIFORMES,Muscicapidae,taralhão-de-peito-pardo
8702,Muscicapa segregata,AU,PASSERIFORMES,Muscicapidae,taralhão-de-sumba
8703,Muscicapa dauurica,"PAL, OR",PASSERIFORMES,Muscicapidae,taralhão-castanho
8704,Muscicapa williamsoni,OR,PASSERIFORMES,Muscicapidae,taralhão-estriado
8705,Muscicapa sodhii,AU,PASSERIFORMES,Muscicapidae,taralhão-da-celebes
8706,Muscicapa sethsmithi,AF,PASSERIFORMES,Muscicapidae,papa-moscas-de-patas-amarelas
8707,Muscicapa epulata,AF,PASSERIFORMES,Muscicapidae,papa-moscas-de-patas-pretas
8708,Muscicapa adusta,AF,PASSERIFORMES,Muscicapidae,papa-moscas-sombrio
8709,Muscicapa striata,PAL,PASSERIFORMES,Muscicapidae,taralhão-cinzento
8710,Muscicapa tyrrhenica,PAL,PASSERIFORMES,Muscicapidae,taralhão-mediterrânico
8711,Muscicapa gambagae,AF,PASSERIFORMES,Muscicapidae,taralhão-das-acácias
8712,Muscicapa cassini,AF,PASSERIFORMES,Muscicapidae,papa-moscas-ribeirinho
8713,Muscicapa aquatica,AF,PASSERIFORMES,Muscicapidae,papa-moscas-dos-pauis
8714,Leucoptilon concretum,OR,PASSERIFORMES,Muscicapidae,papa-moscas-azul-de-cauda-branca
8715,Sholicola major,OR,PASSERIFORMES,Muscicapidae,pisco-azul-dos-nilguiri
8716,Sholicola albiventris,OR,PASSERIFORMES,Muscicapidae,pisco-azul-de-barriga-branca
8717,Niltava davidi,OR,PASSERIFORMES,Muscicapidae,niltava-de-fuquiém
8718,Niltava sundara,OR,PASSERIFORMES,Muscicapidae,niltava-brilhante
8719,Niltava sumatrana,OR,PASSERIFORMES,Muscicapidae,niltava-de-samatra
8720,Niltava oatesi,OR,PASSERIFORMES,Muscicapidae,niltava-vívido-chinês
8721,Niltava vivida,OR,PASSERIFORMES,Muscicapidae,niltava-vívido-da-formosa
8722,Niltava macgrigoriae,OR,PASSERIFORMES,Muscicapidae,niltava-pequeno
8723,Niltava grandis,OR,PASSERIFORMES,Muscicapidae,niltava-grande
8724,Cyanoptila cyanomelana,PAL,PASSERIFORMES,Muscicapidae,papa-moscas-azul-de-faces-pretas
8725,Cyanoptila cumatilis,PAL,PASSERIFORMES,Muscicapidae,papa-moscas-azul-e-branco
8726,Eumyias albicaudatus,OR,PASSERIFORMES,Muscicapidae,papa-moscas-dos-nilguiri
8727,Eumyias indigo,OR,PASSERIFORMES,Muscicapidae,papa-moscas-índigo
8728,Eumyias thalassinus,OR,PASSERIFORMES,Muscicapidae,papa-moscas-verde-mar
8729,Eumyias additus,AU,PASSERIFORMES,Muscicapidae,papa-moscas-de-buru
8730,Eumyias panayensis,AU,PASSERIFORMES,Muscicapidae,papa-moscas-turquesa
8731,Eumyias sanfordi,AU,PASSERIFORMES,Muscicapidae,papa-moscas-azul-de-minahassa
8732,Eumyias hoevelli,AU,PASSERIFORMES,Muscicapidae,papa-moscas-de-cabeça-azul
8733,Eumyias hyacinthinus,AU,PASSERIFORMES,Muscicapidae,papa-moscas-azul-de-timor
8734,Eumyias oscillans,AU,PASSERIFORMES,Muscicapidae,papa-moscas-de-dorso-avermelhado
8735,Eumyias stresemanni,AU,PASSERIFORMES,Muscicapidae,papa-moscas-escuro-de-sumba
8736,Eumyias sordidus,OR,PASSERIFORMES,Muscicapidae,papa-moscas-cingalês
8737,Anthipes monileger,OR,PASSERIFORMES,Muscicapidae,papa-moscas-de-gargantilha
8738,Anthipes solitaris,OR,PASSERIFORMES,Muscicapidae,papa-moscas-de-fronte-ruiva
8739,Cyornis unicolor,OR,PASSERIFORMES,Muscicapidae,papa-moscas-azuláceo
8740,Cyornis glaucicomans,OR,PASSERIFORMES,Muscicapidae,papa-moscas-azul-chinês
8741,Cyornis rubeculoides,OR,PASSERIFORMES,Muscicapidae,papa-moscas-de-garganta-azul
8742,Cyornis hainanus,OR,PASSERIFORMES,Muscicapidae,papa-moscas-azul-cobalto
8743,Cyornis superbus,OR,PASSERIFORMES,Muscicapidae,papa-moscas-azul-de-bornéu
8744,Cyornis turcosus,OR,PASSERIFORMES,Muscicapidae,papa-moscas-azul-malaio
8745,Cyornis lemprieri,OR,PASSERIFORMES,Muscicapidae,papa-moscas-azul-de-palauã
8746,Cyornis caerulatus,OR,PASSERIFORMES,Muscicapidae,papa-moscas-azul-da-sunda
8747,Cyornis herioti,OR,PASSERIFORMES,Muscicapidae,papa-moscas-azul-de-lução
8748,Cyornis camarinensis,OR,PASSERIFORMES,Muscicapidae,Rufous-breasted Blue Flycatcher
8749,Cyornis ruficauda,OR,PASSERIFORMES,Muscicapidae,papa-moscas-de-rabo-castanho
8750,Cyornis ocularis,OR,PASSERIFORMES,Muscicapidae,papa-moscas-das-sulu
8751,Cyornis ruficrissa,OR,PASSERIFORMES,Muscicapidae,papa-moscas-serrano-de-bornéu
8752,Cyornis pallidipes,OR,PASSERIFORMES,Muscicapidae,papa-moscas-azul-dos-gates-ocidentais
8753,Cyornis brunneatus,OR,PASSERIFORMES,Muscicapidae,papa-moscas-de-peito-pardo
8754,Cyornis nicobaricus,OR,PASSERIFORMES,Muscicapidae,papa-moscas-das-nicobar
8755,Cyornis umbratilis,OR,PASSERIFORMES,Muscicapidae,papa-moscas-de-peito-sombrio
8756,Cyornis magnirostris,OR,PASSERIFORMES,Muscicapidae,papa-moscas-azul-do-arunachal-pradexe
8757,Cyornis tickelliae,OR,PASSERIFORMES,Muscicapidae,papa-moscas-azul-indiano
8758,Cyornis sumatrensis,OR,PASSERIFORMES,Muscicapidae,papa-moscas-azul-indochinês
8759,Cyornis whitei,OR,PASSERIFORMES,Muscicapidae,papa-moscas-azul-da-montanha
8760,Cyornis rufigastra,OR,PASSERIFORMES,Muscicapidae,papa-moscas-azul-dos-mangais
8761,Cyornis omissus,AU,PASSERIFORMES,Muscicapidae,papa-moscas-azul-da-celebes
8762,Cyornis kalaoensis,AU,PASSERIFORMES,Muscicapidae,Kalao Blue Flycatcher
8763,Cyornis banyumas,OR,PASSERIFORMES,Muscicapidae,papa-moscas-azul-de-java
8764,Cyornis montanus,OR,PASSERIFORMES,Muscicapidae,papa-moscas-azul-dos-daiaques
8765,Cyornis kadayangensis,OR,PASSERIFORMES,Muscicapidae,papa-moscas-azul-de-meratus
8766,Cyornis poliogenys,OR,PASSERIFORMES,Muscicapidae,papa-moscas-de-queixo-branco
8767,Cyornis olivaceus,OR,PASSERIFORMES,Muscicapidae,papa-moscas-de-dorso-oliva
8768,Cyornis pelingensis,AU,PASSERIFORMES,Muscicapidae,papa-moscas-das-bangai
8769,Cyornis colonus,AU,PASSERIFORMES,Muscicapidae,papa-moscas-das-sula
8770,Cyornis ruckii,OR,PASSERIFORMES,Muscicapidae,papa-moscas-azul-de-samatra
8771,Erithacus rubecula,PAL,PASSERIFORMES,Muscicapidae,pisco-de-peito-ruivo
8772,Swynnertonia swynnertoni,AF,PASSERIFORMES,Muscicapidae,pisco-de-peitilho
8773,Pogonocichla stellata,AF,PASSERIFORMES,Muscicapidae,pisco-estrelado
8774,Stiphrornis erythrothorax,AF,PASSERIFORMES,Muscicapidae,pisco-da-floresta
8775,Cossyphicula roberti,AF,PASSERIFORMES,Muscicapidae,cossifa-de-barriga-branca
8776,Cossyphicula isabellae,AF,PASSERIFORMES,Muscicapidae,cossifa-dos-camarões
8777,Chamaetylas poliophrys,AF,PASSERIFORMES,Muscicapidae,pisco-castanho-degolado
8778,Chamaetylas poliocephala,AF,PASSERIFORMES,Muscicapidae,pisco-castanho-de-sobrancelhas
8779,Chamaetylas fuelleborni,AF,PASSERIFORMES,Muscicapidae,pisco-de-peito-branco
8780,Chamaetylas choloensis,AF,PASSERIFORMES,Muscicapidae,pisco-de-cholo
8781,Cossypha albicapillus,AF,PASSERIFORMES,Muscicapidae,cossifa-de-coroa-branca
8782,Cossypha heuglini,AF,PASSERIFORMES,Muscicapidae,cossifa-mascarada-de-cauda-castanha
8783,Cossypha dichroa,AF,PASSERIFORMES,Muscicapidae,cossifa-de-cabeça-preta
8784,Cossypha semirufa,AF,PASSERIFORMES,Muscicapidae,cossifa-mascarada-de-cauda-preta
8785,Cossypha niveicapilla,AF,PASSERIFORMES,Muscicapidae,cossifa-de-coroa-nevada
8786,Cossypha natalensis,AF,PASSERIFORMES,Muscicapidae,cossifa-do-natal
8787,Cossypha heinrichi,AF,PASSERIFORMES,Muscicapidae,cossifa-de-cabeça-branca
8788,Cossypha cyanocampter,AF,PASSERIFORMES,Muscicapidae,cossifa-de-ombros-azuis
8789,Cichladusa arquata,AF,PASSERIFORMES,Muscicapidae,tordo-das-palmeiras-de-colar
8790,Cichladusa ruficauda,AF,PASSERIFORMES,Muscicapidae,tordo-das-palmeiras-de-cauda-vermelha
8791,Cichladusa guttata,AF,PASSERIFORMES,Muscicapidae,tordo-das-palmeiras-manchado
8792,Xenocopsychus ansorgei,AF,PASSERIFORMES,Muscicapidae,chasco-das-furnas
8793,Dessonornis humeralis,AF,PASSERIFORMES,Muscicapidae,cossifa-de-peito-branco
8794,Dessonornis caffer,AF,PASSERIFORMES,Muscicapidae,cossifa-do-cabo
8795,Dessonornis archeri,AF,PASSERIFORMES,Muscicapidae,cossifa-do-quivu
8796,Dessonornis anomalus,AF,PASSERIFORMES,Muscicapidae,cossifa-de-flancos-esverdeados
8797,Sheppardia montana,AF,PASSERIFORMES,Muscicapidae,pisco-dos-usambara
8798,Sheppardia lowei,AF,PASSERIFORMES,Muscicapidae,pisco-dos-udzungwa
8799,Sheppardia aurantiithorax,AF,PASSERIFORMES,Muscicapidae,pisco-dos-rubeho
8800,Sheppardia gunningi,AF,PASSERIFORMES,Muscicapidae,pisco-da-costa-leste
8801,Sheppardia sharpei,AF,PASSERIFORMES,Muscicapidae,pisco-da-tanzânia
8802,Sheppardia bocagei,AF,PASSERIFORMES,Muscicapidae,pisco-de-coroa-cinzenta
8803,Sheppardia poensis,AF,PASSERIFORMES,Muscicapidae,pisco-de-cauda-curta
8804,Sheppardia cyornithopsis,AF,PASSERIFORMES,Muscicapidae,pisco-ocidental
8805,Sheppardia aequatorialis,AF,PASSERIFORMES,Muscicapidae,pisco-equinocial
8806,Sheppardia gabela,AF,PASSERIFORMES,Muscicapidae,pisco-da-gabela
8807,Sheppardia polioptera,AF,PASSERIFORMES,Muscicapidae,pisco-de-asa-cinzenta
8808,Irania gutturalis,PAL,PASSERIFORMES,Muscicapidae,pisco-de-garganta-branca
8809,Luscinia luscinia,PAL,PASSERIFORMES,Muscicapidae,rouxinol-russo
8810,Luscinia megarhynchos,PAL,PASSERIFORMES,Muscicapidae,rouxinol-meridional
8811,Luscinia svecica,PAL,PASSERIFORMES,Muscicapidae,pisco-de-peito-azul
8812,Luscinia phaenicuroides,OR,PASSERIFORMES,Muscicapidae,rabirruivo-azul
8813,Myiomela leucura,OR,PASSERIFORMES,Muscicapidae,pisco-azul-de-rabo-branco
8814,Myiomela sumatrana,OR,PASSERIFORMES,Muscicapidae,pisco-azul-de-samatra
8815,Myiomela diana,OR,PASSERIFORMES,Muscicapidae,pisco-azul-de-java
8816,Calliope obscura,PAL,PASSERIFORMES,Muscicapidae,pisco-de-garganta-preta
8817,Calliope pectardens,PAL,PASSERIFORMES,Muscicapidae,pisco-de-peito-ardente
8818,Calliope calliope,PAL,PASSERIFORMES,Muscicapidae,pisco-de-garganta-vermelha-siberiano
8819,Calliope pectoralis,OR,PASSERIFORMES,Muscicapidae,pisco-de-garganta-vermelha-do-himalaia
8820,Calliope tschebaiewi,OR,PASSERIFORMES,Muscicapidae,pisco-de-garganta-vermelha-chinês
8821,Enicurus scouleri,OR,PASSERIFORMES,Muscicapidae,torrenteiro-pequeno
8822,Enicurus immaculatus,OR,PASSERIFORMES,Muscicapidae,torrenteiro-de-dorso-preto
8823,Enicurus schistaceus,OR,PASSERIFORMES,Muscicapidae,torrenteiro-de-dorso-cinzento
8824,Enicurus maculatus,OR,PASSERIFORMES,Muscicapidae,torrenteiro-malhado
8825,Enicurus leschenaulti,OR,PASSERIFORMES,Muscicapidae,torrenteiro-de-coroa-branca
8826,Enicurus borneensis,OR,PASSERIFORMES,Muscicapidae,torrenteiro-de-bornéu
8827,Enicurus ruficapillus,OR,PASSERIFORMES,Muscicapidae,torrenteiro-de-cabeça-castanha
8828,Enicurus velatus,OR,PASSERIFORMES,Muscicapidae,torrenteiro-da-sunda
8829,Cinclidium frontale,OR,PASSERIFORMES,Muscicapidae,pisco-azul-de-testa-celeste
8830,Myophonus insularis,OR,PASSERIFORMES,Muscicapidae,tordo-assobiador-da-formosa
8831,Myophonus melanurus,OR,PASSERIFORMES,Muscicapidae,tordo-assobiador-de-samatra
8832,Myophonus castaneus,OR,PASSERIFORMES,Muscicapidae,tordo-assobiador-castanho
8833,Myophonus caeruleus,OR,PASSERIFORMES,Muscicapidae,tordo-assobiador-azul
8834,Myophonus glaucinus,OR,PASSERIFORMES,Muscicapidae,tordo-assobiador-de-java
8835,Myophonus borneensis,OR,PASSERIFORMES,Muscicapidae,tordo-assobiador-de-bornéu
8836,Myophonus robinsoni,OR,PASSERIFORMES,Muscicapidae,tordo-assobiador-malaio
8837,Myophonus horsfieldii,OR,PASSERIFORMES,Muscicapidae,tordo-assobiador-do-malabar
8838,Myophonus blighi,OR,PASSERIFORMES,Muscicapidae,tordo-assobiador-cingalês
8839,Heinrichia calligyna,AU,PASSERIFORMES,Muscicapidae,asa-curta-da-celebes
8840,Vauriella gularis,OR,PASSERIFORMES,Muscicapidae,papa-moscas-de-sobrancelhas
8841,Vauriella albigularis,OR,PASSERIFORMES,Muscicapidae,papa-moscas-de-negros
8842,Vauriella insignis,OR,PASSERIFORMES,Muscicapidae,papa-moscas-de-lução
8843,Vauriella goodfellowi,OR,PASSERIFORMES,Muscicapidae,papa-moscas-de-mindanau
8844,Leonardina woodi,OR,PASSERIFORMES,Muscicapidae,tordina-de-mindanau
8845,Brachypteryx cruralis,OR,PASSERIFORMES,Muscicapidae,asa-curta-do-himalaia
8846,Brachypteryx sinensis,OR,PASSERIFORMES,Muscicapidae,asa-curta-chinês
8847,Brachypteryx goodfellowi,OR,PASSERIFORMES,Muscicapidae,asa-curta-da-formosa
8848,Brachypteryx hyperythra,OR,PASSERIFORMES,Muscicapidae,asa-curta-de-barriga-ruiva
8849,Brachypteryx leucophris,"OR, AU",PASSERIFORMES,Muscicapidae,asa-curta-pequeno
8850,Brachypteryx poliogyna,OR,PASSERIFORMES,Muscicapidae,asa-curta-filipino
8851,Brachypteryx erythrogyna,OR,PASSERIFORMES,Muscicapidae,asa-curta-de-bornéu
8852,Brachypteryx saturata,OR,PASSERIFORMES,Muscicapidae,asa-curta-de-samatra
8853,Brachypteryx montana,OR,PASSERIFORMES,Muscicapidae,asa-curta-de-sobrolho-branco
8854,Brachypteryx floris,OR,PASSERIFORMES,Muscicapidae,asa-curta-de-flores
8855,Larvivora cyane,PAL,PASSERIFORMES,Muscicapidae,pisco-azul-siberiano
8856,Larvivora brunnea,OR,PASSERIFORMES,Muscicapidae,pisco-azul-indiano
8857,Larvivora akahige,PAL,PASSERIFORMES,Muscicapidae,pisco-japonês
8858,Larvivora tanensis,PAL,PASSERIFORMES,Muscicapidae,Izu Robin
8859,Larvivora komadori,PAL,PASSERIFORMES,Muscicapidae,pisco-das-léquias
8860,Larvivora namiyei,PAL,PASSERIFORMES,Muscicapidae,pisco-de-oquinava
8861,Larvivora sibilans,PAL,PASSERIFORMES,Muscicapidae,pisco-rabirruivo
8862,Larvivora ruficeps,PAL,PASSERIFORMES,Muscicapidae,pisco-de-cabeça-ruiva
8863,Ficedula zanthopygia,PAL,PASSERIFORMES,Muscicapidae,papa-moscas-de-uropígio-amarelo
8864,Ficedula elisae,PAL,PASSERIFORMES,Muscicapidae,papa-moscas-de-dorso-verde
8865,Ficedula narcissina,PAL,PASSERIFORMES,Muscicapidae,papa-moscas-de-peito-amarelo
8866,Ficedula owstoni,PAL,PASSERIFORMES,Muscicapidae,papa-mosca-das-léquias
8867,Ficedula tricolor,OR,PASSERIFORMES,Muscicapidae,papa-moscas-azul-ardósia
8868,Ficedula hyperythra,"OR, AU",PASSERIFORMES,Muscicapidae,papa-moscas-de-sobrolho-branco
8869,Ficedula mugimaki,PAL,PASSERIFORMES,Muscicapidae,papa-moscas-muguimaqui
8870,Ficedula erithacus,OR,PASSERIFORMES,Muscicapidae,papa-moscas-de-dorso-ardósia
8871,Ficedula hodgsoni,OR,PASSERIFORMES,Muscicapidae,papa-moscas-pigmeu
8872,Ficedula strophiata,OR,PASSERIFORMES,Muscicapidae,papa-moscas-degolado
8873,Ficedula sapphira,OR,PASSERIFORMES,Muscicapidae,papa-moscas-safira
8874,Ficedula superciliaris,OR,PASSERIFORMES,Muscicapidae,papa-moscas-ultramarino
8875,Ficedula westermanni,"OR, AU",PASSERIFORMES,Muscicapidae,papa-moscas-alvinegro
8876,Ficedula ruficauda,PAL,PASSERIFORMES,Muscicapidae,papa-moscas-rabirruivo
8877,Ficedula subrubra,OR,PASSERIFORMES,Muscicapidae,papa-moscas-de-caxemira
8878,Ficedula parva,PAL,PASSERIFORMES,Muscicapidae,papa-moscas-real-ocidental
8879,Ficedula albicilla,PAL,PASSERIFORMES,Muscicapidae,papa-moscas-real-oriental
8880,Ficedula semitorquata,PAL,PASSERIFORMES,Muscicapidae,papa-moscas-de-meio-colar
8881,Ficedula speculigera,AF,PASSERIFORMES,Muscicapidae,papa-moscas-do-atlas
8882,Ficedula hypoleuca,PAL,PASSERIFORMES,Muscicapidae,papa-moscas-preto
8883,Ficedula albicollis,PAL,PASSERIFORMES,Muscicapidae,papa-moscas-de-colar
8884,Ficedula nigrorufa,OR,PASSERIFORMES,Muscicapidae,papa-moscas-rubrinegro
8885,Ficedula riedeli,AU,PASSERIFORMES,Muscicapidae,papa-moscas-das-tanimbar
8886,Ficedula dumetoria,OR,PASSERIFORMES,Muscicapidae,papa-moscas-de-peito-ruivo
8887,Ficedula disposita,OR,PASSERIFORMES,Muscicapidae,papa-moscas-furtivo
8888,Ficedula platenae,OR,PASSERIFORMES,Muscicapidae,papa-moscas-de-palauã
8889,Ficedula rufigula,AU,PASSERIFORMES,Muscicapidae,papa-moscas-da-celebes
8890,Ficedula buruensis,AU,PASSERIFORMES,Muscicapidae,papa-moscas-acanelado
8891,Ficedula harterti,AU,PASSERIFORMES,Muscicapidae,papa-moscas-claro-de-sumba
8892,Ficedula timorensis,AU,PASSERIFORMES,Muscicapidae,papa-moscas-de-timor
8893,Ficedula basilanica,OR,PASSERIFORMES,Muscicapidae,papa-moscas-de-orelha-branca
8894,Ficedula luzoniensis,OR,PASSERIFORMES,Muscicapidae,papa-moscas-filipino
8895,Ficedula crypta,OR,PASSERIFORMES,Muscicapidae,papa-moscas-críptico
8896,Ficedula bonthaina,AU,PASSERIFORMES,Muscicapidae,papa-moscas-do-lompobatang
8897,Ficedula henrici,AU,PASSERIFORMES,Muscicapidae,papa-moscas-de-damar
8898,Tarsiger indicus,OR,PASSERIFORMES,Muscicapidae,pisco-azul-de-sobrolho
8899,Tarsiger chrysaeus,OR,PASSERIFORMES,Muscicapidae,pisco-dourado
8900,Tarsiger johnstoniae,OR,PASSERIFORMES,Muscicapidae,pisco-de-colarinho
8901,Tarsiger hyperythrus,OR,PASSERIFORMES,Muscicapidae,pisco-azul-de-barriga-ruiva
8902,Tarsiger cyanurus,PAL,PASSERIFORMES,Muscicapidae,pisco-de-flancos-ruivos
8903,Tarsiger rufilatus,OR,PASSERIFORMES,Muscicapidae,pisco-azul-do-himalaia
8904,Heteroxenicus stellatus,OR,PASSERIFORMES,Muscicapidae,asa-curta-estrelado
8905,Phoenicurus erythronotus,PAL,PASSERIFORMES,Muscicapidae,rabirruivo-do-altai
8906,Phoenicurus frontalis,OR,PASSERIFORMES,Muscicapidae,rabirruivo-de-testa-azul
8907,Phoenicurus coeruleocephala,PAL,PASSERIFORMES,Muscicapidae,rabirruivo-de-barrete-azul
8908,Phoenicurus schisticeps,PAL,PASSERIFORMES,Muscicapidae,rabirruivo-de-garganta-branca
8909,Phoenicurus fuliginosus,OR,PASSERIFORMES,Muscicapidae,rabirruivo-plúmbeo
8910,Phoenicurus bicolor,OR,PASSERIFORMES,Muscicapidae,rabirruivo-de-lução
8911,Phoenicurus leucocephalus,PAL,PASSERIFORMES,Muscicapidae,rabirruivo-de-barrete-branco
8912,Phoenicurus alaschanicus,PAL,PASSERIFORMES,Muscicapidae,rabirruivo-tibetano
8913,Phoenicurus ochruros,"PAL, OR",PASSERIFORMES,Muscicapidae,rabirruivo-preto
8914,Phoenicurus phoenicurus,PAL,PASSERIFORMES,Muscicapidae,rabirruivo-de-testa-branca
8915,Phoenicurus moussieri,AF,PASSERIFORMES,Muscicapidae,rabirruivo-mourisco
8916,Phoenicurus auroreus,PAL,PASSERIFORMES,Muscicapidae,rabirruivo-dáurico
8917,Phoenicurus hodgsoni,OR,PASSERIFORMES,Muscicapidae,rabirruivo-chinês
8918,Phoenicurus erythrogastrus,PAL,PASSERIFORMES,Muscicapidae,rabirruivo-de-touca-branca
8919,Monticola cinclorhyncha,OR,PASSERIFORMES,Muscicapidae,melro-das-rochas-do-himalaia
8920,Monticola gularis,PAL,PASSERIFORMES,Muscicapidae,melro-das-rochas-de-garganta-branca
8921,Monticola rufiventris,OR,PASSERIFORMES,Muscicapidae,melro-das-rochas-de-barriga-castanha
8922,Monticola brevipes,AF,PASSERIFORMES,Muscicapidae,melro-das-rochas-de-dedos-curtos
8923,Monticola explorator,AF,PASSERIFORMES,Muscicapidae,melro-das-rochas-sentinela
8924,Monticola erythronotus,AF,PASSERIFORMES,Muscicapidae,Amber Mountain Rock Thrush
8925,Monticola sharpei,AF,PASSERIFORMES,Muscicapidae,melro-das-rochas-de-madagáscar
8926,Monticola imerina,AF,PASSERIFORMES,Muscicapidae,melro-das-rochas-do-litoral
8927,Monticola rufocinereus,AF,PASSERIFORMES,Muscicapidae,melro-das-rochas-pequeno
8928,Monticola saxatilis,PAL,PASSERIFORMES,Muscicapidae,melro-das-rochas-eurasiático
8929,Monticola solitarius,"PAL, OR",PASSERIFORMES,Muscicapidae,melro-azul
8930,Monticola semirufus,AF,PASSERIFORMES,Muscicapidae,melro-das-rochas-abissínio
8931,Monticola rupestris,AF,PASSERIFORMES,Muscicapidae,melro-das-rochas-do-cabo
8932,Monticola angolensis,AF,PASSERIFORMES,Muscicapidae,melro-das-rochas-do-miombo
8933,Saxicola jerdoni,OR,PASSERIFORMES,Muscicapidae,cartaxo-alvinegro
8934,Saxicola ferreus,OR,PASSERIFORMES,Muscicapidae,cartaxo-cinzento
8935,Saxicola rubetra,PAL,PASSERIFORMES,Muscicapidae,cartaxo-nortenho
8936,Saxicola macrorhynchus,OR,PASSERIFORMES,Muscicapidae,cartaxo-de-sobrancelhas
8937,Saxicola gutturalis,AU,PASSERIFORMES,Muscicapidae,cartaxo-de-timor
8938,Saxicola caprata,"PAL, OR, AU",PASSERIFORMES,Muscicapidae,cartaxo-preto
8939,Saxicola insignis,PAL,PASSERIFORMES,Muscicapidae,cartaxo-de-garganta-branca
8940,Saxicola leucurus,OR,PASSERIFORMES,Muscicapidae,cartaxo-de-rabo-branco
