,IOC,Breeding Range,Order,Family,Ukrainian
10260,Camarhynchus pallidus,SA,PASSERIFORMES,Thraupidae,пінкис кактусовий
10261,Camarhynchus parvulus,SA,PASSERIFORMES,Thraupidae,пінкис малий
10262,Camarhynchus psittacula,SA,PASSERIFORMES,Thraupidae,пінкис папугодзьобий
10263,Geospiza fuliginosa,SA,PASSERIFORMES,Thraupidae,землянчик малий
10264,Geospiza difficilis,SA,PASSERIFORMES,Thraupidae,землянчик гостродзьобий
10265,Geospiza acutirostris,SA,PASSERIFORMES,Thraupidae,землянчик геновезанський
10266,Geospiza septentrionalis,SA,PASSERIFORMES,Thraupidae,землянчик дарвінський
10267,Geospiza conirostris,SA,PASSERIFORMES,Thraupidae,землянчик товстодзьобий
10268,Geospiza propinqua,SA,PASSERIFORMES,Thraupidae,землянчик опунцієвий
10269,Geospiza magnirostris,SA,PASSERIFORMES,Thraupidae,землянчик великий
10270,Geospiza scandens,SA,PASSERIFORMES,Thraupidae,землянчик кактусовий
10271,Geospiza fortis,SA,PASSERIFORMES,Thraupidae,землянчик середній
10272,Volatinia jacarina,"MA, SA",PASSERIFORMES,Thraupidae,якарина
10273,Conothraupis speculigera,SA,PASSERIFORMES,Thraupidae,тангарник строкатий
10274,Conothraupis mesoleuca,SA,PASSERIFORMES,Thraupidae,тангарник товстодзьобий
10275,Creurgops verticalis,SA,PASSERIFORMES,Thraupidae,беретник рудочеревий
10276,Creurgops dentatus,SA,PASSERIFORMES,Thraupidae,беретник сірочеревий
10277,Eucometis penicillata,"MA, SA",PASSERIFORMES,Thraupidae,танагра сіроголова
10278,Trichothraupis melanops,SA,PASSERIFORMES,Thraupidae,танагра амазонійська
10279,Heliothraupis oneilli,SA,PASSERIFORMES,Thraupidae,танагра сан-педроанська
10280,Loriotus cristatus,SA,PASSERIFORMES,Thraupidae,танагра-жалібниця вогнисточуба
10281,Loriotus luctuosus,"MA, SA",PASSERIFORMES,Thraupidae,танагра-жалібниця білоплеча
10282,Loriotus rufiventer,SA,PASSERIFORMES,Thraupidae,танагра-жалібниця вохристочуба
10283,Coryphospingus pileatus,SA,PASSERIFORMES,Thraupidae,червоночубик сірий
10284,Coryphospingus cucullatus,SA,PASSERIFORMES,Thraupidae,червоночубик вогнистий
10285,Tachyphonus surinamus,SA,PASSERIFORMES,Thraupidae,танагра-жалібниця золоточуба
10286,Tachyphonus delatrii,"MA, SA",PASSERIFORMES,Thraupidae,танагра-жалібниця нікарагуанська
10287,Tachyphonus rufus,"MA, SA",PASSERIFORMES,Thraupidae,танагра-жалібниця велика
10288,Tachyphonus phoenicius,SA,PASSERIFORMES,Thraupidae,танагра-жалібниця червоноплеча
10289,Tachyphonus coronatus,SA,PASSERIFORMES,Thraupidae,танагра-жалібниця червоночуба
10290,Rhodospingus cruentus,SA,PASSERIFORMES,Thraupidae,кармінка
10291,Lanio versicolor,SA,PASSERIFORMES,Thraupidae,танагра-сикіт білокрила
10292,Lanio fulvus,SA,PASSERIFORMES,Thraupidae,танагра-сикіт рудогуза
10293,Lanio aurantius,MA,PASSERIFORMES,Thraupidae,танагра-сикіт юкатанська
10294,Lanio leucothorax,MA,PASSERIFORMES,Thraupidae,танагра-сикіт білогорла
10295,Ramphocelus sanguinolentus,MA,PASSERIFORMES,Thraupidae,тапіранга білодзьоба
10296,Ramphocelus flammigerus,SA,PASSERIFORMES,Thraupidae,тапіранга вогнистогуза
10297,Ramphocelus icteronotus,"MA, SA",PASSERIFORMES,Thraupidae,тапіранга жовтогуза
10298,Ramphocelus passerinii,MA,PASSERIFORMES,Thraupidae,тапіранга червоногуза
10299,Ramphocelus bresilia,SA,PASSERIFORMES,Thraupidae,тапіранга бразильська
10300,Ramphocelus dimidiatus,"MA, SA",PASSERIFORMES,Thraupidae,тапіранга червона
10301,Ramphocelus nigrogularis,SA,PASSERIFORMES,Thraupidae,тапіранга маскова
10302,Ramphocelus melanogaster,SA,PASSERIFORMES,Thraupidae,тапіранга чорночерева
10303,Ramphocelus carbo,SA,PASSERIFORMES,Thraupidae,тапіранга пурпурова
10304,Sporophila bouvronides,SA,PASSERIFORMES,Thraupidae,зерноїд острівний
10305,Sporophila lineola,SA,PASSERIFORMES,Thraupidae,зерноїд біловусий
10306,Sporophila torqueola,MA,PASSERIFORMES,Thraupidae,зерноїд бурогузий
10307,Sporophila morelleti,"NA, MA",PASSERIFORMES,Thraupidae,зерноїд білошиїй
10308,Sporophila corvina,"MA, SA",PASSERIFORMES,Thraupidae,зерноїд вороний
10309,Sporophila intermedia,SA,PASSERIFORMES,Thraupidae,зерноїд золотодзьобий
10310,Sporophila americana,SA,PASSERIFORMES,Thraupidae,зерноїд плямистокрилий
10311,Sporophila fringilloides,SA,PASSERIFORMES,Thraupidae,насіннєїд білошиїй
10312,Sporophila luctuosa,SA,PASSERIFORMES,Thraupidae,зерноїд чорнорябий
10313,Sporophila caerulescens,SA,PASSERIFORMES,Thraupidae,зерноїд мальований
10314,Sporophila nigricollis,"MA, SA",PASSERIFORMES,Thraupidae,зерноїд чорнощокий
10315,Sporophila ardesiaca,SA,PASSERIFORMES,Thraupidae,зерноїд пампасовий
10316,Sporophila funerea,"MA, SA",PASSERIFORMES,Thraupidae,зерноїд північний
