,IOC,Breeding Range,Order,Family,Ukrainian
10044,Dives dives,MA,PASSERIFORMES,Icteridae,трупіал-чернець галасливий
10045,Quiscalus nicaraguensis,MA,PASSERIFORMES,Icteridae,гракл нікарагуанський
10046,Quiscalus lugubris,"NA, SA",PASSERIFORMES,Icteridae,гракл карибський
10047,Quiscalus mexicanus,"NA, MA, SA",PASSERIFORMES,Icteridae,гракл великохвостий
10048,Hypopyrrhus pyrohypogaster,SA,PASSERIFORMES,Icteridae,трупіал колумбійський
10049,Lampropsar tanagrinus,SA,PASSERIFORMES,Icteridae,трупіал танагровий
10050,Gymnomystax mexicanus,SA,PASSERIFORMES,Icteridae,потеліжник
10051,Macroagelaius subalaris,SA,PASSERIFORMES,Icteridae,еполетик колумбійський
10052,Macroagelaius imthurni,SA,PASSERIFORMES,Icteridae,еполетик тепуйський
10053,Curaeus curaeus,SA,PASSERIFORMES,Icteridae,щетинкопер великий
10054,Amblyramphus holosericeus,SA,PASSERIFORMES,Icteridae,трупіал червоноголовий
10055,Anumara forbesi,SA,PASSERIFORMES,Icteridae,щетинкопер малий
10056,Gnorimopsar chopi,SA,PASSERIFORMES,Icteridae,чопі
10057,Oreopsar bolivianus,SA,PASSERIFORMES,Icteridae,трупіал болівійський
10058,Agelaioides badius,SA,PASSERIFORMES,Icteridae,вашер рудокрилий
10059,Agelaioides fringillarius,SA,PASSERIFORMES,Icteridae,вашер блідий
10060,Agelasticus thilius,SA,PASSERIFORMES,Icteridae,варілеро золотоплечий
10061,Agelasticus xanthophthalmus,SA,PASSERIFORMES,Icteridae,варілеро жовтоокий
10062,Agelasticus cyanopus,SA,PASSERIFORMES,Icteridae,варілеро однобарвний
10063,Chrysomus ruficapillus,SA,PASSERIFORMES,Icteridae,каруг рудоголовий
10064,Chrysomus icterocephalus,SA,PASSERIFORMES,Icteridae,каруг жовтоголовий
10065,Xanthopsar flavus,SA,PASSERIFORMES,Icteridae,тордо шафрановий
10066,Pseudoleistes virescens,SA,PASSERIFORMES,Icteridae,мочарець бронзовий
10067,Pseudoleistes guirahuro,SA,PASSERIFORMES,Icteridae,мочарець жовтогузий
10068,Oreothlypis superciliosa,MA,PASSERIFORMES,Parulidae,пісняр мексиканський
10069,Oreothlypis gutturalis,MA,PASSERIFORMES,Parulidae,пісняр вогнистоволий
10070,Leiothlypis luciae,"NA, MA",PASSERIFORMES,Parulidae,червоїд рудогузий
10071,Geothlypis poliocephala,MA,PASSERIFORMES,Parulidae,жовтогорлик сіроголовий
10072,Geothlypis aequinoctialis,SA,PASSERIFORMES,Parulidae,жовтогорлик південний
10073,Geothlypis chiriquensis,MA,PASSERIFORMES,Parulidae,жовтогорлик панамський
10074,Geothlypis auricularis,SA,PASSERIFORMES,Parulidae,аранеро
10075,Geothlypis velata,SA,PASSERIFORMES,Parulidae,жовтогорлик східний
10076,Geothlypis semiflava,"MA, SA",PASSERIFORMES,Parulidae,жовтогорлик оливковоголовий
10077,Geothlypis speciosa,MA,PASSERIFORMES,Parulidae,жовтогорлик рудобокий
10078,Geothlypis beldingi,MA,PASSERIFORMES,Parulidae,жовтогорлик золотистий
10079,Geothlypis flavovelata,MA,PASSERIFORMES,Parulidae,жовтогорлик мексиканський
10080,Geothlypis trichas,"NA, MA",PASSERIFORMES,Parulidae,жовтогорлик північний
10081,Geothlypis nelsoni,MA,PASSERIFORMES,Parulidae,жовтогорлик кактусовий
10082,Setophaga pitiayumi,"MA, SA",PASSERIFORMES,Parulidae,пісняр тропічний
10083,Setophaga aestiva,"NA, MA",PASSERIFORMES,Parulidae,пісняр-лісовик східноканадський
10084,Setophaga petechia,"NA, MA, SA",PASSERIFORMES,Parulidae,пісняр-лісовик золотистий
10085,Setophaga auduboni,"NA, MA",PASSERIFORMES,Parulidae,пісняр-лісовик миртовий
10086,Setophaga goldmani,MA,PASSERIFORMES,Parulidae,пісняр-лісовик гватемальський
10087,Myiothlypis luteoviridis,SA,PASSERIFORMES,Parulidae,коронник оливковий
10088,Myiothlypis basilica,SA,PASSERIFORMES,Parulidae,коронник санта-мартійський
10089,Myiothlypis leucophrys,SA,PASSERIFORMES,Parulidae,коронник бразильський
10090,Myiothlypis flaveola,SA,PASSERIFORMES,Parulidae,коронник жовтий
10091,Myiothlypis leucoblephara,SA,PASSERIFORMES,Parulidae,коронник сивоголовий
10092,Myiothlypis signata,SA,PASSERIFORMES,Parulidae,коронник світлоногий
10093,Myiothlypis nigrocristata,SA,PASSERIFORMES,Parulidae,коронник чорноголовий
10094,Myiothlypis fulvicauda,"MA, SA",PASSERIFORMES,Parulidae,коронник блідий
10095,Myiothlypis rivularis,SA,PASSERIFORMES,Parulidae,коронник річковий
10096,Myiothlypis bivittata,SA,PASSERIFORMES,Parulidae,коронник цитриновий
10097,Myiothlypis roraimae,SA,PASSERIFORMES,Parulidae,коронник рораїманський
10098,Myiothlypis chrysogaster,SA,PASSERIFORMES,Parulidae,коронник золоточеревий
10099,Myiothlypis chlorophrys,SA,PASSERIFORMES,Parulidae,коронник чокоанський
10100,Myiothlypis conspicillata,SA,PASSERIFORMES,Parulidae,коронник колумбійський
10101,Myiothlypis cinereicollis,SA,PASSERIFORMES,Parulidae,коронник сірогорлий
10102,Myiothlypis fraseri,SA,PASSERIFORMES,Parulidae,коронник сизий
10103,Myiothlypis coronata,SA,PASSERIFORMES,Parulidae,коронник сірощокий
10104,Myiothlypis griseiceps,SA,PASSERIFORMES,Parulidae,коронник венесуельський
10105,Basileuterus lachrymosus,MA,PASSERIFORMES,Parulidae,пісняр-віялохвіст
10106,Basileuterus rufifrons,MA,PASSERIFORMES,Parulidae,коронник рудоголовий
10107,Basileuterus delattrii,"MA, SA",PASSERIFORMES,Parulidae,коронник широкобровий
10108,Basileuterus melanogenys,MA,PASSERIFORMES,Parulidae,коронник чорнощокий
10109,Basileuterus ignotus,"MA, SA",PASSERIFORMES,Parulidae,коронник панамський
10110,Basileuterus belli,MA,PASSERIFORMES,Parulidae,коронник золотобровий
10111,Basileuterus culicivorus,"MA, SA",PASSERIFORMES,Parulidae,коронник малий
10112,Basileuterus melanotis,MA,PASSERIFORMES,Parulidae,коронник коста-риканський
10113,Basileuterus tacarcunae,"MA, SA",PASSERIFORMES,Parulidae,коронник такаркунський
10114,Basileuterus trifasciatus,SA,PASSERIFORMES,Parulidae,коронник трисмугий
10115,Basileuterus punctipectus,SA,PASSERIFORMES,Parulidae,коронник юнгаський
10116,Basileuterus tristriatus,SA,PASSERIFORMES,Parulidae,коронник смугастоголовий
10117,Cardellina rubrifrons,"NA, MA",PASSERIFORMES,Parulidae,пісняр червонолобий
10118,Cardellina rubra,MA,PASSERIFORMES,Parulidae,червоній білощокий
10119,Cardellina versicolor,MA,PASSERIFORMES,Parulidae,червоній рожевоголовий
10120,Myioborus pictus,"NA, MA",PASSERIFORMES,Parulidae,чернітка білокрила
10121,Myioborus miniatus,"MA, SA",PASSERIFORMES,Parulidae,чернітка чорногорла
10122,Myioborus brunniceps,SA,PASSERIFORMES,Parulidae,чернітка рудоголова
10123,Myioborus flavivertex,SA,PASSERIFORMES,Parulidae,чернітка колумбійська
10124,Myioborus albifrons,SA,PASSERIFORMES,Parulidae,чернітка білолоба
10125,Myioborus ornatus,SA,PASSERIFORMES,Parulidae,чернітка золотолоба
10126,Myioborus melanocephalus,SA,PASSERIFORMES,Parulidae,чернітка перуанська
10127,Myioborus torquatus,MA,PASSERIFORMES,Parulidae,чернітка коста-риканська
10128,Myioborus pariae,SA,PASSERIFORMES,Parulidae,чернітка парійська
10129,Myioborus albifacies,SA,PASSERIFORMES,Parulidae,чернітка білощока
10130,Myioborus cardonai,SA,PASSERIFORMES,Parulidae,чернітка шафранова
10131,Myioborus castaneocapilla,SA,PASSERIFORMES,Parulidae,чернітка тепуйська
10132,Mitrospingus cassinii,"MA, SA",PASSERIFORMES,Mitrospingidae,фрутеро темнощокий
10133,Mitrospingus oleagineus,SA,PASSERIFORMES,Mitrospingidae,фрутеро оливковий
10134,Orthogonys chloricterus,SA,PASSERIFORMES,Mitrospingidae,танагра зелена
10135,Lamprospiza melanoleuca,SA,PASSERIFORMES,Mitrospingidae,танагра червонодзьоба
10136,Piranga bidentata,MA,PASSERIFORMES,Cardinalidae,піранга вогниста
10137,Piranga lutea,"MA, SA",PASSERIFORMES,Cardinalidae,піранга тропічна
10138,Piranga flava,SA,PASSERIFORMES,Cardinalidae,піранга червона
10139,Piranga hepatica,"NA, MA",PASSERIFORMES,Cardinalidae,піранга сонцепера
10140,Piranga rubra,"NA, MA",PASSERIFORMES,Cardinalidae,піранга пломениста
10141,Piranga roseogularis,MA,PASSERIFORMES,Cardinalidae,піранга рожевогорла
10142,Piranga leucoptera,"MA, SA",PASSERIFORMES,Cardinalidae,піранга білокрила
10143,Piranga erythrocephala,MA,PASSERIFORMES,Cardinalidae,піранга червоноголова
10144,Piranga rubriceps,SA,PASSERIFORMES,Cardinalidae,піранга жовточерева
10145,Habia rubica,"MA, SA",PASSERIFORMES,Cardinalidae,габія кармінова
10146,Habia fuscicauda,"MA, SA",PASSERIFORMES,Cardinalidae,габія червоногорла
10147,Habia atrimaxillaris,MA,PASSERIFORMES,Cardinalidae,габія коста-риканська
10148,Habia gutturalis,SA,PASSERIFORMES,Cardinalidae,габія колумбійська
10149,Habia cristata,SA,PASSERIFORMES,Cardinalidae,габія довгочуба
10150,Chlorothraupis carmioli,"MA, SA",PASSERIFORMES,Cardinalidae,ґваяберо оливковий
10151,Chlorothraupis frenata,SA,PASSERIFORMES,Cardinalidae,ґваяберо малий
10152,Chlorothraupis olivacea,"MA, SA",PASSERIFORMES,Cardinalidae,ґваяберо колумбійський
10153,Chlorothraupis stolzmanni,SA,PASSERIFORMES,Cardinalidae,ґваяберо вохристоволий
10154,Pheucticus chrysopeplus,MA,PASSERIFORMES,Cardinalidae,кардинал-довбоніс жовтий
10155,Pheucticus tibialis,MA,PASSERIFORMES,Cardinalidae,кардинал-довбоніс коста-риканський
10156,Pheucticus chrysogaster,SA,PASSERIFORMES,Cardinalidae,кардинал-довбоніс жовточеревий
10157,Pheucticus aureoventris,SA,PASSERIFORMES,Cardinalidae,кардинал-довбоніс золоточеревий
10158,Granatellus venustus,MA,PASSERIFORMES,Cardinalidae,гранатела велика
10159,Granatellus sallaei,MA,PASSERIFORMES,Cardinalidae,гранатела сірогорла
10160,Granatellus pelzelni,SA,PASSERIFORMES,Cardinalidae,гранатела мала
10161,Cardinalis cardinalis,"NA, MA",PASSERIFORMES,Cardinalidae,кардинал червоний
10162,Cardinalis phoeniceus,SA,PASSERIFORMES,Cardinalidae,кардинал південний
10163,Cardinalis sinuatus,"NA, MA",PASSERIFORMES,Cardinalidae,кардинал червоногорлий
10164,Caryothraustes poliogaster,MA,PASSERIFORMES,Cardinalidae,кардинал сірочеревий
10165,Caryothraustes canadensis,SA,PASSERIFORMES,Cardinalidae,кардинал жовточеревий
10166,Periporphyrus celaeno,MA,PASSERIFORMES,Cardinalidae,кардинал мексиканський
10167,Periporphyrus erythromelas,SA,PASSERIFORMES,Cardinalidae,кардинал червоно-чорний
10168,Amaurospiza concolor,MA,PASSERIFORMES,Cardinalidae,семілеро синій
10169,Amaurospiza aequatorialis,SA,PASSERIFORMES,Cardinalidae,семілеро еквадорський
10170,Amaurospiza moesta,SA,PASSERIFORMES,Cardinalidae,семілеро бразильський
10171,Amaurospiza carrizalensis,SA,PASSERIFORMES,Cardinalidae,семілеро венесуельський
10172,Spiza americana,"NA, MA, SA",PASSERIFORMES,Cardinalidae,лускун
10173,Cyanoloxia glaucocaerulea,SA,PASSERIFORMES,Cardinalidae,лускар синій
10174,Cyanoloxia cyanoides,"MA, SA",PASSERIFORMES,Cardinalidae,лускар сизий
10175,Cyanoloxia rothschildii,SA,PASSERIFORMES,Cardinalidae,лускар бірюзовий
10176,Cyanoloxia brissonii,SA,PASSERIFORMES,Cardinalidae,лускар ультрамариновий
10177,Cyanocompsa parellina,MA,PASSERIFORMES,Cardinalidae,лускар сапфіровий
10178,Passerina caerulea,"NA, MA",PASSERIFORMES,Cardinalidae,скригнатка синя
10179,Passerina amoena,"NA, MA",PASSERIFORMES,Cardinalidae,скригнатка лазурова
10180,Passerina versicolor,"NA, MA",PASSERIFORMES,Cardinalidae,скригнатка пурпурова
10181,Passerina ciris,"NA, MA",PASSERIFORMES,Cardinalidae,скригнатка райдужна
10182,Passerina rositae,MA,PASSERIFORMES,Cardinalidae,скригнатка рожевочерева
10183,Passerina leclancherii,MA,PASSERIFORMES,Cardinalidae,скригнатка жовтогруда
10184,Catamblyrhynchus diadema,SA,PASSERIFORMES,Thraupidae,плюшівник золотолобий
10185,Charitospiza eucosma,SA,PASSERIFORMES,Thraupidae,чорночубик
10186,Orchesticus abeillei,SA,PASSERIFORMES,Thraupidae,тангар бурий
10187,Parkerthraustes humeralis,SA,PASSERIFORMES,Thraupidae,амазонник
10188,Nemosia pileata,SA,PASSERIFORMES,Thraupidae,танагрець масковий
