,IOC,Breeding Range,Order,Family,Slovak
239,Ortalis guttata,SA,GALLIFORMES,Cracidae,čačalaka perlavá
240,Ortalis araucuan,SA,GALLIFORMES,Cracidae,čačalaka retoko
241,Ortalis squamata,SA,GALLIFORMES,Cracidae,čačalaka šupinatá
242,Ortalis columbiana,SA,GALLIFORMES,Cracidae,čačalaka kolumbijská
243,Ortalis motmot,SA,GALLIFORMES,Cracidae,čačalaka paraka
244,Ortalis ruficeps,SA,GALLIFORMES,Cracidae,čačalaka hrdzavohlavá
245,Ortalis superciliaris,SA,GALLIFORMES,Cracidae,čačalaka obočnatá
246,Penelope argyrotis,SA,GALLIFORMES,Cracidae,šuan pásochvostý
247,Penelope barbata,SA,GALLIFORMES,Cracidae,šuan bradatý
248,Penelope ortoni,SA,GALLIFORMES,Cracidae,šuan hnedý
249,Penelope montagnii,SA,GALLIFORMES,Cracidae,šuan Montagnov
250,Penelope marail,SA,GALLIFORMES,Cracidae,šuan marail
251,Penelope superciliaris,SA,GALLIFORMES,Cracidae,šuan krikľavý
252,Penelope dabbenei,SA,GALLIFORMES,Cracidae,šuan červenolíci
253,Penelope purpurascens,"MA, SA",GALLIFORMES,Cracidae,šuan chochlatý
254,Penelope perspicax,SA,GALLIFORMES,Cracidae,šuan gaštanový
255,Penelope albipennis,SA,GALLIFORMES,Cracidae,šuan bielokrídly
256,Penelope jacquacu,SA,GALLIFORMES,Cracidae,šuan jakuaku
257,Penelope obscura,SA,GALLIFORMES,Cracidae,šuan tmavý
258,Penelope bridgesi,SA,GALLIFORMES,Cracidae,šuan tmavonohý
259,Penelope pileata,SA,GALLIFORMES,Cracidae,šuan hrdzavoprsý
260,Penelope ochrogaster,SA,GALLIFORMES,Cracidae,šuan mokrinový
261,Penelope jacucaca,SA,GALLIFORMES,Cracidae,šuan čelenkový
262,Pipile pipile,SA,GALLIFORMES,Cracidae,morkovec hvízdavý
263,Pipile cumanensis,SA,GALLIFORMES,Cracidae,morkovec modrohrdlý
264,Pipile grayi,SA,GALLIFORMES,Cracidae,morkovec bledotylový
265,Pipile cujubi,SA,GALLIFORMES,Cracidae,morkovec červenohrdlý
266,Pipile jacutinga,SA,GALLIFORMES,Cracidae,morkovec čiernočelý
267,Aburria aburri,SA,GALLIFORMES,Cracidae,morkovec lalôčkový
268,Chamaepetes unicolor,MA,GALLIFORMES,Cracidae,morkovec čierny
269,Chamaepetes goudotii,SA,GALLIFORMES,Cracidae,morkovec maskový
270,Penelopina nigra,MA,GALLIFORMES,Cracidae,morkovec horský
271,Oreophasis derbianus,MA,GALLIFORMES,Cracidae,roháň horský
272,Nothocrax urumutum,SA,GALLIFORMES,Cracidae,hoko malý
273,Mitu tomentosum,SA,GALLIFORMES,Cracidae,hoko hnedobruchý
274,Mitu salvini,SA,GALLIFORMES,Cracidae,hoko džungľový
275,Mitu tuberosum,SA,GALLIFORMES,Cracidae,hoko oblozobý
276,Mitu mitu,SA,GALLIFORMES,Cracidae,hoko mitu
277,Pauxi pauxi,SA,GALLIFORMES,Cracidae,hoko prilbatý
278,Pauxi unicornis,SA,GALLIFORMES,Cracidae,hoko rohatý
279,Pauxi koepckeae,SA,GALLIFORMES,Cracidae,hoko peruánsky
280,Crax rubra,"MA, SA",GALLIFORMES,Cracidae,hoko hrbozobý
281,Crax alberti,SA,GALLIFORMES,Cracidae,hoko modrozobý
282,Crax daubentoni,SA,GALLIFORMES,Cracidae,hoko žltozobý
283,Crax alector,SA,GALLIFORMES,Cracidae,hoko čierny
284,Crax globulosa,SA,GALLIFORMES,Cracidae,hoko korunkatý
285,Crax fasciolata,SA,GALLIFORMES,Cracidae,hoko kučeravý
286,Crax blumenbachii,SA,GALLIFORMES,Cracidae,hoko červenozobý
287,Agelastes meleagrides,AF,GALLIFORMES,Numididae,perlička červenohlavá
288,Agelastes niger,AF,GALLIFORMES,Numididae,perlička čierna
289,Numida meleagris,AF,GALLIFORMES,Numididae,perlička prilbatá
290,Guttera plumifera,AF,GALLIFORMES,Numididae,perlička chochlatá
291,Guttera verreauxi,AF,GALLIFORMES,Numididae,perlička červenohrdlá
292,Guttera pucherani,AF,GALLIFORMES,Numididae,perlička kropenatá
293,Guttera edouardi,AF,GALLIFORMES,Numididae,perlička parochňová
