,IOC,Breeding Range,Order,Family,Slovak
7805,Zosterops atricapilla,OR,PASSERIFORMES,Zosteropidae,okánik vrchovský
7806,Zosterops abyssinicus,AF,PASSERIFORMES,Zosteropidae,okánik žltoboký
7807,Zosterops flavilateralis,AF,PASSERIFORMES,Zosteropidae,okánik savanový
7808,Zosterops mbuluensis,AF,PASSERIFORMES,Zosteropidae,okánik monoklový
7809,Zosterops erythropleurus,PAL,PASSERIFORMES,Zosteropidae,okánik hrdzavoboký
7810,Zosterops simplex,OR,PASSERIFORMES,Zosteropidae,okánik zlatočelý
7811,Zosterops emiliae,OR,PASSERIFORMES,Zosteropidae,okánik čiernooký
7812,Zosterops japonicus,"PAL, OR, AU",PASSERIFORMES,Zosteropidae,okánik japonský
7813,Zosterops palpebrosus,OR,PASSERIFORMES,Zosteropidae,okánik riasnatý
7814,Zosterops meyeni,OR,PASSERIFORMES,Zosteropidae,okánik nížinný
7815,Zosterops mouroniensis,AF,PASSERIFORMES,Zosteropidae,okánik vresový
7816,Zosterops olivaceus,IO,PASSERIFORMES,Zosteropidae,okánik olivový
7817,Zosterops chloronothos,IO,PASSERIFORMES,Zosteropidae,okánik krivozobý
7818,Zosterops borbonicus,IO,PASSERIFORMES,Zosteropidae,okánik réunionský
7819,Zosterops mauritianus,IO,PASSERIFORMES,Zosteropidae,okánik maurícijský
7820,Zosterops melanocephalus,AF,PASSERIFORMES,Zosteropidae,okánik čiernohlavý
7821,Zosterops stenocricotus,AF,PASSERIFORMES,Zosteropidae,okánik kamerunský
7822,Zosterops stuhlmanni,AF,PASSERIFORMES,Zosteropidae,okánik Stuhlmannov
7823,Zosterops eurycricotus,AF,PASSERIFORMES,Zosteropidae,okánik kilimandžársky
7824,Zosterops brunneus,AF,PASSERIFORMES,Zosteropidae,okánik hnedý
7825,Zosterops poliogastrus,AF,PASSERIFORMES,Zosteropidae,okánik ozdobný
7826,Zosterops kikuyuensis,AF,PASSERIFORMES,Zosteropidae,okánik kenský
7827,Zosterops socotranus,AF,PASSERIFORMES,Zosteropidae,okánik sokotranský
7828,Zosterops ficedulinus,AF,PASSERIFORMES,Zosteropidae,okánik zálivový
7829,Zosterops griseovirescens,AF,PASSERIFORMES,Zosteropidae,okánik annobónsky
7830,Zosterops feae,AF,PASSERIFORMES,Zosteropidae,okánik svätotomášsky
7831,Zosterops lugubris,AF,PASSERIFORMES,Zosteropidae,okánik smútočný
7832,Zosterops leucophaeus,AF,PASSERIFORMES,Zosteropidae,okánik strieborný
7833,Zosterops silvanus,AF,PASSERIFORMES,Zosteropidae,okánik žltobradý
7834,Zosterops senegalensis,AF,PASSERIFORMES,Zosteropidae,okánik kanáričí
7835,Zosterops pallidus,AF,PASSERIFORMES,Zosteropidae,okánik bledý
7836,Zosterops winifredae,AF,PASSERIFORMES,Zosteropidae,okánik tanzánijský
7837,Zosterops virens,AF,PASSERIFORMES,Zosteropidae,okánik kapský
7838,Zosterops anderssoni,AF,PASSERIFORMES,Zosteropidae,okánik Anderssonov
7839,Zosterops vaughani,IO,PASSERIFORMES,Zosteropidae,okánik pembský
7840,Zosterops modestus,IO,PASSERIFORMES,Zosteropidae,okánik seychelský
7841,Zosterops anjuanensis,AF,PASSERIFORMES,Zosteropidae,okánik anjouanský
7842,Zosterops aldabrensis,IO,PASSERIFORMES,Zosteropidae,okánik aldabranský
7843,Zosterops kirki,AF,PASSERIFORMES,Zosteropidae,okánik Kirkov
7844,Zosterops comorensis,AF,PASSERIFORMES,Zosteropidae,okánik mohélijský
7845,Zosterops mayottensis,AF,PASSERIFORMES,Zosteropidae,okánik hnedoboký
7846,Zosterops maderaspatanus,AF,PASSERIFORMES,Zosteropidae,okánik madagaskarský
7847,Zosterops meratusensis,OR,PASSERIFORMES,Zosteropidae,okánik meratuský
7848,Zosterops chloris,AU,PASSERIFORMES,Zosteropidae,okánik citrónový
7849,Zosterops flavissimus,AU,PASSERIFORMES,Zosteropidae,okánik sýtožltý
7850,Zosterops atrifrons,AU,PASSERIFORMES,Zosteropidae,okánik čiernočelý
7851,Zosterops nehrkorni,AU,PASSERIFORMES,Zosteropidae,okánik hnedonohý
7852,Zosterops consobrinorum,AU,PASSERIFORMES,Zosteropidae,okánik bledobruchý
7853,Zosterops somadikartai,AU,PASSERIFORMES,Zosteropidae,okánik togiansky
7854,Zosterops anomalus,AU,PASSERIFORMES,Zosteropidae,okánik okuliarnatý
7855,Zosterops minor,AU,PASSERIFORMES,Zosteropidae,okánik žltohrdlý
7856,Zosterops chrysolaemus,AU,PASSERIFORMES,Zosteropidae,okánik tmavočelý
7857,Zosterops meeki,AU,PASSERIFORMES,Zosteropidae,okánik bielohrdlý
7858,Zosterops dehaani,OR,PASSERIFORMES,Zosteropidae,okánik morotajský
7859,Zosterops atriceps,AU,PASSERIFORMES,Zosteropidae,okánik molucký
7860,Zosterops buruensis,AU,PASSERIFORMES,Zosteropidae,okánik šafranový
7861,Zosterops stalkeri,AU,PASSERIFORMES,Zosteropidae,okánik seramský
7862,Zosterops flavus,OR,PASSERIFORMES,Zosteropidae,okánik žltý
7863,Zosterops citrinella,AU,PASSERIFORMES,Zosteropidae,okánik svetlý
7864,Zosterops luteus,AU,PASSERIFORMES,Zosteropidae,okánik mangrovový
7865,Zosterops lateralis,"AU, PO",PASSERIFORMES,Zosteropidae,okánik pláštikový
7866,Zosterops auriventer,OR,PASSERIFORMES,Zosteropidae,okánik malajský
7867,Zosterops melanurus,OR,PASSERIFORMES,Zosteropidae,okánik sundský
7868,Zosterops everetti,OR,PASSERIFORMES,Zosteropidae,okánik sivoboký
7869,Zosterops vellalavella,AU,PASSERIFORMES,Zosteropidae,okánik kolohrivý
7870,Zosterops sanctaecrucis,AU,PASSERIFORMES,Zosteropidae,okánik tmavooký
7871,Zosterops fuscicapilla,AU,PASSERIFORMES,Zosteropidae,okánik tmavohlavý
7872,Zosterops crookshanki,AU,PASSERIFORMES,Zosteropidae,okánik goodenoughský
7873,Zosterops flavifrons,AU,PASSERIFORMES,Zosteropidae,okánik žltočelý
7874,Zosterops superciliosus,AU,PASSERIFORMES,Zosteropidae,okánik škraboškový
7875,Zosterops lacertosus,AU,PASSERIFORMES,Zosteropidae,okánik plavý
7876,Zosterops gibbsi,AU,PASSERIFORMES,Zosteropidae,okánik vanikorský
7877,Zosterops explorator,PO,PASSERIFORMES,Zosteropidae,okánik krátkochvostý
7878,Zosterops hypoxanthus,AU,PASSERIFORMES,Zosteropidae,okánik melanézsky
7879,Zosterops mysorensis,AU,PASSERIFORMES,Zosteropidae,okánik sivobruchý
7880,Zosterops hamlini,AU,PASSERIFORMES,Zosteropidae,okánik sivoprsý
7881,Zosterops oblitus,AU,PASSERIFORMES,Zosteropidae,okánik guadalcanalský
7882,Zosterops rendovae,AU,PASSERIFORMES,Zosteropidae,okánik šalamúnsky
7883,Zosterops oleagineus,PO,PASSERIFORMES,Zosteropidae,okánik yapský
7884,Zosterops finschii,PO,PASSERIFORMES,Zosteropidae,okánik tmavý
7885,Zosterops ponapensis,PO,PASSERIFORMES,Zosteropidae,okánik pohnpeijský
7886,Zosterops cinereus,PO,PASSERIFORMES,Zosteropidae,okánik sivý
7887,Zosterops rotensis,PO,PASSERIFORMES,Zosteropidae,okánik jantárový
7888,Zosterops metcalfii,AU,PASSERIFORMES,Zosteropidae,okánik zlatohrdlý
7889,Zosterops stresemanni,AU,PASSERIFORMES,Zosteropidae,okánik spevavý
7890,Zosterops novaeguineae,AU,PASSERIFORMES,Zosteropidae,okánik novoguinejský
7891,Zosterops kuehni,AU,PASSERIFORMES,Zosteropidae,okánik ambonský
7892,Zosterops grayi,AU,PASSERIFORMES,Zosteropidae,okánik perlavý
7893,Zosterops luteirostris,AU,PASSERIFORMES,Zosteropidae,okánik zlatý
7894,Zosterops uropygialis,AU,PASSERIFORMES,Zosteropidae,okánik zlatobruchý
7895,Zosterops splendidus,AU,PASSERIFORMES,Zosteropidae,okánik čiernozobý
7896,Zosterops kulambangrae,AU,PASSERIFORMES,Zosteropidae,okánik olivkastý
7897,Zosterops tetiparius,AU,PASSERIFORMES,Zosteropidae,okánik olivovochrbtý
7898,Zosterops natalis,IO,PASSERIFORMES,Zosteropidae,okánik červenkavý
7899,Zosterops conspicillatus,PO,PASSERIFORMES,Zosteropidae,okánik uzdičkový
7900,Zosterops semperi,PO,PASSERIFORMES,Zosteropidae,okánik zeleno-žltý
7901,Zosterops hypolais,PO,PASSERIFORMES,Zosteropidae,okánik bielooký
7902,Zosterops paruhbesar,AU,PASSERIFORMES,Zosteropidae,okánik žltozobý
7903,Zosterops griseotinctus,AU,PASSERIFORMES,Zosteropidae,okánik ostrovný
7904,Zosterops murphyi,AU,PASSERIFORMES,Zosteropidae,okánik pustovnícky
7905,Zosterops inornatus,AU,PASSERIFORMES,Zosteropidae,okánik hvízdavý
7906,Zosterops samoensis,PO,PASSERIFORMES,Zosteropidae,okánik samojský
7907,Zosterops tenuirostris,AU,PASSERIFORMES,Zosteropidae,okánik tenkozobý
7908,Zosterops minutus,AU,PASSERIFORMES,Zosteropidae,okánik malý
7909,Zosterops xanthochroa,AU,PASSERIFORMES,Zosteropidae,okánik zelenochrbtý
7910,Zosterops rennellianus,AU,PASSERIFORMES,Zosteropidae,okánik rennellský
7911,Timalia pileata,OR,PASSERIFORMES,Timaliidae,timália hnedohlavá
7912,Dumetia hyperythra,OR,PASSERIFORMES,Timaliidae,timália hrdzavá
7913,Dumetia atriceps,OR,PASSERIFORMES,Timaliidae,timália tmavočelá
7914,Mixornis kelleyi,OR,PASSERIFORMES,Timaliidae,timália hnedochrbtá
7915,Mixornis flavicollis,OR,PASSERIFORMES,Timaliidae,timália sivosluchá
7916,Mixornis prillwitzi,OR,PASSERIFORMES,Timaliidae,timália kangeanská
7917,Mixornis gularis,OR,PASSERIFORMES,Timaliidae,timália žltobruchá
7918,Mixornis bornensis,OR,PASSERIFORMES,Timaliidae,timália sundská
7919,Macronus ptilosus,OR,PASSERIFORMES,Timaliidae,timália štetinatá
7920,Macronus striaticeps,OR,PASSERIFORMES,Timaliidae,timália hnedá
7921,Cyanoderma chrysaeum,OR,PASSERIFORMES,Timaliidae,timália zlatá
7922,Cyanoderma erythropterum,OR,PASSERIFORMES,Timaliidae,timália modrooká
7923,Cyanoderma bicolor,OR,PASSERIFORMES,Timaliidae,timália dvojfarebná
7924,Cyanoderma melanothorax,OR,PASSERIFORMES,Timaliidae,timália ozdobná
7925,Cyanoderma rufifrons,OR,PASSERIFORMES,Timaliidae,timália hrdzavočelá
7926,Cyanoderma pyrrhops,OR,PASSERIFORMES,Timaliidae,timália čiernobradá
7927,Cyanoderma ruficeps,OR,PASSERIFORMES,Timaliidae,timália červenohlavá
7928,Cyanoderma ambiguum,OR,PASSERIFORMES,Timaliidae,timália plavoprsá
7929,Spelaeornis caudatus,OR,PASSERIFORMES,Timaliidae,timália hrdzavohrdlá
7930,Spelaeornis badeigularis,OR,PASSERIFORMES,Timaliidae,timália bielobradá
7931,Spelaeornis troglodytoides,OR,PASSERIFORMES,Timaliidae,timália jarabokrídla
7932,Spelaeornis kinneari,OR,PASSERIFORMES,Timaliidae,timália bledohrdlá
7933,Spelaeornis chocolatinus,OR,PASSERIFORMES,Timaliidae,timália hnedokrídla
7934,Spelaeornis oatesi,OR,PASSERIFORMES,Timaliidae,timália krôpkavá
7935,Spelaeornis longicaudatus,OR,PASSERIFORMES,Timaliidae,timália dlhochvostá
7936,Spelaeornis reptatus,OR,PASSERIFORMES,Timaliidae,timália sivobruchá
7937,Melanocichla lugubris,OR,PASSERIFORMES,Timaliidae,timália čierna
7938,Melanocichla calva,OR,PASSERIFORMES,Timaliidae,timália plešatá
7939,Pomatorhinus ferruginosus,OR,PASSERIFORMES,Timaliidae,šabľozob škraboškový
7940,Pomatorhinus phayrei,OR,PASSERIFORMES,Timaliidae,šabľozob lesný
7941,Pomatorhinus ochraceiceps,OR,PASSERIFORMES,Timaliidae,šabľozob červenozobý
7942,Pomatorhinus superciliaris,OR,PASSERIFORMES,Timaliidae,šabľozob tenkozobý
7943,Pomatorhinus ruficollis,OR,PASSERIFORMES,Timaliidae,šabľozob bielohrdlý
7944,Pomatorhinus musicus,OR,PASSERIFORMES,Timaliidae,šabľozob taiwanský
7945,Pomatorhinus schisticeps,OR,PASSERIFORMES,Timaliidae,šabľozob obočnatý
7946,Pomatorhinus horsfieldii,OR,PASSERIFORMES,Timaliidae,šabľozob žltozobý
7947,Pomatorhinus melanurus,OR,PASSERIFORMES,Timaliidae,šabľozob cejlónsky
7948,Pomatorhinus bornensis,OR,PASSERIFORMES,Timaliidae,šabľozob gaštanovochrbtý
7949,Pomatorhinus montanus,OR,PASSERIFORMES,Timaliidae,šabľozob gaštanový
7950,Erythrogenys hypoleucos,OR,PASSERIFORMES,Timaliidae,šabľozob dlhozobý
7951,Erythrogenys erythrogenys,OR,PASSERIFORMES,Timaliidae,šabľozob červenolíci
7952,Erythrogenys mcclellandi,OR,PASSERIFORMES,Timaliidae,šabľozob hnedoboký
7953,Erythrogenys gravivox,OR,PASSERIFORMES,Timaliidae,šabľozob pásikavý
7954,Erythrogenys swinhoei,OR,PASSERIFORMES,Timaliidae,šabľozob sivoboký
7955,Erythrogenys erythrocnemis,OR,PASSERIFORMES,Timaliidae,šabľozob škvrnitoprsý
7956,Stachyris nigricollis,OR,PASSERIFORMES,Timaliidae,timália čiernohrdlá
7957,Stachyris grammiceps,OR,PASSERIFORMES,Timaliidae,timália sivolíca
7958,Stachyris maculata,OR,PASSERIFORMES,Timaliidae,timália škvrnitá
7959,Stachyris nigriceps,OR,PASSERIFORMES,Timaliidae,timália horská
7960,Stachyris poliocephala,OR,PASSERIFORMES,Timaliidae,timália sivohlavá
7961,Stachyris nonggangensis,OR,PASSERIFORMES,Timaliidae,timália krasová
7962,Stachyris herberti,OR,PASSERIFORMES,Timaliidae,timália sadzová
7963,Stachyris humei,OR,PASSERIFORMES,Timaliidae,timália klinozobá
7964,Stachyris roberti,OR,PASSERIFORMES,Timaliidae,timália šupinkatá
7965,Stachyris leucotis,OR,PASSERIFORMES,Timaliidae,timália perlovaná
7966,Stachyris thoracica,OR,PASSERIFORMES,Timaliidae,timália bieloprsá
7967,Stachyris oglei,OR,PASSERIFORMES,Timaliidae,timália masková
7968,Stachyris strialata,OR,PASSERIFORMES,Timaliidae,timália čiernofúza
7969,Graminicola bengalensis,OR,PASSERIFORMES,Pellorneidae,stebliar hrdzavý
7970,Graminicola striatus,OR,PASSERIFORMES,Pellorneidae,stebliar močiarny
7971,Turdinus macrodactylus,OR,PASSERIFORMES,Pellorneidae,dudroš rimba
7972,Turdinus marmoratus,OR,PASSERIFORMES,Pellorneidae,dudroš mramorovaný
7973,Turdinus atrigularis,OR,PASSERIFORMES,Pellorneidae,dudroš čiernohrdlý
7974,Malacopteron affine,OR,PASSERIFORMES,Pellorneidae,dudroš lužný
7975,Malacopteron albogulare,OR,PASSERIFORMES,Pellorneidae,dudroš sivoprsý
7976,Malacopteron cinereum,OR,PASSERIFORMES,Pellorneidae,dudroš čepcový
7977,Malacopteron magnum,OR,PASSERIFORMES,Pellorneidae,dudroš korunkatý
7978,Malacopteron magnirostre,OR,PASSERIFORMES,Pellorneidae,dudroš fúzatý
7979,Malacopteron palawanense,OR,PASSERIFORMES,Pellorneidae,dudroš spevavý
7980,Gampsorhynchus rufulus,OR,PASSERIFORMES,Pellorneidae,belavica kapucňová
7981,Gampsorhynchus torquatus,OR,PASSERIFORMES,Pellorneidae,belavica golierikatá
7982,Schoeniparus cinereus,OR,PASSERIFORMES,Pellorneidae,pásikár žltohrdlý
7983,Schoeniparus castaneceps,OR,PASSERIFORMES,Pellorneidae,pásikár čiapočkatý
7984,Schoeniparus klossi,OR,PASSERIFORMES,Pellorneidae,pásikár pôvabný
7985,Schoeniparus variegaticeps,OR,PASSERIFORMES,Pellorneidae,pásikár zlatočelý
7986,Schoeniparus rufogularis,OR,PASSERIFORMES,Pellorneidae,pásikár obojkový
7987,Schoeniparus dubius,OR,PASSERIFORMES,Pellorneidae,pásikár tmavosluchý
7988,Schoeniparus brunneus,OR,PASSERIFORMES,Pellorneidae,pásikár bambusový
7989,Pellorneum ruficeps,OR,PASSERIFORMES,Pellorneidae,dudroš zemný
7990,Pellorneum fuscocapillus,OR,PASSERIFORMES,Pellorneidae,dudroš hnedohlavý
7991,Pellorneum palustre,OR,PASSERIFORMES,Pellorneidae,dudroš močiarny
7992,Pellorneum nigrocapitatum,OR,PASSERIFORMES,Pellorneidae,dudroš čiernohlavý
7993,Pellorneum capistratum,OR,PASSERIFORMES,Pellorneidae,dudroš tmavohlavý
7994,Pellorneum capistratoides,OR,PASSERIFORMES,Pellorneidae,dudroš tmavosluchý
7995,Pellorneum malaccense,OR,PASSERIFORMES,Pellorneidae,dudroš krátkochvostý
7996,Pellorneum cinereiceps,OR,PASSERIFORMES,Pellorneidae,dudroš sivohlavý
7997,Pellorneum albiventre,OR,PASSERIFORMES,Pellorneidae,dudroš škvrnitohrdlý
7998,Pellorneum tickelli,OR,PASSERIFORMES,Pellorneidae,dudroš plavý
7999,Pellorneum buettikoferi,OR,PASSERIFORMES,Pellorneidae,dudroš džungľový
8000,Pellorneum pyrrogenys,OR,PASSERIFORMES,Pellorneidae,dudroš hrdzavoboký
8001,Pellorneum rostratum,OR,PASSERIFORMES,Pellorneidae,dudroš bieloprsý
8002,Pellorneum bicolor,OR,PASSERIFORMES,Pellorneidae,dudroš hrdzavý
8003,Pellorneum celebense,AU,PASSERIFORMES,Pellorneidae,dudroš bielohrdlý
8004,Laticilla burnesii,OR,PASSERIFORMES,Pellorneidae,riečarka dlhochvostá
8005,Laticilla cinerascens,OR,PASSERIFORMES,Pellorneidae,riečarka mokraďová
8006,Illadopsis fulvescens,AF,PASSERIFORMES,Pellorneidae,drozdinka hnedá
8007,Illadopsis rufipennis,AF,PASSERIFORMES,Pellorneidae,drozdinka bledoprsá
8008,Illadopsis distans,AF,PASSERIFORMES,Pellorneidae,drozdinka tanzánijská
8009,Illadopsis pyrrhoptera,AF,PASSERIFORMES,Pellorneidae,drozdinka horská
8010,Illadopsis cleaveri,AF,PASSERIFORMES,Pellorneidae,drozdinka čiernohlavá
8011,Illadopsis albipectus,AF,PASSERIFORMES,Pellorneidae,drozdinka škridličkatá
8012,Illadopsis turdina,AF,PASSERIFORMES,Pellorneidae,drozdinka škvrnitoprsá
8013,Illadopsis puveli,AF,PASSERIFORMES,Pellorneidae,drozdinka hnedkavá
8014,Illadopsis rufescens,AF,PASSERIFORMES,Pellorneidae,drozdinka hrdzavokrídla
8015,Kenopia striata,OR,PASSERIFORMES,Pellorneidae,dudroš bahenný
8016,Malacocincla abbotti,OR,PASSERIFORMES,Pellorneidae,dudroš hájový
8017,Malacocincla sepiaria,OR,PASSERIFORMES,Pellorneidae,dudroš krovinový
8018,Malacocincla perspicillata,OR,PASSERIFORMES,Pellorneidae,dudroš žltooký
8019,Gypsophila crassa,OR,PASSERIFORMES,Pellorneidae,dudroš vývratový
8020,Gypsophila brevicaudata,OR,PASSERIFORMES,Pellorneidae,dudroš orieščí
8021,Gypsophila annamensis,OR,PASSERIFORMES,Pellorneidae,dudroš annamský
8022,Gypsophila calcicola,OR,PASSERIFORMES,Pellorneidae,dudroš plavobruchý
8023,Gypsophila crispifrons,OR,PASSERIFORMES,Pellorneidae,dudroš vápencový
8024,Gypsophila rufipectus,OR,PASSERIFORMES,Pellorneidae,dudroš hôrny
8025,Ptilocichla mindanensis,OR,PASSERIFORMES,Pellorneidae,dudroš filipínsky
8026,Ptilocichla leucogrammica,OR,PASSERIFORMES,Pellorneidae,dudroš gaštanový
8027,Ptilocichla falcata,OR,PASSERIFORMES,Pellorneidae,dudroš kosierkavý
8028,Napothera epilepidota,OR,PASSERIFORMES,Pellorneidae,dudroš obočnatý
8029,Napothera malacoptila,OR,PASSERIFORMES,Pellorneidae,dudroš dlhozobý
8030,Napothera albostriata,OR,PASSERIFORMES,Pellorneidae,dudroš sumatranský
8031,Napothera pasquieri,OR,PASSERIFORMES,Pellorneidae,dudroš vietnamský
8032,Napothera naungmungensis,OR,PASSERIFORMES,Pellorneidae,dudroš mjanmarský
8033,Napothera danjoui,OR,PASSERIFORMES,Pellorneidae,dudroš šabľozobý
8034,Alcippe poioicephala,OR,PASSERIFORMES,Alcippeidae,alkipa hnedolíca
8035,Alcippe grotei,OR,PASSERIFORMES,Alcippeidae,alkipa stužkatá
8036,Alcippe brunneicauda,OR,PASSERIFORMES,Alcippeidae,alkipa družná
8037,Alcippe pyrrhoptera,OR,PASSERIFORMES,Alcippeidae,alkipa jávska
8038,Alcippe nipalensis,OR,PASSERIFORMES,Alcippeidae,alkipa hrdzavochrbtá
8039,Alcippe davidi,OR,PASSERIFORMES,Alcippeidae,alkipa Davidova
8040,Alcippe hueti,OR,PASSERIFORMES,Alcippeidae,alkipa mandarínska
8041,Alcippe morrisonia,OR,PASSERIFORMES,Alcippeidae,alkipa sivolíca
8042,Alcippe fratercula,OR,PASSERIFORMES,Alcippeidae,alkipa plavobruchá
8043,Alcippe peracensis,OR,PASSERIFORMES,Alcippeidae,alkipa hôrna
8044,Grammatoptila striata,OR,PASSERIFORMES,Leiothrichidae,timáliovec čiarkový
8045,Cutia nipalensis,OR,PASSERIFORMES,Leiothrichidae,kutia himalájska
8046,Cutia legalleni,OR,PASSERIFORMES,Leiothrichidae,kutia tigrovaná
8047,Laniellus langbianis,OR,PASSERIFORMES,Leiothrichidae,pastrakoš krôpkavý
8048,Laniellus albonotatus,OR,PASSERIFORMES,Leiothrichidae,pastrakoš čiernohlavý
8049,Trochalopteron subunicolor,OR,PASSERIFORMES,Leiothrichidae,timáliovec zlatý
8050,Trochalopteron austeni,OR,PASSERIFORMES,Leiothrichidae,timáliovec jarabý
8051,Trochalopteron squamatum,OR,PASSERIFORMES,Leiothrichidae,timáliovec modrokrídly
8052,Trochalopteron lineatum,PAL,PASSERIFORMES,Leiothrichidae,timáliovec pásikavý
8053,Trochalopteron imbricatum,OR,PASSERIFORMES,Leiothrichidae,timáliovec bhutánsky
8054,Trochalopteron virgatum,OR,PASSERIFORMES,Leiothrichidae,timáliovec ohnivý
8055,Trochalopteron variegatum,PAL,PASSERIFORMES,Leiothrichidae,timáliovec pestrý
8056,Trochalopteron affine,OR,PASSERIFORMES,Leiothrichidae,timáliovec tmavohlavý
8057,Trochalopteron morrisonianum,OR,PASSERIFORMES,Leiothrichidae,timáliovec bielofúzy
8058,Trochalopteron henrici,PAL,PASSERIFORMES,Leiothrichidae,timáliovec hnedolíci
8059,Trochalopteron elliotii,PAL,PASSERIFORMES,Leiothrichidae,timáliovec horský
8060,Trochalopteron milnei,OR,PASSERIFORMES,Leiothrichidae,timáliovec červenochvostý
8061,Trochalopteron yersini,OR,PASSERIFORMES,Leiothrichidae,timáliovec čiernokuklý
8062,Trochalopteron erythrocephalum,OR,PASSERIFORMES,Leiothrichidae,timáliovec čiapočkatý
8063,Trochalopteron chrysopterum,OR,PASSERIFORMES,Leiothrichidae,timáliovec ásamský
8064,Trochalopteron formosum,OR,PASSERIFORMES,Leiothrichidae,timáliovec červenokrídly
8065,Trochalopteron melanostigma,OR,PASSERIFORMES,Leiothrichidae,timáliovec platinosluchý
8066,Trochalopteron ngoclinhense,OR,PASSERIFORMES,Leiothrichidae,timáliovec zlatokrídly
8067,Trochalopteron peninsulae,OR,PASSERIFORMES,Leiothrichidae,timáliovec malajský
8068,Montecincla jerdoni,OR,PASSERIFORMES,Leiothrichidae,timáliovec sivoprsý
8069,Montecincla cachinnans,OR,PASSERIFORMES,Leiothrichidae,timáliovec hájový
8070,Montecincla fairbanki,OR,PASSERIFORMES,Leiothrichidae,timáliovec ostružinový
8071,Montecincla meridionalis,OR,PASSERIFORMES,Leiothrichidae,timáliovec hnedoboký
8072,Heterophasia picaoides,OR,PASSERIFORMES,Leiothrichidae,vestár dlhochvostý
8073,Heterophasia auricularis,OR,PASSERIFORMES,Leiothrichidae,vestár ušatý
8074,Heterophasia capistrata,OR,PASSERIFORMES,Leiothrichidae,vestár prilbatý
8075,Heterophasia pulchella,OR,PASSERIFORMES,Leiothrichidae,vestár pôvabný
8076,Heterophasia gracilis,OR,PASSERIFORMES,Leiothrichidae,vestár sivý
8077,Heterophasia melanoleuca,OR,PASSERIFORMES,Leiothrichidae,vestár strakatý
8078,Heterophasia desgodinsi,OR,PASSERIFORMES,Leiothrichidae,vestár čiernokrídly
8079,Actinodura nipalensis,OR,PASSERIFORMES,Leiothrichidae,prúžkavec sivohrdlý
8080,Actinodura morrisoniana,OR,PASSERIFORMES,Leiothrichidae,prúžkavec hôrny
8081,Actinodura waldeni,OR,PASSERIFORMES,Leiothrichidae,prúžkavec machový
8082,Actinodura souliei,OR,PASSERIFORMES,Leiothrichidae,prúžkavec škvrnitý
8083,Actinodura cyanouroptera,OR,PASSERIFORMES,Leiothrichidae,prúžkavec belasý
8084,Actinodura strigula,OR,PASSERIFORMES,Leiothrichidae,prúžkavec žltkavý
8085,Actinodura egertoni,OR,PASSERIFORMES,Leiothrichidae,prúžkavec húštinový
8086,Actinodura ramsayi,OR,PASSERIFORMES,Leiothrichidae,prúžkavec okuliarnatý
8087,Actinodura sodangorum,OR,PASSERIFORMES,Leiothrichidae,prúžkavec okrový
8088,Leiothrix lutea,OR,PASSERIFORMES,Leiothrichidae,mezia žltá
8089,Leiothrix argentauris,OR,PASSERIFORMES,Leiothrichidae,mezia striebrosluchá
8090,Minla ignotincta,OR,PASSERIFORMES,Leiothrichidae,minla červenochvostá
8091,Leioptila annectens,OR,PASSERIFORMES,Leiothrichidae,minla červenochrbtá
8092,Liocichla bugunorum,OR,PASSERIFORMES,Leiothrichidae,minla pestrokrídla
8093,Liocichla omeiensis,OR,PASSERIFORMES,Leiothrichidae,minla sivolíca
8094,Liocichla steerii,OR,PASSERIFORMES,Leiothrichidae,minla olivová
8095,Liocichla phoenicea,OR,PASSERIFORMES,Leiothrichidae,minla červenolíca
8096,Liocichla ripponi,OR,PASSERIFORMES,Leiothrichidae,minla ohnivolíca
8097,Argya malcolmi,OR,PASSERIFORMES,Leiothrichidae,timáliovec brahmanský
8098,Argya cinereifrons,OR,PASSERIFORMES,Leiothrichidae,timáliovec sivohlavý
8099,Argya longirostris,OR,PASSERIFORMES,Leiothrichidae,timáliovec tenkozobý
8100,Argya subrufa,OR,PASSERIFORMES,Leiothrichidae,timáliovec bambusový
8101,Argya rufescens,OR,PASSERIFORMES,Leiothrichidae,timáliovec cejlónsky
8102,Argya striata,OR,PASSERIFORMES,Leiothrichidae,timáliovec džungľový
8103,Argya affinis,OR,PASSERIFORMES,Leiothrichidae,timáliovec žltozobý
8104,Argya rubiginosa,AF,PASSERIFORMES,Leiothrichidae,timáliovec hrdzavý
8105,Argya aylmeri,AF,PASSERIFORMES,Leiothrichidae,timáliovec bronzový
8106,Argya altirostris,PAL,PASSERIFORMES,Leiothrichidae,timáliovec mokrinový
8107,Argya huttoni,PAL,PASSERIFORMES,Leiothrichidae,timáliovec afganský
8108,Argya caudata,OR,PASSERIFORMES,Leiothrichidae,timáliovec indický
8109,Argya fulva,AF,PASSERIFORMES,Leiothrichidae,timáliovec plavý
8110,Argya squamiceps,PAL,PASSERIFORMES,Leiothrichidae,timáliovec tamariškový
8111,Argya earlei,OR,PASSERIFORMES,Leiothrichidae,timáliovec trsťový
8112,Argya gularis,OR,PASSERIFORMES,Leiothrichidae,timáliovec červenkavý
8113,Turdoides nipalensis,OR,PASSERIFORMES,Leiothrichidae,timáliovec nepálsky
8114,Turdoides atripennis,AF,PASSERIFORMES,Leiothrichidae,timáliovec lesný
