,IOC,Breeding Range,Order,Family,Polish
173,Netta peposaca,SA,ANSERIFORMES,Anatidae,hełmiatka różowodzioba
174,Netta erythrophthalma,"AF, SA",ANSERIFORMES,Anatidae,hełmiatka czerwonooka
175,Aythya ferina,PAL,ANSERIFORMES,Anatidae,głowienka (zwyczajna)
176,Aythya australis,AU,ANSERIFORMES,Anatidae,podgorzałka australijska
177,Aythya innotata,AF,ANSERIFORMES,Anatidae,podgorzałka madagaskarska
178,Aythya baeri,PAL,ANSERIFORMES,Anatidae,podgorzałka zielonogłowa
179,Aythya nyroca,PAL,ANSERIFORMES,Anatidae,podgorzałka (zwyczajna)
180,Aythya novaeseelandiae,AU,ANSERIFORMES,Anatidae,ogorzałka nowozelandzka
181,Aythya fuligula,PAL,ANSERIFORMES,Anatidae,czernica
182,Aythya marila,"NA, PAL",ANSERIFORMES,Anatidae,ogorzałka (zwyczajna)
183,Polysticta stelleri,"NA, PAL",ANSERIFORMES,Anatidae,birginiak
184,Somateria fischeri,"NA, PAL",ANSERIFORMES,Anatidae,edredon okularowy
185,Somateria spectabilis,"NA, PAL",ANSERIFORMES,Anatidae,(edredon) turkan
186,Somateria mollissima,"NA, PAL",ANSERIFORMES,Anatidae,edredon (zwyczajny)
187,Histrionicus histrionicus,"NA, PAL",ANSERIFORMES,Anatidae,kamieniuszka
188,Melanitta fusca,PAL,ANSERIFORMES,Anatidae,uhla (zwyczajna)
189,Melanitta stejnegeri,PAL,ANSERIFORMES,Anatidae,uhla azjatycka
190,Melanitta nigra,PAL,ANSERIFORMES,Anatidae,markaczka (zwyczajna)
191,Melanitta americana,"PAL, NA",ANSERIFORMES,Anatidae,markaczka amerykańska
192,Clangula hyemalis,"NA, PAL",ANSERIFORMES,Anatidae,lodówka
193,Bucephala clangula,"NA, PAL",ANSERIFORMES,Anatidae,gągoł
194,Bucephala islandica,"NA, PAL",ANSERIFORMES,Anatidae,sierpiec
195,Mergellus albellus,PAL,ANSERIFORMES,Anatidae,bielaczek
196,Mergus octosetaceus,SA,ANSERIFORMES,Anatidae,tracz brazylijski
