,IOC,Breeding Range,Order,Family,French
9771,Serinus canicollis,AF,PASSERIFORMES,Fringillidae,Serin du Cap
9772,Serinus flavivertex,AF,PASSERIFORMES,Fringillidae,Serin à calotte jaune
9773,Serinus nigriceps,AF,PASSERIFORMES,Fringillidae,Serin à tête noire
9774,Serinus alario,AF,PASSERIFORMES,Fringillidae,Serin alario
9775,Spinus thibetanus,OR,PASSERIFORMES,Fringillidae,Tarin du Tibet
9776,Spinus lawrencei,"NA, MA",PASSERIFORMES,Fringillidae,Chardonneret gris
9777,Spinus tristis,"NA, MA",PASSERIFORMES,Fringillidae,Chardonneret jaune
9778,Spinus psaltria,"NA, MA, SA",PASSERIFORMES,Fringillidae,Chardonneret mineur
9779,Spinus spinus,PAL,PASSERIFORMES,Fringillidae,Tarin des aulnes
9780,Spinus pinus,"NA, MA",PASSERIFORMES,Fringillidae,Tarin des pins
9781,Spinus atriceps,MA,PASSERIFORMES,Fringillidae,Tarin sombre
9782,Spinus notatus,MA,PASSERIFORMES,Fringillidae,Tarin à tête noire
9783,Spinus barbatus,SA,PASSERIFORMES,Fringillidae,Tarin à menton noir
9784,Spinus xanthogastrus,"MA, SA",PASSERIFORMES,Fringillidae,Tarin à ventre jaune
9785,Spinus olivaceus,SA,PASSERIFORMES,Fringillidae,Tarin olivâtre
9786,Spinus magellanicus,SA,PASSERIFORMES,Fringillidae,Tarin de Magellan
9787,Spinus siemiradzkii,SA,PASSERIFORMES,Fringillidae,Tarin safran
9788,Spinus yarrellii,SA,PASSERIFORMES,Fringillidae,Tarin de Yarrell
9789,Spinus cucullatus,SA,PASSERIFORMES,Fringillidae,Tarin rouge
9790,Spinus atratus,SA,PASSERIFORMES,Fringillidae,Tarin noir
9791,Spinus uropygialis,SA,PASSERIFORMES,Fringillidae,Tarin à croupion jaune
9792,Spinus crassirostris,SA,PASSERIFORMES,Fringillidae,Tarin à bec épais
9793,Spinus spinescens,SA,PASSERIFORMES,Fringillidae,Tarin des Andes
9794,Chlorophonia elegantissima,MA,PASSERIFORMES,Fringillidae,Organiste à capuchon
9795,Chlorophonia cyanocephala,SA,PASSERIFORMES,Fringillidae,Organiste doré
9796,Chlorophonia cyanea,SA,PASSERIFORMES,Fringillidae,Organiste à nuque bleue
9797,Chlorophonia pyrrhophrys,SA,PASSERIFORMES,Fringillidae,Organiste à ventre brun
9798,Chlorophonia flavirostris,SA,PASSERIFORMES,Fringillidae,Organiste à col jaune
9799,Chlorophonia occipitalis,MA,PASSERIFORMES,Fringillidae,Organiste à calotte bleue
9800,Chlorophonia callophrys,MA,PASSERIFORMES,Fringillidae,Organiste à sourcils jaunes
9801,Euphonia saturata,SA,PASSERIFORMES,Fringillidae,Organiste à calotte d’or
9802,Euphonia plumbea,SA,PASSERIFORMES,Fringillidae,Organiste plombé
9803,Euphonia chlorotica,SA,PASSERIFORMES,Fringillidae,Organiste chlorotique
9804,Euphonia finschi,SA,PASSERIFORMES,Fringillidae,Organiste de Finsch
9805,Euphonia concinna,SA,PASSERIFORMES,Fringillidae,Organiste du Magdalena
9806,Euphonia trinitatis,SA,PASSERIFORMES,Fringillidae,Organiste de Trinidad
9807,Euphonia godmani,MA,PASSERIFORMES,Fringillidae,Organiste de Godman
9808,Euphonia affinis,MA,PASSERIFORMES,Fringillidae,Organiste de brousse
9809,Euphonia luteicapilla,MA,PASSERIFORMES,Fringillidae,Organiste à calotte jaune
9810,Euphonia chrysopasta,SA,PASSERIFORMES,Fringillidae,Organiste fardé
9811,Euphonia minuta,"MA, SA",PASSERIFORMES,Fringillidae,Organiste cul-blanc
9812,Euphonia chalybea,SA,PASSERIFORMES,Fringillidae,Organiste chalybé
9813,Euphonia violacea,SA,PASSERIFORMES,Fringillidae,Organiste teité
9814,Euphonia hirundinacea,MA,PASSERIFORMES,Fringillidae,Organiste à gorge jaune
9815,Euphonia laniirostris,"MA, SA",PASSERIFORMES,Fringillidae,Organiste à bec épais
9816,Euphonia imitans,MA,PASSERIFORMES,Fringillidae,Organiste moucheté
9817,Euphonia gouldi,MA,PASSERIFORMES,Fringillidae,Organiste olive
9818,Euphonia fulvicrissa,"MA, SA",PASSERIFORMES,Fringillidae,Organiste cul-roux
9819,Euphonia anneae,"MA, SA",PASSERIFORMES,Fringillidae,Organiste à couronne rousse
9820,Euphonia xanthogaster,"MA, SA",PASSERIFORMES,Fringillidae,Organiste à ventre orange
9821,Euphonia mesochrysa,SA,PASSERIFORMES,Fringillidae,Organiste mordoré
9822,Euphonia cayennensis,SA,PASSERIFORMES,Fringillidae,Organiste nègre
9823,Euphonia rufiventris,SA,PASSERIFORMES,Fringillidae,Organiste à ventre roux
9824,Euphonia pectoralis,SA,PASSERIFORMES,Fringillidae,Organiste à ventre marron
9825,Calcarius lapponicus,"NA, PAL",PASSERIFORMES,Calcariidae,Plectrophane lapon
9826,Plectrophenax nivalis,"NA, PAL",PASSERIFORMES,Calcariidae,Plectrophane des neiges
9827,Rhodinocichla rosea,"MA, SA",PASSERIFORMES,Rhodinocichlidae,Quéo rosalbin
9828,Emberiza lathami,OR,PASSERIFORMES,Emberizidae,Bruant huppé
9829,Emberiza siemsseni,PAL,PASSERIFORMES,Emberizidae,Bruant bleu
9830,Emberiza calandra,PAL,PASSERIFORMES,Emberizidae,Bruant proyer
9831,Emberiza citrinella,PAL,PASSERIFORMES,Emberizidae,Bruant jaune
9832,Emberiza leucocephalos,PAL,PASSERIFORMES,Emberizidae,Bruant à calotte blanche
9833,Emberiza cia,PAL,PASSERIFORMES,Emberizidae,Bruant fou
9834,Emberiza godlewskii,PAL,PASSERIFORMES,Emberizidae,Bruant de Godlewski
9835,Emberiza cioides,PAL,PASSERIFORMES,Emberizidae,Bruant à longue queue
9836,Emberiza stewarti,OR,PASSERIFORMES,Emberizidae,Bruant de Stewart
9837,Emberiza jankowskii,PAL,PASSERIFORMES,Emberizidae,Bruant de Jankowski
9838,Emberiza buchanani,PAL,PASSERIFORMES,Emberizidae,Bruant à cou gris
9839,Emberiza cineracea,PAL,PASSERIFORMES,Emberizidae,Bruant cendré
9840,Emberiza hortulana,PAL,PASSERIFORMES,Emberizidae,Bruant ortolan
9841,Emberiza caesia,PAL,PASSERIFORMES,Emberizidae,Bruant cendrillard
9842,Emberiza cirlus,"PAL, AF",PASSERIFORMES,Emberizidae,Bruant zizi
9843,Emberiza striolata,"PAL, AF",PASSERIFORMES,Emberizidae,Bruant striolé
9844,Emberiza sahari,AF,PASSERIFORMES,Emberizidae,Bruant du Sahara
9845,Emberiza impetuani,AF,PASSERIFORMES,Emberizidae,Bruant des rochers
9846,Emberiza tahapisi,AF,PASSERIFORMES,Emberizidae,Bruant cannelle
9847,Emberiza goslingi,AF,PASSERIFORMES,Emberizidae,Bruant de Gosling
9848,Emberiza socotrana,AF,PASSERIFORMES,Emberizidae,Bruant de Socotra
9849,Emberiza capensis,AF,PASSERIFORMES,Emberizidae,Bruant du Cap
9850,Emberiza tristrami,PAL,PASSERIFORMES,Emberizidae,Bruant de Tristram
9851,Emberiza fucata,PAL,PASSERIFORMES,Emberizidae,Bruant à oreillons
9852,Emberiza pusilla,PAL,PASSERIFORMES,Emberizidae,Bruant nain
9853,Emberiza chrysophrys,PAL,PASSERIFORMES,Emberizidae,Bruant à sourcils jaunes
9854,Emberiza rustica,PAL,PASSERIFORMES,Emberizidae,Bruant rustique
9855,Emberiza elegans,PAL,PASSERIFORMES,Emberizidae,Bruant élégant
9856,Emberiza aureola,PAL,PASSERIFORMES,Emberizidae,Bruant auréole
9857,Emberiza poliopleura,AF,PASSERIFORMES,Emberizidae,Bruant de Somalie
9858,Emberiza flaviventris,AF,PASSERIFORMES,Emberizidae,Bruant à poitrine dorée
9859,Emberiza affinis,AF,PASSERIFORMES,Emberizidae,Bruant à ventre jaune
9860,Emberiza cabanisi,AF,PASSERIFORMES,Emberizidae,Bruant de Cabanis
9861,Emberiza rutila,PAL,PASSERIFORMES,Emberizidae,Bruant roux
9862,Emberiza koslowi,PAL,PASSERIFORMES,Emberizidae,Bruant de Koslov
9863,Emberiza melanocephala,PAL,PASSERIFORMES,Emberizidae,Bruant mélanocéphale
9864,Emberiza bruniceps,PAL,PASSERIFORMES,Emberizidae,Bruant à tête rousse
9865,Emberiza sulphurata,PAL,PASSERIFORMES,Emberizidae,Bruant du Japon
9866,Emberiza spodocephala,PAL,PASSERIFORMES,Emberizidae,Bruant masqué
9867,Emberiza personata,PAL,PASSERIFORMES,Emberizidae,Bruant de Temminck
9868,Emberiza variabilis,PAL,PASSERIFORMES,Emberizidae,Bruant gris
9869,Emberiza pallasi,PAL,PASSERIFORMES,Emberizidae,Bruant de Pallas
9870,Emberiza yessoensis,PAL,PASSERIFORMES,Emberizidae,Bruant de Yéso
9871,Emberiza schoeniclus,PAL,PASSERIFORMES,Emberizidae,Bruant des roseaux
9872,Oreothraupis arremonops,SA,PASSERIFORMES,Passerellidae,Tohi élégant
9873,Chlorospingus flavigularis,"MA, SA",PASSERIFORMES,Passerellidae,Chlorospin à gorge jaune
9874,Chlorospingus parvirostris,SA,PASSERIFORMES,Passerellidae,Chlorospin à bec court
9875,Chlorospingus canigularis,"MA, SA",PASSERIFORMES,Passerellidae,Chlorospin à gorge grise
9876,Chlorospingus pileatus,MA,PASSERIFORMES,Passerellidae,Chlorospin à sourcils brisés
9877,Chlorospingus flavopectus,"MA, SA",PASSERIFORMES,Passerellidae,Chlorospin des buissons
9878,Chlorospingus tacarcunae,"MA, SA",PASSERIFORMES,Passerellidae,Chlorospin du Tacarcuna
9879,Chlorospingus inornatus,MA,PASSERIFORMES,Passerellidae,Chlorospin du Pirré
9880,Chlorospingus semifuscus,SA,PASSERIFORMES,Passerellidae,Chlorospin ombré
9881,Rhynchospiza stolzmanni,SA,PASSERIFORMES,Passerellidae,Bruant de Tumbes
9882,Rhynchospiza dabbenei,SA,PASSERIFORMES,Passerellidae,Bruant des yungas
9883,Rhynchospiza strigiceps,SA,PASSERIFORMES,Passerellidae,Bruant à calotte rayée
9884,Peucaea carpalis,"NA, MA",PASSERIFORMES,Passerellidae,Bruant à épaulettes
9885,Peucaea sumichrasti,MA,PASSERIFORMES,Passerellidae,Bruant à queue rousse
9886,Peucaea ruficauda,MA,PASSERIFORMES,Passerellidae,Bruant ligné
9887,Peucaea humeralis,MA,PASSERIFORMES,Passerellidae,Bruant à plastron
9888,Peucaea mystacalis,MA,PASSERIFORMES,Passerellidae,Bruant à moustaches
9889,Peucaea botterii,"NA, MA",PASSERIFORMES,Passerellidae,Bruant de Botteri
9890,Peucaea cassinii,"NA, MA",PASSERIFORMES,Passerellidae,Bruant de Cassin
9891,Ammodramus savannarum,"NA, MA",PASSERIFORMES,Passerellidae,Bruant sauterelle
9892,Ammodramus humeralis,SA,PASSERIFORMES,Passerellidae,Bruant des savanes
9893,Ammodramus aurifrons,SA,PASSERIFORMES,Passerellidae,Bruant à front d’or
9894,Arremonops rufivirgatus,"NA, MA",PASSERIFORMES,Passerellidae,Tohi olive
9895,Arremonops chloronotus,MA,PASSERIFORMES,Passerellidae,Tohi à dos vert
9896,Arremonops conirostris,"MA, SA",PASSERIFORMES,Passerellidae,Tohi ligné
9897,Arremonops tocuyensis,SA,PASSERIFORMES,Passerellidae,Tohi de Tocuyo
9898,Amphispizopsis quinquestriata,MA,PASSERIFORMES,Passerellidae,Bruant pentaligne
9899,Amphispiza bilineata,"NA, MA",PASSERIFORMES,Passerellidae,Bruant à gorge noire
9900,Spizella passerina,"NA, MA",PASSERIFORMES,Passerellidae,Bruant familier
9901,Spizella atrogularis,"NA, MA",PASSERIFORMES,Passerellidae,Bruant à menton noir
9902,Spizella wortheni,MA,PASSERIFORMES,Passerellidae,Bruant de Worthen
9903,Arremon basilicus,SA,PASSERIFORMES,Passerellidae,Tohi de Bangs
9904,Arremon perijanus,SA,PASSERIFORMES,Passerellidae,Tohi de la Perija
9905,Arremon costaricensis,MA,PASSERIFORMES,Passerellidae,Tohi du Costa Rica
9906,Arremon atricapillus,"MA, SA",PASSERIFORMES,Passerellidae,Tohi à tête noire
9907,Arremon phaeopleurus,SA,PASSERIFORMES,Passerellidae,Tohi de Sclater
9908,Arremon phygas,SA,PASSERIFORMES,Passerellidae,Tohi de Berlepsch
9909,Arremon assimilis,SA,PASSERIFORMES,Passerellidae,Tohi à raies grises
9910,Arremon torquatus,SA,PASSERIFORMES,Passerellidae,Tohi à tête rayée
9911,Arremon aurantiirostris,"MA, SA",PASSERIFORMES,Passerellidae,Tohi à bec orange
9912,Arremon abeillei,SA,PASSERIFORMES,Passerellidae,Tohi d’Abeillé
9913,Arremon schlegeli,SA,PASSERIFORMES,Passerellidae,Tohi de Schlegel
9914,Arremon taciturnus,SA,PASSERIFORMES,Passerellidae,Tohi silencieux
9915,Arremon franciscanus,SA,PASSERIFORMES,Passerellidae,Tohi du Sao Francisco
9916,Arremon semitorquatus,SA,PASSERIFORMES,Passerellidae,Tohi à semi-collier
9917,Arremon dorbignii,SA,PASSERIFORMES,Passerellidae,Tohi de d’Orbigny
9918,Arremon flavirostris,SA,PASSERIFORMES,Passerellidae,Tohi à bec jaune
9919,Arremon virenticeps,MA,PASSERIFORMES,Passerellidae,Tohi à raies vertes
9920,Arremon brunneinucha,"MA, SA",PASSERIFORMES,Passerellidae,Tohi à nuque brune
9921,Arremon crassirostris,MA,PASSERIFORMES,Passerellidae,Tohi masqué
9922,Arremon castaneiceps,SA,PASSERIFORMES,Passerellidae,Tohi lysure
9923,Junco vulcani,MA,PASSERIFORMES,Passerellidae,Junco des volcans
9924,Junco insularis,MA,PASSERIFORMES,Passerellidae,Junco de Guadalupe
9925,Junco hyemalis,"NA, MA",PASSERIFORMES,Passerellidae,Junco ardoisé
9926,Junco phaeonotus,"NA, MA",PASSERIFORMES,Passerellidae,Junco aux yeux jaunes
9927,Junco bairdi,MA,PASSERIFORMES,Passerellidae,Junco de Baird
9928,Zonotrichia capensis,"MA, SA",PASSERIFORMES,Passerellidae,Bruant chingolo
9929,Artemisiospiza belli,"NA, MA",PASSERIFORMES,Passerellidae,Bruant de Bell
9930,Oriturus superciliosus,MA,PASSERIFORMES,Passerellidae,Bruant rayé
9931,Passerculus sandwichensis,"NA, MA",PASSERIFORMES,Passerellidae,Bruant des prés
9932,Xenospiza baileyi,MA,PASSERIFORMES,Passerellidae,Bruant des sierras
9933,Pezopetes capitalis,MA,PASSERIFORMES,Passerellidae,Tohi à grands pieds
9934,Melozone kieneri,MA,PASSERIFORMES,Passerellidae,Tohi de Kiener
9935,Melozone fusca,"NA, MA",PASSERIFORMES,Passerellidae,Tohi des canyons
9936,Melozone albicollis,MA,PASSERIFORMES,Passerellidae,Tohi à gorge blanche
9937,Melozone aberti,"NA, MA",PASSERIFORMES,Passerellidae,Tohi d’Abert
9938,Melozone crissalis,"NA, MA",PASSERIFORMES,Passerellidae,Tohi de Californie
9939,Melozone leucotis,MA,PASSERIFORMES,Passerellidae,Tohi oreillard
9940,Melozone biarcuata,MA,PASSERIFORMES,Passerellidae,Tohi à face blanche
9941,Melozone cabanisi,MA,PASSERIFORMES,Passerellidae,Tohi de Cabanis
9942,Aimophila rufescens,MA,PASSERIFORMES,Passerellidae,Tohi roussâtre
9943,Aimophila ruficeps,"NA, MA",PASSERIFORMES,Passerellidae,Tohi à calotte fauve
9944,Aimophila notosticta,MA,PASSERIFORMES,Passerellidae,Tohi d’Oaxaca
9945,Pipilo maculatus,"NA, MA",PASSERIFORMES,Passerellidae,Tohi tacheté
9946,Pipilo ocai,MA,PASSERIFORMES,Passerellidae,Tohi à collier
9947,Atlapetes pileatus,MA,PASSERIFORMES,Passerellidae,Tohi à calotte rousse
9948,Atlapetes albinucha,"MA, SA",PASSERIFORMES,Passerellidae,Tohi à calotte blanche
9949,Atlapetes tibialis,MA,PASSERIFORMES,Passerellidae,Tohi à cuisses jaunes
9950,Atlapetes luteoviridis,MA,PASSERIFORMES,Passerellidae,Tohi jaune-vert
9951,Atlapetes albofrenatus,SA,PASSERIFORMES,Passerellidae,Tohi moustachu
9952,Atlapetes meridae,SA,PASSERIFORMES,Passerellidae,Tohi de Mérida
9953,Atlapetes personatus,SA,PASSERIFORMES,Passerellidae,Tohi des tépuis
9954,Atlapetes melanocephalus,SA,PASSERIFORMES,Passerellidae,Tohi de Santa Marta
9955,Atlapetes semirufus,SA,PASSERIFORMES,Passerellidae,Tohi demi-roux
9956,Atlapetes flaviceps,SA,PASSERIFORMES,Passerellidae,Tohi à tête olive
9957,Atlapetes fuscoolivaceus,SA,PASSERIFORMES,Passerellidae,Tohi sombre
9958,Atlapetes leucopis,SA,PASSERIFORMES,Passerellidae,Tohi bridé
9959,Atlapetes albiceps,SA,PASSERIFORMES,Passerellidae,Tohi à tête blanche
9960,Atlapetes rufigenis,SA,PASSERIFORMES,Passerellidae,Tohi rougeaud
9961,Atlapetes crassus,SA,PASSERIFORMES,Passerellidae,Tohi à bec fort
9962,Atlapetes tricolor,SA,PASSERIFORMES,Passerellidae,Tohi tricolore
9963,Atlapetes schistaceus,SA,PASSERIFORMES,Passerellidae,Tohi ardoisé
9964,Atlapetes pallidinucha,SA,PASSERIFORMES,Passerellidae,Tohi à nuque claire
9965,Atlapetes blancae,SA,PASSERIFORMES,Passerellidae,Tohi de Blanca
9966,Atlapetes latinuchus,SA,PASSERIFORMES,Passerellidae,Tohi à miroir
9967,Atlapetes nigrifrons,SA,PASSERIFORMES,Passerellidae,Tohi à front noir
9968,Atlapetes leucopterus,SA,PASSERIFORMES,Passerellidae,Tohi leucoptère
9969,Atlapetes pallidiceps,SA,PASSERIFORMES,Passerellidae,Tohi grisonnant
9970,Atlapetes seebohmi,SA,PASSERIFORMES,Passerellidae,Tohi de Seebohm
9971,Atlapetes nationi,SA,PASSERIFORMES,Passerellidae,Tohi à ventre roux
9972,Atlapetes forbesi,SA,PASSERIFORMES,Passerellidae,Tohi de Forbes
9973,Atlapetes melanopsis,SA,PASSERIFORMES,Passerellidae,Tohi à face noire
9974,Atlapetes terborghi,SA,PASSERIFORMES,Passerellidae,Tohi de Terborgh
9975,Atlapetes canigenis,SA,PASSERIFORMES,Passerellidae,Tohi à joues grises
9976,Atlapetes melanolaemus,SA,PASSERIFORMES,Passerellidae,Tohi mélanien
9977,Atlapetes rufinucha,SA,PASSERIFORMES,Passerellidae,Tohi à nuque rousse
9978,Atlapetes fulviceps,SA,PASSERIFORMES,Passerellidae,Tohi à tête rousse
9979,Atlapetes citrinellus,SA,PASSERIFORMES,Passerellidae,Tohi citrin
9980,Zeledonia coronata,MA,PASSERIFORMES,Zeledoniidae,Zélédonie couronnée
9981,Icteria virens,"NA, MA",PASSERIFORMES,Icteriidae,Ictérie polyglotte
9982,Xanthocephalus xanthocephalus,"NA, MA",PASSERIFORMES,Icteridae,Carouge à tête jaune
9983,Sturnella neglecta,"NA, MA",PASSERIFORMES,Icteridae,Sturnelle de l’Ouest
9984,Sturnella magna,"NA, MA, SA",PASSERIFORMES,Icteridae,Sturnelle des prés
9985,Sturnella lilianae,"NA, MA",PASSERIFORMES,Icteridae,Sturnelle de Lilian
9986,Leistes militaris,"MA, SA",PASSERIFORMES,Icteridae,Sturnelle militaire
9987,Leistes superciliaris,SA,PASSERIFORMES,Icteridae,Sturnelle à sourcils blancs
9988,Leistes bellicosus,SA,PASSERIFORMES,Icteridae,Sturnelle du Pérou
9989,Leistes loyca,SA,PASSERIFORMES,Icteridae,Sturnelle australe
9990,Leistes defilippii,SA,PASSERIFORMES,Icteridae,Sturnelle des pampas
9991,Amblycercus holosericeus,"MA, SA",PASSERIFORMES,Icteridae,Cassique à bec jaune
9992,Cassiculus melanicterus,MA,PASSERIFORMES,Icteridae,Cassique à ailes jaunes
9993,Psarocolius wagleri,"MA, SA",PASSERIFORMES,Icteridae,Cassique à tête brune
9994,Psarocolius angustifrons,SA,PASSERIFORMES,Icteridae,Cassique roussâtre
9995,Psarocolius atrovirens,SA,PASSERIFORMES,Icteridae,Cassique olivâtre
9996,Psarocolius decumanus,SA,PASSERIFORMES,Icteridae,Cassique huppé
9997,Psarocolius viridis,SA,PASSERIFORMES,Icteridae,Cassique vert
9998,Psarocolius bifasciatus,SA,PASSERIFORMES,Icteridae,Cassique du Para
9999,Psarocolius montezuma,MA,PASSERIFORMES,Icteridae,Cassique de Montezuma
10000,Psarocolius guatimozinus,"MA, SA",PASSERIFORMES,Icteridae,Cassique noir
10001,Psarocolius cassini,SA,PASSERIFORMES,Icteridae,Cassique de Cassin
10002,Cacicus solitarius,SA,PASSERIFORMES,Icteridae,Cassique solitaire
10003,Cacicus chrysopterus,SA,PASSERIFORMES,Icteridae,Cassique à épaulettes
10004,Cacicus koepckeae,SA,PASSERIFORMES,Icteridae,Cassique de Koepcke
10005,Cacicus sclateri,SA,PASSERIFORMES,Icteridae,Cassique d’Équateur
10006,Cacicus cela,"MA, SA",PASSERIFORMES,Icteridae,Cassique cul-jaune
10007,Cacicus microrhynchus,"MA, SA",PASSERIFORMES,Icteridae,Cassique à bec mince
10008,Cacicus uropygialis,"MA, SA",PASSERIFORMES,Icteridae,Cassique à dos rouge
10009,Cacicus chrysonotus,SA,PASSERIFORMES,Icteridae,Cassique montagnard
10010,Cacicus latirostris,SA,PASSERIFORMES,Icteridae,Cassique à queue frangée
10011,Cacicus oseryi,SA,PASSERIFORMES,Icteridae,Cassique casqué
10012,Cacicus haemorrhous,SA,PASSERIFORMES,Icteridae,Cassique cul-rouge
10013,Icterus parisorum,"NA, MA",PASSERIFORMES,Icteridae,Oriole jaune-verdâtre
10014,Icterus chrysater,"MA, SA",PASSERIFORMES,Icteridae,Oriole noir et or
10015,Icterus graduacauda,"NA, MA",PASSERIFORMES,Icteridae,Oriole d’Audubon
10016,Icterus auratus,MA,PASSERIFORMES,Icteridae,Oriole orange
10017,Icterus gularis,"NA, MA",PASSERIFORMES,Icteridae,Oriole à gros bec
10018,Icterus nigrogularis,SA,PASSERIFORMES,Icteridae,Oriole jaune
10019,Icterus pustulatus,MA,PASSERIFORMES,Icteridae,Oriole à dos rayé
10020,Icterus abeillei,MA,PASSERIFORMES,Icteridae,Oriole d’Abeillé
10021,Icterus mesomelas,"MA, SA",PASSERIFORMES,Icteridae,Oriole à queue jaune
10022,Icterus pectoralis,MA,PASSERIFORMES,Icteridae,Oriole maculé
10023,Icterus graceannae,SA,PASSERIFORMES,Icteridae,Oriole leucoptère
10024,Icterus jamacaii,SA,PASSERIFORMES,Icteridae,Oriole des campos
10025,Icterus icterus,SA,PASSERIFORMES,Icteridae,Oriole troupiale
10026,Icterus croconotus,SA,PASSERIFORMES,Icteridae,Oriole à dos orange
10027,Icterus maculialatus,MA,PASSERIFORMES,Icteridae,Oriole unifascié
10028,Icterus wagleri,MA,PASSERIFORMES,Icteridae,Oriole cul-noir
10029,Icterus cucullatus,"NA, MA",PASSERIFORMES,Icteridae,Oriole masqué
10030,Icterus prosthemelas,MA,PASSERIFORMES,Icteridae,Oriole monacal
10031,Icterus spurius,"NA, MA",PASSERIFORMES,Icteridae,Oriole des vergers
10032,Icterus auricapillus,"MA, SA",PASSERIFORMES,Icteridae,Oriole à tête d’or
10033,Icterus pyrrhopterus,SA,PASSERIFORMES,Icteridae,Oriole variable
10034,Icterus cayanensis,SA,PASSERIFORMES,Icteridae,Oriole à épaulettes
10035,Agelaius tricolor,"NA, MA",PASSERIFORMES,Icteridae,Carouge de Californie
10036,Agelaius phoeniceus,"NA, MA",PASSERIFORMES,Icteridae,Carouge à épaulettes
10037,Molothrus rufoaxillaris,SA,PASSERIFORMES,Icteridae,Vacher criard
10038,Molothrus oryzivorus,"MA, SA",PASSERIFORMES,Icteridae,Vacher géant
10039,Molothrus bonariensis,"NA, SA",PASSERIFORMES,Icteridae,Vacher luisant
10040,Molothrus aeneus,"NA, MA",PASSERIFORMES,Icteridae,Vacher bronzé
10041,Molothrus armenti,SA,PASSERIFORMES,Icteridae,Vacher brun
10042,Molothrus ater,"NA, MA",PASSERIFORMES,Icteridae,Vacher à tête brune
10043,Dives warczewiczi,SA,PASSERIFORMES,Icteridae,Quiscale buissonnier
10044,Dives dives,MA,PASSERIFORMES,Icteridae,Quiscale chanteur
10045,Quiscalus nicaraguensis,MA,PASSERIFORMES,Icteridae,Quiscale du Nicaragua
10046,Quiscalus lugubris,"NA, SA",PASSERIFORMES,Icteridae,Quiscale merle
10047,Quiscalus mexicanus,"NA, MA, SA",PASSERIFORMES,Icteridae,Quiscale à longue queue
10048,Hypopyrrhus pyrohypogaster,SA,PASSERIFORMES,Icteridae,Carouge à ventre rouge
10049,Lampropsar tanagrinus,SA,PASSERIFORMES,Icteridae,Carouge velouté
10050,Gymnomystax mexicanus,SA,PASSERIFORMES,Icteridae,Carouge loriot
10051,Macroagelaius subalaris,SA,PASSERIFORMES,Icteridae,Carouge montagnard
10052,Macroagelaius imthurni,SA,PASSERIFORMES,Icteridae,Carouge des tépuis
10053,Curaeus curaeus,SA,PASSERIFORMES,Icteridae,Carouge austral
10054,Amblyramphus holosericeus,SA,PASSERIFORMES,Icteridae,Carouge à tête rouge
10055,Anumara forbesi,SA,PASSERIFORMES,Icteridae,Carouge de Forbes
10056,Gnorimopsar chopi,SA,PASSERIFORMES,Icteridae,Carouge chopi
10057,Oreopsar bolivianus,SA,PASSERIFORMES,Icteridae,Carouge de Bolivie
10058,Agelaioides badius,SA,PASSERIFORMES,Icteridae,Carouge à ailes baies
10059,Agelaioides fringillarius,SA,PASSERIFORMES,Icteridae,Carouge de Spix
10060,Agelasticus thilius,SA,PASSERIFORMES,Icteridae,Carouge galonné
10061,Agelasticus xanthophthalmus,SA,PASSERIFORMES,Icteridae,Carouge à œil clair
10062,Agelasticus cyanopus,SA,PASSERIFORMES,Icteridae,Carouge unicolore
10063,Chrysomus ruficapillus,SA,PASSERIFORMES,Icteridae,Carouge à calotte rousse
10064,Chrysomus icterocephalus,SA,PASSERIFORMES,Icteridae,Carouge à capuchon
10065,Xanthopsar flavus,SA,PASSERIFORMES,Icteridae,Carouge safran
10066,Pseudoleistes virescens,SA,PASSERIFORMES,Icteridae,Carouge dragon
10067,Pseudoleistes guirahuro,SA,PASSERIFORMES,Icteridae,Carouge guirahuro
10068,Oreothlypis superciliosa,MA,PASSERIFORMES,Parulidae,Paruline à croissant
10069,Oreothlypis gutturalis,MA,PASSERIFORMES,Parulidae,Paruline embrasée
10070,Leiothlypis luciae,"NA, MA",PASSERIFORMES,Parulidae,Paruline de Lucy
10071,Geothlypis poliocephala,MA,PASSERIFORMES,Parulidae,Paruline à calotte grise
10072,Geothlypis aequinoctialis,SA,PASSERIFORMES,Parulidae,Paruline équatoriale
10073,Geothlypis chiriquensis,MA,PASSERIFORMES,Parulidae,Paruline du Chiriqui
10074,Geothlypis auricularis,SA,PASSERIFORMES,Parulidae,Paruline à lores noirs
10075,Geothlypis velata,SA,PASSERIFORMES,Parulidae,Paruline voilée
10076,Geothlypis semiflava,"MA, SA",PASSERIFORMES,Parulidae,Paruline des bambous
10077,Geothlypis speciosa,MA,PASSERIFORMES,Parulidae,Paruline à face noire
10078,Geothlypis beldingi,MA,PASSERIFORMES,Parulidae,Paruline de Belding
10079,Geothlypis flavovelata,MA,PASSERIFORMES,Parulidae,Paruline à couronne jaune
10080,Geothlypis trichas,"NA, MA",PASSERIFORMES,Parulidae,Paruline masquée
10081,Geothlypis nelsoni,MA,PASSERIFORMES,Parulidae,Paruline de Nelson
10082,Setophaga pitiayumi,"MA, SA",PASSERIFORMES,Parulidae,Paruline à joues noires
10083,Setophaga aestiva,"NA, MA",PASSERIFORMES,Parulidae,Paruline jaune
10084,Setophaga petechia,"NA, MA, SA",PASSERIFORMES,Parulidae,Paruline des mangroves
