,IOC,Breeding Range,Order,Family,French
158,Anas eatoni,IO,ANSERIFORMES,Anatidae,Canard d’Eaton
159,Anas acuta,"NA, PAL",ANSERIFORMES,Anatidae,Canard pilet
160,Anas crecca,"PAL, NA",ANSERIFORMES,Anatidae,Sarcelle d’hiver
161,Anas flavirostris,SA,ANSERIFORMES,Anatidae,Sarcelle tachetée
162,Anas andium,SA,ANSERIFORMES,Anatidae,Sarcelle des Andes
163,Anas gibberifrons,OR,ANSERIFORMES,Anatidae,Sarcelle grise
164,Anas albogularis,OR,ANSERIFORMES,Anatidae,Sarcelle des Andaman
165,Anas gracilis,AU,ANSERIFORMES,Anatidae,Sarcelle australasienne
166,Anas castanea,AU,ANSERIFORMES,Anatidae,Sarcelle rousse
167,Anas bernieri,AF,ANSERIFORMES,Anatidae,Sarcelle de Bernier
168,Anas chlorotis,AU,ANSERIFORMES,Anatidae,Sarcelle de Nouvelle-Zélande
169,Anas aucklandica,AU,ANSERIFORMES,Anatidae,Sarcelle des Auckland
170,Anas nesiotis,AU,ANSERIFORMES,Anatidae,Sarcelle de Campbell
171,Marmaronetta angustirostris,PAL,ANSERIFORMES,Anatidae,Marmaronette marbrée
172,Netta rufina,PAL,ANSERIFORMES,Anatidae,Nette rousse
173,Netta peposaca,SA,ANSERIFORMES,Anatidae,Nette demi-deuil
174,Netta erythrophthalma,"AF, SA",ANSERIFORMES,Anatidae,Nette brune
175,Aythya ferina,PAL,ANSERIFORMES,Anatidae,Fuligule milouin
176,Aythya australis,AU,ANSERIFORMES,Anatidae,Fuligule austral
177,Aythya innotata,AF,ANSERIFORMES,Anatidae,Fuligule de Madagascar
178,Aythya baeri,PAL,ANSERIFORMES,Anatidae,Fuligule de Baer
179,Aythya nyroca,PAL,ANSERIFORMES,Anatidae,Fuligule nyroca
180,Aythya novaeseelandiae,AU,ANSERIFORMES,Anatidae,Fuligule de Nouvelle-Zélande
181,Aythya fuligula,PAL,ANSERIFORMES,Anatidae,Fuligule morillon
182,Aythya marila,"NA, PAL",ANSERIFORMES,Anatidae,Fuligule milouinan
183,Polysticta stelleri,"NA, PAL",ANSERIFORMES,Anatidae,Eider de Steller
184,Somateria fischeri,"NA, PAL",ANSERIFORMES,Anatidae,Eider à lunettes
185,Somateria spectabilis,"NA, PAL",ANSERIFORMES,Anatidae,Eider à tête grise
186,Somateria mollissima,"NA, PAL",ANSERIFORMES,Anatidae,Eider à duvet
187,Histrionicus histrionicus,"NA, PAL",ANSERIFORMES,Anatidae,Arlequin plongeur
188,Melanitta fusca,PAL,ANSERIFORMES,Anatidae,Macreuse brune
189,Melanitta stejnegeri,PAL,ANSERIFORMES,Anatidae,Macreuse de Sibérie
190,Melanitta nigra,PAL,ANSERIFORMES,Anatidae,Macreuse noire
191,Melanitta americana,"PAL, NA",ANSERIFORMES,Anatidae,Macreuse à bec jaune
192,Clangula hyemalis,"NA, PAL",ANSERIFORMES,Anatidae,Harelde kakawi
193,Bucephala clangula,"NA, PAL",ANSERIFORMES,Anatidae,Garrot à œil d’or
194,Bucephala islandica,"NA, PAL",ANSERIFORMES,Anatidae,Garrot d’Islande
195,Mergellus albellus,PAL,ANSERIFORMES,Anatidae,Harle piette
196,Mergus octosetaceus,SA,ANSERIFORMES,Anatidae,Harle huppard
197,Mergus merganser,"NA, PAL",ANSERIFORMES,Anatidae,Grand Harle
198,Mergus serrator,"NA, PAL",ANSERIFORMES,Anatidae,Harle huppé
199,Mergus squamatus,PAL,ANSERIFORMES,Anatidae,Harle de Chine
200,Heteronetta atricapilla,SA,ANSERIFORMES,Anatidae,Hétéronette à tête noire
201,Nomonyx dominicus,"MA, SA",ANSERIFORMES,Anatidae,Érismature routoutou
202,Oxyura jamaicensis,"NA, MA",ANSERIFORMES,Anatidae,Érismature rousse
203,Oxyura ferruginea,SA,ANSERIFORMES,Anatidae,Érismature des Andes
204,Oxyura vittata,SA,ANSERIFORMES,Anatidae,Érismature ornée
205,Oxyura australis,AU,ANSERIFORMES,Anatidae,Érismature australe
206,Oxyura maccoa,AF,ANSERIFORMES,Anatidae,Érismature maccoa
207,Oxyura leucocephala,PAL,ANSERIFORMES,Anatidae,Érismature à tête blanche
208,Biziura lobata,AU,ANSERIFORMES,Anatidae,Érismature à barbillons
209,Alectura lathami,AU,GALLIFORMES,Megapodiidae,Talégalle de Latham
210,Aepypodius arfakianus,AU,GALLIFORMES,Megapodiidae,Talégalle des Arfak
211,Aepypodius bruijnii,AU,GALLIFORMES,Megapodiidae,Talégalle de Bruijn
212,Talegalla cuvieri,AU,GALLIFORMES,Megapodiidae,Talégalle de Cuvier
213,Talegalla fuscirostris,AU,GALLIFORMES,Megapodiidae,Talégalle à bec foncé
214,Talegalla jobiensis,AU,GALLIFORMES,Megapodiidae,Talégalle de Jobi
215,Leipoa ocellata,AU,GALLIFORMES,Megapodiidae,Léipoa ocellé
216,Macrocephalon maleo,AU,GALLIFORMES,Megapodiidae,Mégapode maléo
217,Eulipoa wallacei,AU,GALLIFORMES,Megapodiidae,Mégapode de Wallace
218,Megapodius pritchardii,PO,GALLIFORMES,Megapodiidae,Mégapode de Pritchard
219,Megapodius laperouse,PO,GALLIFORMES,Megapodiidae,Mégapode de La Pérouse
