,IOC,Breeding Range,Order,Family,Serbian
239,Ortalis guttata,SA,GALLIFORMES,Cracidae,Pirgava čačalaka
240,Ortalis araucuan,SA,GALLIFORMES,Cracidae,Čačalaka iz istočnog Brazila
241,Ortalis squamata,SA,GALLIFORMES,Cracidae,Ljuskasta čačalaka
242,Ortalis columbiana,SA,GALLIFORMES,Cracidae,Kolumbijska čačalaka
243,Ortalis motmot,SA,GALLIFORMES,Cracidae,Smeđokrila čačalaka
244,Ortalis ruficeps,SA,GALLIFORMES,Cracidae,Čačalaka kestenjaste glave
245,Ortalis superciliaris,SA,GALLIFORMES,Cracidae,Svetloobrvasta čačalaka
246,Penelope argyrotis,SA,GALLIFORMES,Cracidae,Guan sa trakastim repom
247,Penelope barbata,SA,GALLIFORMES,Cracidae,Bradati guan
248,Penelope ortoni,SA,GALLIFORMES,Cracidae,Guan iz oblasti Baudo
249,Penelope montagnii,SA,GALLIFORMES,Cracidae,Andski guan
250,Penelope marail,SA,GALLIFORMES,Cracidae,Kajenski guan
251,Penelope superciliaris,SA,GALLIFORMES,Cracidae,Žakupenba guan
252,Penelope dabbenei,SA,GALLIFORMES,Cracidae,Crvenoliki guan
253,Penelope purpurascens,"MA, SA",GALLIFORMES,Cracidae,Ćubasti guan
254,Penelope perspicax,SA,GALLIFORMES,Cracidae,Kaukanski guan
255,Penelope albipennis,SA,GALLIFORMES,Cracidae,Belokrili guan
256,Penelope jacquacu,SA,GALLIFORMES,Cracidae,Spiksov guan
257,Penelope obscura,SA,GALLIFORMES,Cracidae,Tamnonogi guan
258,Penelope bridgesi,SA,GALLIFORMES,Cracidae,Veliki tamnonogi guan
259,Penelope pileata,SA,GALLIFORMES,Cracidae,Beloćubi guan
260,Penelope ochrogaster,SA,GALLIFORMES,Cracidae,Guan kestenjastog trbuha
261,Penelope jacucaca,SA,GALLIFORMES,Cracidae,Beloobrvasti guan
262,Pipile pipile,SA,GALLIFORMES,Cracidae,Trinidadski guan
263,Pipile cumanensis,SA,GALLIFORMES,Cracidae,Plavogrli guan
264,Pipile grayi,SA,GALLIFORMES,Cracidae,White-throated Piping Guan
265,Pipile cujubi,SA,GALLIFORMES,Cracidae,Crvenogrli guan
266,Pipile jacutinga,SA,GALLIFORMES,Cracidae,Crnočeli guan
267,Aburria aburri,SA,GALLIFORMES,Cracidae,Resasti guan
268,Chamaepetes unicolor,MA,GALLIFORMES,Cracidae,Crni guan
269,Chamaepetes goudotii,SA,GALLIFORMES,Cracidae,Srpokrili guan
270,Penelopina nigra,MA,GALLIFORMES,Cracidae,Brdski guan
271,Oreophasis derbianus,MA,GALLIFORMES,Cracidae,Rogati guan
272,Nothocrax urumutum,SA,GALLIFORMES,Cracidae,Noćni hoko
273,Mitu tomentosum,SA,GALLIFORMES,Cracidae,Hoko bez ćube
274,Mitu salvini,SA,GALLIFORMES,Cracidae,Salvinov hoko
275,Mitu tuberosum,SA,GALLIFORMES,Cracidae,Oštrokljuni hoko
276,Mitu mitu,SA,GALLIFORMES,Cracidae,Alagoaški hoko
277,Pauxi pauxi,SA,GALLIFORMES,Cracidae,Šlemasti hoko
278,Pauxi unicornis,SA,GALLIFORMES,Cracidae,Rogati hoko
279,Pauxi koepckeae,SA,GALLIFORMES,Cracidae,Hoko sa planine Sira u Peruu
280,Crax rubra,"MA, SA",GALLIFORMES,Cracidae,Veliki hoko
281,Crax alberti,SA,GALLIFORMES,Cracidae,Plavokljuni hoko
282,Crax daubentoni,SA,GALLIFORMES,Cracidae,Žutogrbičasti hoko
283,Crax alector,SA,GALLIFORMES,Cracidae,Crni hoko
284,Crax globulosa,SA,GALLIFORMES,Cracidae,Resasti hoko
285,Crax fasciolata,SA,GALLIFORMES,Cracidae,Gololiki hoko
286,Crax blumenbachii,SA,GALLIFORMES,Cracidae,Krunasti hoko
287,Agelastes meleagrides,AF,GALLIFORMES,Numididae,Belogruda biserka
288,Agelastes niger,AF,GALLIFORMES,Numididae,Crna biserka
289,Numida meleagris,AF,GALLIFORMES,Numididae,Biserka
290,Guttera plumifera,AF,GALLIFORMES,Numididae,Biserka sa perjanicom
291,Guttera verreauxi,AF,GALLIFORMES,Numididae,Western Crested Guineafowl
292,Guttera pucherani,AF,GALLIFORMES,Numididae,Ćubasta biserka
293,Guttera edouardi,AF,GALLIFORMES,Numididae,Southern Crested Guineafowl
294,Acryllium vulturinum,AF,GALLIFORMES,Numididae,Lešinarska biserka
295,Ptilopachus petrosus,AF,GALLIFORMES,Odontophoridae,Mala afrička kamenjarka
296,Ptilopachus nahani,AF,GALLIFORMES,Odontophoridae,Nahanov frankolin
297,Dendrortyx leucophrys,MA,GALLIFORMES,Odontophoridae,Žutokruna šumska jarebica
298,Dendrortyx macroura,MA,GALLIFORMES,Odontophoridae,Dugorepa šumska jarebica
299,Dendrortyx barbatus,MA,GALLIFORMES,Odontophoridae,Bradata šumska jarebica
300,Oreortyx pictus,"NA, MA",GALLIFORMES,Odontophoridae,Planinska ćubasta prepelica
301,Callipepla squamata,"NA, MA",GALLIFORMES,Odontophoridae,Ljuskava prepelica
302,Callipepla douglasii,MA,GALLIFORMES,Odontophoridae,Daglasova prepelica
303,Callipepla californica,"NA, MA",GALLIFORMES,Odontophoridae,Kalifornijska prepelica
304,Callipepla gambelii,"NA, MA",GALLIFORMES,Odontophoridae,Gambelova prepelica
305,Philortyx fasciatus,MA,GALLIFORMES,Odontophoridae,Prugasta meksička prepelica
306,Colinus virginianus,"NA, MA",GALLIFORMES,Odontophoridae,Virdžinijska prepelica
307,Colinus nigrogularis,MA,GALLIFORMES,Odontophoridae,Crnogrla kolinus prepelica
308,Colinus leucopogon,MA,GALLIFORMES,Odontophoridae,Spot-bellied Bobwhite
309,Colinus cristatus,"MA, SA",GALLIFORMES,Odontophoridae,Ćubasta kolinus prepelica
310,Odontophorus gujanensis,"MA, SA",GALLIFORMES,Odontophoridae,Mramorasta šumska prepelica
311,Odontophorus capueira,SA,GALLIFORMES,Odontophoridae,Šumska prepelica pegavih krila
312,Odontophorus melanotis,MA,GALLIFORMES,Odontophoridae,Crnouha šumska prepelica
313,Odontophorus erythrops,SA,GALLIFORMES,Odontophoridae,Šumska prepelica riđeg čela
314,Odontophorus atrifrons,SA,GALLIFORMES,Odontophoridae,Crnočela šumska prepelica
315,Odontophorus hyperythrus,SA,GALLIFORMES,Odontophoridae,Kestenjasta šumska prepelica
316,Odontophorus melanonotus,SA,GALLIFORMES,Odontophoridae,Šumska prepelica tamnih leđa
317,Odontophorus speciosus,SA,GALLIFORMES,Odontophoridae,Šumska prepelica riđih grudi
318,Odontophorus dialeucos,"MA, SA",GALLIFORMES,Odontophoridae,Šumska prepelica iz Takarkune
319,Odontophorus strophium,SA,GALLIFORMES,Odontophoridae,Ogrličasta šumska prepelica
320,Odontophorus columbianus,SA,GALLIFORMES,Odontophoridae,Venecuelanska šumska prepelica
321,Odontophorus leucolaemus,MA,GALLIFORMES,Odontophoridae,Crnogruda šumska prepelica
322,Odontophorus balliviani,SA,GALLIFORMES,Odontophoridae,Šumska prepelica sa prugastim licem
323,Odontophorus stellatus,SA,GALLIFORMES,Odontophoridae,Zvezdasta šumska prepelica
324,Odontophorus guttatus,MA,GALLIFORMES,Odontophoridae,Pegava šumska prepelica
