,IOC,Breeding Range,Order,Family,Estonian
302,Callipepla douglasii,MA,GALLIFORMES,Odontophoridae,võsa-tuttvutt
303,Callipepla californica,"NA, MA",GALLIFORMES,Odontophoridae,kalifornia tuttvutt
304,Callipepla gambelii,"NA, MA",GALLIFORMES,Odontophoridae,kõrbe-tuttvutt
305,Philortyx fasciatus,MA,GALLIFORMES,Odontophoridae,vööt-tuttvutt
306,Colinus virginianus,"NA, MA",GALLIFORMES,Odontophoridae,nurmvutt
307,Colinus nigrogularis,MA,GALLIFORMES,Odontophoridae,mustkurk-nurmvutt
308,Colinus leucopogon,MA,GALLIFORMES,Odontophoridae,täpik-nurmvutt
309,Colinus cristatus,"MA, SA",GALLIFORMES,Odontophoridae,lõuna-nurmvutt
310,Odontophorus gujanensis,"MA, SA",GALLIFORMES,Odontophoridae,pruun-selvavutt
311,Odontophorus capueira,SA,GALLIFORMES,Odontophoridae,hall-selvavutt
312,Odontophorus melanotis,MA,GALLIFORMES,Odontophoridae,tanu-selvavutt
313,Odontophorus erythrops,SA,GALLIFORMES,Odontophoridae,manisk-selvavutt
314,Odontophorus atrifrons,SA,GALLIFORMES,Odontophoridae,mustpõsk-selvavutt
315,Odontophorus hyperythrus,SA,GALLIFORMES,Odontophoridae,prill-selvavutt
316,Odontophorus melanonotus,SA,GALLIFORMES,Odontophoridae,tume-selvavutt
317,Odontophorus speciosus,SA,GALLIFORMES,Odontophoridae,peruu selvavutt
318,Odontophorus dialeucos,"MA, SA",GALLIFORMES,Odontophoridae,panama selvavutt
319,Odontophorus strophium,SA,GALLIFORMES,Odontophoridae,tamme-selvavutt
320,Odontophorus columbianus,SA,GALLIFORMES,Odontophoridae,venetsueela selvavutt
321,Odontophorus leucolaemus,MA,GALLIFORMES,Odontophoridae,mustrind-selvavutt
322,Odontophorus balliviani,SA,GALLIFORMES,Odontophoridae,aimaraa selvavutt
323,Odontophorus stellatus,SA,GALLIFORMES,Odontophoridae,paruk-selvavutt
324,Odontophorus guttatus,MA,GALLIFORMES,Odontophoridae,põhja-selvavutt
325,Dactylortyx thoracicus,MA,GALLIFORMES,Odontophoridae,lauluvutt
326,Cyrtonyx montezumae,"NA, MA",GALLIFORMES,Odontophoridae,mehhiko maskvutt
327,Cyrtonyx ocellatus,MA,GALLIFORMES,Odontophoridae,maia maskvutt
328,Rhynchortyx cinctus,"MA, SA",GALLIFORMES,Odontophoridae,roostepõsk-vutt
329,Xenoperdix udzungwensis,AF,GALLIFORMES,Phasianidae,udzungwa nõlvakana
330,Xenoperdix obscuratus,AF,GALLIFORMES,Phasianidae,Rubeho Forest Partridge
331,Caloperdix oculeus,OR,GALLIFORMES,Phasianidae,roostekana
332,Rollulus rouloul,OR,GALLIFORMES,Phasianidae,tanukana
333,Melanoperdix niger,OR,GALLIFORMES,Phasianidae,nõgikana
334,Arborophila torqueola,OR,GALLIFORMES,Phasianidae,himaalaja künkakana
335,Arborophila rufipectus,OR,GALLIFORMES,Phasianidae,sichuani künkakana
