,IOC,Breeding Range,Order,Family,Estonian
8873,Ficedula sapphira,OR,PASSERIFORMES,Muscicapidae,Sapphire Flycatcher
8874,Ficedula superciliaris,OR,PASSERIFORMES,Muscicapidae,Ultramarine Flycatcher
8875,Ficedula westermanni,"OR, AU",PASSERIFORMES,Muscicapidae,Little Pied Flycatcher
8876,Ficedula ruficauda,PAL,PASSERIFORMES,Muscicapidae,Rusty-tailed Flycatcher
8877,Ficedula subrubra,OR,PASSERIFORMES,Muscicapidae,Kashmir Flycatcher
8878,Ficedula parva,PAL,PASSERIFORMES,Muscicapidae,väike-kärbsenäpp
8879,Ficedula albicilla,PAL,PASSERIFORMES,Muscicapidae,Taiga Flycatcher
8880,Ficedula semitorquata,PAL,PASSERIFORMES,Muscicapidae,tamme-kärbsenäpp
8881,Ficedula speculigera,AF,PASSERIFORMES,Muscicapidae,Atlas Pied Flycatcher
8882,Ficedula hypoleuca,PAL,PASSERIFORMES,Muscicapidae,must-kärbsenäpp
8883,Ficedula albicollis,PAL,PASSERIFORMES,Muscicapidae,kaelus-kärbsenäpp
8884,Ficedula nigrorufa,OR,PASSERIFORMES,Muscicapidae,Black-and-orange Flycatcher
8885,Ficedula riedeli,AU,PASSERIFORMES,Muscicapidae,Tanimbar Flycatcher
8886,Ficedula dumetoria,OR,PASSERIFORMES,Muscicapidae,Rufous-chested Flycatcher
8887,Ficedula disposita,OR,PASSERIFORMES,Muscicapidae,Furtive Flycatcher
8888,Ficedula platenae,OR,PASSERIFORMES,Muscicapidae,Palawan Flycatcher
8889,Ficedula rufigula,AU,PASSERIFORMES,Muscicapidae,Rufous-throated Flycatcher
8890,Ficedula buruensis,AU,PASSERIFORMES,Muscicapidae,Cinnamon-chested Flycatcher
8891,Ficedula harterti,AU,PASSERIFORMES,Muscicapidae,Sumba Flycatcher
8892,Ficedula timorensis,AU,PASSERIFORMES,Muscicapidae,Black-banded Flycatcher
8893,Ficedula basilanica,OR,PASSERIFORMES,Muscicapidae,Little Slaty Flycatcher
8894,Ficedula luzoniensis,OR,PASSERIFORMES,Muscicapidae,Bundok Flycatcher
8895,Ficedula crypta,OR,PASSERIFORMES,Muscicapidae,Cryptic Flycatcher
8896,Ficedula bonthaina,AU,PASSERIFORMES,Muscicapidae,Lompobattang Flycatcher
8897,Ficedula henrici,AU,PASSERIFORMES,Muscicapidae,Damar Flycatcher
8898,Tarsiger indicus,OR,PASSERIFORMES,Muscicapidae,valjas-sinisaba
8899,Tarsiger chrysaeus,OR,PASSERIFORMES,Muscicapidae,Golden Bush Robin
8900,Tarsiger johnstoniae,OR,PASSERIFORMES,Muscicapidae,Collared Bush Robin
8901,Tarsiger hyperythrus,OR,PASSERIFORMES,Muscicapidae,nulu-sinisaba
8902,Tarsiger cyanurus,PAL,PASSERIFORMES,Muscicapidae,sinisaba
8903,Tarsiger rufilatus,OR,PASSERIFORMES,Muscicapidae,Himalayan Bluetail
8904,Heteroxenicus stellatus,OR,PASSERIFORMES,Muscicapidae,Gould's Shortwing
8905,Phoenicurus erythronotus,PAL,PASSERIFORMES,Muscicapidae,punaselg-lepalind
8906,Phoenicurus frontalis,OR,PASSERIFORMES,Muscicapidae,sini-lepalind
8907,Phoenicurus coeruleocephala,PAL,PASSERIFORMES,Muscicapidae,valgekõht-lepalind
8908,Phoenicurus schisticeps,PAL,PASSERIFORMES,Muscicapidae,täht-lepalind
8909,Phoenicurus fuliginosus,OR,PASSERIFORMES,Muscicapidae,jõgi-lepalind
8910,Phoenicurus bicolor,OR,PASSERIFORMES,Muscicapidae,filipiini lepalind
8911,Phoenicurus leucocephalus,PAL,PASSERIFORMES,Muscicapidae,kärestiku-lepalind
8912,Phoenicurus alaschanicus,PAL,PASSERIFORMES,Muscicapidae,alashani lepalind
8913,Phoenicurus ochruros,"PAL, OR",PASSERIFORMES,Muscicapidae,must-lepalind
8914,Phoenicurus phoenicurus,PAL,PASSERIFORMES,Muscicapidae,lepalind e. aed-lepalind
8915,Phoenicurus moussieri,AF,PASSERIFORMES,Muscicapidae,diadeem-lepalind
8916,Phoenicurus auroreus,PAL,PASSERIFORMES,Muscicapidae,mustselg-lepalind
8917,Phoenicurus hodgsoni,OR,PASSERIFORMES,Muscicapidae,tiibeti lepalind
8918,Phoenicurus erythrogastrus,PAL,PASSERIFORMES,Muscicapidae,mägi-lepalind
8919,Monticola cinclorhyncha,OR,PASSERIFORMES,Muscicapidae,Blue-capped Rock Thrush
8920,Monticola gularis,PAL,PASSERIFORMES,Muscicapidae,White-throated Rock Thrush
8921,Monticola rufiventris,OR,PASSERIFORMES,Muscicapidae,Chestnut-bellied Rock Thrush
8922,Monticola brevipes,AF,PASSERIFORMES,Muscicapidae,Short-toed Rock Thrush
8923,Monticola explorator,AF,PASSERIFORMES,Muscicapidae,Sentinel Rock Thrush
8924,Monticola erythronotus,AF,PASSERIFORMES,Muscicapidae,Amber Mountain Rock Thrush
8925,Monticola sharpei,AF,PASSERIFORMES,Muscicapidae,Forest Rock Thrush
8926,Monticola imerina,AF,PASSERIFORMES,Muscicapidae,Littoral Rock Thrush
8927,Monticola rufocinereus,AF,PASSERIFORMES,Muscicapidae,väike-kivirästas
8928,Monticola saxatilis,PAL,PASSERIFORMES,Muscicapidae,kivirästas
8929,Monticola solitarius,"PAL, OR",PASSERIFORMES,Muscicapidae,sini-kivirästas
8930,Monticola semirufus,AF,PASSERIFORMES,Muscicapidae,White-winged Cliff Chat
8931,Monticola rupestris,AF,PASSERIFORMES,Muscicapidae,Cape Rock Thrush
8932,Monticola angolensis,AF,PASSERIFORMES,Muscicapidae,Miombo Rock Thrush
8933,Saxicola jerdoni,OR,PASSERIFORMES,Muscicapidae,lammitäks
8934,Saxicola ferreus,OR,PASSERIFORMES,Muscicapidae,valgekulm-täks
8935,Saxicola rubetra,PAL,PASSERIFORMES,Muscicapidae,kadakatäks
8936,Saxicola macrorhynchus,OR,PASSERIFORMES,Muscicapidae,kapparitäks
8937,Saxicola gutturalis,AU,PASSERIFORMES,Muscicapidae,timori täks
8938,Saxicola caprata,"PAL, OR, AU",PASSERIFORMES,Muscicapidae,nõgitäks
8939,Saxicola insignis,PAL,PASSERIFORMES,Muscicapidae,suurtäks
8940,Saxicola leucurus,OR,PASSERIFORMES,Muscicapidae,suhkruroo-täks
8941,Saxicola stejnegeri,PAL,PASSERIFORMES,Muscicapidae,Amur Stonechat
8942,Saxicola torquatus,AF,PASSERIFORMES,Muscicapidae,kaelustäks
8943,Saxicola sibilla,AF,PASSERIFORMES,Muscicapidae,Madagascar Stonechat
8944,Saxicola tectes,IO,PASSERIFORMES,Muscicapidae,réunioni kaelustäks
8945,Saxicola maurus,PAL,PASSERIFORMES,Muscicapidae,niidu-kaelustäks
8946,Saxicola rubicola,PAL,PASSERIFORMES,Muscicapidae,euroopa kaelustäks
8947,Saxicola dacotiae,AF,PASSERIFORMES,Muscicapidae,kanaari kaelustäks
8948,Campicoloides bifasciatus,AF,PASSERIFORMES,Muscicapidae,aaloetäks
8949,Emarginata schlegelii,AF,PASSERIFORMES,Muscicapidae,suur-kaljutäks
8950,Emarginata tractrac,AF,PASSERIFORMES,Muscicapidae,hõbe-kaljutäks
8951,Emarginata sinuata,AF,PASSERIFORMES,Muscicapidae,karoo kaljutäks
8952,Pinarochroa sordida,AF,PASSERIFORMES,Muscicapidae,mägi-kaljutäks
8953,Thamnolaea cinnamomeiventris,AF,PASSERIFORMES,Muscicapidae,Mocking Cliff Chat
8954,Thamnolaea coronata,AF,PASSERIFORMES,Muscicapidae,hallpea-viigitäks
8955,Myrmecocichla aethiops,AF,PASSERIFORMES,Muscicapidae,põhja-termiiditäks
8956,Myrmecocichla tholloni,AF,PASSERIFORMES,Muscicapidae,hele-termiiditäks
8957,Myrmecocichla formicivora,AF,PASSERIFORMES,Muscicapidae,Ant-eating Chat
8958,Myrmecocichla monticola,AF,PASSERIFORMES,Muscicapidae,valgeõlg-kivitäks
8959,Myrmecocichla nigra,AF,PASSERIFORMES,Muscicapidae,must-termiiditäks
8960,Myrmecocichla melaena,AF,PASSERIFORMES,Muscicapidae,Rüppell's Black Chat
8961,Myrmecocichla collaris,AF,PASSERIFORMES,Muscicapidae,Ruaha Chat
8962,Myrmecocichla arnotti,AF,PASSERIFORMES,Muscicapidae,miombotäks
8963,Oenanthe oenanthe,PAL,PASSERIFORMES,Muscicapidae,kivitäks
8964,Oenanthe seebohmi,AF,PASSERIFORMES,Muscicapidae,atlase kivitäks
8965,Oenanthe pileata,AF,PASSERIFORMES,Muscicapidae,vöö-kivitäks
8966,Oenanthe bottae,PAL,PASSERIFORMES,Muscicapidae,ruugerind-kivitäks
8967,Oenanthe frenata,AF,PASSERIFORMES,Muscicapidae,Rusty-breasted Wheatear
8968,Oenanthe isabellina,PAL,PASSERIFORMES,Muscicapidae,liiv-kivitäks
8969,Oenanthe heuglinii,AF,PASSERIFORMES,Muscicapidae,sudaani kivitäks
8970,Oenanthe monacha,PAL,PASSERIFORMES,Muscicapidae,munk-kivitäks
8971,Oenanthe deserti,PAL,PASSERIFORMES,Muscicapidae,kõrbe-kivitäks
8972,Oenanthe hispanica,PAL,PASSERIFORMES,Muscicapidae,vahemere kivitäks
8973,Oenanthe pleschanka,PAL,PASSERIFORMES,Muscicapidae,nunn-kivitäks
8974,Oenanthe melanoleuca,PAL,PASSERIFORMES,Muscicapidae,Eastern Black-eared Wheatear
8975,Oenanthe cypriaca,PAL,PASSERIFORMES,Muscicapidae,küprose kivitäks
8976,Oenanthe albifrons,AF,PASSERIFORMES,Muscicapidae,lauktäks
8977,Oenanthe phillipsi,AF,PASSERIFORMES,Muscicapidae,somaali kivitäks
8978,Oenanthe moesta,"PAL, AF",PASSERIFORMES,Muscicapidae,berberi kivitäks
8979,Oenanthe melanura,"PAL, AF",PASSERIFORMES,Muscicapidae,mustsaba-kaljutäks
8980,Oenanthe familiaris,AF,PASSERIFORMES,Muscicapidae,punasaba-kaljutäks
8981,Oenanthe scotocerca,AF,PASSERIFORMES,Muscicapidae,vadi-kaljutäks
8982,Oenanthe dubia,AF,PASSERIFORMES,Muscicapidae,awashi kaljutäks
8983,Oenanthe fusca,OR,PASSERIFORMES,Muscicapidae,india kaljutäks
8984,Oenanthe picata,PAL,PASSERIFORMES,Muscicapidae,kõnnu-kivitäks
8985,Oenanthe finschii,PAL,PASSERIFORMES,Muscicapidae,kahkselg-kivitäks
8986,Oenanthe halophila,AF,PASSERIFORMES,Muscicapidae,magribi leina-kivitäks
8987,Oenanthe lugens,"PAL, AF",PASSERIFORMES,Muscicapidae,leina-kivitäks
8988,Oenanthe warriae,PAL,PASSERIFORMES,Muscicapidae,Basalt Wheatear
8989,Oenanthe xanthoprymna,PAL,PASSERIFORMES,Muscicapidae,punapära-kivitäks
8990,Oenanthe chrysopygia,PAL,PASSERIFORMES,Muscicapidae,pärsia kivitäks
8991,Oenanthe leucopyga,"AF, PAL",PASSERIFORMES,Muscicapidae,tanu-kivitäks
8992,Oenanthe albonigra,PAL,PASSERIFORMES,Muscicapidae,harak-kivitäks
8993,Oenanthe leucura,PAL,PASSERIFORMES,Muscicapidae,must-kivitäks
8994,Oenanthe lugentoides,PAL,PASSERIFORMES,Muscicapidae,araabia kivitäks
8995,Oenanthe lugubris,AF,PASSERIFORMES,Muscicapidae,etioopia kivitäks
8996,Cinclus cinclus,PAL,PASSERIFORMES,Cinclidae,vesipapp
8997,Cinclus pallasii,PAL,PASSERIFORMES,Cinclidae,tõmmu-vesipapp
8998,Cinclus mexicanus,"NA, MA",PASSERIFORMES,Cinclidae,hall-vesipapp
8999,Cinclus leucocephalus,SA,PASSERIFORMES,Cinclidae,andi vesipapp
9000,Cinclus schulzii,SA,PASSERIFORMES,Cinclidae,punakurk-vesipapp
9001,Chloropsis flavipennis,OR,PASSERIFORMES,Chloropseidae,filipiini viherlüüdik
9002,Chloropsis palawanensis,OR,PASSERIFORMES,Chloropseidae,palawani viherlüüdik
9003,Chloropsis sonnerati,OR,PASSERIFORMES,Chloropseidae,suur-viherlüüdik
9004,Chloropsis cyanopogon,OR,PASSERIFORMES,Chloropseidae,väike-viherlüüdik
9005,Chloropsis moluccensis,OR,PASSERIFORMES,Chloropseidae,Blue-winged Leafbird
9006,Chloropsis cochinchinensis,OR,PASSERIFORMES,Chloropseidae,sinitiib-viherlüüdik
9007,Chloropsis kinabaluensis,OR,PASSERIFORMES,Chloropseidae,mägi-viherlüüdik
9008,Chloropsis jerdoni,OR,PASSERIFORMES,Chloropseidae,india viherlüüdik
9009,Chloropsis aurifrons,OR,PASSERIFORMES,Chloropseidae,tanu-viherlüüdik
9010,Chloropsis media,OR,PASSERIFORMES,Chloropseidae,koldlaup-viherlüüdik
9011,Chloropsis hardwickii,OR,PASSERIFORMES,Chloropseidae,ruugekõht-viherlüüdik
9012,Chloropsis venusta,OR,PASSERIFORMES,Chloropseidae,Blue-masked Leafbird
9013,Prionochilus olivaceus,OR,PASSERIFORMES,Dicaeidae,Olive-backed Flowerpecker
9014,Prionochilus maculatus,OR,PASSERIFORMES,Dicaeidae,Yellow-breasted Flowerpecker
9015,Prionochilus percussus,OR,PASSERIFORMES,Dicaeidae,Crimson-breasted Flowerpecker
9016,Prionochilus plateni,OR,PASSERIFORMES,Dicaeidae,Palawan Flowerpecker
9017,Prionochilus xanthopygius,OR,PASSERIFORMES,Dicaeidae,Yellow-rumped Flowerpecker
9018,Prionochilus thoracicus,OR,PASSERIFORMES,Dicaeidae,Scarlet-breasted Flowerpecker
9019,Dicaeum dayakorum,OR,PASSERIFORMES,Dicaeidae,Spectacled Flowerpecker
9020,Dicaeum annae,AU,PASSERIFORMES,Dicaeidae,Golden-rumped Flowerpecker
9021,Dicaeum agile,OR,PASSERIFORMES,Dicaeidae,Thick-billed Flowerpecker
9022,Dicaeum aeruginosum,OR,PASSERIFORMES,Dicaeidae,Striped Flowerpecker
9023,Dicaeum everetti,OR,PASSERIFORMES,Dicaeidae,Brown-backed Flowerpecker
9024,Dicaeum proprium,OR,PASSERIFORMES,Dicaeidae,Whiskered Flowerpecker
9025,Dicaeum chrysorrheum,OR,PASSERIFORMES,Dicaeidae,Yellow-vented Flowerpecker
9026,Dicaeum melanozanthum,OR,PASSERIFORMES,Dicaeidae,Yellow-bellied Flowerpecker
9027,Dicaeum vincens,OR,PASSERIFORMES,Dicaeidae,Legge's Flowerpecker
9028,Dicaeum aureolimbatum,AU,PASSERIFORMES,Dicaeidae,Yellow-sided Flowerpecker
9029,Dicaeum nigrilore,OR,PASSERIFORMES,Dicaeidae,Olive-capped Flowerpecker
9030,Dicaeum anthonyi,OR,PASSERIFORMES,Dicaeidae,Yellow-crowned Flowerpecker
9031,Dicaeum kampalili,OR,PASSERIFORMES,Dicaeidae,Flame-crowned Flowerpecker
9032,Dicaeum bicolor,OR,PASSERIFORMES,Dicaeidae,Bicolored Flowerpecker
9033,Dicaeum australe,OR,PASSERIFORMES,Dicaeidae,Red-keeled Flowerpecker
9034,Dicaeum haematostictum,OR,PASSERIFORMES,Dicaeidae,Black-belted Flowerpecker
9035,Dicaeum retrocinctum,OR,PASSERIFORMES,Dicaeidae,Scarlet-collared Flowerpecker
9036,Dicaeum quadricolor,OR,PASSERIFORMES,Dicaeidae,Cebu Flowerpecker
9037,Dicaeum trigonostigma,OR,PASSERIFORMES,Dicaeidae,Orange-bellied Flowerpecker
9038,Dicaeum hypoleucum,OR,PASSERIFORMES,Dicaeidae,Buzzing Flowerpecker
9039,Dicaeum erythrorhynchos,OR,PASSERIFORMES,Dicaeidae,Pale-billed Flowerpecker
9040,Dicaeum concolor,OR,PASSERIFORMES,Dicaeidae,Nilgiri Flowerpecker
9041,Dicaeum minullum,OR,PASSERIFORMES,Dicaeidae,Plain Flowerpecker
9042,Dicaeum virescens,OR,PASSERIFORMES,Dicaeidae,Andaman Flowerpecker
9043,Dicaeum pygmaeum,OR,PASSERIFORMES,Dicaeidae,Pygmy Flowerpecker
9044,Dicaeum nehrkorni,AU,PASSERIFORMES,Dicaeidae,Crimson-crowned Flowerpecker
9045,Dicaeum erythrothorax,AU,PASSERIFORMES,Dicaeidae,Buru Flowerpecker
9046,Dicaeum schistaceiceps,AU,PASSERIFORMES,Dicaeidae,Halmahera Flowerpecker
9047,Dicaeum vulneratum,AU,PASSERIFORMES,Dicaeidae,Ashy Flowerpecker
9048,Dicaeum pectorale,AU,PASSERIFORMES,Dicaeidae,Olive-crowned Flowerpecker
9049,Dicaeum geelvinkianum,AU,PASSERIFORMES,Dicaeidae,Red-capped Flowerpecker
9050,Dicaeum nitidum,AU,PASSERIFORMES,Dicaeidae,Louisiade Flowerpecker
9051,Dicaeum eximium,AU,PASSERIFORMES,Dicaeidae,Red-banded Flowerpecker
9052,Dicaeum aeneum,AU,PASSERIFORMES,Dicaeidae,Midget Flowerpecker
9053,Dicaeum tristrami,AU,PASSERIFORMES,Dicaeidae,Mottled Flowerpecker
9054,Dicaeum igniferum,AU,PASSERIFORMES,Dicaeidae,Black-fronted Flowerpecker
9055,Dicaeum maugei,AU,PASSERIFORMES,Dicaeidae,Blue-cheeked Flowerpecker
9056,Dicaeum hirundinaceum,AU,PASSERIFORMES,Dicaeidae,Mistletoebird
9057,Dicaeum celebicum,AU,PASSERIFORMES,Dicaeidae,Grey-sided Flowerpecker
9058,Dicaeum monticolum,OR,PASSERIFORMES,Dicaeidae,Black-sided Flowerpecker
9059,Dicaeum ignipectus,OR,PASSERIFORMES,Dicaeidae,Fire-breasted Flowerpecker
9060,Dicaeum sanguinolentum,OR,PASSERIFORMES,Dicaeidae,Blood-breasted Flowerpecker
9061,Dicaeum cruentatum,OR,PASSERIFORMES,Dicaeidae,Scarlet-backed Flowerpecker
9062,Dicaeum trochileum,OR,PASSERIFORMES,Dicaeidae,Scarlet-headed Flowerpecker
9063,Chalcoparia singalensis,OR,PASSERIFORMES,Nectariniidae,Ruby-cheeked Sunbird
9064,Deleornis fraseri,AF,PASSERIFORMES,Nectariniidae,Fraser's Sunbird
9065,Deleornis axillaris,AF,PASSERIFORMES,Nectariniidae,Grey-headed Sunbird
9066,Anthreptes reichenowi,AF,PASSERIFORMES,Nectariniidae,Plain-backed Sunbird
9067,Anthreptes anchietae,AF,PASSERIFORMES,Nectariniidae,Anchieta's Sunbird
9068,Anthreptes simplex,OR,PASSERIFORMES,Nectariniidae,Plain Sunbird
9069,Anthreptes malacensis,"OR, AU",PASSERIFORMES,Nectariniidae,Brown-throated Sunbird
9070,Anthreptes griseigularis,OR,PASSERIFORMES,Nectariniidae,Grey-throated Sunbird
9071,Anthreptes rhodolaemus,OR,PASSERIFORMES,Nectariniidae,Red-throated Sunbird
9072,Anthreptes gabonicus,AF,PASSERIFORMES,Nectariniidae,Mangrove Sunbird
9073,Anthreptes longuemarei,AF,PASSERIFORMES,Nectariniidae,Western Violet-backed Sunbird
9074,Anthreptes orientalis,AF,PASSERIFORMES,Nectariniidae,Eastern Violet-backed Sunbird
9075,Anthreptes neglectus,AF,PASSERIFORMES,Nectariniidae,Uluguru Violet-backed Sunbird
9076,Anthreptes aurantius,AF,PASSERIFORMES,Nectariniidae,Violet-tailed Sunbird
9077,Anthreptes seimundi,AF,PASSERIFORMES,Nectariniidae,Little Green Sunbird
9078,Anthreptes rectirostris,AF,PASSERIFORMES,Nectariniidae,Yellow-chinned Sunbird
9079,Anthreptes tephrolaemus,AF,PASSERIFORMES,Nectariniidae,Grey-chinned Sunbird
9080,Anthreptes rubritorques,AF,PASSERIFORMES,Nectariniidae,Banded Green Sunbird
9081,Hedydipna collaris,AF,PASSERIFORMES,Nectariniidae,Collared Sunbird
9082,Hedydipna platura,AF,PASSERIFORMES,Nectariniidae,Pygmy Sunbird
9083,Hedydipna metallica,AF,PASSERIFORMES,Nectariniidae,niiluse nektarilind
9084,Hedydipna pallidigaster,AF,PASSERIFORMES,Nectariniidae,Amani Sunbird
9085,Anabathmis reichenbachii,AF,PASSERIFORMES,Nectariniidae,Reichenbach's Sunbird
9086,Anabathmis hartlaubii,AF,PASSERIFORMES,Nectariniidae,Principe Sunbird
9087,Anabathmis newtonii,AF,PASSERIFORMES,Nectariniidae,Newton's Sunbird
9088,Dreptes thomensis,AF,PASSERIFORMES,Nectariniidae,Giant Sunbird
9089,Anthobaphes violacea,AF,PASSERIFORMES,Nectariniidae,Orange-breasted Sunbird
9090,Cyanomitra verticalis,AF,PASSERIFORMES,Nectariniidae,Green-headed Sunbird
9091,Cyanomitra bannermani,AF,PASSERIFORMES,Nectariniidae,Bannerman's Sunbird
9092,Cyanomitra cyanolaema,AF,PASSERIFORMES,Nectariniidae,Blue-throated Brown Sunbird
9093,Cyanomitra oritis,AF,PASSERIFORMES,Nectariniidae,Cameroon Sunbird
9094,Cyanomitra alinae,AF,PASSERIFORMES,Nectariniidae,Blue-headed Sunbird
9095,Cyanomitra olivacea,AF,PASSERIFORMES,Nectariniidae,Olive Sunbird
9096,Cyanomitra veroxii,AF,PASSERIFORMES,Nectariniidae,Grey Sunbird
9097,Chalcomitra adelberti,AF,PASSERIFORMES,Nectariniidae,Buff-throated Sunbird
9098,Chalcomitra fuliginosa,AF,PASSERIFORMES,Nectariniidae,Carmelite Sunbird
9099,Chalcomitra rubescens,AF,PASSERIFORMES,Nectariniidae,Green-throated Sunbird
9100,Chalcomitra amethystina,AF,PASSERIFORMES,Nectariniidae,Amethyst Sunbird
9101,Chalcomitra senegalensis,AF,PASSERIFORMES,Nectariniidae,Scarlet-chested Sunbird
9102,Chalcomitra hunteri,AF,PASSERIFORMES,Nectariniidae,Hunter's Sunbird
9103,Chalcomitra balfouri,AF,PASSERIFORMES,Nectariniidae,Socotra Sunbird
9104,Leptocoma zeylonica,OR,PASSERIFORMES,Nectariniidae,Purple-rumped Sunbird
9105,Leptocoma minima,OR,PASSERIFORMES,Nectariniidae,Crimson-backed Sunbird
9106,Leptocoma sperata,OR,PASSERIFORMES,Nectariniidae,Purple-throated Sunbird
9107,Leptocoma brasiliana,OR,PASSERIFORMES,Nectariniidae,Van Hasselt's Sunbird
9108,Leptocoma aspasia,AU,PASSERIFORMES,Nectariniidae,Black Sunbird
9109,Leptocoma calcostetha,OR,PASSERIFORMES,Nectariniidae,Copper-throated Sunbird
9110,Nectarinia bocagii,AF,PASSERIFORMES,Nectariniidae,Bocage's Sunbird
9111,Nectarinia purpureiventris,AF,PASSERIFORMES,Nectariniidae,Purple-breasted Sunbird
9112,Nectarinia tacazze,AF,PASSERIFORMES,Nectariniidae,Tacazze Sunbird
9113,Nectarinia kilimensis,AF,PASSERIFORMES,Nectariniidae,Bronzy Sunbird
9114,Nectarinia famosa,AF,PASSERIFORMES,Nectariniidae,Malachite Sunbird
9115,Nectarinia johnstoni,AF,PASSERIFORMES,Nectariniidae,pikksaba-nektarilind
9116,Drepanorhynchus reichenowi,AF,PASSERIFORMES,Nectariniidae,Golden-winged Sunbird
9117,Cinnyris chloropygius,AF,PASSERIFORMES,Nectariniidae,Olive-bellied Sunbird
9118,Cinnyris minullus,AF,PASSERIFORMES,Nectariniidae,Tiny Sunbird
9119,Cinnyris manoensis,AF,PASSERIFORMES,Nectariniidae,Eastern Miombo Sunbird
9120,Cinnyris gertrudis,AF,PASSERIFORMES,Nectariniidae,Western Miombo Sunbird
9121,Cinnyris chalybeus,AF,PASSERIFORMES,Nectariniidae,Southern Double-collared Sunbird
9122,Cinnyris neergaardi,AF,PASSERIFORMES,Nectariniidae,Neergaard's Sunbird
9123,Cinnyris stuhlmanni,AF,PASSERIFORMES,Nectariniidae,Rwenzori Double-collared Sunbird
9124,Cinnyris whytei,AF,PASSERIFORMES,Nectariniidae,Whyte's Double-collared Sunbird
9125,Cinnyris prigoginei,AF,PASSERIFORMES,Nectariniidae,Prigogine's Double-collared Sunbird
9126,Cinnyris ludovicensis,AF,PASSERIFORMES,Nectariniidae,Ludwig's Double-collared Sunbird
9127,Cinnyris reichenowi,AF,PASSERIFORMES,Nectariniidae,Northern Double-collared Sunbird
9128,Cinnyris afer,AF,PASSERIFORMES,Nectariniidae,Greater Double-collared Sunbird
9129,Cinnyris regius,AF,PASSERIFORMES,Nectariniidae,Regal Sunbird
9130,Cinnyris rockefelleri,AF,PASSERIFORMES,Nectariniidae,Rockefeller's Sunbird
9131,Cinnyris mediocris,AF,PASSERIFORMES,Nectariniidae,Eastern Double-collared Sunbird
9132,Cinnyris usambaricus,AF,PASSERIFORMES,Nectariniidae,Usambara Double-collared Sunbird
9133,Cinnyris fuelleborni,AF,PASSERIFORMES,Nectariniidae,Forest Double-collared Sunbird
9134,Cinnyris moreaui,AF,PASSERIFORMES,Nectariniidae,Moreau's Sunbird
9135,Cinnyris loveridgei,AF,PASSERIFORMES,Nectariniidae,Loveridge's Sunbird
9136,Cinnyris pulchellus,AF,PASSERIFORMES,Nectariniidae,Beautiful Sunbird
9137,Cinnyris mariquensis,AF,PASSERIFORMES,Nectariniidae,Marico Sunbird
9138,Cinnyris shelleyi,AF,PASSERIFORMES,Nectariniidae,Shelley's Sunbird
9139,Cinnyris hofmanni,AF,PASSERIFORMES,Nectariniidae,Hofmann's Sunbird
9140,Cinnyris congensis,AF,PASSERIFORMES,Nectariniidae,Congo Sunbird
9141,Cinnyris erythrocercus,AF,PASSERIFORMES,Nectariniidae,Red-chested Sunbird
9142,Cinnyris nectarinioides,AF,PASSERIFORMES,Nectariniidae,Black-bellied Sunbird
9143,Cinnyris bifasciatus,AF,PASSERIFORMES,Nectariniidae,Purple-banded Sunbird
9144,Cinnyris tsavoensis,AF,PASSERIFORMES,Nectariniidae,Tsavo Sunbird
9145,Cinnyris chalcomelas,AF,PASSERIFORMES,Nectariniidae,Violet-breasted Sunbird
9146,Cinnyris pembae,IO,PASSERIFORMES,Nectariniidae,Pemba Sunbird
9147,Cinnyris bouvieri,AF,PASSERIFORMES,Nectariniidae,Orange-tufted Sunbird
9148,Cinnyris osea,AF,PASSERIFORMES,Nectariniidae,araabia nektarilind
9149,Cinnyris hellmayri,PAL,PASSERIFORMES,Nectariniidae,Arabian Sunbird
9150,Cinnyris habessinicus,AF,PASSERIFORMES,Nectariniidae,Shining Sunbird
9151,Cinnyris coccinigastrus,AF,PASSERIFORMES,Nectariniidae,Splendid Sunbird
9152,Cinnyris johannae,AF,PASSERIFORMES,Nectariniidae,Johanna's Sunbird
9153,Cinnyris superbus,AF,PASSERIFORMES,Nectariniidae,Superb Sunbird
9154,Cinnyris rufipennis,AF,PASSERIFORMES,Nectariniidae,Rufous-winged Sunbird
9155,Cinnyris oustaleti,AF,PASSERIFORMES,Nectariniidae,Oustalet's Sunbird
9156,Cinnyris talatala,AF,PASSERIFORMES,Nectariniidae,White-bellied Sunbird
9157,Cinnyris venustus,AF,PASSERIFORMES,Nectariniidae,Variable Sunbird
9158,Cinnyris fuscus,AF,PASSERIFORMES,Nectariniidae,Dusky Sunbird
9159,Cinnyris ursulae,AF,PASSERIFORMES,Nectariniidae,Ursula's Sunbird
9160,Cinnyris batesi,AF,PASSERIFORMES,Nectariniidae,Bates's Sunbird
9161,Cinnyris cupreus,AF,PASSERIFORMES,Nectariniidae,Copper Sunbird
9162,Cinnyris asiaticus,"PAL, OR",PASSERIFORMES,Nectariniidae,Purple Sunbird
9163,Cinnyris jugularis,"OR, AU",PASSERIFORMES,Nectariniidae,Olive-backed Sunbird
9164,Cinnyris buettikoferi,AU,PASSERIFORMES,Nectariniidae,Apricot-breasted Sunbird
9165,Cinnyris solaris,AU,PASSERIFORMES,Nectariniidae,Flame-breasted Sunbird
9166,Cinnyris sovimanga,AF,PASSERIFORMES,Nectariniidae,Souimanga Sunbird
9167,Cinnyris notatus,AF,PASSERIFORMES,Nectariniidae,Malagasy Green Sunbird
