,IOC,Breeding Range,Order,Family,Scientific
9902,Spizella wortheni,MA,PASSERIFORMES,Passerellidae,Spizella wortheni
9903,Arremon basilicus,SA,PASSERIFORMES,Passerellidae,Arremon basilicus
9904,Arremon perijanus,SA,PASSERIFORMES,Passerellidae,Arremon perijanus
9905,Arremon costaricensis,MA,PASSERIFORMES,Passerellidae,Arremon costaricensis
9906,Arremon atricapillus,"MA, SA",PASSERIFORMES,Passerellidae,Arremon atricapillus
9907,Arremon phaeopleurus,SA,PASSERIFORMES,Passerellidae,Arremon phaeopleurus
9908,Arremon phygas,SA,PASSERIFORMES,Passerellidae,Arremon phygas
9909,Arremon assimilis,SA,PASSERIFORMES,Passerellidae,Arremon assimilis
9910,Arremon torquatus,SA,PASSERIFORMES,Passerellidae,Arremon torquatus
9911,Arremon aurantiirostris,"MA, SA",PASSERIFORMES,Passerellidae,Arremon aurantiirostris
9912,Arremon abeillei,SA,PASSERIFORMES,Passerellidae,Arremon abeillei
9913,Arremon schlegeli,SA,PASSERIFORMES,Passerellidae,Arremon schlegeli
9914,Arremon taciturnus,SA,PASSERIFORMES,Passerellidae,Arremon taciturnus
9915,Arremon franciscanus,SA,PASSERIFORMES,Passerellidae,Arremon franciscanus
9916,Arremon semitorquatus,SA,PASSERIFORMES,Passerellidae,Arremon semitorquatus
9917,Arremon dorbignii,SA,PASSERIFORMES,Passerellidae,Arremon dorbignii
9918,Arremon flavirostris,SA,PASSERIFORMES,Passerellidae,Arremon flavirostris
9919,Arremon virenticeps,MA,PASSERIFORMES,Passerellidae,Arremon virenticeps
9920,Arremon brunneinucha,"MA, SA",PASSERIFORMES,Passerellidae,Arremon brunneinucha
9921,Arremon crassirostris,MA,PASSERIFORMES,Passerellidae,Arremon crassirostris
9922,Arremon castaneiceps,SA,PASSERIFORMES,Passerellidae,Arremon castaneiceps
9923,Junco vulcani,MA,PASSERIFORMES,Passerellidae,Junco vulcani
9924,Junco insularis,MA,PASSERIFORMES,Passerellidae,Junco insularis
9925,Junco hyemalis,"NA, MA",PASSERIFORMES,Passerellidae,Junco hyemalis
9926,Junco phaeonotus,"NA, MA",PASSERIFORMES,Passerellidae,Junco phaeonotus
9927,Junco bairdi,MA,PASSERIFORMES,Passerellidae,Junco bairdi
9928,Zonotrichia capensis,"MA, SA",PASSERIFORMES,Passerellidae,Zonotrichia capensis
9929,Artemisiospiza belli,"NA, MA",PASSERIFORMES,Passerellidae,Artemisiospiza belli
9930,Oriturus superciliosus,MA,PASSERIFORMES,Passerellidae,Oriturus superciliosus
9931,Passerculus sandwichensis,"NA, MA",PASSERIFORMES,Passerellidae,Passerculus sandwichensis
9932,Xenospiza baileyi,MA,PASSERIFORMES,Passerellidae,Xenospiza baileyi
9933,Pezopetes capitalis,MA,PASSERIFORMES,Passerellidae,Pezopetes capitalis
9934,Melozone kieneri,MA,PASSERIFORMES,Passerellidae,Melozone kieneri
9935,Melozone fusca,"NA, MA",PASSERIFORMES,Passerellidae,Melozone fusca
9936,Melozone albicollis,MA,PASSERIFORMES,Passerellidae,Melozone albicollis
9937,Melozone aberti,"NA, MA",PASSERIFORMES,Passerellidae,Melozone aberti
9938,Melozone crissalis,"NA, MA",PASSERIFORMES,Passerellidae,Melozone crissalis
9939,Melozone leucotis,MA,PASSERIFORMES,Passerellidae,Melozone leucotis
9940,Melozone biarcuata,MA,PASSERIFORMES,Passerellidae,Melozone biarcuata
9941,Melozone cabanisi,MA,PASSERIFORMES,Passerellidae,Melozone cabanisi
9942,Aimophila rufescens,MA,PASSERIFORMES,Passerellidae,Aimophila rufescens
9943,Aimophila ruficeps,"NA, MA",PASSERIFORMES,Passerellidae,Aimophila ruficeps
9944,Aimophila notosticta,MA,PASSERIFORMES,Passerellidae,Aimophila notosticta
9945,Pipilo maculatus,"NA, MA",PASSERIFORMES,Passerellidae,Pipilo maculatus
9946,Pipilo ocai,MA,PASSERIFORMES,Passerellidae,Pipilo ocai
9947,Atlapetes pileatus,MA,PASSERIFORMES,Passerellidae,Atlapetes pileatus
9948,Atlapetes albinucha,"MA, SA",PASSERIFORMES,Passerellidae,Atlapetes albinucha
9949,Atlapetes tibialis,MA,PASSERIFORMES,Passerellidae,Atlapetes tibialis
9950,Atlapetes luteoviridis,MA,PASSERIFORMES,Passerellidae,Atlapetes luteoviridis
9951,Atlapetes albofrenatus,SA,PASSERIFORMES,Passerellidae,Atlapetes albofrenatus
9952,Atlapetes meridae,SA,PASSERIFORMES,Passerellidae,Atlapetes meridae
9953,Atlapetes personatus,SA,PASSERIFORMES,Passerellidae,Atlapetes personatus
9954,Atlapetes melanocephalus,SA,PASSERIFORMES,Passerellidae,Atlapetes melanocephalus
9955,Atlapetes semirufus,SA,PASSERIFORMES,Passerellidae,Atlapetes semirufus
9956,Atlapetes flaviceps,SA,PASSERIFORMES,Passerellidae,Atlapetes flaviceps
9957,Atlapetes fuscoolivaceus,SA,PASSERIFORMES,Passerellidae,Atlapetes fuscoolivaceus
9958,Atlapetes leucopis,SA,PASSERIFORMES,Passerellidae,Atlapetes leucopis
9959,Atlapetes albiceps,SA,PASSERIFORMES,Passerellidae,Atlapetes albiceps
9960,Atlapetes rufigenis,SA,PASSERIFORMES,Passerellidae,Atlapetes rufigenis
9961,Atlapetes crassus,SA,PASSERIFORMES,Passerellidae,Atlapetes crassus
9962,Atlapetes tricolor,SA,PASSERIFORMES,Passerellidae,Atlapetes tricolor
9963,Atlapetes schistaceus,SA,PASSERIFORMES,Passerellidae,Atlapetes schistaceus
9964,Atlapetes pallidinucha,SA,PASSERIFORMES,Passerellidae,Atlapetes pallidinucha
9965,Atlapetes blancae,SA,PASSERIFORMES,Passerellidae,Atlapetes blancae
9966,Atlapetes latinuchus,SA,PASSERIFORMES,Passerellidae,Atlapetes latinuchus
9967,Atlapetes nigrifrons,SA,PASSERIFORMES,Passerellidae,Atlapetes nigrifrons
9968,Atlapetes leucopterus,SA,PASSERIFORMES,Passerellidae,Atlapetes leucopterus
9969,Atlapetes pallidiceps,SA,PASSERIFORMES,Passerellidae,Atlapetes pallidiceps
9970,Atlapetes seebohmi,SA,PASSERIFORMES,Passerellidae,Atlapetes seebohmi
9971,Atlapetes nationi,SA,PASSERIFORMES,Passerellidae,Atlapetes nationi
9972,Atlapetes forbesi,SA,PASSERIFORMES,Passerellidae,Atlapetes forbesi
9973,Atlapetes melanopsis,SA,PASSERIFORMES,Passerellidae,Atlapetes melanopsis
9974,Atlapetes terborghi,SA,PASSERIFORMES,Passerellidae,Atlapetes terborghi
9975,Atlapetes canigenis,SA,PASSERIFORMES,Passerellidae,Atlapetes canigenis
9976,Atlapetes melanolaemus,SA,PASSERIFORMES,Passerellidae,Atlapetes melanolaemus
9977,Atlapetes rufinucha,SA,PASSERIFORMES,Passerellidae,Atlapetes rufinucha
9978,Atlapetes fulviceps,SA,PASSERIFORMES,Passerellidae,Atlapetes fulviceps
9979,Atlapetes citrinellus,SA,PASSERIFORMES,Passerellidae,Atlapetes citrinellus
9980,Zeledonia coronata,MA,PASSERIFORMES,Zeledoniidae,Zeledonia coronata
9981,Icteria virens,"NA, MA",PASSERIFORMES,Icteriidae,Icteria virens
9982,Xanthocephalus xanthocephalus,"NA, MA",PASSERIFORMES,Icteridae,Xanthocephalus xanthocephalus
9983,Sturnella neglecta,"NA, MA",PASSERIFORMES,Icteridae,Sturnella neglecta
9984,Sturnella magna,"NA, MA, SA",PASSERIFORMES,Icteridae,Sturnella magna
9985,Sturnella lilianae,"NA, MA",PASSERIFORMES,Icteridae,Sturnella lilianae
9986,Leistes militaris,"MA, SA",PASSERIFORMES,Icteridae,Leistes militaris
9987,Leistes superciliaris,SA,PASSERIFORMES,Icteridae,Leistes superciliaris
9988,Leistes bellicosus,SA,PASSERIFORMES,Icteridae,Leistes bellicosus
9989,Leistes loyca,SA,PASSERIFORMES,Icteridae,Leistes loyca
9990,Leistes defilippii,SA,PASSERIFORMES,Icteridae,Leistes defilippii
9991,Amblycercus holosericeus,"MA, SA",PASSERIFORMES,Icteridae,Amblycercus holosericeus
9992,Cassiculus melanicterus,MA,PASSERIFORMES,Icteridae,Cassiculus melanicterus
9993,Psarocolius wagleri,"MA, SA",PASSERIFORMES,Icteridae,Psarocolius wagleri
9994,Psarocolius angustifrons,SA,PASSERIFORMES,Icteridae,Psarocolius angustifrons
9995,Psarocolius atrovirens,SA,PASSERIFORMES,Icteridae,Psarocolius atrovirens
9996,Psarocolius decumanus,SA,PASSERIFORMES,Icteridae,Psarocolius decumanus
9997,Psarocolius viridis,SA,PASSERIFORMES,Icteridae,Psarocolius viridis
9998,Psarocolius bifasciatus,SA,PASSERIFORMES,Icteridae,Psarocolius bifasciatus
9999,Psarocolius montezuma,MA,PASSERIFORMES,Icteridae,Psarocolius montezuma
10000,Psarocolius guatimozinus,"MA, SA",PASSERIFORMES,Icteridae,Psarocolius guatimozinus
10001,Psarocolius cassini,SA,PASSERIFORMES,Icteridae,Psarocolius cassini
10002,Cacicus solitarius,SA,PASSERIFORMES,Icteridae,Cacicus solitarius
10003,Cacicus chrysopterus,SA,PASSERIFORMES,Icteridae,Cacicus chrysopterus
10004,Cacicus koepckeae,SA,PASSERIFORMES,Icteridae,Cacicus koepckeae
10005,Cacicus sclateri,SA,PASSERIFORMES,Icteridae,Cacicus sclateri
10006,Cacicus cela,"MA, SA",PASSERIFORMES,Icteridae,Cacicus cela
10007,Cacicus microrhynchus,"MA, SA",PASSERIFORMES,Icteridae,Cacicus microrhynchus
10008,Cacicus uropygialis,"MA, SA",PASSERIFORMES,Icteridae,Cacicus uropygialis
10009,Cacicus chrysonotus,SA,PASSERIFORMES,Icteridae,Cacicus chrysonotus
10010,Cacicus latirostris,SA,PASSERIFORMES,Icteridae,Cacicus latirostris
10011,Cacicus oseryi,SA,PASSERIFORMES,Icteridae,Cacicus oseryi
10012,Cacicus haemorrhous,SA,PASSERIFORMES,Icteridae,Cacicus haemorrhous
10013,Icterus parisorum,"NA, MA",PASSERIFORMES,Icteridae,Icterus parisorum
10014,Icterus chrysater,"MA, SA",PASSERIFORMES,Icteridae,Icterus chrysater
10015,Icterus graduacauda,"NA, MA",PASSERIFORMES,Icteridae,Icterus graduacauda
10016,Icterus auratus,MA,PASSERIFORMES,Icteridae,Icterus auratus
10017,Icterus gularis,"NA, MA",PASSERIFORMES,Icteridae,Icterus gularis
10018,Icterus nigrogularis,SA,PASSERIFORMES,Icteridae,Icterus nigrogularis
10019,Icterus pustulatus,MA,PASSERIFORMES,Icteridae,Icterus pustulatus
10020,Icterus abeillei,MA,PASSERIFORMES,Icteridae,Icterus abeillei
10021,Icterus mesomelas,"MA, SA",PASSERIFORMES,Icteridae,Icterus mesomelas
10022,Icterus pectoralis,MA,PASSERIFORMES,Icteridae,Icterus pectoralis
10023,Icterus graceannae,SA,PASSERIFORMES,Icteridae,Icterus graceannae
10024,Icterus jamacaii,SA,PASSERIFORMES,Icteridae,Icterus jamacaii
10025,Icterus icterus,SA,PASSERIFORMES,Icteridae,Icterus icterus
10026,Icterus croconotus,SA,PASSERIFORMES,Icteridae,Icterus croconotus
10027,Icterus maculialatus,MA,PASSERIFORMES,Icteridae,Icterus maculialatus
10028,Icterus wagleri,MA,PASSERIFORMES,Icteridae,Icterus wagleri
10029,Icterus cucullatus,"NA, MA",PASSERIFORMES,Icteridae,Icterus cucullatus
10030,Icterus prosthemelas,MA,PASSERIFORMES,Icteridae,Icterus prosthemelas
10031,Icterus spurius,"NA, MA",PASSERIFORMES,Icteridae,Icterus spurius
10032,Icterus auricapillus,"MA, SA",PASSERIFORMES,Icteridae,Icterus auricapillus
10033,Icterus pyrrhopterus,SA,PASSERIFORMES,Icteridae,Icterus pyrrhopterus
10034,Icterus cayanensis,SA,PASSERIFORMES,Icteridae,Icterus cayanensis
10035,Agelaius tricolor,"NA, MA",PASSERIFORMES,Icteridae,Agelaius tricolor
10036,Agelaius phoeniceus,"NA, MA",PASSERIFORMES,Icteridae,Agelaius phoeniceus
10037,Molothrus rufoaxillaris,SA,PASSERIFORMES,Icteridae,Molothrus rufoaxillaris
10038,Molothrus oryzivorus,"MA, SA",PASSERIFORMES,Icteridae,Molothrus oryzivorus
10039,Molothrus bonariensis,"NA, SA",PASSERIFORMES,Icteridae,Molothrus bonariensis
10040,Molothrus aeneus,"NA, MA",PASSERIFORMES,Icteridae,Molothrus aeneus
10041,Molothrus armenti,SA,PASSERIFORMES,Icteridae,Molothrus armenti
10042,Molothrus ater,"NA, MA",PASSERIFORMES,Icteridae,Molothrus ater
10043,Dives warczewiczi,SA,PASSERIFORMES,Icteridae,Dives warczewiczi
10044,Dives dives,MA,PASSERIFORMES,Icteridae,Dives dives
10045,Quiscalus nicaraguensis,MA,PASSERIFORMES,Icteridae,Quiscalus nicaraguensis
10046,Quiscalus lugubris,"NA, SA",PASSERIFORMES,Icteridae,Quiscalus lugubris
10047,Quiscalus mexicanus,"NA, MA, SA",PASSERIFORMES,Icteridae,Quiscalus mexicanus
10048,Hypopyrrhus pyrohypogaster,SA,PASSERIFORMES,Icteridae,Hypopyrrhus pyrohypogaster
10049,Lampropsar tanagrinus,SA,PASSERIFORMES,Icteridae,Lampropsar tanagrinus
10050,Gymnomystax mexicanus,SA,PASSERIFORMES,Icteridae,Gymnomystax mexicanus
10051,Macroagelaius subalaris,SA,PASSERIFORMES,Icteridae,Macroagelaius subalaris
10052,Macroagelaius imthurni,SA,PASSERIFORMES,Icteridae,Macroagelaius imthurni
10053,Curaeus curaeus,SA,PASSERIFORMES,Icteridae,Curaeus curaeus
10054,Amblyramphus holosericeus,SA,PASSERIFORMES,Icteridae,Amblyramphus holosericeus
10055,Anumara forbesi,SA,PASSERIFORMES,Icteridae,Anumara forbesi
10056,Gnorimopsar chopi,SA,PASSERIFORMES,Icteridae,Gnorimopsar chopi
10057,Oreopsar bolivianus,SA,PASSERIFORMES,Icteridae,Oreopsar bolivianus
10058,Agelaioides badius,SA,PASSERIFORMES,Icteridae,Agelaioides badius
10059,Agelaioides fringillarius,SA,PASSERIFORMES,Icteridae,Agelaioides fringillarius
10060,Agelasticus thilius,SA,PASSERIFORMES,Icteridae,Agelasticus thilius
10061,Agelasticus xanthophthalmus,SA,PASSERIFORMES,Icteridae,Agelasticus xanthophthalmus
10062,Agelasticus cyanopus,SA,PASSERIFORMES,Icteridae,Agelasticus cyanopus
10063,Chrysomus ruficapillus,SA,PASSERIFORMES,Icteridae,Chrysomus ruficapillus
10064,Chrysomus icterocephalus,SA,PASSERIFORMES,Icteridae,Chrysomus icterocephalus
10065,Xanthopsar flavus,SA,PASSERIFORMES,Icteridae,Xanthopsar flavus
10066,Pseudoleistes virescens,SA,PASSERIFORMES,Icteridae,Pseudoleistes virescens
10067,Pseudoleistes guirahuro,SA,PASSERIFORMES,Icteridae,Pseudoleistes guirahuro
10068,Oreothlypis superciliosa,MA,PASSERIFORMES,Parulidae,Oreothlypis superciliosa
10069,Oreothlypis gutturalis,MA,PASSERIFORMES,Parulidae,Oreothlypis gutturalis
10070,Leiothlypis luciae,"NA, MA",PASSERIFORMES,Parulidae,Leiothlypis luciae
10071,Geothlypis poliocephala,MA,PASSERIFORMES,Parulidae,Geothlypis poliocephala
10072,Geothlypis aequinoctialis,SA,PASSERIFORMES,Parulidae,Geothlypis aequinoctialis
10073,Geothlypis chiriquensis,MA,PASSERIFORMES,Parulidae,Geothlypis chiriquensis
10074,Geothlypis auricularis,SA,PASSERIFORMES,Parulidae,Geothlypis auricularis
10075,Geothlypis velata,SA,PASSERIFORMES,Parulidae,Geothlypis velata
10076,Geothlypis semiflava,"MA, SA",PASSERIFORMES,Parulidae,Geothlypis semiflava
10077,Geothlypis speciosa,MA,PASSERIFORMES,Parulidae,Geothlypis speciosa
10078,Geothlypis beldingi,MA,PASSERIFORMES,Parulidae,Geothlypis beldingi
10079,Geothlypis flavovelata,MA,PASSERIFORMES,Parulidae,Geothlypis flavovelata
10080,Geothlypis trichas,"NA, MA",PASSERIFORMES,Parulidae,Geothlypis trichas
10081,Geothlypis nelsoni,MA,PASSERIFORMES,Parulidae,Geothlypis nelsoni
10082,Setophaga pitiayumi,"MA, SA",PASSERIFORMES,Parulidae,Setophaga pitiayumi
10083,Setophaga aestiva,"NA, MA",PASSERIFORMES,Parulidae,Setophaga aestiva
10084,Setophaga petechia,"NA, MA, SA",PASSERIFORMES,Parulidae,Setophaga petechia
10085,Setophaga auduboni,"NA, MA",PASSERIFORMES,Parulidae,Setophaga auduboni
10086,Setophaga goldmani,MA,PASSERIFORMES,Parulidae,Setophaga goldmani
10087,Myiothlypis luteoviridis,SA,PASSERIFORMES,Parulidae,Myiothlypis luteoviridis
10088,Myiothlypis basilica,SA,PASSERIFORMES,Parulidae,Myiothlypis basilica
10089,Myiothlypis leucophrys,SA,PASSERIFORMES,Parulidae,Myiothlypis leucophrys
10090,Myiothlypis flaveola,SA,PASSERIFORMES,Parulidae,Myiothlypis flaveola
10091,Myiothlypis leucoblephara,SA,PASSERIFORMES,Parulidae,Myiothlypis leucoblephara
10092,Myiothlypis signata,SA,PASSERIFORMES,Parulidae,Myiothlypis signata
10093,Myiothlypis nigrocristata,SA,PASSERIFORMES,Parulidae,Myiothlypis nigrocristata
10094,Myiothlypis fulvicauda,"MA, SA",PASSERIFORMES,Parulidae,Myiothlypis fulvicauda
10095,Myiothlypis rivularis,SA,PASSERIFORMES,Parulidae,Myiothlypis rivularis
10096,Myiothlypis bivittata,SA,PASSERIFORMES,Parulidae,Myiothlypis bivittata
10097,Myiothlypis roraimae,SA,PASSERIFORMES,Parulidae,Myiothlypis roraimae
10098,Myiothlypis chrysogaster,SA,PASSERIFORMES,Parulidae,Myiothlypis chrysogaster
10099,Myiothlypis chlorophrys,SA,PASSERIFORMES,Parulidae,Myiothlypis chlorophrys
10100,Myiothlypis conspicillata,SA,PASSERIFORMES,Parulidae,Myiothlypis conspicillata
10101,Myiothlypis cinereicollis,SA,PASSERIFORMES,Parulidae,Myiothlypis cinereicollis
10102,Myiothlypis fraseri,SA,PASSERIFORMES,Parulidae,Myiothlypis fraseri
10103,Myiothlypis coronata,SA,PASSERIFORMES,Parulidae,Myiothlypis coronata
10104,Myiothlypis griseiceps,SA,PASSERIFORMES,Parulidae,Myiothlypis griseiceps
10105,Basileuterus lachrymosus,MA,PASSERIFORMES,Parulidae,Basileuterus lachrymosus
10106,Basileuterus rufifrons,MA,PASSERIFORMES,Parulidae,Basileuterus rufifrons
10107,Basileuterus delattrii,"MA, SA",PASSERIFORMES,Parulidae,Basileuterus delattrii
10108,Basileuterus melanogenys,MA,PASSERIFORMES,Parulidae,Basileuterus melanogenys
10109,Basileuterus ignotus,"MA, SA",PASSERIFORMES,Parulidae,Basileuterus ignotus
10110,Basileuterus belli,MA,PASSERIFORMES,Parulidae,Basileuterus belli
10111,Basileuterus culicivorus,"MA, SA",PASSERIFORMES,Parulidae,Basileuterus culicivorus
10112,Basileuterus melanotis,MA,PASSERIFORMES,Parulidae,Basileuterus melanotis
10113,Basileuterus tacarcunae,"MA, SA",PASSERIFORMES,Parulidae,Basileuterus tacarcunae
10114,Basileuterus trifasciatus,SA,PASSERIFORMES,Parulidae,Basileuterus trifasciatus
10115,Basileuterus punctipectus,SA,PASSERIFORMES,Parulidae,Basileuterus punctipectus
10116,Basileuterus tristriatus,SA,PASSERIFORMES,Parulidae,Basileuterus tristriatus
10117,Cardellina rubrifrons,"NA, MA",PASSERIFORMES,Parulidae,Cardellina rubrifrons
10118,Cardellina rubra,MA,PASSERIFORMES,Parulidae,Cardellina rubra
10119,Cardellina versicolor,MA,PASSERIFORMES,Parulidae,Cardellina versicolor
10120,Myioborus pictus,"NA, MA",PASSERIFORMES,Parulidae,Myioborus pictus
10121,Myioborus miniatus,"MA, SA",PASSERIFORMES,Parulidae,Myioborus miniatus
10122,Myioborus brunniceps,SA,PASSERIFORMES,Parulidae,Myioborus brunniceps
10123,Myioborus flavivertex,SA,PASSERIFORMES,Parulidae,Myioborus flavivertex
10124,Myioborus albifrons,SA,PASSERIFORMES,Parulidae,Myioborus albifrons
10125,Myioborus ornatus,SA,PASSERIFORMES,Parulidae,Myioborus ornatus
10126,Myioborus melanocephalus,SA,PASSERIFORMES,Parulidae,Myioborus melanocephalus
10127,Myioborus torquatus,MA,PASSERIFORMES,Parulidae,Myioborus torquatus
10128,Myioborus pariae,SA,PASSERIFORMES,Parulidae,Myioborus pariae
10129,Myioborus albifacies,SA,PASSERIFORMES,Parulidae,Myioborus albifacies
10130,Myioborus cardonai,SA,PASSERIFORMES,Parulidae,Myioborus cardonai
10131,Myioborus castaneocapilla,SA,PASSERIFORMES,Parulidae,Myioborus castaneocapilla
10132,Mitrospingus cassinii,"MA, SA",PASSERIFORMES,Mitrospingidae,Mitrospingus cassinii
10133,Mitrospingus oleagineus,SA,PASSERIFORMES,Mitrospingidae,Mitrospingus oleagineus
10134,Orthogonys chloricterus,SA,PASSERIFORMES,Mitrospingidae,Orthogonys chloricterus
10135,Lamprospiza melanoleuca,SA,PASSERIFORMES,Mitrospingidae,Lamprospiza melanoleuca
10136,Piranga bidentata,MA,PASSERIFORMES,Cardinalidae,Piranga bidentata
10137,Piranga lutea,"MA, SA",PASSERIFORMES,Cardinalidae,Piranga lutea
10138,Piranga flava,SA,PASSERIFORMES,Cardinalidae,Piranga flava
10139,Piranga hepatica,"NA, MA",PASSERIFORMES,Cardinalidae,Piranga hepatica
10140,Piranga rubra,"NA, MA",PASSERIFORMES,Cardinalidae,Piranga rubra
10141,Piranga roseogularis,MA,PASSERIFORMES,Cardinalidae,Piranga roseogularis
10142,Piranga leucoptera,"MA, SA",PASSERIFORMES,Cardinalidae,Piranga leucoptera
10143,Piranga erythrocephala,MA,PASSERIFORMES,Cardinalidae,Piranga erythrocephala
10144,Piranga rubriceps,SA,PASSERIFORMES,Cardinalidae,Piranga rubriceps
10145,Habia rubica,"MA, SA",PASSERIFORMES,Cardinalidae,Habia rubica
10146,Habia fuscicauda,"MA, SA",PASSERIFORMES,Cardinalidae,Habia fuscicauda
10147,Habia atrimaxillaris,MA,PASSERIFORMES,Cardinalidae,Habia atrimaxillaris
10148,Habia gutturalis,SA,PASSERIFORMES,Cardinalidae,Habia gutturalis
10149,Habia cristata,SA,PASSERIFORMES,Cardinalidae,Habia cristata
10150,Chlorothraupis carmioli,"MA, SA",PASSERIFORMES,Cardinalidae,Chlorothraupis carmioli
10151,Chlorothraupis frenata,SA,PASSERIFORMES,Cardinalidae,Chlorothraupis frenata
10152,Chlorothraupis olivacea,"MA, SA",PASSERIFORMES,Cardinalidae,Chlorothraupis olivacea
10153,Chlorothraupis stolzmanni,SA,PASSERIFORMES,Cardinalidae,Chlorothraupis stolzmanni
10154,Pheucticus chrysopeplus,MA,PASSERIFORMES,Cardinalidae,Pheucticus chrysopeplus
10155,Pheucticus tibialis,MA,PASSERIFORMES,Cardinalidae,Pheucticus tibialis
10156,Pheucticus chrysogaster,SA,PASSERIFORMES,Cardinalidae,Pheucticus chrysogaster
10157,Pheucticus aureoventris,SA,PASSERIFORMES,Cardinalidae,Pheucticus aureoventris
10158,Granatellus venustus,MA,PASSERIFORMES,Cardinalidae,Granatellus venustus
10159,Granatellus sallaei,MA,PASSERIFORMES,Cardinalidae,Granatellus sallaei
10160,Granatellus pelzelni,SA,PASSERIFORMES,Cardinalidae,Granatellus pelzelni
10161,Cardinalis cardinalis,"NA, MA",PASSERIFORMES,Cardinalidae,Cardinalis cardinalis
10162,Cardinalis phoeniceus,SA,PASSERIFORMES,Cardinalidae,Cardinalis phoeniceus
10163,Cardinalis sinuatus,"NA, MA",PASSERIFORMES,Cardinalidae,Cardinalis sinuatus
10164,Caryothraustes poliogaster,MA,PASSERIFORMES,Cardinalidae,Caryothraustes poliogaster
10165,Caryothraustes canadensis,SA,PASSERIFORMES,Cardinalidae,Caryothraustes canadensis
10166,Periporphyrus celaeno,MA,PASSERIFORMES,Cardinalidae,Periporphyrus celaeno
10167,Periporphyrus erythromelas,SA,PASSERIFORMES,Cardinalidae,Periporphyrus erythromelas
10168,Amaurospiza concolor,MA,PASSERIFORMES,Cardinalidae,Amaurospiza concolor
10169,Amaurospiza aequatorialis,SA,PASSERIFORMES,Cardinalidae,Amaurospiza aequatorialis
10170,Amaurospiza moesta,SA,PASSERIFORMES,Cardinalidae,Amaurospiza moesta
10171,Amaurospiza carrizalensis,SA,PASSERIFORMES,Cardinalidae,Amaurospiza carrizalensis
10172,Spiza americana,"NA, MA, SA",PASSERIFORMES,Cardinalidae,Spiza americana
10173,Cyanoloxia glaucocaerulea,SA,PASSERIFORMES,Cardinalidae,Cyanoloxia glaucocaerulea
10174,Cyanoloxia cyanoides,"MA, SA",PASSERIFORMES,Cardinalidae,Cyanoloxia cyanoides
10175,Cyanoloxia rothschildii,SA,PASSERIFORMES,Cardinalidae,Cyanoloxia rothschildii
10176,Cyanoloxia brissonii,SA,PASSERIFORMES,Cardinalidae,Cyanoloxia brissonii
10177,Cyanocompsa parellina,MA,PASSERIFORMES,Cardinalidae,Cyanocompsa parellina
10178,Passerina caerulea,"NA, MA",PASSERIFORMES,Cardinalidae,Passerina caerulea
10179,Passerina amoena,"NA, MA",PASSERIFORMES,Cardinalidae,Passerina amoena
10180,Passerina versicolor,"NA, MA",PASSERIFORMES,Cardinalidae,Passerina versicolor
10181,Passerina ciris,"NA, MA",PASSERIFORMES,Cardinalidae,Passerina ciris
10182,Passerina rositae,MA,PASSERIFORMES,Cardinalidae,Passerina rositae
10183,Passerina leclancherii,MA,PASSERIFORMES,Cardinalidae,Passerina leclancherii
10184,Catamblyrhynchus diadema,SA,PASSERIFORMES,Thraupidae,Catamblyrhynchus diadema
10185,Charitospiza eucosma,SA,PASSERIFORMES,Thraupidae,Charitospiza eucosma
10186,Orchesticus abeillei,SA,PASSERIFORMES,Thraupidae,Orchesticus abeillei
10187,Parkerthraustes humeralis,SA,PASSERIFORMES,Thraupidae,Parkerthraustes humeralis
10188,Nemosia pileata,SA,PASSERIFORMES,Thraupidae,Nemosia pileata
10189,Nemosia rourei,SA,PASSERIFORMES,Thraupidae,Nemosia rourei
10190,Cyanicterus cyanicterus,SA,PASSERIFORMES,Thraupidae,Cyanicterus cyanicterus
10191,Sericossypha albocristata,SA,PASSERIFORMES,Thraupidae,Sericossypha albocristata
10192,Compsothraupis loricata,SA,PASSERIFORMES,Thraupidae,Compsothraupis loricata
10193,Coryphaspiza melanotis,SA,PASSERIFORMES,Thraupidae,Coryphaspiza melanotis
10194,Embernagra platensis,SA,PASSERIFORMES,Thraupidae,Embernagra platensis
10195,Embernagra longicauda,SA,PASSERIFORMES,Thraupidae,Embernagra longicauda
10196,Emberizoides ypiranganus,SA,PASSERIFORMES,Thraupidae,Emberizoides ypiranganus
10197,Emberizoides herbicola,"MA, SA",PASSERIFORMES,Thraupidae,Emberizoides herbicola
10198,Emberizoides duidae,SA,PASSERIFORMES,Thraupidae,Emberizoides duidae
10199,Incaspiza pulchra,SA,PASSERIFORMES,Thraupidae,Incaspiza pulchra
10200,Incaspiza personata,SA,PASSERIFORMES,Thraupidae,Incaspiza personata
10201,Incaspiza ortizi,SA,PASSERIFORMES,Thraupidae,Incaspiza ortizi
10202,Incaspiza laeta,SA,PASSERIFORMES,Thraupidae,Incaspiza laeta
10203,Incaspiza watkinsi,SA,PASSERIFORMES,Thraupidae,Incaspiza watkinsi
10204,Rhopospina fruticeti,SA,PASSERIFORMES,Thraupidae,Rhopospina fruticeti
10205,Rhopospina caerulescens,SA,PASSERIFORMES,Thraupidae,Rhopospina caerulescens
10206,Rhopospina alaudina,SA,PASSERIFORMES,Thraupidae,Rhopospina alaudina
10207,Rhopospina carbonaria,SA,PASSERIFORMES,Thraupidae,Rhopospina carbonaria
